#K OBJECT   '178329'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 178329
#K OBJRA    19:06:17.04
#K OBJDEC   +41:24:49.6
#K OBJBMAG  6.345000E+00
#K OBJVMAG  6.490000E+00
#K SPTYPE   B3V
#K OBJRV    -2.120000E+01
#K HDNAME   HD 178329
#K BDNAME   BD+41 3232
#K HIPNAME  HIP 93808
#K SAONAME  SAO 48084
#K VHELIO   9.63116656508061E+00
#K VLSR     2.87564275647829E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.458056E+03
#K CMAX1    4.783453E+03
#K PICKTYPE B3V
#K NCOMBINE 6
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.        2.848122
           3465.4        2.838474
           3465.8         2.82848
           3466.2        2.845565
           3466.6         2.88431
            3467.        2.853112
           3467.4        2.818524
           3467.8        2.854537
           3468.2        2.881556
           3468.6        2.860121
            3469.        2.840435
           3469.4        2.826232
           3469.8        2.832725
           3470.2        2.883993
           3470.6        2.883955
            3471.        2.822856
           3471.4        2.834375
           3471.8        2.843483
           3472.2        2.861424
           3472.6        2.869306
            3473.        2.812923
           3473.4        2.807751
           3473.8        2.835267
           3474.2        2.839667
           3474.6        2.862164
            3475.        2.837586
           3475.4         2.84215
           3475.8        2.824363
           3476.2        2.817909
           3476.6        2.861417
            3477.        2.889277
           3477.4         2.89168
           3477.8        2.879338
           3478.2        2.849454
           3478.6        2.844426
            3479.        2.872078
           3479.4        2.885584
           3479.8        2.884045
           3480.2        2.865529
           3480.6        2.836118
            3481.        2.886453
           3481.4        2.892514
           3481.8        2.841029
           3482.2        2.828399
           3482.6        2.846256
            3483.        2.843808
           3483.4        2.831889
           3483.8        2.833584
           3484.2        2.857565
           3484.6        2.892485
            3485.        2.871009
           3485.4        2.824244
           3485.8        2.854828
           3486.2        2.848392
           3486.6        2.860068
            3487.        2.877429
           3487.4        2.814102
           3487.8        2.810685
           3488.2        2.811268
           3488.6        2.805881
            3489.        2.837868
           3489.4        2.887391
           3489.8        2.882558
           3490.2        2.847456
           3490.6        2.837329
            3491.        2.823774
           3491.4        2.852819
           3491.8        2.843035
           3492.2        2.847597
           3492.6        2.836255
            3493.        2.835499
           3493.4        2.788529
           3493.8        2.792462
           3494.2        2.790733
           3494.6        2.781417
            3495.        2.792351
           3495.4        2.804624
           3495.8        2.835886
           3496.2        2.845432
           3496.6         2.84095
            3497.        2.843784
           3497.4        2.842403
           3497.8        2.773884
           3498.2        2.857483
           3498.6        2.859321
            3499.        2.867442
           3499.4        2.838063
           3499.8         2.80161
           3500.2         2.80554
           3500.6        2.808558
            3501.        2.809427
           3501.4        2.800175
           3501.8        2.824067
           3502.2        2.805115
           3502.6         2.78941
            3503.        2.830784
           3503.4        2.779549
           3503.8        2.769909
           3504.2         2.78229
           3504.6        2.814505
            3505.        2.811866
           3505.4         2.80777
           3505.8        2.813557
           3506.2        2.788563
           3506.6        2.784003
            3507.         2.76714
           3507.4        2.754866
           3507.8        2.766204
           3508.2        2.775083
           3508.6        2.750971
            3509.        2.751456
           3509.4        2.765717
           3509.8        2.728491
           3510.2        2.763282
           3510.6        2.775972
            3511.        2.738182
           3511.4        2.737069
           3511.8          2.7135
           3512.2        2.735945
           3512.6        2.754894
            3513.        2.708222
           3513.4        2.754843
           3513.8        2.741763
           3514.2        2.698498
           3514.6        2.706326
            3515.        2.742171
           3515.4        2.766487
           3515.8        2.752374
           3516.2        2.729428
           3516.6        2.716347
            3517.         2.71489
           3517.4        2.742343
           3517.8        2.740224
           3518.2        2.726863
           3518.6        2.739102
            3519.        2.759367
           3519.4        2.740116
           3519.8        2.772624
           3520.2        2.769247
           3520.6        2.740123
            3521.        2.745597
           3521.4        2.756693
           3521.8        2.774398
           3522.2        2.783814
           3522.6        2.741661
            3523.        2.718461
           3523.4        2.755001
           3523.8         2.81557
           3524.2        2.760312
           3524.6         2.73819
            3525.        2.738518
           3525.4        2.726516
           3525.8        2.752203
           3526.2        2.766735
           3526.6        2.728336
            3527.        2.716602
           3527.4        2.736024
           3527.8        2.741538
           3528.2        2.761484
           3528.6        2.733795
            3529.        2.699094
           3529.4        2.694741
           3529.8        2.713312
           3530.2        2.687816
           3530.6        2.697663
            3531.        2.689675
           3531.4        2.689972
           3531.8        2.723108
           3532.2        2.738767
           3532.6        2.735285
            3533.        2.733531
           3533.4        2.724172
           3533.8         2.71526
           3534.2        2.739799
           3534.6        2.726646
            3535.        2.717265
           3535.4        2.719782
           3535.8        2.714758
           3536.2        2.696661
           3536.6        2.691621
            3537.        2.714829
           3537.4         2.72094
           3537.8        2.694702
           3538.2        2.696433
           3538.6        2.717202
            3539.        2.699106
           3539.4        2.692075
           3539.8        2.682102
           3540.2        2.669862
           3540.6        2.712174
            3541.        2.725454
           3541.4        2.715175
           3541.8        2.690252
           3542.2         2.65453
           3542.6        2.678472
            3543.        2.700134
           3543.4        2.685779
           3543.8        2.717941
           3544.2         2.72142
           3544.6        2.727745
            3545.        2.710166
           3545.4        2.709282
           3545.8        2.713849
           3546.2         2.68121
           3546.6         2.67559
            3547.        2.708894
           3547.4         2.67964
           3547.8        2.641403
           3548.2        2.657253
           3548.6        2.681634
            3549.         2.68302
           3549.4        2.654742
           3549.8        2.666003
           3550.2        2.661653
           3550.6        2.630094
            3551.         2.65828
           3551.4        2.643366
           3551.8         2.62086
           3552.2        2.654272
           3552.6        2.651239
            3553.        2.669947
           3553.4        2.651725
           3553.8        2.586437
           3554.2         2.61433
           3554.6         2.62573
            3555.        2.628381
           3555.4        2.634793
           3555.8        2.650084
           3556.2        2.641691
           3556.6        2.666416
            3557.        2.646061
           3557.4        2.632482
           3557.8        2.632694
           3558.2        2.623181
           3558.6         2.64956
            3559.        2.702314
           3559.4        2.695452
           3559.8        2.677817
           3560.2        2.699972
           3560.6        2.618384
            3561.        2.635938
           3561.4        2.641736
           3561.8        2.635477
           3562.2        2.668148
           3562.6        2.672781
            3563.        2.654968
           3563.4        2.683773
           3563.8        2.706111
           3564.2        2.674605
           3564.6        2.665348
            3565.        2.680951
           3565.4        2.660517
           3565.8           2.671
           3566.2        2.677904
           3566.6        2.609752
            3567.        2.665309
           3567.4        2.658979
           3567.8        2.677312
           3568.2        2.738102
           3568.6        2.734362
            3569.        2.666644
           3569.4          2.6693
           3569.8        2.702878
           3570.2        2.679851
