#K OBJECT   '180006'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 180006
#K OBJRA    19:11:40.57
#K OBJDEC   +56:51:33.2
#K OBJBMAG  6.140000E+00
#K OBJVMAG  5.140000E+00
#K SPTYPE   G8III
#K OBJRV    -1.580000E+01
#K HDNAME   HD 180006
#K BDNAME   BD+56 2209
#K HIPNAME  HIP 94302
#K SAONAME  SAO 31468
#K VHELIO   6.09300703213576E+00
#K VLSR     2.35246212966592E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.743083E+03
#K CMAX1    6.069744E+03
#K PICKTYPE G8III
#K NCOMBINE 6
#K TEFF     4850  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.860000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      0.000000E+00  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.2417935
           3465.4       0.2033704
           3465.8       0.1715633
           3466.2       0.1648828
           3466.6        0.171708
            3467.       0.1907583
           3467.4       0.2108031
           3467.8       0.2273775
           3468.2       0.2405905
           3468.6       0.2407656
            3469.       0.2307326
           3469.4       0.2282818
           3469.8       0.2475863
           3470.2       0.2817148
           3470.6       0.2980885
            3471.       0.2825372
           3471.4       0.2530526
           3471.8       0.2246706
           3472.2       0.2042203
           3472.6       0.1977637
            3473.       0.1982957
           3473.4        0.199794
           3473.8       0.1870181
           3474.2       0.1778946
           3474.6       0.1706303
            3475.       0.1543633
           3475.4       0.1458983
           3475.8       0.1365549
           3476.2        0.132236
           3476.6       0.1356114
            3477.       0.1485401
           3477.4       0.1746164
           3477.8       0.1993137
           3478.2       0.2105786
           3478.6       0.2242424
            3479.       0.2235182
           3479.4       0.2169784
           3479.8       0.2128213
           3480.2       0.2014723
           3480.6       0.1972108
            3481.       0.2026598
           3481.4       0.2086738
           3481.8       0.2188943
           3482.2       0.2111615
           3482.6       0.1976682
            3483.       0.1772911
           3483.4       0.1660803
           3483.8       0.1782162
           3484.2       0.1899362
           3484.6       0.1878445
            3485.       0.1828094
           3485.4       0.1854308
           3485.8        0.196684
           3486.2       0.2176887
           3486.6       0.2509119
            3487.       0.2768748
           3487.4       0.2812186
           3487.8       0.2720207
           3488.2       0.2522825
           3488.6       0.2170425
            3489.       0.1873963
           3489.4       0.1753558
           3489.8       0.1617878
           3490.2       0.1465928
           3490.6       0.1399233
            3491.       0.1493498
           3491.4       0.1790084
           3491.8       0.2003798
           3492.2       0.1924435
           3492.6       0.1723691
            3493.       0.1568396
           3493.4       0.1637982
           3493.8       0.2006339
           3494.2        0.235324
           3494.6       0.2478261
            3495.       0.2362795
           3495.4       0.2104784
           3495.8       0.1823158
           3496.2       0.1638208
           3496.6       0.1541439
            3497.       0.1446377
           3497.4       0.1447316
           3497.8       0.1525283
           3498.2       0.1803266
           3498.6       0.2232905
            3499.        0.272881
           3499.4       0.3099417
           3499.8       0.3070463
           3500.2       0.2929138
           3500.6        0.283162
            3501.       0.2860091
           3501.4       0.3001264
           3501.8       0.2937512
           3502.2        0.268879
           3502.6       0.2698153
            3503.       0.3092187
           3503.4       0.3502918
           3503.8        0.365765
           3504.2       0.3456342
           3504.6       0.3045864
            3505.        0.261506
           3505.4       0.2502805
           3505.8       0.2486869
           3506.2       0.2349335
           3506.6       0.2298424
            3507.       0.2422366
           3507.4       0.2625942
           3507.8       0.2852858
           3508.2       0.2969777
           3508.6       0.2909756
            3509.       0.2791266
           3509.4        0.255012
           3509.8       0.2195082
           3510.2       0.1982375
           3510.6       0.1947843
            3511.       0.2121069
           3511.4       0.2341343
           3511.8       0.2365132
           3512.2       0.2232107
           3512.6       0.2057025
            3513.       0.1870872
           3513.4       0.1739182
           3513.8       0.1639011
           3514.2       0.1633444
           3514.6       0.1583547
            3515.       0.1631589
           3515.4       0.1863949
           3515.8       0.2171912
           3516.2       0.2458755
           3516.6       0.2703429
            3517.       0.2964619
           3517.4        0.321617
           3517.8       0.3359978
           3518.2        0.335974
           3518.6       0.3246886
            3519.       0.3158855
           3519.4       0.2970084
           3519.8       0.2653579
           3520.2       0.2454328
           3520.6       0.2331375
            3521.       0.2126101
           3521.4       0.1848528
           3521.8       0.1853678
           3522.2       0.2035069
           3522.6       0.2054473
            3523.       0.1899475
           3523.4        0.166856
           3523.8       0.1448536
           3524.2       0.1249853
           3524.6       0.1231871
            3525.       0.1384964
           3525.4       0.1520998
           3525.8        0.151951
           3526.2       0.1290179
           3526.6       0.1318521
            3527.       0.1724743
           3527.4       0.2145956
           3527.8       0.2415234
           3528.2       0.2612099
           3528.6       0.2776599
            3529.       0.2830673
           3529.4       0.2720654
           3529.8       0.2566172
           3530.2       0.2472344
           3530.6       0.2524963
            3531.       0.2473262
           3531.4       0.2357122
           3531.8       0.2190566
           3532.2       0.1945809
           3532.6       0.1863917
            3533.       0.1896072
           3533.4       0.2068735
           3533.8       0.2483082
           3534.2       0.2754857
           3534.6       0.2820746
            3535.       0.2851494
           3535.4        0.279761
           3535.8       0.2782769
           3536.2       0.2688418
           3536.6       0.2635197
            3537.       0.2631285
           3537.4        0.247076
           3537.8       0.2331083
           3538.2       0.2318543
           3538.6       0.2496661
            3539.         0.28609
           3539.4       0.3111388
           3539.8       0.3123692
           3540.2       0.2893903
           3540.6        0.262096
            3541.       0.2455578
           3541.4       0.2332097
           3541.8       0.2276165
           3542.2        0.226811
           3542.6        0.224498
            3543.       0.2275489
           3543.4       0.2367366
           3543.8       0.2537589
           3544.2       0.2717693
           3544.6       0.2782924
            3545.       0.2760588
           3545.4        0.262594
           3545.8       0.2521588
           3546.2       0.2483732
           3546.6       0.2501554
            3547.       0.2417468
           3547.4       0.2179502
           3547.8       0.1938676
           3548.2        0.197526
           3548.6        0.223365
            3549.       0.2504887
           3549.4       0.2637679
           3549.8       0.2575263
           3550.2       0.2425647
           3550.6       0.2269452
            3551.        0.216873
           3551.4       0.2107355
           3551.8       0.2062093
           3552.2       0.2087441
           3552.6        0.214853
            3553.       0.2058645
           3553.4       0.1910367
           3553.8        0.179681
           3554.2       0.1745891
           3554.6       0.1773218
            3555.       0.1904761
           3555.4       0.2199616
           3555.8       0.2450851
           3556.2       0.2356538
           3556.6       0.2133121
            3557.       0.1991547
           3557.4       0.2137022
           3557.8       0.2102721
           3558.2       0.1872524
           3558.6       0.1643625
            3559.       0.1593958
           3559.4       0.1703141
           3559.8       0.1803643
           3560.2       0.1863174
           3560.6       0.1904914
            3561.       0.1866055
           3561.4       0.1787749
           3561.8       0.1805269
           3562.2       0.1983965
           3562.6       0.2239877
            3563.       0.2432991
           3563.4       0.2533751
           3563.8       0.2468023
           3564.2       0.2238009
           3564.6       0.1878704
            3565.       0.1487554
           3565.4        0.116999
           3565.8       0.1010537
           3566.2          0.1074
           3566.6       0.1261546
            3567.       0.1479219
           3567.4        0.168053
           3567.8       0.1848323
           3568.2       0.1853612
           3568.6       0.1711756
            3569.       0.1457544
           3569.4       0.1156663
           3569.8      0.09460334
           3570.2      0.09376334
           3570.6       0.1143582
            3571.        0.142075
           3571.4        0.156933
           3571.8       0.1597774
           3572.2       0.1666905
           3572.6       0.1830281
            3573.       0.2071363
           3573.4       0.2172215
           3573.8       0.2032197
           3574.2       0.1970254
           3574.6       0.2011416
            3575.       0.1964276
           3575.4       0.1926621
           3575.8       0.1968423
           3576.2       0.1989377
           3576.6       0.2016895
            3577.       0.2047932
           3577.4       0.1979435
           3577.8       0.1818976
           3578.2       0.1501027
           3578.6       0.1277132
            3579.       0.1241248
           3579.4       0.1335971
           3579.8       0.1365588
           3580.2       0.1202489
           3580.6      0.09846479
            3581.      0.08101734
           3581.4       0.0711006
           3581.8      0.07624786
           3582.2      0.09003159
           3582.6      0.09953004
            3583.       0.1040459
           3583.4       0.1134785
           3583.8       0.1139311
           3584.2       0.1119657
           3584.6       0.1009742
            3585.       0.0865633
           3585.4      0.07654672
           3585.8      0.08089136
           3586.2      0.09222966
           3586.6      0.09668936
            3587.      0.09502359
           3587.4      0.09483752
           3587.8       0.1009518
           3588.2       0.1082411
           3588.6       0.1183362
            3589.       0.1124376
           3589.4       0.1039961
           3589.8       0.1055769
           3590.2        0.127231
           3590.6       0.1713017
            3591.       0.2240332
           3591.4       0.2563088
           3591.8       0.2618124
           3592.2       0.2585554
           3592.6       0.2434727
            3593.       0.2082066
           3593.4       0.1827326
           3593.8       0.1933803
           3594.2       0.2212187
           3594.6       0.2389156
            3595.       0.2397439
           3595.4       0.2502709
           3595.8       0.2669088
           3596.2       0.2946331
           3596.6       0.3312967
            3597.       0.3427688
           3597.4       0.3219936
           3597.8        0.301595
           3598.2       0.3027542
           3598.6       0.3152053
            3599.        0.309023
           3599.4       0.3118503
           3599.8       0.3267145
           3600.2        0.348308
           3600.6       0.3716688
            3601.       0.3664192
           3601.4       0.3319715
           3601.8       0.2796933
           3602.2       0.2287029
           3602.6       0.2089548
            3603.       0.2200556
           3603.4       0.2354802
           3603.8       0.2402364
           3604.2       0.2319562
           3604.6       0.2300548
            3605.       0.2137457
           3605.4       0.1912342
           3605.8       0.2024466
           3606.2       0.2307411
           3606.6       0.2544688
            3607.       0.2720632
           3607.4       0.2766998
           3607.8       0.2531672
           3608.2       0.2051053
           3608.6       0.1555614
            3609.       0.1258879
           3609.4        0.131866
           3609.8       0.1521176
           3610.2       0.1592838
           3610.6       0.1764092
            3611.       0.2053018
           3611.4       0.2428452
           3611.8       0.2747488
           3612.2       0.2781214
           3612.6       0.2617002
            3613.       0.2339996
           3613.4       0.2092152
           3613.8       0.2092866
           3614.2       0.2314751
           3614.6       0.2741825
            3615.       0.3046677
           3615.4       0.3206192
           3615.8       0.3351056
           3616.2       0.3326785
           3616.6       0.3157478
            3617.       0.2918938
           3617.4       0.2495437
           3617.8       0.2049442
           3618.2       0.1567488
           3618.6       0.1121905
            3619.      0.09608545
           3619.4       0.1000142
           3619.8       0.1308186
           3620.2       0.1768543
           3620.6       0.2130258
            3621.       0.2309085
           3621.4         0.23127
           3621.8       0.2508785
           3622.2       0.2920274
           3622.6       0.3376675
            3623.       0.3422236
           3623.4       0.3046541
           3623.8       0.2665598
           3624.2       0.2508165
           3624.6       0.2659321
            3625.       0.3007375
           3625.4       0.3382931
           3625.8       0.3846706
           3626.2       0.4178391
           3626.6       0.4251959
            3627.       0.4202751
           3627.4       0.3981171
           3627.8       0.3692551
           3628.2       0.3611256
           3628.6       0.3792808
            3629.       0.3933032
           3629.4       0.3856804
           3629.8       0.3536346
           3630.2       0.2937956
           3630.6       0.2293672
            3631.       0.1565873
           3631.4       0.1202005
           3631.8        0.122306
           3632.2       0.1612693
           3632.6        0.196645
            3633.       0.2238165
           3633.4       0.2459298
           3633.8       0.2527294
           3634.2       0.2378934
           3634.6       0.2192862
            3635.         0.21951
           3635.4       0.2450815
           3635.8       0.2895318
           3636.2       0.3069367
           3636.6       0.2913303
            3637.       0.2860124
           3637.4        0.304936
           3637.8       0.3102572
           3638.2       0.3157992
