#K OBJECT   '180610'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 180610
#K OBJRA    19:13:55.15
#K OBJDEC   +57:42:18.4
#K OBJBMAG  6.167000E+00
#K OBJVMAG  5.007000E+00
#K SPTYPE   K2III
#K OBJRV    -2.720000E+01
#K HDNAME   HD 180610
#K BDNAME   BD+57 1968
#K HIPNAME  HIP 94490
#K SAONAME  SAO 31497
#K VHELIO   6.09063390913761E+00
#K VLSR     2.33692019369704E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.446273E+03
#K CMAX1    4.771960E+03
#K PICKTYPE K2III
#K NCOMBINE 6
#K TEFF     4500  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.710000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -1.000000E-02  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     5415.8-5462.6

#      wavelength        spectrum
#       angstroms                

            3465.       0.1195964
           3465.4       0.0967799
           3465.8      0.07624671
           3466.2      0.07131337
           3466.6      0.08102499
            3467.       0.0982336
           3467.4       0.1110792
           3467.8       0.1269426
           3468.2       0.1362744
           3468.6       0.1341703
            3469.       0.1275067
           3469.4       0.1286195
           3469.8       0.1413835
           3470.2       0.1599774
           3470.6       0.1692152
            3471.       0.1580554
           3471.4       0.1408035
           3471.8       0.1220657
           3472.2       0.1066402
           3472.6      0.09640551
            3473.      0.09669261
           3473.4      0.09959884
           3473.8       0.0920736
           3474.2      0.08139776
           3474.6      0.07343961
            3475.      0.06458552
           3475.4      0.05592076
           3475.8      0.05405254
           3476.2      0.05644847
           3476.6      0.05676204
            3477.       0.0671534
           3477.4      0.08744913
           3477.8       0.1105623
           3478.2       0.1214181
           3478.6       0.1238074
            3479.       0.1265161
           3479.4       0.1303015
           3479.8       0.1236731
           3480.2       0.1151287
           3480.6       0.1147572
            3481.        0.117928
           3481.4       0.1238256
           3481.8       0.1293671
           3482.2       0.1296542
           3482.6       0.1173439
            3483.      0.09992358
           3483.4      0.08801985
           3483.8      0.09302779
           3484.2       0.1034529
           3484.6       0.1072772
            3485.       0.1038108
           3485.4      0.09751466
           3485.8       0.1023912
           3486.2       0.1222748
           3486.6       0.1447958
            3487.       0.1621786
           3487.4       0.1653991
           3487.8       0.1547692
           3488.2       0.1385527
           3488.6       0.1197349
            3489.       0.1000819
           3489.4      0.08736332
           3489.8      0.07569922
           3490.2      0.06367949
           3490.6      0.05653116
            3491.      0.06192357
           3491.4      0.07903725
           3491.8      0.09246384
           3492.2      0.09007344
           3492.6      0.07668892
            3493.      0.06918263
           3493.4      0.07980081
           3493.8       0.1021918
           3494.2       0.1242891
           3494.6        0.136568
            3495.        0.135544
           3495.4        0.121575
           3495.8       0.1027562
           3496.2      0.09018007
           3496.6      0.08345482
            3497.      0.07652043
           3497.4      0.07196089
           3497.8      0.07541314
           3498.2      0.09058522
           3498.6       0.1188118
            3499.       0.1505253
           3499.4       0.1770075
           3499.8       0.1849849
           3500.2       0.1684923
           3500.6       0.1492521
            3501.       0.1484361
           3501.4        0.156257
           3501.8       0.1516474
           3502.2        0.138508
           3502.6       0.1420976
            3503.       0.1705106
           3503.4       0.2006155
           3503.8       0.2118732
           3504.2       0.2050634
           3504.6        0.176781
            3505.       0.1506082
           3505.4       0.1433836
           3505.8       0.1412767
           3506.2       0.1312486
           3506.6       0.1264253
            3507.       0.1378983
           3507.4       0.1564594
           3507.8       0.1695784
           3508.2       0.1739961
           3508.6       0.1698658
            3509.       0.1551476
           3509.4       0.1359401
           3509.8        0.112127
           3510.2      0.09416678
           3510.6      0.09643002
            3511.        0.118293
           3511.4       0.1332806
           3511.8       0.1315454
           3512.2       0.1215053
           3512.6       0.1096002
            3513.      0.09742158
           3513.4      0.08369259
           3513.8      0.07244421
           3514.2      0.06920271
           3514.6      0.06781043
            3515.      0.06833097
           3515.4       0.0835515
           3515.8       0.1094831
           3516.2       0.1329754
           3516.6       0.1482911
            3517.       0.1633302
           3517.4       0.1836087
           3517.8       0.1969587
           3518.2       0.1900548
           3518.6       0.1750931
            3519.       0.1698466
           3519.4       0.1609187
           3519.8       0.1387487
           3520.2       0.1254346
           3520.6       0.1161342
            3521.       0.1003277
           3521.4      0.08848835
           3521.8      0.09226923
           3522.2       0.1042751
           3522.6       0.1065743
            3523.      0.09513631
           3523.4       0.0782797
           3523.8      0.06361365
           3524.2      0.05338005
           3524.6      0.04799061
            3525.      0.05559853
           3525.4      0.06408135
           3525.8      0.06010707
           3526.2       0.0534146
           3526.6      0.06463116
            3527.      0.09164042
           3527.4       0.1171075
           3527.8       0.1286662
           3528.2       0.1415578
           3528.6       0.1585831
            3529.       0.1620028
           3529.4       0.1535269
