#K OBJECT   '181096'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 181096
#K OBJRA    19:16:51.39
#K OBJDEC   +46:59:56.8
#K OBJBMAG  6.440000E+00
#K OBJVMAG  6.000000E+00
#K SPTYPE   F6IV:
#K OBJRV    -4.400000E+01
#K HDNAME   HD 181096
#K BDNAME   BD+46 2658
#K HIPNAME  HIP 94755
#K SAONAME  SAO 48278
#K VHELIO   9.02117976899638E+00
#K VLSR     2.75539748816943E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.459671E+03
#K CMAX1    4.784985E+03
#K PICKTYPE F5IV
#K NCOMBINE 5
#K TEFF     6319  1993A&A...275..101E (Edvardsson)
#K LOGG     4.170000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -2.800000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0
#K GAPS     6801.0-6811.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.7375902
           3465.4       0.7050412
           3465.8       0.6765445
           3466.2       0.6686246
           3466.6       0.6930723
            3467.       0.7358879
           3467.4       0.7302002
           3467.8       0.7391592
           3468.2       0.7473289
           3468.6       0.7610695
            3469.       0.7390903
           3469.4       0.7261217
           3469.8       0.7664983
           3470.2       0.7983051
           3470.6       0.7997451
            3471.       0.8015746
           3471.4       0.7767808
           3471.8        0.718548
           3472.2       0.7312431
           3472.6       0.7072726
            3473.       0.7083853
           3473.4       0.7020024
           3473.8       0.6577865
           3474.2       0.6239361
           3474.6       0.6079069
            3475.       0.6213101
           3475.4       0.6186661
           3475.8       0.5792156
           3476.2       0.5708867
           3476.6        0.558256
            3477.       0.5646868
           3477.4       0.6079794
           3477.8       0.6808843
           3478.2       0.7158993
           3478.6       0.7358319
            3479.       0.7362971
           3479.4       0.6999309
           3479.8       0.7152344
           3480.2       0.7285641
           3480.6       0.7279685
            3481.       0.7518787
           3481.4       0.7385808
           3481.8       0.7437535
           3482.2       0.7352287
           3482.6       0.6643548
            3483.       0.6393702
           3483.4       0.6315109
           3483.8       0.6505464
           3484.2       0.6579344
           3484.6       0.6877257
            3485.       0.7189321
           3485.4       0.7086406
           3485.8       0.6942887
           3486.2       0.7316648
           3486.6       0.8013073
            3487.       0.8328245
           3487.4       0.8217282
           3487.8        0.801349
           3488.2       0.7398713
           3488.6       0.6912908
            3489.       0.6656322
           3489.4       0.6653956
           3489.8       0.6297525
           3490.2       0.6176406
           3490.6       0.6060492
            3491.       0.6454348
           3491.4       0.6929781
           3491.8       0.7038506
           3492.2       0.7458124
           3492.6       0.6727594
            3493.       0.6815434
           3493.4       0.6846595
           3493.8       0.6667447
           3494.2       0.6915158
           3494.6       0.6887842
            3495.       0.6466556
           3495.4       0.5802013
           3495.8       0.5870755
           3496.2       0.5697759
           3496.6        0.539583
            3497.       0.5736954
           3497.4       0.5736583
           3497.8       0.6272808
           3498.2       0.6891374
           3498.6       0.7267212
            3499.       0.7739545
           3499.4       0.7886378
           3499.8       0.7629408
           3500.2       0.7463523
           3500.6       0.7439869
            3501.         0.74582
           3501.4       0.7498468
           3501.8       0.7506621
           3502.2       0.7369253
           3502.6       0.7297018
            3503.       0.7608819
           3503.4       0.8031914
           3503.8       0.8316144
           3504.2       0.7728517
           3504.6       0.7295856
            3505.       0.7022258
           3505.4       0.6844501
           3505.8          0.6531
           3506.2       0.6529644
           3506.6       0.7024536
            3507.        0.727039
           3507.4       0.7301916
           3507.8       0.7413502
           3508.2       0.7455744
           3508.6       0.7764099
            3509.       0.7573677
           3509.4       0.7637587
           3509.8        0.700866
           3510.2       0.6579742
           3510.6       0.6561653
            3511.       0.6965056
           3511.4       0.7229052
           3511.8        0.704672
           3512.2       0.6939011
           3512.6       0.6734389
            3513.       0.6337851
           3513.4       0.6273614
           3513.8       0.6226482
           3514.2       0.6424512
           3514.6       0.6546109
            3515.       0.7034618
           3515.4       0.7233917
           3515.8       0.7421266
           3516.2       0.7399446
           3516.6       0.7551899
            3517.       0.7649633
           3517.4       0.7707942
           3517.8       0.7736273
           3518.2       0.7622159
           3518.6       0.7689548
            3519.       0.7690573
           3519.4       0.7516265
           3519.8        0.714291
           3520.2       0.6898555
           3520.6       0.6961094
            3521.        0.683387
           3521.4        0.686173
           3521.8       0.6900858
           3522.2       0.7073495
           3522.6       0.7427937
            3523.       0.7315128
           3523.4       0.6829964
           3523.8       0.6433995
           3524.2       0.6004232
           3524.6       0.6142784
            3525.       0.6576497
           3525.4       0.6355246
           3525.8       0.6066491
           3526.2       0.5523016
           3526.6       0.5507944
            3527.        0.597846
           3527.4       0.6720138
           3527.8       0.7216297
           3528.2       0.7385619
           3528.6       0.7751044
            3529.       0.7857191
           3529.4       0.7499407
           3529.8       0.7591425
           3530.2       0.7467787
           3530.6       0.7399721
            3531.       0.7379933
           3531.4       0.7224042
           3531.8       0.6835662
           3532.2       0.6711153
