#K OBJECT   '182293'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 182293
#K OBJRA    19:23:12.22
#K OBJDEC   +20:16:40.6
#K OBJBMAG  8.282000E+00
#K OBJVMAG  7.111000E+00
#K SPTYPE   K3IVp
#K OBJRV    -107
#K HDNAME   HD 182293
#K BDNAME   BD+19 3997
#K HIPNAME  HIP 95291
#K SAONAME  SAO 87140
#K VHELIO   1.43920899524859E+01
#K VLSR     3.31400838443539E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.441402E+03
#K CMAX1    4.767870E+03
#K PICKTYPE K3IV
#K NCOMBINE 6
#K TEFF     4486  Jones..Coude.Feed.Library
#K LOGG     3.000000E+00  Jones..Coude.Feed.Library
#K FEH      2.500000E-01  Jones..Coude.Feed.Library
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.1047966
           3465.4      0.08432083
           3465.8      0.07024686
           3466.2      0.06838237
           3466.6      0.07724471
            3467.      0.08950113
           3467.4       0.1030865
           3467.8       0.1147343
           3468.2       0.1221547
           3468.6       0.1214555
            3469.       0.1151681
           3469.4       0.1225219
           3469.8       0.1321081
           3470.2       0.1424888
           3470.6       0.1501535
            3471.       0.1437022
           3471.4       0.1280352
           3471.8       0.1106332
           3472.2      0.09515829
           3472.6      0.09030917
            3473.      0.08897179
           3473.4      0.08764753
           3473.8      0.08064485
           3474.2      0.07566871
           3474.6      0.06607696
            3475.      0.05759901
           3475.4       0.0521534
           3475.8      0.04720938
           3476.2      0.04920261
           3476.6      0.05495804
            3477.      0.06187482
           3477.4      0.08019128
           3477.8      0.09970627
           3478.2       0.1077014
           3478.6       0.1129385
            3479.       0.1184356
           3479.4        0.116264
           3479.8       0.1109566
           3480.2       0.1065975
           3480.6       0.1053218
            3481.       0.1079949
           3481.4       0.1151179
           3481.8       0.1195992
           3482.2        0.118086
           3482.6       0.1096892
            3483.      0.09234689
           3483.4      0.08672717
           3483.8      0.09210669
           3484.2      0.09957221
           3484.6       0.1025444
            3485.      0.09883952
           3485.4      0.09520531
           3485.8       0.1002119
           3486.2       0.1171168
           3486.6       0.1344564
            3487.       0.1433892
           3487.4       0.1479783
           3487.8       0.1443019
           3488.2       0.1283516
           3488.6       0.1126426
            3489.      0.09578988
           3489.4       0.0821097
           3489.8      0.07177804
           3490.2      0.06080804
           3490.6      0.05651509
            3491.      0.06125134
           3491.4      0.07298984
           3491.8       0.0825519
           3492.2      0.08094241
           3492.6      0.07253756
            3493.      0.06821642
           3493.4      0.07505126
           3493.8      0.09390248
           3494.2       0.1138665
           3494.6       0.1247059
            3495.       0.1223911
           3495.4       0.1117136
           3495.8      0.09632882
           3496.2      0.08543411
           3496.6      0.07983651
            3497.      0.07490763
           3497.4      0.07166132
           3497.8       0.0731326
           3498.2      0.08298733
           3498.6       0.1039843
            3499.       0.1312667
           3499.4       0.1555936
           3499.8       0.1635798
           3500.2       0.1539222
           3500.6       0.1405814
            3501.       0.1365805
           3501.4       0.1394186
           3501.8       0.1356054
           3502.2       0.1298526
           3502.6       0.1363183
            3503.       0.1578165
           3503.4       0.1813167
           3503.8        0.192871
           3504.2       0.1842065
           3504.6       0.1570545
            3505.       0.1455871
           3505.4        0.138239
           3505.8       0.1306859
           3506.2       0.1230652
           3506.6       0.1202078
            3507.        0.127228
           3507.4       0.1434308
           3507.8       0.1566103
           3508.2       0.1611134
           3508.6       0.1564907
            3509.       0.1439437
           3509.4       0.1270934
           3509.8       0.1035838
           3510.2      0.09099393
           3510.6      0.09301474
            3511.        0.107739
           3511.4       0.1174762
           3511.8        0.121447
           3512.2       0.1128633
           3512.6       0.1000303
            3513.      0.09080148
           3513.4      0.08192419
           3513.8      0.07212507
           3514.2      0.06687909
           3514.6      0.06682972
            3515.        0.067867
           3515.4      0.07884358
           3515.8      0.09611513
           3516.2       0.1216689
           3516.6       0.1385652
            3517.       0.1501747
           3517.4       0.1683292
           3517.8       0.1825499
           3518.2       0.1785247
           3518.6        0.165477
            3519.       0.1567345
