#K OBJECT   '185351'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 185351
#K OBJRA    19:36:37.98
#K OBJDEC   +44:41:41.8
#K OBJBMAG  6.105000E+00
#K OBJVMAG  5.180000E+00
#K SPTYPE   G9IIIbCN...
#K OBJRV    -5.200000E+00
#K HDNAME   HD 185351
#K BDNAME   BD+44 3185
#K HIPNAME  HIP 96459
#K SAONAME  SAO 48649
#K VHELIO   1.10216855371388E+01
#K VLSR     2.93726480612966E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.459247E+03
#K CMAX1    4.784398E+03
#K PICKTYPE G8III
#K NCOMBINE 5
#K TEFF     4875  1991ApJS...75..579L (Luck)
#K LOGG     2.830000E+00  1991ApJS...75..579L (Luck)
#K FEH      2.000000E-02  1991ApJS...75..579L (Luck)
#K COVERAGE 3465.0-9469.0
#K GAPS     6800.2-6810.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.2276178
           3465.4       0.1978713
           3465.8       0.1711934
           3466.2       0.1568929
           3466.6       0.1751581
            3467.        0.198194
           3467.4        0.224969
           3467.8       0.2383402
           3468.2       0.2477935
           3468.6       0.2430537
            3469.       0.2375163
           3469.4       0.2488107
           3469.8       0.2670076
           3470.2       0.2810307
           3470.6       0.2839958
            3471.       0.2704982
           3471.4       0.2532185
           3471.8       0.2340595
           3472.2       0.1963697
           3472.6       0.1920739
            3473.       0.2000604
           3473.4       0.2028107
           3473.8       0.1993845
           3474.2       0.1819704
           3474.6       0.1626841
            3475.       0.1450683
           3475.4       0.1310153
           3475.8       0.1267339
           3476.2       0.1224675
           3476.6       0.1275454
            3477.       0.1428725
           3477.4       0.1624747
           3477.8       0.1943791
           3478.2       0.2137097
           3478.6       0.2292636
            3479.       0.2314331
           3479.4        0.225036
           3479.8       0.2136434
           3480.2       0.2069157
           3480.6       0.2167951
            3481.       0.2210362
           3481.4       0.2142516
           3481.8       0.2200579
           3482.2       0.2149025
           3482.6       0.2070567
            3483.        0.178964
           3483.4       0.1647539
           3483.8       0.1741178
           3484.2       0.1799881
           3484.6       0.1781161
            3485.        0.180435
           3485.4       0.1821471
           3485.8       0.1906719
           3486.2       0.2230165
           3486.6        0.258379
            3487.       0.2694123
           3487.4       0.2668544
           3487.8       0.2545585
           3488.2       0.2339561
           3488.6       0.2050993
            3489.       0.1725793
           3489.4       0.1535012
           3489.8       0.1447347
           3490.2       0.1375317
           3490.6       0.1325399
            3491.       0.1425713
           3491.4       0.1598945
           3491.8       0.1697231
           3492.2       0.1747446
           3492.6       0.1622791
            3493.        0.149255
           3493.4       0.1640188
           3493.8       0.2059046
           3494.2       0.2318145
           3494.6       0.2417854
            3495.       0.2302815
           3495.4       0.1988064
           3495.8       0.1770495
           3496.2       0.1667031
           3496.6       0.1545174
            3497.       0.1440668
           3497.4       0.1404863
           3497.8       0.1548472
           3498.2       0.1839368
           3498.6       0.2162762
            3499.       0.2600848
           3499.4       0.2969126
           3499.8       0.2954055
           3500.2       0.2846813
           3500.6       0.2661361
            3501.       0.2655559
           3501.4        0.263211
           3501.8       0.2515531
           3502.2       0.2515109
           3502.6       0.2604988
            3503.        0.294041
           3503.4       0.3201507
           3503.8       0.3313973
           3504.2       0.3093057
           3504.6       0.2706839
            3505.       0.2492262
           3505.4       0.2371416
           3505.8       0.2291603
           3506.2          0.2261
           3506.6       0.2304333
            3507.       0.2420045
           3507.4       0.2554662
           3507.8        0.274054
           3508.2       0.2858062
           3508.6       0.2732556
            3509.       0.2672202
           3509.4       0.2326376
           3509.8       0.1937492
           3510.2        0.178365
           3510.6       0.1884052
            3511.       0.2123836
           3511.4       0.2346184
           3511.8       0.2274065
           3512.2       0.2099447
           3512.6       0.2005812
            3513.       0.1873597
           3513.4       0.1780161
           3513.8        0.166566
           3514.2       0.1532755
           3514.6       0.1485967
            3515.       0.1563315
           3515.4       0.1794976
           3515.8       0.2175148
           3516.2        0.248037
           3516.6       0.2529646
            3517.        0.273567
           3517.4       0.3038025
           3517.8       0.3192956
           3518.2       0.3131244
           3518.6       0.2929714
            3519.       0.2929386
           3519.4       0.2711295
           3519.8       0.2485036
           3520.2       0.2426465
           3520.6       0.2197256
            3521.       0.2038658
           3521.4       0.1888979
           3521.8       0.1881523
           3522.2       0.1996674
           3522.6       0.2134417
            3523.       0.1988107
           3523.4       0.1628335
           3523.8       0.1434082
           3524.2       0.1231705
           3524.6       0.1183072
            3525.       0.1384003
           3525.4       0.1428069
           3525.8        0.136781
           3526.2       0.1302201
           3526.6       0.1379658
            3527.        0.164374
           3527.4       0.2010409
           3527.8       0.2250763
           3528.2       0.2469975
           3528.6       0.2696694
            3529.       0.2712378
           3529.4        0.261798
           3529.8       0.2491716
           3530.2        0.242928
           3530.6       0.2524427
            3531.       0.2502459
           3531.4       0.2349769
           3531.8       0.2082897
           3532.2       0.1959314
           3532.6       0.1843392
            3533.       0.1824804
           3533.4       0.2154511
           3533.8       0.2521751
           3534.2       0.2675672
           3534.6       0.2806214
            3535.       0.2813503
           3535.4       0.2631958
           3535.8       0.2501507
           3536.2        0.251954
           3536.6        0.254717
            3537.       0.2451997
           3537.4        0.244761
           3537.8       0.2292429
           3538.2       0.2374209
           3538.6       0.2674547
            3539.       0.2943233
           3539.4       0.3152996
           3539.8       0.3108233
           3540.2       0.2880576
           3540.6       0.2542166
            3541.       0.2369408
           3541.4       0.2336227
           3541.8       0.2225899
           3542.2       0.2242948
           3542.6       0.2321686
            3543.       0.2444479
           3543.4       0.2525376
           3543.8       0.2650597
           3544.2       0.2841634
           3544.6       0.2843405
            3545.        0.269335
           3545.4       0.2637917
           3545.8       0.2598939
           3546.2       0.2616126
           3546.6       0.2649174
            3547.       0.2500029
           3547.4       0.2328442
           3547.8       0.2029533
           3548.2       0.2017001
           3548.6       0.2292643
            3549.       0.2585779
           3549.4       0.2732235
           3549.8       0.2677172
           3550.2       0.2507811
           3550.6       0.2347737
            3551.       0.2247337
           3551.4       0.2182505
           3551.8        0.224502
           3552.2       0.2356362
           3552.6       0.2364278
            3553.       0.2108226
           3553.4       0.1932228
           3553.8       0.1856388
           3554.2       0.1842966
           3554.6       0.1869297
            3555.       0.1993321
           3555.4       0.2242897
           3555.8       0.2389638
           3556.2       0.2343258
           3556.6       0.2229009
            3557.       0.2222513
           3557.4       0.2329562
           3557.8       0.2248378
           3558.2       0.1983818
           3558.6       0.1666939
            3559.       0.1744253
           3559.4       0.1967364
           3559.8       0.2067639
           3560.2       0.2148373
           3560.6       0.2048094
            3561.       0.1932806
           3561.4       0.2097568
           3561.8       0.2108066
           3562.2       0.2322367
           3562.6       0.2528082
            3563.       0.2742897
           3563.4       0.2778069
           3563.8       0.2683198
           3564.2       0.2250033
           3564.6       0.1818063
            3565.       0.1465069
           3565.4       0.1214137
           3565.8       0.1137803
           3566.2       0.1087961
           3566.6       0.1256209
            3567.       0.1679385
           3567.4       0.1912791
           3567.8        0.198154
           3568.2       0.1893298
           3568.6       0.1712925
            3569.       0.1478936
           3569.4       0.1187329
           3569.8        0.101658
           3570.2       0.1021699
           3570.6       0.1178636
            3571.       0.1429565
           3571.4       0.1572338
           3571.8       0.1621892
           3572.2       0.1773915
           3572.6       0.1973134
            3573.       0.2291774
           3573.4       0.2223118
           3573.8       0.2045048
           3574.2       0.2011043
           3574.6       0.2104805
            3575.       0.2054172
           3575.4       0.2033464
           3575.8       0.2054036
           3576.2       0.2136497
           3576.6       0.2304268
            3577.        0.230449
           3577.4       0.2138657
           3577.8       0.1862946
           3578.2       0.1661712
           3578.6        0.140595
            3579.       0.1351858
           3579.4       0.1432663
           3579.8       0.1489267
           3580.2        0.132958
           3580.6      0.09906676
            3581.      0.07794642
           3581.4      0.08183761
           3581.8      0.09020431
           3582.2      0.09762426
           3582.6        0.112241
            3583.       0.1213814
           3583.4       0.1312933
           3583.8       0.1324588
           3584.2       0.1212575
           3584.6       0.1077253
            3585.      0.09432302
           3585.4      0.08775907
           3585.8      0.08724219
           3586.2        0.094977
           3586.6       0.1102118
            3587.       0.1070646
           3587.4      0.09352342
           3587.8        0.114978
           3588.2       0.1435142
           3588.6        0.139747
            3589.       0.1335486
           3589.4       0.1100602
           3589.8       0.1326218
           3590.2       0.1642564
           3590.6       0.1929703
            3591.       0.2425472
           3591.4       0.2847012
           3591.8       0.2952143
           3592.2       0.2813722
           3592.6       0.2551199
            3593.        0.221135
           3593.4       0.1884038
           3593.8       0.1943506
           3594.2       0.2231674
           3594.6       0.2485434
            3595.        0.251886
           3595.4       0.2704934
           3595.8       0.2962992
           3596.2       0.3297816
           3596.6       0.3456355
            3597.       0.3320361
           3597.4       0.3206726
           3597.8       0.3152168
           3598.2       0.3088346
           3598.6       0.3097062
            3599.       0.2997289
           3599.4       0.3148493
           3599.8       0.3434503
           3600.2       0.3608689
           3600.6       0.3747723
            3601.       0.3656728
           3601.4       0.3226987
           3601.8       0.2764129
           3602.2       0.2358881
           3602.6        0.217634
            3603.       0.2268066
           3603.4       0.2312776
           3603.8       0.2284643
           3604.2       0.2273847
           3604.6       0.2201526
            3605.       0.2072697
           3605.4       0.1936077
           3605.8       0.2065568
           3606.2       0.2254534
           3606.6       0.2405324
            3607.       0.2572837
           3607.4       0.2669213
           3607.8       0.2391243
           3608.2        0.179698
           3608.6       0.1367929
            3609.       0.1271444
           3609.4       0.1328431
           3609.8       0.1425113
           3610.2       0.1538846
           3610.6       0.1797365
            3611.       0.2190578
           3611.4       0.2607394
           3611.8       0.2774221
           3612.2       0.2795472
           3612.6       0.2598049
            3613.       0.2277538
           3613.4       0.2111242
           3613.8       0.2142617
           3614.2       0.2356273
           3614.6       0.2728684
            3615.        0.310953
           3615.4       0.3235457
           3615.8       0.3193862
           3616.2       0.3152057
           3616.6       0.3003392
            3617.       0.2867596
           3617.4       0.2540289
