#K OBJECT   '186377'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 186377
#K OBJRA    19:42:44.61
#K OBJDEC   +32:25:36.3
#K OBJBMAG  6.039000E+00
#K OBJVMAG  5.935000E+00
#K SPTYPE   A5III
#K OBJRV    -7.300000E+00
#K HDNAME   HD 186377
#K BDNAME   BD+32 3531
#K HIPNAME  HIP 96977
#K SAONAME  SAO 68730
#K VHELIO   1.45708995814673E+01
#K VLSR     3.32127544930464E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.459317E+03
#K CMAX1    4.784493E+03
#K PICKTYPE A5III
#K NCOMBINE 4
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-8107.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.7079443
           3465.4       0.7175882
           3465.8       0.7191797
           3466.2       0.7536396
           3466.6       0.7731413
            3467.       0.7795316
           3467.4       0.7622576
           3467.8       0.7651772
           3468.2       0.7680944
           3468.6       0.7582604
            3469.       0.7539279
           3469.4       0.7556632
           3469.8       0.7722072
           3470.2       0.7813945
           3470.6       0.7632932
            3471.       0.7554941
           3471.4       0.7424985
           3471.8       0.7454329
           3472.2       0.7420937
           3472.6       0.7335967
            3473.       0.7151832
           3473.4       0.6881117
           3473.8       0.6607108
           3474.2       0.6463504
           3474.6       0.6401489
            3475.       0.6500112
           3475.4       0.6751581
           3475.8       0.6622356
           3476.2       0.6595491
           3476.6       0.6527735
            3477.       0.6477869
           3477.4       0.6523937
           3477.8        0.682136
           3478.2       0.7242293
           3478.6       0.7314361
            3479.       0.7349299
           3479.4       0.7329417
           3479.8       0.7132347
           3480.2       0.7047758
           3480.6       0.7066828
            3481.        0.719346
           3481.4       0.7132894
           3481.8       0.7134517
           3482.2       0.6965128
           3482.6        0.684241
            3483.       0.6674755
