#K OBJECT   '186675'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 186675
#K OBJRA    19:44:16.60
#K OBJDEC   +37:21:15.7
#K OBJBMAG  5.830000E+00
#K OBJVMAG  4.899000E+00
#K SPTYPE   G7III
#K OBJRV    -2.440000E+01
#K HDNAME   HD 186675
#K BDNAME   BD+37 3586
#K HIPNAME  HIP 97118
#K SAONAME  SAO 68778
#K VHELIO   1.34800770240329E+01
#K VLSR     3.20151514893500E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.459502E+03
#K CMAX1    4.784750E+03
#K PICKTYPE G8III
#K NCOMBINE 5
#K TEFF     4910  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.890000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -1.400000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     6800.6-6810.6

#      wavelength        spectrum
#       angstroms                

            3465.       0.2417962
           3465.4       0.2146816
           3465.8       0.1826198
           3466.2       0.1711916
           3466.6       0.1812697
            3467.       0.1993704
           3467.4       0.2172847
           3467.8       0.2300584
           3468.2        0.238488
           3468.6       0.2427134
            3469.       0.2339283
           3469.4        0.235923
           3469.8       0.2508608
           3470.2       0.2701903
           3470.6       0.2808591
            3471.       0.2704014
           3471.4       0.2425926
           3471.8       0.2164113
           3472.2       0.2055372
           3472.6       0.2018774
            3473.        0.194308
           3473.4       0.1909513
           3473.8       0.1885548
           3474.2       0.1737493
           3474.6       0.1664873
            3475.       0.1576222
           3475.4       0.1466471
           3475.8       0.1405012
           3476.2        0.134153
           3476.6       0.1315254
            3477.       0.1447218
           3477.4       0.1683183
           3477.8       0.1929201
           3478.2       0.2090878
           3478.6        0.210535
            3479.       0.2166616
           3479.4       0.2104721
           3479.8       0.2030755
           3480.2       0.1970364
           3480.6       0.1979316
            3481.       0.2030754
           3481.4       0.2079756
           3481.8       0.2182316
           3482.2       0.2107613
           3482.6       0.1881939
            3483.       0.1741149
           3483.4       0.1694729
           3483.8       0.1743396
           3484.2       0.1776866
           3484.6       0.1899147
            3485.       0.1850785
           3485.4       0.1792287
           3485.8       0.1867632
           3486.2       0.2082674
           3486.6       0.2480315
            3487.       0.2717592
           3487.4       0.2741072
           3487.8       0.2615463
           3488.2       0.2375465
           3488.6       0.2145087
            3489.       0.1893048
           3489.4       0.1678402
           3489.8       0.1545368
           3490.2       0.1475384
           3490.6       0.1404668
            3491.       0.1584661
           3491.4       0.1809156
           3491.8       0.1987892
           3492.2       0.1923881
           3492.6       0.1685856
            3493.       0.1554394
           3493.4       0.1714137
           3493.8       0.2015563
           3494.2       0.2184868
           3494.6       0.2241805
            3495.       0.2141212
           3495.4       0.2028537
           3495.8        0.179547
           3496.2       0.1560673
           3496.6       0.1489946
            3497.       0.1492124
           3497.4       0.1499509
           3497.8       0.1586505
           3498.2       0.1763733
           3498.6       0.2103538
            3499.       0.2542048
           3499.4       0.2827311
           3499.8       0.2903323
           3500.2       0.2790574
           3500.6       0.2702535
            3501.       0.2682101
           3501.4       0.2713338
           3501.8       0.2646211
           3502.2       0.2588908
           3502.6       0.2589227
            3503.       0.2912508
           3503.4        0.326666
           3503.8       0.3339153
           3504.2       0.3233896
           3504.6       0.2882068
            3505.       0.2429932
           3505.4       0.2266887
           3505.8       0.2211112
           3506.2       0.2185889
           3506.6       0.2168701
            3507.       0.2318641
           3507.4       0.2550249
           3507.8       0.2693588
           3508.2        0.276151
           3508.6       0.2760783
            3509.       0.2651941
           3509.4        0.239287
           3509.8       0.2109436
           3510.2       0.1948439
           3510.6       0.1906118
            3511.       0.2173176
           3511.4       0.2375381
           3511.8       0.2257965
           3512.2       0.2178918
           3512.6       0.2015205
            3513.       0.1864293
           3513.4       0.1701702
           3513.8       0.1682248
           3514.2       0.1681146
           3514.6       0.1608976
            3515.       0.1626942
           3515.4        0.180927
           3515.8       0.2207147
           3516.2        0.249322
           3516.6       0.2676281
            3517.       0.2846474
           3517.4        0.297964
           3517.8       0.3206707
           3518.2       0.3212107
           3518.6       0.2992268
            3519.       0.2894747
