#K OBJECT   '187811'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 187811
#K OBJRA    19:51:04.11
#K OBJDEC   +22:36:36.2
#K OBJBMAG  4.750000E+00
#K OBJVMAG  4.893000E+00
#K SPTYPE   B2.5Ve
#K OBJRV    -3.060000E+01
#K HDNAME   HD 187811
#K BDNAME   BD+22 3833
#K HIPNAME  HIP 97679
#K SAONAME  SAO 87813
#K VHELIO   1.70594423532813E+01
#K VLSR     3.51747185143588E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    5.464079E+03
#K CMAX1    6.796708E+03
#K PICKTYPE B3V
#K NCOMBINE 6
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0
#K GAPS     6797.4-6810.6

#      wavelength        spectrum
#       angstroms                

            3465.        2.815196
           3465.4        2.809075
           3465.8        2.881331
           3466.2        2.858458
           3466.6        2.861582
            3467.        2.842784
           3467.4          2.8586
           3467.8        2.877511
           3468.2         2.86421
           3468.6         2.86401
            3469.         2.88369
           3469.4        2.821198
           3469.8        2.780165
           3470.2        2.842108
           3470.6        2.873976
            3471.        2.842303
           3471.4        2.852356
           3471.8        2.867812
           3472.2        2.805385
           3472.6        2.787161
            3473.        2.838319
           3473.4        2.886403
           3473.8        2.845907
           3474.2        2.784558
           3474.6        2.782148
            3475.        2.811905
           3475.4        2.830752
           3475.8        2.823565
           3476.2        2.845902
           3476.6        2.887421
            3477.        2.872885
           3477.4        2.886468
           3477.8        2.837925
           3478.2        2.901917
           3478.6        2.841281
            3479.        2.844342
           3479.4        2.905975
           3479.8        2.862845
           3480.2        2.855316
           3480.6        2.873196
            3481.        2.863441
           3481.4        2.844328
           3481.8        2.834377
           3482.2        2.871792
           3482.6          2.8107
            3483.        2.810547
           3483.4         2.87243
           3483.8        2.827407
           3484.2        2.849324
           3484.6        2.860998
            3485.        2.850989
           3485.4        2.843953
           3485.8         2.85264
           3486.2         2.88705
           3486.6        2.894795
            3487.        2.844839
           3487.4        2.820052
           3487.8        2.837302
           3488.2        2.820726
           3488.6        2.884475
            3489.        2.905622
           3489.4        2.871715
           3489.8         2.83463
           3490.2        2.846105
           3490.6        2.803146
            3491.         2.82707
           3491.4        2.862557
           3491.8        2.803354
           3492.2        2.803878
           3492.6        2.850525
            3493.        2.830627
           3493.4        2.835877
           3493.8        2.857304
           3494.2        2.884715
           3494.6        2.855491
            3495.        2.831855
           3495.4        2.814876
           3495.8         2.81714
           3496.2        2.816171
           3496.6        2.817487
            3497.         2.81838
           3497.4        2.785357
           3497.8        2.772236
           3498.2        2.804707
           3498.6        2.789423
            3499.        2.785211
           3499.4          2.8227
           3499.8        2.763339
           3500.2        2.765478
           3500.6         2.74727
            3501.        2.772486
           3501.4        2.817125
           3501.8        2.811079
           3502.2         2.80194
           3502.6         2.79082
            3503.        2.774891
           3503.4        2.809544
           3503.8        2.812446
           3504.2        2.753857
           3504.6         2.77083
            3505.        2.794585
           3505.4         2.77475
           3505.8        2.781884
           3506.2        2.819396
           3506.6        2.776643
            3507.        2.703963
           3507.4        2.723065
           3507.8        2.752547
           3508.2        2.732724
           3508.6        2.778281
            3509.        2.830607
           3509.4        2.784279
           3509.8        2.784979
           3510.2         2.75006
           3510.6         2.73661
            3511.        2.761235
           3511.4        2.744539
           3511.8        2.730826
           3512.2        2.706306
           3512.6         2.69384
            3513.        2.743559
           3513.4        2.743048
           3513.8        2.717092
           3514.2        2.774695
           3514.6        2.740893
            3515.        2.756095
