#K OBJECT   '188947'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 188947
#K OBJRA    19:56:18.37
#K OBJDEC   +35:05:00.3
#K OBJBMAG  4.921000E+00
#K OBJVMAG  3.909000E+00
#K SPTYPE   K0III
#K OBJRV    -2.650000E+01
#K HDNAME   HD 188947
#K BDNAME   BD+34 3798
#K HIPNAME  HIP 98110
#K SAONAME  SAO 69116
#K VHELIO   1.59214340682080E+01
#K VLSR     3.41700666001879E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.446199E+03
#K CMAX1    4.771999E+03
#K PICKTYPE K0III
#K NCOMBINE 5
#K TEFF     4800  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.760000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -9.000000E-02  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     5415.8-5462.6,6800.6-6811.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.2179707
           3465.4       0.1804646
           3465.8       0.1424328
           3466.2       0.1368627
           3466.6        0.151262
            3467.        0.171946
           3467.4       0.1923904
           3467.8       0.2108805
           3468.2       0.2200163
           3468.6       0.2154579
            3469.       0.2039686
           3469.4       0.2056455
           3469.8       0.2273229
           3470.2       0.2572282
           3470.6       0.2704244
            3471.       0.2544641
           3471.4       0.2238627
           3471.8       0.1944568
           3472.2       0.1741662
           3472.6       0.1679333
            3473.       0.1743757
           3473.4       0.1723846
           3473.8       0.1616886
           3474.2       0.1507754
           3474.6       0.1398955
            3475.       0.1245618
           3475.4       0.1099076
           3475.8       0.1067235
           3476.2       0.1097157
           3476.6       0.1097528
            3477.       0.1186909
           3477.4        0.146446
           3477.8       0.1791248
           3478.2       0.1945059
           3478.6       0.1964951
            3479.       0.1997735
           3479.4       0.1954327
           3479.8       0.1863028
           3480.2       0.1790257
           3480.6       0.1767169
            3481.       0.1814011
           3481.4       0.1908133
           3481.8       0.1970091
           3482.2       0.1923023
           3482.6       0.1766987
            3483.        0.156467
           3483.4       0.1429264
           3483.8       0.1494699
           3484.2       0.1672402
           3484.6       0.1731927
            3485.       0.1604374
           3485.4       0.1545153
           3485.8        0.162711
           3486.2       0.1885491
           3486.6       0.2244623
            3487.       0.2506377
           3487.4       0.2566122
           3487.8       0.2399375
           3488.2       0.2183737
           3488.6       0.1853285
            3489.       0.1586888
           3489.4       0.1448409
           3489.8       0.1340366
           3490.2       0.1189489
           3490.6       0.1088238
            3491.       0.1223439
           3491.4       0.1515187
           3491.8       0.1688739
           3492.2       0.1592004
           3492.6       0.1352011
            3493.       0.1263609
           3493.4       0.1446661
           3493.8       0.1803277
           3494.2       0.2065327
           3494.6       0.2194735
            3495.       0.2117777
           3495.4       0.1884451
           3495.8       0.1602576
           3496.2       0.1414451
           3496.6       0.1325345
            3497.       0.1266359
           3497.4       0.1241953
           3497.8       0.1321802
           3498.2       0.1587571
           3498.6       0.2002605
            3499.       0.2420069
           3499.4       0.2755307
           3499.8       0.2838387
           3500.2       0.2627531
           3500.6       0.2484452
            3501.       0.2520715
           3501.4       0.2578372
           3501.8       0.2473942
           3502.2       0.2301926
           3502.6       0.2379942
            3503.       0.2759773
           3503.4       0.3158455
           3503.8       0.3333892
           3504.2       0.3159091
           3504.6       0.2715855
