#K OBJECT   '190172'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 190172
#K OBJRA    20:04:01.20
#K OBJDEC   -07:28:10.1
#K OBJBMAG  7.070000E+00
#K OBJVMAG  6.720000E+00
#K SPTYPE   F4III
#K HDNAME   HD 190172
#K BDNAME   BD-07 5159
#K HIPNAME  HIP 98809
#K SAONAME  SAO 144038
#K VHELIO   2.20066664703838E+01
#K VLSR     3.55725276649771E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.458787E+03
#K CMAX1    4.783957E+03
#K PICKTYPE F5III
#K NCOMBINE 4
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-8107.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.5900699
           3465.4       0.6123518
           3465.8       0.6014042
           3466.2       0.5847072
           3466.6        0.624974
            3467.       0.6303373
           3467.4       0.6138867
           3467.8        0.597303
           3468.2        0.616159
           3468.6       0.6477867
            3469.       0.6026676
           3469.4       0.6056496
           3469.8       0.6245502
           3470.2       0.6554842
           3470.6       0.6945984
            3471.       0.6511182
           3471.4       0.6279989
           3471.8       0.5772157
           3472.2       0.6087926
           3472.6         0.62647
            3473.       0.6328073
           3473.4         0.62957
           3473.8          0.5628
           3474.2       0.5216401
           3474.6       0.5483294
            3475.       0.5102926
           3475.4       0.4767843
           3475.8       0.4919627
           3476.2       0.4739148
           3476.6       0.4913221
            3477.       0.5067791
           3477.4       0.5481135
           3477.8       0.5930367
           3478.2       0.6286604
           3478.6       0.6068169
            3479.       0.6311014
           3479.4        0.636926
           3479.8        0.585074
           3480.2       0.5812705
           3480.6       0.5985623
            3481.       0.5911947
           3481.4       0.6183308
           3481.8       0.6445247
           3482.2       0.6092325
           3482.6        0.566431
            3483.       0.5625266
           3483.4       0.5553855
           3483.8       0.5414152
           3484.2        0.574952
           3484.6       0.5999537
            3485.       0.6232138
           3485.4       0.6245102
           3485.8       0.6030468
           3486.2       0.6340955
           3486.6       0.6812399
            3487.       0.6682948
           3487.4       0.6724209
           3487.8       0.6901268
           3488.2       0.6326436
           3488.6       0.5834606
            3489.       0.5562248
           3489.4       0.5671641
           3489.8       0.5811855
           3490.2       0.5556131
           3490.6       0.5439131
            3491.       0.5580132
           3491.4       0.5833442
           3491.8       0.6324146
           3492.2       0.6302261
           3492.6       0.5513618
            3493.       0.5529741
           3493.4       0.6164497
           3493.8       0.6302938
           3494.2       0.6044346
           3494.6       0.5990234
            3495.       0.5985825
           3495.4       0.5063276
           3495.8       0.4528154
           3496.2       0.4678512
           3496.6       0.4922093
            3497.       0.5063812
           3497.4       0.5063965
           3497.8       0.5372012
           3498.2       0.5950544
           3498.6       0.6269992
            3499.       0.6514481
           3499.4       0.6688412
           3499.8        0.659684
           3500.2       0.6346365
           3500.6       0.6197283
            3501.       0.6057644
           3501.4       0.6012561
           3501.8       0.6117371
           3502.2       0.6235792
           3502.6       0.6259255
            3503.       0.6313474
           3503.4       0.6779897
           3503.8       0.7279614
           3504.2       0.6702541
           3504.6       0.5871025
            3505.       0.5901051
           3505.4       0.6107031
           3505.8       0.5910239
           3506.2       0.5953651
           3506.6       0.6419876
            3507.       0.6543366
           3507.4       0.6380089
           3507.8       0.6366088
           3508.2       0.6483971
           3508.6       0.6678618
            3509.       0.6776664
           3509.4       0.6738911
           3509.8       0.5925651
           3510.2       0.5992894
           3510.6       0.5817038
            3511.       0.5738457
           3511.4       0.6445434
           3511.8       0.6617513
           3512.2       0.6465861
           3512.6       0.6388533
            3513.       0.6202591
           3513.4       0.5930208
           3513.8       0.5691167
           3514.2       0.5879223
           3514.6       0.5879862
            3515.        0.625163
           3515.4       0.6869624
           3515.8        0.678131
           3516.2       0.7041176
           3516.6       0.6793884
            3517.       0.6511832
