#K OBJECT   '191243'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 191243
#K OBJRA    20:07:41.44
#K OBJDEC   +34:25:22.5
#K OBJBMAG  6.255000E+00
#K OBJVMAG  6.152000E+00
#K SPTYPE   B5Ib
#K OBJRV    1.030000E+01
#K HDNAME   HD 191243
#K BDNAME   BD+34 3881
#K HIPNAME  HIP 99145
#K SAONAME  SAO 69457
#K VHELIO   1.58742580832485E+01
#K VLSR     3.37791383546165E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.784575E+03
#K CMAX1    8.120519E+03
#K PICKTYPE B5I
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9451.4

#      wavelength        spectrum
#       angstroms                

            3465.        2.639292
           3465.4        2.638866
           3465.8        2.631057
           3466.2        2.616189
           3466.6         2.63605
            3467.        2.661986
           3467.4        2.651353
           3467.8        2.666928
           3468.2        2.607533
           3468.6        2.641091
            3469.        2.632664
           3469.4        2.640002
           3469.8        2.627901
           3470.2        2.633939
           3470.6        2.634901
            3471.        2.579237
           3471.4        2.572152
           3471.8        2.602581
           3472.2        2.575288
           3472.6        2.586095
            3473.        2.620867
           3473.4        2.686132
           3473.8        2.633939
           3474.2        2.555644
           3474.6        2.586178
            3475.        2.632553
           3475.4        2.630029
           3475.8        2.560594
           3476.2         2.59688
           3476.6        2.623149
            3477.        2.564878
           3477.4         2.59505
           3477.8        2.576802
           3478.2        2.543563
           3478.6        2.521377
            3479.        2.595387
           3479.4        2.538251
           3479.8        2.551533
           3480.2        2.591088
           3480.6        2.614166
            3481.        2.638318
           3481.4         2.61256
           3481.8        2.569533
           3482.2        2.605829
           3482.6        2.615785
            3483.        2.547858
           3483.4         2.57137
           3483.8        2.569346
           3484.2        2.599258
           3484.6        2.591507
            3485.        2.560258
           3485.4        2.566874
           3485.8         2.60176
           3486.2        2.587325
           3486.6        2.598957
            3487.        2.600319
           3487.4        2.527849
           3487.8        2.535668
           3488.2        2.574655
           3488.6        2.513191
            3489.        2.580965
           3489.4        2.560754
           3489.8         2.50651
           3490.2        2.573272
           3490.6        2.570243
            3491.        2.521102
           3491.4        2.571074
           3491.8        2.593184
           3492.2        2.524297
           3492.6        2.490686
            3493.        2.500438
           3493.4        2.499564
           3493.8        2.508975
           3494.2        2.518095
           3494.6        2.558129
            3495.        2.534846
           3495.4         2.50816
           3495.8        2.533257
           3496.2        2.566283
           3496.6        2.547579
            3497.         2.53021
           3497.4        2.550242
           3497.8        2.557198
           3498.2        2.547092
           3498.6        2.537403
            3499.        2.518638
           3499.4        2.513088
           3499.8        2.531591
           3500.2        2.619705
           3500.6        2.530278
            3501.        2.519169
           3501.4        2.543242
           3501.8        2.520914
