#K OBJECT   '19476'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 19476
#K OBJRA    03:09:29.77
#K OBJDEC   +44:51:27.2
#K OBJBMAG  4.780000E+00
#K OBJVMAG  3.800000E+00
#K SPTYPE   K0III
#K OBJRV    2.920000E+01
#K HDNAME   HD 19476
#K BDNAME   BD+44 631
#K HIPNAME  HIP 14668
#K SAONAME  SAO 38609
#K VHELIO   -2.70781274570973E+01
#K VLSR     -2.89157639136810E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.435155E+03
#K CMAX1    4.763199E+03
#K PICKTYPE K0III
#K NCOMBINE 6
#K TEFF     4940  1990ApJS...74.1075M (McWilliam)
#K LOGG     3.080000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      4.000000E-02  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     8126.2-8145.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.2264198
           3465.4       0.1908059
           3465.8       0.1563866
           3466.2       0.1458414
           3466.6       0.1546926
            3467.       0.1736439
           3467.4        0.195385
           3467.8       0.2136344
           3468.2       0.2254701
           3468.6       0.2259549
            3469.       0.2157075
           3469.4       0.2128446
           3469.8       0.2309808
           3470.2       0.2591437
           3470.6       0.2770275
            3471.       0.2677096
           3471.4       0.2392053
           3471.8        0.206067
           3472.2        0.184696
           3472.6       0.1779267
            3473.       0.1809018
           3473.4       0.1836863
           3473.8       0.1760781
           3474.2       0.1634931
           3474.6       0.1529812
            3475.       0.1378192
           3475.4       0.1220219
           3475.8       0.1132175
           3476.2        0.114297
           3476.6       0.1142944
            3477.       0.1228202
           3477.4         0.15037
           3477.8       0.1800585
           3478.2       0.1968472
           3478.6       0.2047032
            3479.       0.2079551
           3479.4          0.2062
           3479.8        0.200713
           3480.2       0.1928621
           3480.6       0.1882315
            3481.       0.1883046
           3481.4       0.1899961
           3481.8       0.1994132
           3482.2       0.1969608
           3482.6       0.1831971
            3483.       0.1636728
           3483.4       0.1483508
           3483.8       0.1496893
           3484.2         0.16256
           3484.6       0.1688016
            3485.       0.1624755
           3485.4       0.1568597
           3485.8       0.1659876
           3486.2       0.1910242
           3486.6       0.2194934
            3487.         0.24593
           3487.4       0.2551978
           3487.8       0.2454187
           3488.2       0.2199506
           3488.6       0.1926591
            3489.       0.1682932
           3489.4       0.1503457
           3489.8       0.1389121
           3490.2       0.1236538
           3490.6       0.1154748
            3491.       0.1254652
           3491.4       0.1469558
           3491.8       0.1672315
           3492.2       0.1665408
           3492.6       0.1445116
            3493.        0.128647
           3493.4        0.138737
           3493.8       0.1679377
           3494.2       0.1984398
           3494.6       0.2170035
            3495.       0.2173517
           3495.4       0.1979463
           3495.8       0.1691702
           3496.2       0.1497372
           3496.6       0.1371076
            3497.       0.1300256
           3497.4        0.127903
           3497.8        0.131511
           3498.2       0.1536965
           3498.6       0.1931663
            3499.       0.2356202
           3499.4       0.2711245
           3499.8        0.286546
           3500.2       0.2733839
           3500.6       0.2519751
            3501.       0.2513479
           3501.4       0.2643818
           3501.8       0.2604071
           3502.2       0.2415152
           3502.6       0.2409464
            3503.       0.2722549
           3503.4       0.3098648
           3503.8       0.3338089
           3504.2       0.3188369
           3504.6       0.2795298
            3505.       0.2422999
           3505.4       0.2221847
           3505.8       0.2183769
           3506.2       0.2100543
           3506.6       0.2055645
            3507.       0.2192774
           3507.4       0.2444536
           3507.8       0.2626867
           3508.2       0.2677667
           3508.6       0.2689504
            3509.       0.2556227
           3509.4       0.2297939
           3509.8       0.1941393
           3510.2       0.1666534
           3510.6       0.1689743
            3511.       0.1927608
           3511.4        0.215789
           3511.8       0.2184306
           3512.2        0.198456
           3512.6       0.1844992
            3513.       0.1705154
           3513.4       0.1581696
           3513.8       0.1430713
           3514.2       0.1350678
           3514.6       0.1315871
            3515.       0.1331925
           3515.4       0.1519051
           3515.8       0.1888502
           3516.2       0.2238815
           3516.6       0.2426802
            3517.        0.258878
           3517.4       0.2836649
           3517.8       0.3037866
           3518.2       0.3008495
           3518.6        0.284416
            3519.       0.2766095
           3519.4       0.2630936
           3519.8       0.2398486
           3520.2       0.2181424
           3520.6       0.2043999
            3521.       0.1855937
           3521.4       0.1630076
           3521.8       0.1608527
           3522.2       0.1761678
           3522.6       0.1843263
            3523.       0.1728491
           3523.4       0.1506221
           3523.8       0.1292647
           3524.2       0.1102475
           3524.6       0.1024492
            3525.       0.1119346
           3525.4       0.1250197
           3525.8       0.1190309
           3526.2       0.1040741
           3526.6       0.1113425
            3527.       0.1464539
           3527.4        0.184426
           3527.8       0.2049948
           3528.2       0.2233956
           3528.6       0.2478934
            3529.        0.256022
           3529.4        0.248088
           3529.8       0.2301959
           3530.2       0.2236692
           3530.6       0.2262591
            3531.       0.2265865
           3531.4        0.214901
           3531.8       0.1931587
           3532.2       0.1739267
           3532.6       0.1647948
            3533.       0.1676364
           3533.4       0.1797673
           3533.8       0.2142682
           3534.2       0.2490404
           3534.6       0.2611107
            3535.       0.2546055
           3535.4       0.2451566
           3535.8       0.2392583
           3536.2       0.2369129
           3536.6       0.2360413
            3537.       0.2330391
           3537.4       0.2232192
           3537.8       0.2106038
           3538.2       0.2101653
           3538.6       0.2286474
            3539.       0.2597331
           3539.4       0.2807744
           3539.8       0.2867235
           3540.2       0.2676412
           3540.6       0.2407604
            3541.       0.2203635
           3541.4        0.210724
           3541.8       0.2072528
           3542.2       0.2030328
           3542.6       0.2014928
            3543.       0.2077759
           3543.4       0.2174871
           3543.8        0.230178
           3544.2       0.2482811
           3544.6       0.2563769
            3545.       0.2505582
           3545.4       0.2435051
           3545.8       0.2313642
           3546.2       0.2284839
           3546.6       0.2306738
            3547.       0.2203254
           3547.4       0.2005247
           3547.8        0.181228
           3548.2       0.1772148
           3548.6       0.2003321
            3549.       0.2275498
           3549.4       0.2415661
           3549.8       0.2390549
           3550.2       0.2215731
           3550.6        0.203967
            3551.       0.1914705
           3551.4       0.1868266
           3551.8       0.1903658
           3552.2       0.1982997
           3552.6       0.1990509
            3553.       0.1864727
           3553.4       0.1696319
           3553.8       0.1570411
           3554.2       0.1509506
           3554.6       0.1544259
            3555.       0.1658866
           3555.4       0.1903647
           3555.8       0.2146178
           3556.2       0.2128532
           3556.6       0.1949257
            3557.       0.1829725
           3557.4       0.1887097
           3557.8       0.1895438
           3558.2       0.1664046
           3558.6       0.1417469
            3559.       0.1395242
           3559.4        0.152587
           3559.8       0.1651686
           3560.2       0.1722362
           3560.6       0.1720134
            3561.       0.1682519
           3561.4        0.166719
           3561.8       0.1667545
           3562.2       0.1773166
           3562.6        0.200005
            3563.       0.2206629
           3563.4       0.2309158
           3563.8       0.2282042
           3564.2       0.2034519
           3564.6       0.1604877
            3565.       0.1209319
           3565.4      0.09304368
           3565.8      0.08374335
           3566.2      0.08652774
           3566.6       0.1016865
            3567.       0.1278898
           3567.4       0.1531286
           3567.8       0.1649534
           3568.2       0.1642198
           3568.6       0.1526912
            3569.       0.1290891
           3569.4       0.1011509
           3569.8      0.08142847
           3570.2      0.07755069
           3570.6      0.09172563
            3571.       0.1153617
           3571.4       0.1302416
           3571.8        0.135529
           3572.2       0.1430537
           3572.6        0.168746
            3573.       0.1944734
           3573.4       0.1954441
           3573.8       0.1820998
           3574.2       0.1760227
           3574.6       0.1783087
            3575.       0.1773979
           3575.4       0.1725387
           3575.8       0.1784556
           3576.2       0.1871535
           3576.6       0.1915013
            3577.       0.1902379
           3577.4       0.1815957
           3577.8       0.1616598
           3578.2       0.1353267
           3578.6       0.1119604
            3579.       0.1057737
           3579.4       0.1121442
           3579.8       0.1120992
           3580.2       0.1006037
           3580.6      0.07986777
            3581.      0.06022629
           3581.4      0.05223684
           3581.8      0.05735373
           3582.2      0.07059147
           3582.6       0.0820544
            3583.      0.09153081
           3583.4      0.09667718
           3583.8      0.09587589
           3584.2      0.09163953
           3584.6      0.08388884
            3585.      0.07155818
           3585.4      0.06326529
           3585.8      0.06784051
           3586.2      0.07788303
           3586.6      0.08446784
            3587.      0.07968177
           3587.4      0.08154838
           3587.8       0.0920935
           3588.2       0.1004125
           3588.6       0.1029074
            3589.       0.0981845
           3589.4      0.09206705
           3589.8       0.0920512
           3590.2       0.1101536
           3590.6       0.1525014
            3591.       0.1991696
           3591.4       0.2295784
           3591.8       0.2402389
           3592.2       0.2394296
           3592.6       0.2216365
            3593.       0.1870023
           3593.4       0.1598034
           3593.8       0.1615418
           3594.2       0.1851457
           3594.6       0.2049017
            3595.       0.2163088
           3595.4       0.2282168
           3595.8       0.2480396
           3596.2       0.2792218
           3596.6       0.3074501
            3597.       0.3187504
           3597.4       0.2926644
           3597.8       0.2660068
           3598.2       0.2669664
           3598.6       0.2803725
            3599.       0.2821563
           3599.4       0.2834969
           3599.8       0.2988033
           3600.2       0.3232765
           3600.6       0.3405896
            3601.       0.3351921
           3601.4       0.3069553
