#K OBJECT   '19510'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 19510
#K OBJRA    03:08:30.88
#K OBJDEC   +10:26:45.2
#K OBJBMAG  1.006000E+01
#K OBJVMAG  9.630000E+00
#K SPTYPE   A0
#K OBJRV    -40
#K HDNAME   HD 19510
#K BDNAME   BD+09 398
#K HIPNAME  HIP 14601
#K SAONAME  SAO 93297
#K VHELIO   1.30070134368752E+01
#K VLSR     2.53238966980120E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.454027E+03
#K CMAX1    4.778893E+03
#K PICKTYPE A0V
#K NCOMBINE 5
#K TEFF     6109  1995AJ....110.2319C (Clementini)
#K LOGG     2.600000E+00  1995AJ....110.2319C (Clementini)
#K FEH      -2.500000E+00  1995AJ....110.2319C (Clementini)
#K COVERAGE 3465.0-9469.0
#K GAPS     6791.4-6812.2
#K OBSTITLE X_Ari

#      wavelength        spectrum
#       angstroms                

            3465.        0.918456
           3465.4       0.9359622
           3465.8       0.9142265
           3466.2       0.8910995
           3466.6       0.9003487
            3467.       0.9398745
           3467.4       0.9502201
           3467.8       0.9152042
           3468.2       0.9401776
           3468.6       0.9655769
            3469.       0.9658709
           3469.4       0.9739614
           3469.8       0.9573715
           3470.2       0.9608583
           3470.6       0.9657369
            3471.       0.9336034
           3471.4       0.9586141
           3471.8       0.9278155
           3472.2       0.9098434
           3472.6       0.9184841
            3473.       0.8804696
           3473.4       0.9307045
           3473.8       0.9141748
           3474.2       0.8849955
           3474.6         0.88537
            3475.       0.8737506
           3475.4       0.8687529
           3475.8       0.8702623
           3476.2        0.858628
           3476.6       0.8382199
            3477.       0.8004805
           3477.4       0.7923746
           3477.8       0.8384461
           3478.2       0.9111272
           3478.6       0.9561655
            3479.         1.00649
           3479.4        1.010904
           3479.8       0.9734521
           3480.2       0.9451487
           3480.6       0.9571361
            3481.       0.9318912
           3481.4       0.9063797
           3481.8       0.9790921
           3482.2       0.9882153
           3482.6       0.9709839
            3483.       0.9651779
           3483.4       0.9330333
           3483.8        0.897117
           3484.2       0.9216279
           3484.6       0.9336705
            3485.       0.9506779
           3485.4       0.9949865
           3485.8        1.000747
           3486.2       0.9543034
           3486.6       0.9396291
            3487.       0.9700708
           3487.4       0.9606289
           3487.8       0.9357378
           3488.2       0.9527163
           3488.6       0.9477106
            3489.       0.9591767
           3489.4       0.9179856
           3489.8       0.9112087
           3490.2       0.8820467
           3490.6       0.8564167
            3491.       0.8041276
           3491.4       0.8249411
           3491.8       0.9158915
           3492.2       0.9278114
           3492.6       0.9458485
            3493.       0.9147095
           3493.4       0.9100407
           3493.8       0.9208145
           3494.2       0.9160246
           3494.6       0.9425765
            3495.       0.9925218
           3495.4       0.9277048
           3495.8       0.8993821
           3496.2       0.9198774
           3496.6       0.8987924
            3497.       0.8970346
           3497.4       0.9055975
           3497.8       0.9129443
           3498.2       0.9571748
           3498.6       0.9041569
            3499.       0.9080787
           3499.4       0.9704458
           3499.8       0.9318824
           3500.2       0.9477964
           3500.6       0.9550092
            3501.       0.9279357
           3501.4       0.9147518
           3501.8       0.9412034
           3502.2       0.9493701
           3502.6       0.9346557
            3503.       0.9567936
           3503.4       0.9564902
           3503.8        0.958777
           3504.2       0.9728428
           3504.6       0.9612722
            3505.       0.9167393
           3505.4       0.9354396
           3505.8       0.9426728
           3506.2       0.9395362
           3506.6       0.9247293
            3507.       0.9195278
           3507.4        0.936711
           3507.8       0.9559851
           3508.2       0.9694776
           3508.6       0.9597195
            3509.       0.9576752
           3509.4       0.9688705
           3509.8       0.9540838
           3510.2       0.9306388
           3510.6       0.8842328
            3511.        0.224457
           3511.4       0.5717503
           3511.8       0.9911607
           3512.2       0.9355641
           3512.6       0.9418758
            3513.        0.931887
           3513.4       0.9475185
           3513.8       0.9237148
           3514.2       0.8750397
           3514.6       0.9013937
            3515.       0.8925884
           3515.4       0.9023961
           3515.8       0.9117599
           3516.2       0.9025853
           3516.6       0.9453712
            3517.       0.9633743
           3517.4       0.9369593
           3517.8       0.9616722
           3518.2       0.9935041
           3518.6        0.995987
            3519.       0.9881619
           3519.4       0.9225274
           3519.8       0.9273805
           3520.2       0.9133626
           3520.6        0.916249
            3521.       0.9122379
           3521.4       0.8777431
