#K OBJECT   '195633'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 195633
#K OBJRA    20:32:23.99
#K OBJDEC   +06:31:03.3
#K OBJBMAG  9.030000E+00
#K OBJVMAG  8.540000E+00
#K SPTYPE   G0Vw
#K HDNAME   HD 195633
#K BDNAME   BD+06 4557
#K HIPNAME  HIP 101346
#K SAONAME  SAO 125916
#K VHELIO   -2.61188950672588E+01
#K VLSR     -1.12659258377006E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.450100E+03
#K CMAX1    4.775741E+03
#K PICKTYPE G0V
#K NCOMBINE 4
#K TEFF     6000  2000AJ....120.1841F (Fulbright)
#K LOGG     3.900000E+00  2000AJ....120.1841F (Fulbright)
#K FEH      -6.500000E-01  2000AJ....120.1841F (Fulbright)
#K COVERAGE 3465.0-8071.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.5619979
           3465.4         0.51511
           3465.8       0.4941922
           3466.2       0.5098819
           3466.6       0.5363136
            3467.       0.5599842
           3467.4        0.568218
           3467.8        0.580356
           3468.2       0.5711089
           3468.6       0.5623673
            3469.       0.5462652
           3469.4       0.5549751
           3469.8       0.5801716
           3470.2        0.602528
           3470.6       0.5995621
            3471.       0.5791512
           3471.4       0.5679783
           3471.8       0.5501537
           3472.2       0.5424479
           3472.6       0.5385776
            3473.       0.5309729
           3473.4       0.5196508
           3473.8       0.4966317
           3474.2       0.4835756
           3474.6       0.4767992
            3475.       0.4641179
           3475.4       0.4440847
           3475.8       0.4303286
           3476.2       0.4314578
           3476.6        0.431507
            3477.        0.442288
           3477.4       0.4915723
           3477.8       0.5272531
           3478.2       0.5389922
           3478.6       0.5590751
            3479.       0.5605786
           3479.4        0.552453
           3479.8       0.5526454
           3480.2       0.5495431
           3480.6       0.5557811
            3481.       0.5635946
           3481.4       0.5644054
           3481.8       0.5656613
           3482.2       0.5508215
           3482.6       0.5203526
            3483.       0.4988998
           3483.4       0.4922557
           3483.8       0.4876687
           3484.2       0.5192702
           3484.6       0.5282009
            3485.       0.5238743
           3485.4       0.5254564
           3485.8       0.5392624
           3486.2       0.5660803
           3486.6       0.6037424
            3487.       0.6198284
           3487.4       0.6021096
           3487.8       0.5874562
           3488.2       0.5637054
           3488.6       0.5373245
            3489.       0.5161387
           3489.4       0.4962559
           3489.8       0.4789742
           3490.2       0.4647407
           3490.6       0.4573023
            3491.       0.4885444
           3491.4       0.5248047
           3491.8       0.5454909
           3492.2       0.5480448
           3492.6       0.5153649
            3493.       0.4866578
           3493.4       0.5011776
           3493.8       0.5375748
           3494.2       0.5480699
           3494.6       0.5468966
            3495.       0.5047594
           3495.4       0.4586461
           3495.8       0.4426296
           3496.2       0.4410062
           3496.6       0.4391134
            3497.       0.4427372
           3497.4       0.4568818
           3497.8       0.4804378
           3498.2        0.521085
           3498.6       0.5785741
            3499.       0.6154088
           3499.4       0.6136753
