#K OBJECT   '195725'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 195725
#K OBJRA    20:29:34.89
#K OBJDEC   +62:59:38.8
#K OBJBMAG  4.420000E+00
#K OBJVMAG  4.220000E+00
#K SPTYPE   A7III
#K OBJRV    -6.800000E+00
#K HDNAME   HD 195725
#K BDNAME   BD+62 1821
#K HIPNAME  HIP 101093
#K SAONAME  SAO 18897
#K VHELIO   7.57882631510031E+00
#K VLSR     2.28152833629873E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.458791E+03
#K CMAX1    4.783966E+03
#K PICKTYPE A7III
#K NCOMBINE 4
#K TEFF     8400  1971A&A....11..325S (Smith)
#K LOGG     4.000000E+00  1971A&A....11..325S (Smith)
#K FEH      1.300000E-01  1971A&A....11..325S (Smith)
#K COVERAGE 3465.0-8071.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.6695387
           3465.4       0.6708513
           3465.8       0.6672117
           3466.2       0.6662254
           3466.6        0.698586
            3467.       0.7109528
           3467.4       0.7124264
           3467.8       0.7034997
           3468.2       0.7082406
           3468.6       0.7099946
            3469.       0.7050905
           3469.4       0.7080256
           3469.8        0.716259
           3470.2       0.7332654
           3470.6       0.7460507
            3471.       0.7201344
           3471.4       0.6838493
           3471.8       0.6786124
           3472.2       0.6703764
           3472.6       0.6731558
            3473.       0.6821291
           3473.4        0.661205
           3473.8       0.6354535
           3474.2       0.6093946
           3474.6       0.6038279
            3475.       0.5798352
           3475.4       0.5606325
           3475.8       0.5872154
           3476.2       0.5979491
           3476.6       0.5845474
            3477.       0.5923938
           3477.4       0.6245402
           3477.8       0.6524878
           3478.2       0.6806502
           3478.6       0.6578697
            3479.       0.6797332
           3479.4       0.6602126
           3479.8       0.6605559
           3480.2        0.685685
           3480.6       0.6762213
            3481.       0.6763337
           3481.4         0.68872
           3481.8       0.6761935
           3482.2        0.671427
           3482.6       0.6581855
            3483.       0.6159125
           3483.4        0.601824
           3483.8       0.6163209
           3484.2       0.6380371
           3484.6       0.6627018
            3485.       0.6942757
           3485.4        0.709349
           3485.8       0.7201237
           3486.2       0.7386715
           3486.6        0.754081
            3487.       0.7605852
           3487.4       0.7521848
