#K OBJECT   '19787'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 19787
#K OBJRA    03:11:37.77
#K OBJDEC   +19:43:36.0
#K OBJBMAG  5.376000E+00
#K OBJVMAG  4.350000E+00
#K SPTYPE   K2III
#K OBJRV    2.470000E+01
#K HDNAME   HD 19787
#K BDNAME   BD+19 477
#K HIPNAME  HIP 14838
#K SAONAME  SAO 93328
#K VHELIO   -2.97871359213077E+01
#K VLSR     -3.83219343133931E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.789727E+03
#K CMAX1    8.125073E+03
#K PICKTYPE K2III
#K NCOMBINE 6
#K TEFF     4810  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.930000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -3.000000E-02  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     8125.8-8145.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.1296909
           3465.4       0.1149447
           3465.8      0.08887672
           3466.2      0.07758017
           3466.6      0.08863112
            3467.       0.1003851
           3467.4       0.1147069
           3467.8        0.126034
           3468.2       0.1316694
           3468.6       0.1298195
            3469.       0.1222737
           3469.4       0.1245416
           3469.8       0.1387962
           3470.2       0.1585543
           3470.6       0.1631546
            3471.       0.1526165
           3471.4       0.1329704
           3471.8       0.1174753
           3472.2        0.104845
           3472.6       0.1025193
            3473.       0.1034962
           3473.4       0.1000754
           3473.8      0.09683457
           3474.2      0.09320434
           3474.6      0.08491671
            3475.      0.07526486
           3475.4      0.06922685
           3475.8      0.06723829
           3476.2      0.06548349
           3476.6       0.0674587
            3477.      0.07496504
           3477.4      0.08633339
           3477.8       0.1050983
           3478.2       0.1185664
           3478.6       0.1200851
            3479.       0.1206179
           3479.4       0.1220337
           3479.8       0.1158884
           3480.2       0.1075499
           3480.6       0.1073754
            3481.       0.1108011
           3481.4       0.1157641
           3481.8       0.1202394
           3482.2       0.1150459
           3482.6       0.1087436
            3483.      0.09915163
           3483.4      0.08964545
           3483.8      0.08981324
           3484.2      0.09733446
           3484.6       0.1021969
            3485.      0.09903789
           3485.4      0.09500869
           3485.8       0.1020311
           3486.2       0.1180777
           3486.6       0.1381045
            3487.       0.1512305
           3487.4       0.1555156
           3487.8       0.1481958
           3488.2        0.132101
           3488.6       0.1148108
            3489.       0.1016019
           3489.4      0.08813664
           3489.8      0.07885107
           3490.2      0.07283947
           3490.6      0.06583788
            3491.      0.07201301
           3491.4      0.08827352
           3491.8      0.09980287
           3492.2      0.09675759
           3492.6      0.08225089
            3493.      0.07877052
           3493.4       0.0918223
           3493.8       0.1077919
           3494.2        0.122925
           3494.6       0.1340751
            3495.       0.1302527
           3495.4       0.1148818
           3495.8      0.09989713
           3496.2      0.08848794
           3496.6      0.08175855
            3497.      0.07534728
           3497.4      0.07537749
           3497.8      0.07931227
           3498.2      0.09672552
           3498.6       0.1178642
            3499.       0.1497603
           3499.4       0.1689118
           3499.8       0.1702103
           3500.2       0.1612603
           3500.6       0.1533689
            3501.       0.1548778
           3501.4       0.1539417
           3501.8       0.1487077
           3502.2       0.1457845
           3502.6       0.1459224
            3503.       0.1577694
           3503.4       0.1911722
           3503.8       0.2041194
           3504.2       0.1891942
           3504.6       0.1676979
            3505.       0.1438829
           3505.4       0.1334513
           3505.8       0.1317882
           3506.2       0.1261685
           3506.6       0.1261333
            3507.       0.1321984
           3507.4       0.1455966
           3507.8       0.1571047
           3508.2        0.163718
           3508.6       0.1632284
            3509.       0.1551398
           3509.4       0.1350577
           3509.8       0.1147752
           3510.2      0.08501523
           3510.6       0.0916774
            3511.       0.1246107
           3511.4       0.1335714
           3511.8       0.1292061
           3512.2        0.122573
           3512.6       0.1147966
            3513.       0.1032835
           3513.4      0.09092804
