#K OBJECT   '197964'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 197964
#K OBJRA    20:46:39.50
#K OBJDEC   +16:07:27.5
#K OBJBMAG  5.310000E+00
#K OBJVMAG  4.270000E+00
#K SPTYPE   K1IV
#K OBJRV    -6.500000E+00
#K HDNAME   HD 197964
#K BDNAME   BD+15 4255
#K HIPNAME  HIP 102532
#K SAONAME  SAO 106476
#K VHELIO   2.37889984720773E+01
#K VLSR     3.91825875482546E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.446236E+03
#K CMAX1    4.771910E+03
#K PICKTYPE K1IV
#K NCOMBINE 5
#K TEFF     4990  1990ApJS...74.1075M (McWilliam)
#K LOGG     3.490000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      1.300000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9452.2
#K GAPS     5415.4-5463.0,8108.2-8115.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.2270582
           3465.4       0.1864446
           3465.8       0.1419833
           3466.2        0.137201
           3466.6         0.15213
            3467.       0.1810748
           3467.4       0.2031718
           3467.8       0.2283151
           3468.2       0.2437938
           3468.6       0.2414128
            3469.       0.2290035
           3469.4       0.2226757
           3469.8       0.2488926
           3470.2       0.2868721
           3470.6       0.3014752
            3471.        0.287993
           3471.4       0.2516662
           3471.8       0.2194792
           3472.2       0.1940624
           3472.6       0.1818817
            3473.       0.1866124
           3473.4       0.1884496
           3473.8       0.1762937
           3474.2       0.1590062
           3474.6       0.1473396
            3475.       0.1299571
           3475.4       0.1099889
           3475.8       0.1046524
           3476.2       0.1070305
           3476.6       0.1099849
            3477.       0.1285557
           3477.4       0.1627721
           3477.8       0.1979461
           3478.2       0.2176009
           3478.6       0.2239171
            3479.       0.2282832
           3479.4       0.2273232
           3479.8       0.2166627
           3480.2       0.2057391
           3480.6       0.2033687
            3481.       0.2097748
           3481.4       0.2181399
           3481.8       0.2247491
           3482.2       0.2254445
           3482.6       0.2057616
            3483.       0.1790181
           3483.4       0.1623821
