#K OBJECT   '199191'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 199191
#K OBJRA    20:53:18.31
#K OBJDEC   +54:31:05.2
#K OBJBMAG  8.093000E+00
#K OBJVMAG  7.167000E+00
#K SPTYPE   GIII+...
#K OBJRV    -1.960000E+02
#K HDNAME   HD 199191
#K BDNAME   BD+53 2511
#K HIPNAME  HIP 103092
#K SAONAME  SAO 32968
#K VHELIO   1.18483444009214E+01
#K VLSR     2.74207692118378E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.442374E+03
#K CMAX1    4.769224E+03
#K PICKTYPE K0III
#K NCOMBINE 5
#K TEFF     4667  1986A&A...161..314C (Cottrell)
#K LOGG     2.250000E+00  1986A&A...161..314C (Cottrell)
#K FEH      -7.000000E-01  1986A&A...161..314C (Cottrell)
#K COVERAGE 3465.0-9469.0
#K GAPS     6802.6-6815.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.2077326
           3465.4       0.1776138
           3465.8       0.1515908
           3466.2       0.1386345
           3466.6        0.155948
            3467.       0.1728288
           3467.4       0.1870132
           3467.8       0.2057356
           3468.2       0.2122961
           3468.6        0.214342
            3469.       0.2054827
           3469.4       0.1993897
           3469.8       0.2078707
           3470.2       0.2232275
           3470.6       0.2334148
            3471.       0.2197548
           3471.4       0.2066028
           3471.8       0.1860498
           3472.2       0.1699786
           3472.6       0.1632357
            3473.         0.16191
           3473.4       0.1625089
           3473.8       0.1530124
           3474.2       0.1392069
           3474.6       0.1295338
            3475.       0.1227371
           3475.4       0.1131654
           3475.8       0.1040738
           3476.2       0.1048722
           3476.6       0.1055188
            3477.       0.1122742
           3477.4       0.1356716
           3477.8       0.1544778
           3478.2       0.1705814
           3478.6       0.1746753
            3479.       0.1722519
           3479.4        0.171881
           3479.8        0.174638
           3480.2       0.1711287
           3480.6       0.1782399
            3481.       0.1931784
           3481.4       0.1882261
           3481.8       0.1951168
           3482.2       0.1917214
           3482.6       0.1877117
            3483.       0.1674265
           3483.4        0.152242
           3483.8       0.1515163
           3484.2       0.1594439
           3484.6       0.1681646
            3485.       0.1655076
           3485.4       0.1617953
           3485.8       0.1719026
           3486.2       0.1948664
           3486.6       0.2184274
            3487.       0.2274675
           3487.4       0.2354348
           3487.8       0.2271264
           3488.2       0.2140845
           3488.6       0.1882067
            3489.       0.1668057
           3489.4       0.1457853
           3489.8        0.134727
           3490.2       0.1208598
           3490.6       0.1089829
            3491.        0.117866
           3491.4        0.140251
           3491.8       0.1616507
           3492.2       0.1604198
           3492.6       0.1349027
            3493.       0.1212314
           3493.4       0.1247331
           3493.8       0.1455013
           3494.2       0.1820029
           3494.6       0.1912272
            3495.       0.1842469
           3495.4       0.1703501
           3495.8       0.1498171
           3496.2       0.1383769
           3496.6       0.1358974
            3497.       0.1318955
           3497.4       0.1281737
           3497.8       0.1292854
           3498.2       0.1503189
           3498.6       0.1837808
            3499.       0.2117385
           3499.4       0.2253952
           3499.8       0.2250916
           3500.2        0.223915
           3500.6       0.2104928
            3501.       0.2106448
           3501.4        0.223989
           3501.8       0.2152909
           3502.2       0.2029537
           3502.6       0.2116237
            3503.        0.230812
           3503.4       0.2536627
           3503.8       0.2701423
           3504.2       0.2512848
           3504.6       0.2195484
            3505.          0.1922
           3505.4       0.1829717
           3505.8       0.1861198
           3506.2       0.1831494
           3506.6        0.179429
            3507.       0.1893624
           3507.4       0.2044023
           3507.8        0.218454
           3508.2       0.2327045
           3508.6       0.2322004
            3509.       0.2340889
           3509.4       0.2097716
           3509.8       0.1810098
           3510.2        0.157079
           3510.6       0.1516056
            3511.       0.1759612
           3511.4       0.1989865
           3511.8       0.2011859
           3512.2       0.1873042
           3512.6       0.1686979
            3513.       0.1599877
           3513.4       0.1502501
           3513.8       0.1360991
           3514.2       0.1310738
           3514.6       0.1335339
            3515.       0.1333363
           3515.4       0.1405631
           3515.8       0.1731311
           3516.2       0.2041354
           3516.6       0.2181875
            3517.       0.2304778
           3517.4       0.2469583
           3517.8       0.2584074
           3518.2       0.2544169
           3518.6       0.2400057
            3519.       0.2371171
           3519.4       0.2312464
           3519.8       0.2020906
           3520.2       0.1900625
           3520.6        0.183247
            3521.       0.1736594
           3521.4       0.1610824
           3521.8       0.1562091
           3522.2       0.1736461
           3522.6       0.1866865
            3523.       0.1717026
           3523.4       0.1498276
           3523.8       0.1271426
           3524.2       0.1020559
           3524.6      0.09718948
            3525.       0.1107754
           3525.4       0.1261096
           3525.8       0.1236237
           3526.2       0.1057555
           3526.6       0.1080761
            3527.       0.1415951
           3527.4       0.1774091
           3527.8        0.192441
           3528.2       0.2045143
           3528.6       0.2237731
            3529.       0.2272308
           3529.4       0.2181245
           3529.8       0.2102317
           3530.2       0.2171316
           3530.6       0.2193012
            3531.       0.2245051
           3531.4       0.2183903
           3531.8       0.2062033
           3532.2       0.1959967
           3532.6       0.1937374
            3533.       0.1920401
           3533.4       0.1966709
           3533.8       0.2208501
           3534.2       0.2437774
           3534.6       0.2500725
            3535.       0.2451806
           3535.4       0.2346931
           3535.8       0.2312952
           3536.2       0.2293255
           3536.6       0.2331751
            3537.       0.2335134
           3537.4       0.2287816
           3537.8       0.2179818
           3538.2       0.2163806
           3538.6       0.2345662
            3539.       0.2638103
           3539.4       0.2862347
           3539.8       0.2836707
           3540.2       0.2725275
           3540.6       0.2505751
            3541.       0.2262713
           3541.4       0.2212166
           3541.8       0.2183857
           3542.2       0.2150383
           3542.6         0.22305
            3543.       0.2307155
           3543.4       0.2405701
           3543.8       0.2501981
           3544.2       0.2537041
           3544.6       0.2563532
            3545.       0.2473366
           3545.4       0.2360777
           3545.8       0.2291951
           3546.2       0.2373781
           3546.6       0.2508211
            3547.       0.2414149
           3547.4       0.2247482
           3547.8       0.2085457
           3548.2        0.206025
           3548.6       0.2222805
            3549.       0.2413055
           3549.4       0.2513935
           3549.8        0.253119
           3550.2       0.2508641
           3550.6       0.2466028
            3551.       0.2372698
           3551.4       0.2306145
           3551.8       0.2251731
           3552.2        0.221454
           3552.6       0.2216496
            3553.       0.2073686
           3553.4       0.1933489
           3553.8       0.1901045
           3554.2       0.1904121
           3554.6       0.1917235
            3555.        0.200503
           3555.4       0.2237515
           3555.8        0.246809
           3556.2       0.2519169
           3556.6       0.2396828
            3557.       0.2332187
           3557.4       0.2381323
           3557.8       0.2384297
           3558.2       0.2085846
           3558.6       0.1794788
            3559.       0.1759797
           3559.4       0.1940725
