#K OBJECT   '199870'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 199870
#K OBJRA    20:58:19.46
#K OBJDEC   +44:28:18.2
#K OBJBMAG  6.527000E+00
#K OBJVMAG  5.562000E+00
#K SPTYPE   K0IIIbCN...
#K OBJRV    -2.007000E+02
#K HDNAME   HD 199870
#K BDNAME   BD+43 3777
#K HIPNAME  HIP 103519
#K SAONAME  SAO 50298
#K VHELIO   -1.21934793924396E+01
#K VLSR     3.75993275591272E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.452605E+03
#K CMAX1    4.779083E+03
#K PICKTYPE K0III
#K NCOMBINE 5
#K TEFF     4775  1991ApJS...75..579L (Luck)
#K LOGG     2.420000E+00  1991ApJS...75..579L (Luck)
#K FEH      1.000000E-01  1991ApJS...75..579L (Luck)
#K COVERAGE 3465.0-8076.6

#      wavelength        spectrum
#       angstroms                

            3465.       0.1891739
           3465.4       0.2069881
           3465.8       0.2244673
           3466.2       0.2360867
           3466.6       0.2354437
            3467.       0.2139296
           3467.4       0.1817629
           3467.8       0.1586671
           3468.2       0.1461588
           3468.6       0.1562721
            3469.       0.1820497
           3469.4       0.1964709
           3469.8       0.2104755
           3470.2       0.2196957
           3470.6       0.2166134
            3471.       0.2111402
           3471.4       0.2148757
           3471.8       0.2301259
           3472.2       0.2520994
           3472.6        0.261123
            3473.       0.2452599
           3473.4       0.2306021
           3473.8       0.2063548
           3474.2       0.1832511
           3474.6       0.1738647
            3475.       0.1776856
           3475.4       0.1811174
           3475.8       0.1725022
           3476.2       0.1598795
           3476.6       0.1461731
            3477.       0.1312986
           3477.4       0.1233556
           3477.8       0.1193012
           3478.2       0.1135228
           3478.6       0.1123318
            3479.       0.1275372
           3479.4       0.1562907
           3479.8       0.1787757
           3480.2       0.1911858
           3480.6       0.1950415
            3481.       0.2016594
           3481.4       0.1995331
           3481.8       0.1912813
           3482.2       0.1888351
           3482.6       0.1873052
            3483.       0.1875324
           3483.4       0.1917072
           3483.8        0.194926
           3484.2       0.1855908
           3484.6       0.1732158
            3485.       0.1614924
           3485.4       0.1502018
           3485.8       0.1560614
           3486.2       0.1677704
           3486.6       0.1731736
            3487.       0.1655177
           3487.4       0.1587847
           3487.8       0.1689525
           3488.2       0.1918212
           3488.6       0.2261847
            3489.       0.2519317
           3489.4       0.2585878
           3489.8       0.2423275
           3490.2        0.222021
           3490.6       0.1903465
            3491.       0.1628026
           3491.4       0.1476434
           3491.8       0.1405443
           3492.2       0.1319976
           3492.6       0.1226125
            3493.       0.1301309
           3493.4       0.1549828
           3493.8       0.1719179
           3494.2       0.1671857
           3494.6       0.1446291
            3495.       0.1419069
           3495.4       0.1508602
           3495.8       0.1813357
           3496.2       0.2084123
           3496.6       0.2228362
            3497.       0.2121015
           3497.4       0.1868188
           3497.8       0.1661621
           3498.2       0.1500586
           3498.6       0.1371261
            3499.       0.1278321
           3499.4       0.1275331
           3499.8       0.1412404
           3500.2        0.165146
           3500.6       0.2025311
            3501.       0.2421704
           3501.4       0.2711592
           3501.8       0.2750707
           3502.2       0.2627223
           3502.6       0.2493114
            3503.       0.2512697
           3503.4         0.26088
           3503.8       0.2517366
           3504.2       0.2386092
           3504.6       0.2488437
            3505.       0.2722352
           3505.4       0.3006949
           3505.8       0.3222679
           3506.2       0.3066995
           3506.6        0.259179
            3507.       0.2302563
           3507.4       0.2206261
           3507.8       0.2117342
           3508.2       0.2068342
           3508.6       0.2070024
            3509.       0.2126594
           3509.4       0.2333524
           3509.8       0.2580286
           3510.2       0.2616463
           3510.6       0.2543976
            3511.       0.2459295
           3511.4       0.2214389
           3511.8       0.1929223
           3512.2       0.1695091
           3512.6       0.1702537
            3513.       0.1927208
           3513.4       0.2173817
           3513.8       0.2159894
           3514.2       0.1946745
           3514.6        0.183969
            3515.       0.1687916
           3515.4       0.1539026
           3515.8       0.1388404
           3516.2       0.1351788
           3516.6       0.1308576
            3517.       0.1361352
           3517.4       0.1585209
           3517.8        0.195951
           3518.2       0.2221276
           3518.6       0.2421522
            3519.       0.2621516
           3519.4       0.2812352
           3519.8       0.3033007
           3520.2       0.3039292
           3520.6        0.294691
            3521.       0.2774292
           3521.4       0.2587058
           3521.8       0.2366526
           3522.2       0.2221015
           3522.6       0.2053322
            3523.       0.1865258
           3523.4       0.1718547
           3523.8       0.1730245
           3524.2       0.1841951
           3524.6       0.1848044
            3525.       0.1732446
           3525.4        0.156311
           3525.8       0.1352689
           3526.2       0.1135215
           3526.6       0.1050431
            3527.       0.1154919
           3527.4       0.1256257
           3527.8       0.1215267
           3528.2       0.1158315
           3528.6         0.12276
            3529.       0.1484035
           3529.4        0.182412
           3529.8       0.2067823
           3530.2       0.2273192
           3530.6       0.2507215
            3531.       0.2539932
           3531.4       0.2411052
           3531.8       0.2304115
