#K OBJECT   '201381'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 201381
#K OBJRA    21:09:35.65
#K OBJDEC   -11:22:18.1
#K OBJBMAG  5.452000E+00
#K OBJVMAG  4.519000E+00
#K SPTYPE   G8III
#K OBJRV    -1.180000E+01
#K HDNAME   HD 201381
#K BDNAME   BD-11 5538
#K HIPNAME  HIP 104459
#K SAONAME  SAO 164182
#K VHELIO   2.65201622987677E+01
#K VLSR     3.62504173818027E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.459068E+03
#K CMAX1    4.784349E+03
#K PICKTYPE G8III
#K NCOMBINE 5
#K TEFF     5010  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.940000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -1.500000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     6800.6-6810.6

#      wavelength        spectrum
#       angstroms                

            3465.       0.2356847
           3465.4       0.2148387
           3465.8        0.182862
           3466.2       0.1759953
           3466.6       0.1813363
            3467.       0.1925703
           3467.4       0.2176977
           3467.8       0.2315096
           3468.2       0.2447923
           3468.6       0.2456984
            3469.       0.2347092
           3469.4       0.2297639
           3469.8       0.2373029
           3470.2       0.2764037
           3470.6       0.2834593
            3471.       0.2655361
           3471.4       0.2474606
           3471.8       0.2241873
           3472.2       0.2050634
           3472.6       0.1961213
            3473.       0.1911459
           3473.4       0.1921188
           3473.8       0.1906158
           3474.2       0.1774617
           3474.6       0.1634741
            3475.       0.1457239
           3475.4       0.1363788
           3475.8       0.1390282
           3476.2       0.1382949
           3476.6        0.127529
            3477.       0.1372851
           3477.4       0.1663262
           3477.8       0.1906102
           3478.2       0.2106261
           3478.6       0.2182023
            3479.       0.2195374
           3479.4       0.2181593
           3479.8       0.2054022
           3480.2       0.1944292
           3480.6       0.1952998
            3481.       0.2008056
           3481.4       0.2065872
           3481.8       0.2165534
           3482.2       0.2076257
           3482.6       0.1913765
            3483.        0.182658
           3483.4       0.1795181
           3483.8       0.1897147
           3484.2       0.1850391
           3484.6       0.1874047
            3485.       0.1840786
           3485.4       0.1759324
           3485.8       0.1857237
           3486.2       0.2155255
           3486.6       0.2501801
            3487.       0.2713594
           3487.4       0.2783693
           3487.8       0.2587817
           3488.2       0.2247501
           3488.6       0.2026638
            3489.       0.1813495
           3489.4       0.1623119
           3489.8       0.1513235
           3490.2       0.1408183
           3490.6       0.1385717
            3491.       0.1562388
           3491.4       0.1677126
           3491.8       0.1906101
           3492.2       0.1886646
           3492.6       0.1620151
            3493.       0.1544047
           3493.4       0.1772594
           3493.8       0.2053611
           3494.2       0.2286663
           3494.6       0.2433339
            3495.       0.2211389
           3495.4       0.2013076
           3495.8       0.1792757
           3496.2       0.1566311
           3496.6       0.1550034
            3497.       0.1495834
           3497.4       0.1441189
           3497.8       0.1537391
           3498.2       0.1793412
           3498.6       0.2199037
            3499.       0.2577969
           3499.4       0.2813771
           3499.8       0.2935697
           3500.2       0.2801643
           3500.6       0.2705431
            3501.       0.2804889
           3501.4       0.2743499
           3501.8       0.2751601
           3502.2        0.273207
           3502.6       0.2666596
            3503.       0.2922874
           3503.4        0.338457
           3503.8       0.3511161
           3504.2       0.3112036
           3504.6       0.2628849
            3505.       0.2406915
           3505.4       0.2322008
           3505.8       0.2380609
           3506.2       0.2205916
           3506.6       0.2245716
            3507.       0.2222544
           3507.4       0.2439152
           3507.8       0.2771122
           3508.2       0.2790821
           3508.6       0.2678014
            3509.        0.263159
           3509.4       0.2386681
           3509.8       0.2002045
           3510.2       0.1840347
           3510.6       0.1921742
            3511.       0.2170574
           3511.4       0.2267434
           3511.8        0.233129
           3512.2       0.2198041
           3512.6       0.2017951
            3513.        0.186292
           3513.4       0.1794152
           3513.8       0.1607265
           3514.2         0.14928
           3514.6       0.1529773
            3515.       0.1568621
           3515.4       0.1776542
           3515.8       0.2171468
           3516.2       0.2533902
           3516.6       0.2729146
            3517.       0.2827744
           3517.4        0.313593
           3517.8       0.3178796
           3518.2       0.3079771
           3518.6       0.3076355
            3519.       0.2940617
           3519.4       0.2754555
           3519.8        0.247939
           3520.2       0.2274722
           3520.6       0.2298234
            3521.       0.2078954
           3521.4       0.1810941
           3521.8       0.1917779
           3522.2       0.2039214
           3522.6       0.2144135
            3523.       0.1906299
           3523.4       0.1661751
           3523.8       0.1466802
           3524.2       0.1280695
           3524.6        0.127487
            3525.       0.1454058
           3525.4       0.1522181
           3525.8       0.1374678
           3526.2       0.1237961
           3526.6       0.1372353
            3527.       0.1837389
           3527.4       0.2162552
           3527.8       0.2331136
           3528.2       0.2522721
           3528.6       0.2661272
            3529.       0.2807482
           3529.4       0.2589663
           3529.8       0.2475142
           3530.2       0.2475302
           3530.6       0.2439742
            3531.       0.2488497
           3531.4       0.2376473
           3531.8       0.2136449
           3532.2       0.1987506
           3532.6       0.1943107
            3533.       0.1999674
           3533.4       0.2139005
           3533.8       0.2400652
           3534.2       0.2651125
           3534.6       0.2809198
            3535.       0.2653483
           3535.4       0.2452313
           3535.8       0.2463282
           3536.2       0.2546761
           3536.6       0.2535602
            3537.       0.2411593
           3537.4       0.2338206
           3537.8        0.229444
           3538.2       0.2336621
           3538.6       0.2618976
            3539.        0.285637
           3539.4       0.3128681
           3539.8       0.3031173
           3540.2       0.2853159
           3540.6       0.2554794
            3541.       0.2404034
           3541.4        0.244794
           3541.8       0.2267673
           3542.2       0.2166002
           3542.6       0.2334921
            3543.        0.247229
           3543.4       0.2469581
           3543.8       0.2616088
           3544.2       0.2708641
           3544.6       0.2868376
            3545.       0.2704326
           3545.4       0.2565033
           3545.8       0.2570179
           3546.2       0.2655406
           3546.6       0.2649272
            3547.        0.246036
           3547.4       0.2240333
           3547.8       0.2018885
           3548.2       0.2072342
           3548.6       0.2381096
            3549.       0.2650649
           3549.4       0.2714031
           3549.8       0.2682852
           3550.2       0.2447073
           3550.6       0.2353109
            3551.       0.2281238
           3551.4       0.2174332
           3551.8       0.2158125
           3552.2       0.2220685
           3552.6       0.2227698
            3553.       0.2086195
           3553.4       0.1999002
           3553.8       0.1923302
           3554.2        0.181257
           3554.6       0.1799508
            3555.       0.2016122
           3555.4       0.2294048
           3555.8       0.2570476
           3556.2       0.2479163
           3556.6       0.2207241
            3557.       0.2128625
           3557.4       0.2251062
           3557.8       0.2242209
           3558.2       0.1868907
           3558.6       0.1641968
            3559.       0.1820177
           3559.4       0.1935027
           3559.8       0.2012222
           3560.2       0.2025981
           3560.6       0.1997905
            3561.       0.1958568
           3561.4        0.202905
           3561.8       0.2083139
           3562.2       0.2266369
           3562.6       0.2526946
            3563.       0.2700902
           3563.4       0.2776238
           3563.8       0.2575782
           3564.2       0.2303322
           3564.6       0.1777344
            3565.       0.1324976
           3565.4       0.1063573
           3565.8       0.1055605
           3566.2       0.1175636
           3566.6       0.1371218
            3567.        0.163277
           3567.4       0.1930295
           3567.8       0.2013229
           3568.2       0.1908304
           3568.6       0.1817015
            3569.       0.1540433
           3569.4       0.1182469
           3569.8      0.09892874
           3570.2      0.09393012
           3570.6       0.1164169
            3571.        0.138239
           3571.4       0.1621723
           3571.8       0.1649451
           3572.2       0.1771396
           3572.6       0.2159646
            3573.       0.2334737
           3573.4       0.2234832
           3573.8       0.2120199
           3574.2       0.2044931
           3574.6       0.2110987
            3575.       0.2027589
           3575.4       0.2021867
           3575.8        0.205445
           3576.2       0.2246326
           3576.6       0.2316604
            3577.       0.2294512
           3577.4       0.2168618
           3577.8       0.1839143
           3578.2       0.1507174
           3578.6          0.1375
            3579.        0.137736
           3579.4       0.1399477
           3579.8       0.1350802
           3580.2       0.1209897
           3580.6       0.1021328
            3581.      0.07408091
           3581.4      0.06455529
           3581.8      0.07295085
           3582.2       0.0875179
           3582.6       0.1064199
            3583.       0.1152575
           3583.4       0.1179975
           3583.8       0.1220221
           3584.2       0.1216075
           3584.6       0.1081234
            3585.      0.08394953
           3585.4      0.07972784
           3585.8      0.09213485
           3586.2        0.100517
           3586.6      0.09559518
            3587.      0.09705964
           3587.4       0.1097348
           3587.8       0.1216743
           3588.2       0.1312127
           3588.6       0.1330144
