#K OBJECT   '203504'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 203504
#K OBJRA    21:22:05.20
#K OBJDEC   +19:48:16.2
#K OBJBMAG  5.202000E+00
#K OBJVMAG  4.094000E+00
#K SPTYPE   K1III
#K OBJRV    -7.620000E+01
#K HDNAME   HD 203504
#K BDNAME   BD+19 4691
#K HIPNAME  HIP 105502
#K SAONAME  SAO 107073
#K VHELIO   2.37920020829650E+01
#K VLSR     3.77509431358214E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.441133E+03
#K CMAX1    4.767506E+03
#K PICKTYPE K1III
#K NCOMBINE 5
#K TEFF     4650  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.690000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -1.400000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     6802.2-6812.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.1661854
           3465.4       0.1354921
           3465.8       0.1141387
           3466.2       0.1057378
           3466.6        0.117073
            3467.       0.1357371
           3467.4       0.1550736
           3467.8       0.1681577
           3468.2       0.1785656
           3468.6        0.181158
            3469.       0.1732137
           3469.4       0.1740248
           3469.8       0.1912252
           3470.2       0.2103592
           3470.6        0.220947
            3471.       0.2092072
           3471.4       0.1876327
           3471.8       0.1641663
           3472.2       0.1402468
           3472.6       0.1336439
            3473.       0.1383649
           3473.4       0.1360193
           3473.8       0.1259193
           3474.2       0.1170709
           3474.6       0.1053257
            3475.      0.09170856
           3475.4      0.08565926
           3475.8      0.07998244
           3476.2      0.07836294
           3476.6      0.08411387
            3477.      0.09199373
           3477.4       0.1160586
           3477.8       0.1445057
           3478.2       0.1566914
           3478.6       0.1627756
            3479.       0.1624594
           3479.4       0.1616865
           3479.8       0.1579439
           3480.2       0.1497954
           3480.6       0.1504132
            3481.       0.1499573
           3481.4       0.1540395
           3481.8       0.1661036
           3482.2       0.1628463
           3482.6       0.1455516
            3483.       0.1277142
           3483.4       0.1229774
           3483.8       0.1259883
           3484.2       0.1363852
           3484.6       0.1393852
            3485.       0.1291635
           3485.4       0.1257605
           3485.8       0.1384843
           3486.2       0.1605485
           3486.6       0.1853911
            3487.       0.2043012
           3487.4       0.2074319
           3487.8       0.1976275
           3488.2        0.182926
           3488.6       0.1542523
            3489.       0.1314478
           3489.4       0.1151891
           3489.8       0.1022687
           3490.2      0.08939854
           3490.6      0.08048403
            3491.      0.09217098
           3491.4       0.1158032
           3491.8       0.1267984
           3492.2       0.1220324
           3492.6       0.1076078
            3493.      0.09900533
           3493.4       0.1141135
           3493.8        0.138575
           3494.2       0.1623674
           3494.6       0.1737894
            3495.       0.1699281
           3495.4       0.1570383
           3495.8       0.1353356
           3496.2        0.115236
           3496.6       0.1095516
            3497.       0.1052958
           3497.4      0.09882491
           3497.8        0.103278
           3498.2       0.1279254
           3498.6       0.1662814
            3499.       0.1977325
           3499.4       0.2253343
           3499.8       0.2362812
           3500.2       0.2186092
           3500.6       0.1981165
            3501.       0.1982709
           3501.4       0.2074719
           3501.8       0.2058391
           3502.2       0.1936235
           3502.6       0.1985465
            3503.       0.2351109
           3503.4       0.2596207
           3503.8       0.2702396
           3504.2       0.2542767
           3504.6       0.2325533
            3505.       0.1995204
           3505.4       0.1819879
           3505.8        0.177509
           3506.2       0.1697653
           3506.6       0.1670953
            3507.       0.1778811
           3507.4       0.1994047
           3507.8       0.2115329
           3508.2       0.2185621
           3508.6       0.2194523
            3509.       0.2040769
           3509.4       0.1791328
           3509.8       0.1487933
           3510.2       0.1283246
           3510.6       0.1340141
            3511.       0.1542234
           3511.4       0.1718912
           3511.8       0.1728857
           3512.2         0.15846
           3512.6       0.1461298
