#K OBJECT   '205021'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 205021
#K OBJRA    21:28:39.60
#K OBJDEC   +70:33:38.6
#K OBJBMAG  3.015000E+00
#K OBJVMAG  3.216000E+00
#K SPTYPE   B2IIIevar
#K OBJRV    -8.200000E+00
#K HDNAME   HD 205021
#K BDNAME   BD+69 1173
#K HIPNAME  HIP 106032
#K SAONAME  SAO 10057
#K VHELIO   5.86112093003216E+00
#K VLSR     1.89047813270787E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.459222E+03
#K CMAX1    4.784364E+03
#K PICKTYPE B3III
#K NCOMBINE 4
#K TEFF     26740  1992ApJ...387..673G (Gies)
#K LOGG     4.160000E+00  1992ApJ...387..673G (Gies)
#K FEH      -2.300000E-01  1992ApJ...387..673G (Gies)
#K COVERAGE 3465.0-8071.8

#      wavelength        spectrum
#       angstroms                

            3465.         2.89543
           3465.4        2.897572
           3465.8        2.858732
           3466.2        2.883392
           3466.6        2.882281
            3467.         2.86701
           3467.4        2.881932
           3467.8        2.888885
           3468.2          2.8991
           3468.6        2.860728
            3469.         2.85792
           3469.4        2.861266
           3469.8        2.797347
           3470.2        2.770384
           3470.6        2.788404
            3471.        2.788518
           3471.4        2.841421
           3471.8        2.851254
           3472.2        2.842646
           3472.6        2.845329
            3473.        2.844897
           3473.4        2.881899
           3473.8        2.904113
           3474.2        2.875727
           3474.6        2.872671
            3475.        2.889404
           3475.4        2.872195
           3475.8        2.859858
           3476.2         2.87514
           3476.6        2.885176
            3477.        2.896257
           3477.4        2.885746
           3477.8        2.871646
           3478.2         2.84605
           3478.6        2.861488
            3479.        2.853209
           3479.4        2.855378
           3479.8        2.858074
           3480.2        2.871564
           3480.6        2.878117
            3481.        2.870986
           3481.4        2.884724
           3481.8        2.867395
           3482.2        2.830975
           3482.6        2.857473
            3483.        2.880719
           3483.4        2.883732
           3483.8        2.869138
           3484.2        2.877906
           3484.6        2.889009
            3485.        2.888042
           3485.4        2.902449
           3485.8        2.864102
           3486.2        2.832919
           3486.6        2.830168
            3487.        2.790059
           3487.4        2.838429
           3487.8        2.841057
           3488.2        2.826382
           3488.6        2.846978
            3489.        2.853484
           3489.4        2.870145
           3489.8        2.882093
           3490.2        2.861118
           3490.6        2.861937
            3491.        2.883192
           3491.4        2.874773
           3491.8        2.862904
           3492.2        2.863142
           3492.6        2.857672
            3493.        2.875891
           3493.4        2.874175
           3493.8        2.885961
           3494.2         2.86491
           3494.6        2.922491
            3495.        2.892278
           3495.4        2.857023
           3495.8        2.852668
           3496.2        2.830179
           3496.6        2.799562
            3497.        2.766775
           3497.4        2.732949
           3497.8        2.749209
           3498.2        2.825795
           3498.6        2.836313
            3499.        2.792695
           3499.4        2.785193
           3499.8        2.802927
           3500.2        2.810642
           3500.6        2.787075
            3501.        2.819738
           3501.4         2.82838
           3501.8        2.822182
           3502.2        2.838135
           3502.6        2.813569
            3503.          2.8035
           3503.4        2.826781
           3503.8        2.839231
           3504.2         2.83872
           3504.6        2.819384
            3505.        2.840848
           3505.4        2.830372
           3505.8        2.836956
           3506.2        2.844609
           3506.6        2.813404
            3507.        2.798454
           3507.4        2.826216
           3507.8        2.817103
           3508.2        2.779034
           3508.6        2.806389
            3509.        2.821629
           3509.4        2.788066
           3509.8        2.776257
           3510.2        2.764537
           3510.6        2.771151
            3511.         2.77417
           3511.4        2.750052
           3511.8         2.74484
           3512.2        2.746408
           3512.6        2.753723
            3513.        2.765381
