#K OBJECT   '205512'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 205512
#K OBJRA    21:34:46.56
#K OBJDEC   +38:32:02.6
#K OBJBMAG  5.970000E+00
#K OBJVMAG  4.877000E+00
#K SPTYPE   K1III
#K OBJRV    -6.590000E+01
#K HDNAME   HD 205512
#K BDNAME   BD+37 4359
#K HIPNAME  HIP 106551
#K SAONAME  SAO 71480
#K VHELIO   1.93148635549743E+01
#K VLSR     3.37476472730546E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.459616E+03
#K CMAX1    4.785104E+03
#K PICKTYPE K1III
#K NCOMBINE 4
#K TEFF     4625  1995AJ....110.2968L (Luck)
#K LOGG     1.950000E+00  1995AJ....110.2968L (Luck)
#K FEH      -1.200000E-01  1995AJ....110.2968L (Luck)
#K COVERAGE 3465.0-9469.0
#K GAPS     4785.8-5463.4,6801.8-6812.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.1685235
           3465.4       0.1436262
           3465.8       0.1152471
           3466.2       0.1102654
           3466.6       0.1223772
            3467.       0.1371839
           3467.4       0.1482298
           3467.8       0.1624647
           3468.2       0.1808477
           3468.6       0.1751041
            3469.       0.1697281
           3469.4        0.172907
           3469.8       0.1821269
           3470.2       0.2051877
           3470.6       0.2196486
            3471.       0.2073478
           3471.4       0.1814324
           3471.8       0.1504777
           3472.2       0.1321769
           3472.6       0.1270607
            3473.       0.1337692
           3473.4       0.1307203
           3473.8       0.1336967
           3474.2        0.118311
           3474.6       0.1053827
            3475.      0.08950406
           3475.4      0.08367448
           3475.8         0.08455
           3476.2      0.08132995
           3476.6      0.08764403
            3477.      0.09672432
           3477.4         0.11572
           3477.8       0.1376562
           3478.2       0.1564237
           3478.6       0.1627534
            3479.       0.1626519
           3479.4       0.1553734
           3479.8        0.154084
           3480.2        0.149788
           3480.6       0.1507646
            3481.       0.1489803
           3481.4       0.1526178
           3481.8       0.1689513
           3482.2       0.1665646
           3482.6        0.152613
            3483.       0.1295131
           3483.4       0.1185106
           3483.8       0.1259167
           3484.2       0.1400642
           3484.6       0.1420305
            3485.       0.1333681
           3485.4       0.1384898
           3485.8       0.1496536
           3486.2       0.1691223
           3486.6       0.1926171
            3487.       0.2088983
           3487.4       0.2169522
           3487.8       0.1975443
           3488.2        0.172425
           3488.6        0.163705
            3489.       0.1319229
           3489.4       0.1148401
           3489.8       0.1107222
           3490.2      0.09791506
           3490.6      0.08405423
            3491.      0.09847124
           3491.4       0.1231248
           3491.8       0.1331589
           3492.2       0.1288399
           3492.6       0.1110072
            3493.      0.09918637
           3493.4       0.1180005
           3493.8       0.1519784
           3494.2        0.171791
           3494.6       0.1874681
            3495.       0.1749501
           3495.4       0.1532522
           3495.8       0.1313119
           3496.2        0.118219
           3496.6       0.1105767
            3497.       0.1025117
           3497.4       0.1001066
           3497.8       0.1066734
           3498.2       0.1326996
           3498.6       0.1782463
            3499.       0.2104336
           3499.4       0.2378254
           3499.8       0.2366678
           3500.2        0.223114
           3500.6       0.2037012
            3501.        0.204781
           3501.4        0.214361
           3501.8       0.2046141
           3502.2       0.1913561
           3502.6       0.2001004
            3503.       0.2292699
           3503.4       0.2621528
           3503.8       0.2751353
           3504.2       0.2597076
           3504.6       0.2294669
            3505.       0.1919418
           3505.4       0.1865385
