#K OBJECT   '206067'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 206067
#K OBJRA    21:39:33.27
#K OBJDEC   +02:14:36.8
#K OBJBMAG  6.135000E+00
#K OBJVMAG  5.106000E+00
#K SPTYPE   K0III
#K OBJRV    -3.470000E+01
#K HDNAME   HD 206067
#K BDNAME   BD+01 4517
#K HIPNAME  HIP 106944
#K SAONAME  SAO 126965
#K VHELIO   2.75810819644280E+01
#K VLSR     3.81627332759345E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.459778E+03
#K CMAX1    4.785133E+03
#K PICKTYPE K0III
#K NCOMBINE 5
#K TEFF     4740  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.730000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -1.700000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     6801.0-6811.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.1988129
           3465.4       0.1639016
           3465.8       0.1475715
           3466.2       0.1429783
           3466.6       0.1565439
            3467.       0.1717412
           3467.4        0.187002
           3467.8       0.2043671
           3468.2       0.2140241
           3468.6       0.2079966
            3469.       0.1998432
           3469.4       0.2062481
           3469.8       0.2254741
           3470.2       0.2499117
           3470.6       0.2543191
            3471.       0.2485156
           3471.4       0.2135976
           3471.8       0.1840331
           3472.2       0.1770755
           3472.6       0.1808972
            3473.       0.1806522
           3473.4       0.1659892
           3473.8       0.1534739
           3474.2       0.1472659
           3474.6       0.1302812
            3475.       0.1156417
           3475.4       0.1120628
           3475.8       0.1073041
           3476.2        0.101147
           3476.6        0.113276
            3477.       0.1347733
           3477.4       0.1488295
           3477.8       0.1801822
           3478.2       0.1941271
           3478.6       0.1927211
            3479.       0.1930794
           3479.4       0.1920879
           3479.8       0.1884079
           3480.2       0.1790173
           3480.6       0.1819026
            3481.       0.1909473
           3481.4       0.1962668
           3481.8       0.1901668
           3482.2       0.1902062
           3482.6        0.174179
            3483.       0.1563578
           3483.4       0.1506247
           3483.8       0.1599113
           3484.2       0.1693082
           3484.6       0.1694344
            3485.       0.1660801
           3485.4       0.1638876
           3485.8       0.1766918
           3486.2       0.2060557
           3486.6       0.2345716
            3487.       0.2543554
           3487.4       0.2546909
           3487.8       0.2440597
           3488.2       0.2175231
           3488.6       0.1851123
            3489.       0.1636404
           3489.4       0.1490362
           3489.8       0.1327518
           3490.2       0.1204881
           3490.6       0.1251871
            3491.       0.1411253
           3491.4        0.153268
           3491.8       0.1708366
           3492.2       0.1550586
           3492.6       0.1367731
            3493.        0.132148
           3493.4       0.1505417
           3493.8        0.177648
           3494.2       0.2036194
           3494.6       0.2168644
            3495.       0.2047257
           3495.4       0.1821321
           3495.8       0.1628427
           3496.2       0.1431214
           3496.6       0.1368618
            3497.       0.1356795
           3497.4       0.1241589
           3497.8       0.1363135
           3498.2       0.1759707
           3498.6       0.2035195
            3499.       0.2431019
           3499.4       0.2679226
           3499.8       0.2751006
           3500.2        0.263013
           3500.6       0.2501026
            3501.        0.262944
           3501.4       0.2640216
           3501.8       0.2485611
           3502.2       0.2433951
           3502.6       0.2507371
            3503.       0.2791203
           3503.4       0.3233046
           3503.8       0.3209839
           3504.2       0.2997432
           3504.6       0.2663565
            3505.       0.2362164
           3505.4       0.2254076
           3505.8       0.2138557
           3506.2       0.2034653
           3506.6       0.2145514
            3507.       0.2303938
           3507.4       0.2449275
           3507.8       0.2663612
           3508.2       0.2642391
           3508.6       0.2645822
            3509.       0.2458067
           3509.4       0.2197156
           3509.8       0.1869105
           3510.2       0.1658355
           3510.6       0.1742784
            3511.       0.2028988
           3511.4       0.2202145
           3511.8       0.2098889
           3512.2       0.1943766
           3512.6       0.1816552
            3513.       0.1632255
           3513.4       0.1474959
           3513.8       0.1405924
           3514.2       0.1366376
           3514.6       0.1337325
            3515.       0.1380314
           3515.4       0.1665272
           3515.8       0.2038987
           3516.2       0.2327001
           3516.6       0.2528667
            3517.        0.269335
           3517.4       0.2886886
           3517.8       0.2991831
           3518.2       0.2913326
           3518.6         0.27518
            3519.        0.270293
           3519.4       0.2569669
           3519.8       0.2297554
           3520.2       0.2105267
           3520.6       0.1936895
            3521.       0.1690224
           3521.4       0.1601155
           3521.8       0.1706785
           3522.2       0.1811465
           3522.6       0.1817914
            3523.       0.1626504
           3523.4       0.1394029
           3523.8        0.117212
           3524.2      0.09984089
           3524.6       0.1033008
            3525.           0.115
           3525.4       0.1183102
           3525.8       0.1196913
           3526.2        0.112896
           3526.6       0.1229312
            3527.       0.1647789
           3527.4       0.1998968
           3527.8       0.2169452
           3528.2       0.2405936
           3528.6       0.2573137
            3529.       0.2529996
           3529.4       0.2400936
           3529.8        0.224539
           3530.2       0.2344979
           3530.6       0.2394458
            3531.       0.2312117
           3531.4       0.2184073
           3531.8       0.1953821
           3532.2       0.1813767
           3532.6       0.1771681
            3533.       0.1786244
           3533.4       0.2094802
           3533.8       0.2406418
           3534.2       0.2614485
           3534.6       0.2657065
            3535.       0.2538374
           3535.4       0.2475492
           3535.8       0.2430196
           3536.2       0.2444969
           3536.6       0.2470239
            3537.       0.2398417
           3537.4       0.2240004
           3537.8        0.214571
           3538.2       0.2190402
           3538.6       0.2421435
            3539.       0.2824706
           3539.4       0.2993077
           3539.8       0.2954542
           3540.2       0.2661977
           3540.6       0.2459823
            3541.       0.2266623
           3541.4       0.2084569
           3541.8       0.2049087
           3542.2       0.2076119
           3542.6       0.2115967
            3543.       0.2180305
           3543.4       0.2264276
           3543.8       0.2375776
           3544.2        0.250346
           3544.6        0.261847
            3545.        0.246782
           3545.4       0.2303247
           3545.8       0.2317711
           3546.2        0.239492
           3546.6       0.2370746
            3547.       0.2172451
           3547.4       0.1881563
           3547.8       0.1768966
           3548.2       0.1916229
           3548.6       0.2134285
            3549.       0.2349946
           3549.4       0.2535879
           3549.8       0.2476003
           3550.2        0.222331
           3550.6       0.2148568
            3551.       0.2061953
           3551.4       0.1976307
           3551.8       0.1971111
           3552.2       0.2000869
           3552.6       0.1978593
            3553.       0.1792702
           3553.4       0.1632961
           3553.8       0.1620309
           3554.2       0.1626066
           3554.6       0.1687481
            3555.       0.1833176
           3555.4       0.2103121
           3555.8       0.2298152
           3556.2       0.2125345
           3556.6        0.197364
            3557.       0.1903497
           3557.4       0.1981585
           3557.8       0.1940988
           3558.2       0.1646973
           3558.6       0.1435567
            3559.       0.1494076
           3559.4       0.1649811
           3559.8       0.1765548
           3560.2       0.1777666
           3560.6       0.1694926
            3561.        0.169433
           3561.4       0.1697107
           3561.8       0.1780598
           3562.2       0.1903733
           3562.6       0.2043992
            3563.       0.2277853
           3563.4       0.2396747
           3563.8       0.2229595
           3564.2       0.1870467
           3564.6       0.1451688
            3565.       0.1091596
           3565.4      0.08946469
           3565.8      0.08537299
           3566.2      0.09367774
           3566.6       0.1196547
            3567.       0.1407125
           3567.4       0.1527707
           3567.8       0.1725756
           3568.2       0.1676999
           3568.6       0.1521438
            3569.       0.1277198
           3569.4      0.09601124
