#K OBJECT   '206936'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 206936
#K OBJRA    21:43:30.46
#K OBJDEC   +58:46:48.2
#K OBJBMAG  6.300000E+00
#K OBJVMAG  4.040000E+00
#K SPTYPE   M2Iae
#K OBJRV    1.930000E+01
#K HDNAME   HD 206936
#K BDNAME   BD+58 2316
#K HIPNAME  HIP 107259
#K SAONAME  SAO 33693
#K VHELIO   1.15540435233282E+01
#K VLSR     2.52676633968427E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.458969E+03
#K CMAX1    4.784015E+03
#K PICKTYPE M2I
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0
#K GAPS     6798.2-6810.6

#      wavelength        spectrum
#       angstroms                

            3465.      0.02131903
           3465.4      0.02564374
           3465.8      0.02411292
           3466.2      0.01999382
           3466.6      0.01771828
            3467.      0.01890612
           3467.4      0.02113641
           3467.8      0.02074006
           3468.2      0.02168253
           3468.6      0.02377307
            3469.      0.02260401
           3469.4       0.0227517
           3469.8      0.02089804
           3470.2      0.02488672
           3470.6      0.02635197
            3471.      0.02722141
           3471.4      0.02655331
           3471.8      0.02354264
           3472.2      0.02288172
           3472.6      0.01948142
            3473.      0.01594351
           3473.4      0.02096634
           3473.8      0.02211855
           3474.2      0.01578602
           3474.6      0.01710602
            3475.      0.01276615
           3475.4      0.01252099
           3475.8      0.01715622
           3476.2        0.021496
           3476.6      0.01373069
            3477.       0.0159102
           3477.4      0.02204771
           3477.8      0.02451169
           3478.2      0.02352095
           3478.6      0.02533215
            3479.      0.02840291
           3479.4      0.02695478
           3479.8      0.02991556
           3480.2      0.03077929
           3480.6      0.03239183
            3481.      0.03102498
           3481.4      0.02898436
           3481.8      0.02949559
           3482.2      0.02905428
           3482.6       0.0264169
            3483.      0.02365661
           3483.4      0.02199944
           3483.8      0.02381331
           3484.2      0.02735861
           3484.6      0.02604895
            3485.      0.02348058
           3485.4      0.02562876
           3485.8      0.02554313
           3486.2      0.02982266
           3486.6        0.030737
            3487.      0.03046051
           3487.4      0.03687377
           3487.8      0.03281907
           3488.2      0.02681746
           3488.6      0.03163851
            3489.      0.03132571
           3489.4      0.02450072
           3489.8      0.02012323
           3490.2      0.01457342
           3490.6       0.0155595
            3491.      0.01759482
           3491.4      0.02046896
           3491.8       0.0216732
           3492.2      0.02414498
           3492.6       0.0219949
            3493.      0.01851033
           3493.4      0.02297225
           3493.8      0.02692893
           3494.2      0.02645367
           3494.6      0.02863516
            3495.      0.03136274
           3495.4      0.02800805
           3495.8      0.02237323
           3496.2      0.02072378
           3496.6      0.02080499
            3497.      0.02453743
           3497.4      0.02105239
           3497.8       0.0189927
           3498.2      0.01956374
           3498.6      0.02723542
            3499.      0.02969384
           3499.4      0.03050946
           3499.8      0.03225103
           3500.2      0.02763031
           3500.6      0.02351105
            3501.      0.02490111
           3501.4      0.02961275
           3501.8      0.03173182
           3502.2      0.02790514
           3502.6      0.03109193
            3503.      0.03503379
           3503.4       0.0411869
           3503.8      0.04068624
           3504.2      0.03452943
           3504.6      0.03357423
            3505.      0.03189538
           3505.4      0.03060869
           3505.8      0.03408257
           3506.2      0.03214645
           3506.6       0.0309841
            3507.      0.03332059
           3507.4      0.03391041
           3507.8      0.02979766
           3508.2      0.02913658
           3508.6       0.0338235
            3509.      0.03054789
           3509.4      0.02661102
           3509.8      0.02128029
           3510.2      0.02215796
           3510.6      0.02441139
            3511.      0.02334179
           3511.4      0.02696197
           3511.8      0.02820763
           3512.2      0.03742412
           3512.6       0.0316238
            3513.       0.0260303
           3513.4      0.02521648
           3513.8       0.0254485
           3514.2      0.02519508
           3514.6         0.02401
            3515.       0.0213001
           3515.4      0.02488961
           3515.8      0.03068706
           3516.2      0.03031537
           3516.6      0.02960832
            3517.      0.03361906
           3517.4      0.03823293
           3517.8      0.03559283
           3518.2      0.04199605
           3518.6      0.04094239
            3519.      0.03563587
           3519.4       0.0311356
           3519.8      0.02889362
           3520.2      0.03105738
           3520.6      0.02985446
            3521.      0.03031763
           3521.4      0.02984761
           3521.8      0.02433436
           3522.2      0.03139905
           3522.6      0.03691664
            3523.      0.02342257
           3523.4       0.0191901
           3523.8      0.02557985
           3524.2      0.01796474
           3524.6      0.02153546
            3525.      0.02302761
           3525.4      0.02309383
           3525.8      0.02129073
           3526.2      0.02185896
           3526.6      0.02425646
            3527.      0.02105195
           3527.4      0.02247047
           3527.8      0.02878205
           3528.2      0.03184694
           3528.6      0.03422739
            3529.      0.02644818
           3529.4      0.02935071
           3529.8       0.0336943
           3530.2      0.03153858
           3530.6      0.03214578
            3531.      0.03780869
           3531.4       0.0379372
           3531.8      0.03495659
           3532.2      0.03327963
           3532.6      0.02997276
            3533.      0.03175788
           3533.4      0.03704874
           3533.8      0.04242983
           3534.2      0.05127898
           3534.6      0.04442237
            3535.      0.04656107
           3535.4      0.04537056
           3535.8      0.03860518
           3536.2      0.03338953
           3536.6      0.04034413
            3537.      0.04537007
           3537.4      0.04082995
           3537.8      0.04014869
           3538.2      0.04002586
           3538.6      0.03941641
            3539.       0.0396208
           3539.4      0.04911735
           3539.8      0.05285235
           3540.2      0.04488454
           3540.6      0.03648638
            3541.      0.03209015
           3541.4      0.03663993
           3541.8      0.04148687
           3542.2      0.04629486
           3542.6      0.04803208
            3543.      0.04669467
           3543.4      0.04745232
           3543.8      0.04217005
           3544.2      0.05055799
           3544.6      0.05765074
            3545.      0.04717175
           3545.4       0.0444057
           3545.8      0.03722329
           3546.2      0.04863501
           3546.6      0.05391149
            3547.      0.04446517
           3547.4      0.04448814
           3547.8      0.04429192
           3548.2      0.03368276
           3548.6       0.0294456
            3549.      0.03400858
           3549.4      0.04026615
           3549.8      0.03671787
           3550.2       0.0397726
           3550.6      0.04588974
            3551.      0.04024478
           3551.4      0.03946579
           3551.8       0.0368211
           3552.2      0.03355017
           3552.6         0.03304
            3553.      0.03378448
           3553.4      0.03206581
           3553.8        0.033564
           3554.2      0.04248383
           3554.6      0.04224381
            3555.      0.04530668
           3555.4      0.04346255
           3555.8      0.04560297
           3556.2      0.05062638
           3556.6      0.04550399
            3557.      0.04760668
           3557.4      0.04877619
           3557.8      0.04472315
           3558.2       0.0408569
           3558.6      0.03725567
            3559.      0.03798943
           3559.4      0.04449069
           3559.8      0.05048759
           3560.2      0.04876674
           3560.6       0.0420114
            3561.      0.04319302
           3561.4       0.0368936
           3561.8      0.03626031
           3562.2      0.04438168
           3562.6      0.04957423
            3563.      0.04897055
           3563.4      0.04698398
           3563.8      0.04941488
           3564.2       0.0558834
           3564.6      0.05290808
            3565.      0.04158468
           3565.4      0.03960038
           3565.8       0.0330207
           3566.2      0.03237587
           3566.6      0.03102541
            3567.      0.03365801
           3567.4      0.03165259
           3567.8      0.03446455
           3568.2      0.04053713
           3568.6      0.03572001
            3569.      0.03151707
           3569.4      0.03476223
           3569.8      0.03510493
           3570.2       0.0351539
           3570.6      0.03324257
            3571.      0.03521353
           3571.4      0.03834752
           3571.8       0.0305361
           3572.2      0.03232861
           3572.6       0.0293139
            3573.      0.03042614
           3573.4      0.03509971
           3573.8      0.03991937
           3574.2      0.04178056
           3574.6      0.03832604
            3575.      0.03593159
           3575.4      0.03393806
           3575.8      0.02929224
           3576.2      0.02687278
           3576.6      0.02551058
            3577.      0.02989109
           3577.4      0.02753865
           3577.8      0.03149255
           3578.2      0.03501892
           3578.6       0.0294007
            3579.      0.03081646
           3579.4      0.03258772
           3579.8      0.03174739
           3580.2      0.03589486
           3580.6      0.03077851
            3581.      0.02468114
           3581.4       0.0330432
           3581.8      0.03669508
           3582.2      0.03879018
           3582.6      0.04352751
            3583.      0.04766099
           3583.4      0.04645228
           3583.8      0.05085162
           3584.2      0.04120581
           3584.6      0.03594748
            3585.      0.04093664
           3585.4      0.03412871
           3585.8      0.02786903
           3586.2      0.02940292
           3586.6      0.03352008
            3587.      0.03059104
           3587.4      0.02890006
           3587.8      0.03158078
           3588.2      0.02991371
           3588.6      0.03430047
            3589.       0.0330882
           3589.4      0.03293521
           3589.8      0.03367618
           3590.2       0.0357422
           3590.6      0.04122858
            3591.      0.04376072
           3591.4      0.04805459
           3591.8      0.04906357
           3592.2      0.04217614
           3592.6      0.04233056
            3593.      0.03369893
           3593.4       0.0347961
           3593.8        0.037626
           3594.2      0.02870444
           3594.6      0.03175444
            3595.      0.03714506
           3595.4      0.03826041
           3595.8      0.04428454
           3596.2       0.0490323
           3596.6      0.05197611
            3597.      0.05116677
           3597.4       0.0431384
           3597.8      0.04165095
           3598.2      0.04778259
           3598.6      0.04374664
            3599.      0.05423935
           3599.4      0.06001354
           3599.8      0.05972736
           3600.2      0.05447603
           3600.6      0.05614775
            3601.       0.0519111
           3601.4      0.04025954
           3601.8      0.04367184
           3602.2      0.04021968
           3602.6      0.04047238
            3603.      0.04978622
           3603.4      0.05098082
           3603.8      0.04563242
           3604.2      0.04596262
           3604.6      0.04657375
            3605.      0.03956719
           3605.4      0.03304651
           3605.8      0.03672993
           3606.2      0.04403992
           3606.6      0.04855612
            3607.      0.04858814
           3607.4      0.04705352
           3607.8      0.05364738
           3608.2      0.04920939
           3608.6      0.03958317
            3609.      0.03699384
           3609.4      0.03262953
           3609.8      0.03559669
           3610.2       0.0296804
           3610.6      0.03091971
            3611.      0.02878895
           3611.4       0.0268928
           3611.8      0.03770111
           3612.2      0.04162672
           3612.6      0.03783391
            3613.      0.03442812
           3613.4      0.03318857
           3613.8      0.03338495
           3614.2       0.0396849
           3614.6      0.05013661
            3615.      0.05174223
           3615.4      0.05468435
           3615.8      0.05305139
           3616.2      0.05071552
           3616.6      0.04876522
            3617.      0.04807628
           3617.4      0.05483082
           3617.8      0.05508089
           3618.2      0.04215719
           3618.6      0.03200607
            3619.       0.0264854
           3619.4      0.03162982
           3619.8      0.03645033
           3620.2       0.0423305
           3620.6      0.04383434
            3621.      0.04566926
           3621.4      0.04458223
           3621.8      0.04972725
           3622.2      0.06045317
           3622.6      0.06458617
            3623.      0.06729476
           3623.4      0.06123463
           3623.8      0.04531223
           3624.2      0.04708047
           3624.6      0.03840047
            3625.      0.04990215
           3625.4      0.05210378
           3625.8      0.06641888
           3626.2      0.07417791
           3626.6      0.07485635
            3627.      0.07319879
           3627.4      0.06679616
           3627.8      0.05605831
           3628.2      0.04919444
           3628.6      0.05791655
            3629.      0.06370308
           3629.4      0.06119976
           3629.8      0.05575814
           3630.2      0.05329914
           3630.6      0.03933307
            3631.      0.03296529
           3631.4      0.02802041
           3631.8      0.02879789
           3632.2      0.03555803
           3632.6      0.03941817
            3633.      0.03962658
           3633.4      0.04291771
           3633.8      0.05063248
           3634.2      0.05034821
           3634.6      0.04345964
            3635.      0.04136065
           3635.4      0.03701507
           3635.8      0.03816041
           3636.2      0.04373034
           3636.6      0.04649922
            3637.      0.04917047
           3637.4      0.05184713
           3637.8      0.05346597
           3638.2      0.05659938
           3638.6      0.06191887
            3639.      0.06670804
           3639.4      0.06783102
           3639.8      0.06688172
           3640.2       0.0680781
           3640.6      0.06728256
            3641.      0.06468546
           3641.4      0.05750471
           3641.8       0.0513624
           3642.2      0.04782731
           3642.6      0.04961258
            3643.      0.04800189
           3643.4      0.04532108
           3643.8      0.04853078
           3644.2       0.0502235
           3644.6      0.04996424
            3645.      0.04359543
           3645.4      0.03411264
           3645.8      0.04304967
           3646.2      0.04510308
           3646.6      0.05211057
            3647.      0.05125536
           3647.4      0.03979284
           3647.8      0.03544765
           3648.2      0.03928284
           3648.6      0.03845551
            3649.      0.03148263
           3649.4      0.02656131
           3649.8      0.03316797
           3650.2      0.04662289
           3650.6      0.04830788
            3651.      0.05853799
           3651.4      0.04685632
           3651.8       0.0352381
           3652.2      0.03900052
           3652.6      0.04414304
            3653.        0.045768
           3653.4      0.05005142
           3653.8      0.05378679
           3654.2      0.05666565
           3654.6      0.05687671
            3655.      0.05291808
           3655.4      0.05881909
           3655.8      0.06296112
           3656.2      0.05832422
           3656.6      0.06344131
            3657.      0.06237833
           3657.4      0.06133153
           3657.8      0.06739439
           3658.2      0.07065517
           3658.6      0.06682429
            3659.       0.0679294
           3659.4      0.06694351
           3659.8      0.05907199
           3660.2      0.05846743
           3660.6       0.0588901
            3661.      0.05941734
           3661.4      0.06112832
           3661.8      0.05957035
           3662.2      0.05500892
           3662.6      0.05813915
            3663.      0.05481136
           3663.4      0.05053777
           3663.8      0.04633943
           3664.2      0.04466374
           3664.6       0.0528658
            3665.      0.06481797
           3665.4      0.07359108
           3665.8      0.07852144
           3666.2      0.07515237
           3666.6      0.06771169
            3667.      0.06080469
           3667.4      0.06425135
           3667.8      0.07247179
           3668.2      0.07107076
           3668.6      0.06143856
            3669.      0.05422548
           3669.4      0.04923303
           3669.8      0.03993898
           3670.2      0.03633245
           3670.6      0.03939739
            3671.      0.04170408
           3671.4       0.0554843
           3671.8      0.06066683
           3672.2      0.06525515
           3672.6      0.06765895
            3673.      0.07207014
           3673.4      0.07164145
           3673.8      0.06294809
           3674.2      0.05105265
           3674.6       0.0526072
            3675.      0.06005421
           3675.4      0.06261161
           3675.8       0.0656614
           3676.2      0.06520347
           3676.6      0.05940172
            3677.      0.05407291
           3677.4      0.05833479
           3677.8      0.05865365
           3678.2      0.06533623
           3678.6      0.06082511
            3679.      0.05585348
           3679.4      0.04723838
           3679.8      0.03586295
           3680.2      0.03300303
           3680.6      0.04262833
            3681.      0.05718723
           3681.4      0.06773835
           3681.8      0.06911356
           3682.2      0.05843685
           3682.6      0.05385479
            3683.      0.04023339
           3683.4      0.04299085
           3683.8      0.05196611
           3684.2      0.05278863
           3684.6      0.05375623
            3685.      0.05067815
           3685.4      0.04485911
           3685.8      0.04598812
           3686.2      0.04924293
           3686.6      0.04611263
            3687.      0.03914613
           3687.4      0.03582372
           3687.8      0.03731743
           3688.2      0.03320962
           3688.6      0.03591024
            3689.      0.04798595
           3689.4       0.0483082
           3689.8      0.05180604
           3690.2      0.05321114
           3690.6      0.06252152
            3691.      0.07860813
           3691.4      0.08724574
           3691.8      0.08788802
           3692.2      0.07375386
           3692.6      0.06000655
            3693.      0.05622952
           3693.4       0.0524832
           3693.8      0.05143229
           3694.2      0.04612971
           3694.6      0.04320543
            3695.      0.04877167
           3695.4      0.05425736
           3695.8      0.05644234
           3696.2      0.06426668
           3696.6      0.07357408
            3697.      0.07258078
           3697.4      0.06669232
           3697.8      0.06258449
           3698.2      0.06217081
           3698.6      0.07361764
            3699.      0.07980488
           3699.4      0.08084776
           3699.8      0.07830752
           3700.2      0.07430007
           3700.6      0.06891946
            3701.      0.06276056
           3701.4      0.06108187
           3701.8      0.06285202
           3702.2      0.06102062
           3702.6      0.06002876
            3703.      0.06120436
           3703.4      0.05203498
           3703.8      0.04711462
           3704.2      0.04558602
           3704.6      0.03593501
            3705.      0.03257709
           3705.4      0.03167892
           3705.8      0.03034554
           3706.2      0.03611436
           3706.6      0.04603195
            3707.      0.04519207
           3707.4      0.03558658
           3707.8      0.03148627
           3708.2      0.03373208
           3708.6      0.03953095
            3709.      0.03898177
           3709.4      0.03682184
           3709.8      0.04426138
           3710.2      0.04126726
           3710.6       0.0569446
            3711.      0.06353571
           3711.4      0.06500519
           3711.8      0.07015608
           3712.2      0.07368354
           3712.6      0.07734194
            3713.      0.07553642
           3713.4      0.07147247
           3713.8      0.07284718
           3714.2      0.07498393
           3714.6      0.07581517
            3715.      0.07015197
           3715.4      0.06137434
           3715.8      0.06196846
           3716.2      0.05968781
           3716.6      0.05449788
            3717.      0.05776352
           3717.4      0.05755217
           3717.8      0.04955815
           3718.2      0.04328124
           3718.6      0.03895621
            3719.      0.03879884
           3719.4      0.02947909
           3719.8      0.02092186
           3720.2      0.01599379
           3720.6      0.02042573
            3721.      0.03094519
           3721.4      0.03458067
           3721.8      0.03332508
           3722.2      0.02993731
           3722.6       0.0293301
            3723.      0.03457162
           3723.4      0.04116467
           3723.8      0.05003618
           3724.2      0.05787972
           3724.6      0.05467575
            3725.      0.05471556
           3725.4        0.064551
           3725.8      0.06766342
           3726.2      0.06476071
           3726.6      0.05963584
            3727.      0.05098714
           3727.4      0.04308068
           3727.8      0.04104313
           3728.2      0.05055702
           3728.6      0.05760996
            3729.      0.05407404
           3729.4      0.05835621
           3729.8      0.05434197
           3730.2      0.04551052
           3730.6      0.03796918
            3731.      0.04077937
           3731.4      0.03898406
           3731.8      0.03758685
           3732.2      0.03429732
           3732.6      0.02757934
            3733.      0.02814159
           3733.4      0.02700036
           3733.8      0.02452013
           3734.2       0.0315857
           3734.6      0.03334826
            3735.       0.0348488
           3735.4       0.0379384
           3735.8      0.04066476
           3736.2      0.03948562
           3736.6      0.03157979
            3737.      0.02565895
           3737.4      0.02462446
           3737.8      0.02987761
           3738.2      0.03839444
           3738.6      0.04287684
            3739.      0.04620834
           3739.4      0.04956375
           3739.8       0.0505589
           3740.2      0.05669679
           3740.6      0.05687886
            3741.      0.05353621
           3741.4      0.04677541
           3741.8      0.04812917
           3742.2      0.05145774
           3742.6      0.04850617
            3743.      0.04377801
           3743.4      0.04046302
           3743.8      0.04275359
           3744.2      0.04221943
           3744.6      0.03706174
            3745.      0.03511818
           3745.4      0.02380477
           3745.8      0.01906533
           3746.2      0.02256948
           3746.6      0.03232341
            3747.      0.03719677
           3747.4       0.0380281
           3747.8        0.032041
           3748.2       0.0257712
           3748.6      0.02377662
            3749.      0.02601901
           3749.4      0.02772881
           3749.8      0.03279267
           3750.2      0.04467999
           3750.6      0.05149016
            3751.      0.06031015
           3751.4      0.06304321
           3751.8      0.06055942
           3752.2      0.05852643
           3752.6       0.0500669
            3753.      0.04543675
           3753.4      0.04344334
           3753.8       0.0543796
           3754.2      0.06652089
           3754.6      0.06819277
            3755.      0.07111268
           3755.4      0.07133917
           3755.8      0.06678383
           3756.2      0.06666623
           3756.6      0.05837132
            3757.      0.05640902
           3757.4      0.05735076
           3757.8      0.05033555
           3758.2      0.04258692
           3758.6       0.0426647
            3759.      0.03780611
           3759.4      0.03715285
           3759.8       0.0403681
           3760.2      0.04029784
           3760.6      0.04502355
            3761.      0.04738795
           3761.4      0.04946883
           3761.8      0.05208483
           3762.2      0.05967388
           3762.6      0.06877506
            3763.      0.06206713
           3763.4      0.05945523
           3763.8       0.0544041
           3764.2      0.04832532
           3764.6       0.0551689
            3765.      0.06225412
           3765.4      0.06237588
           3765.8      0.06212948
           3766.2       0.0581002
           3766.6      0.05553234
            3767.      0.04862291
           3767.4      0.04620488
           3767.8      0.04614159
           3768.2      0.05079312
           3768.6      0.06085802
            3769.      0.07336562
           3769.4      0.07025484
           3769.8       0.0686546
           3770.2       0.0712425
           3770.6      0.06817052
            3771.      0.07037579
           3771.4      0.07366022
           3771.8      0.07017631
           3772.2      0.06453316
           3772.6      0.06596506
            3773.      0.06435565
           3773.4      0.06940044
           3773.8      0.06604706
           3774.2      0.05996422
           3774.6      0.05430494
            3775.       0.0529888
           3775.4      0.05336536
           3775.8       0.0503353
           3776.2      0.05175236
           3776.6      0.05716961
            3777.      0.05717597
           3777.4       0.0567564
           3777.8      0.05151631
           3778.2      0.04799832
           3778.6      0.05101758
            3779.      0.06076327
           3779.4      0.07189526
           3779.8      0.08023231
           3780.2      0.08094835
           3780.6      0.07789714
            3781.      0.06976212
           3781.4      0.06416246
           3781.8      0.07454187
           3782.2      0.08081135
           3782.6      0.07551571
            3783.      0.07422694
           3783.4      0.06509692
           3783.8      0.06531598
           3784.2      0.06791323
           3784.6      0.07339108
            3785.      0.07916988
           3785.4      0.07289313
           3785.8      0.06448068
           3786.2      0.05715605
           3786.6      0.04750889
            3787.      0.04557148
           3787.4      0.04712937
           3787.8      0.04483061
           3788.2      0.04024171
           3788.6      0.04268382
            3789.      0.04923215
           3789.4      0.05864977
           3789.8      0.05369027
           3790.2      0.04551213
           3790.6       0.0503757
            3791.      0.05075104
           3791.4      0.05028462
           3791.8      0.05732592
           3792.2      0.05606991
           3792.6      0.05351551
            3793.      0.05340507
           3793.4      0.04667956
           3793.8      0.04654775
           3794.2      0.04295949
           3794.6      0.04573223
            3795.      0.04666109
           3795.4      0.05307477
           3795.8       0.0581084
           3796.2      0.05672322
           3796.6      0.05803614
            3797.       0.0599882
           3797.4      0.05597704
           3797.8      0.05154837
           3798.2      0.04812563
           3798.6      0.04225536
            3799.      0.03877185
           3799.4      0.03670388
           3799.8      0.03933089
