#K OBJECT   '207130'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 207130
#K OBJRA    21:43:04.04
#K OBJDEC   +72:19:12.3
#K OBJBMAG  6.241000E+00
#K OBJVMAG  5.182000E+00
#K SPTYPE   K1III
#K OBJRV    -3.850000E+01
#K HDNAME   HD 207130
#K BDNAME   BD+71 1082
#K HIPNAME  HIP 107230
#K SAONAME  SAO 10131
#K VHELIO   5.23217087266929E+00
#K VLSR     1.77933773137875E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.459563E+03
#K CMAX1    4.784836E+03
#K PICKTYPE K1III
#K NCOMBINE 5
#K TEFF     4785  1995A&AS..113..333M (Mishenina)
#K LOGG     2.500000E+00  1995A&AS..113..333M (Mishenina)
#K FEH      -3.000000E-02  1995A&AS..113..333M (Mishenina)
#K COVERAGE 3465.0-9469.0
#K GAPS     6801.0-6811.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.1749224
           3465.4        0.145902
           3465.8       0.1228388
           3466.2       0.1149951
           3466.6       0.1212559
            3467.       0.1408094
           3467.4       0.1531938
           3467.8       0.1628643
           3468.2       0.1711506
           3468.6       0.1749242
            3469.       0.1636319
           3469.4         0.16497
           3469.8       0.1758178
           3470.2         0.19985
           3470.6       0.2159063
            3471.       0.2086512
           3471.4       0.1896182
           3471.8       0.1629975
           3472.2        0.139029
           3472.6       0.1328618
            3473.       0.1316102
           3473.4       0.1275168
           3473.8        0.136617
           3474.2       0.1211703
           3474.6       0.1053969
            3475.      0.09948562
           3475.4      0.09423681
           3475.8      0.08047374
           3476.2      0.07717717
           3476.6       0.0908204
            3477.      0.09999769
           3477.4       0.1136356
           3477.8       0.1484062
           3478.2       0.1699624
           3478.6       0.1633751
            3479.       0.1749172
           3479.4       0.1639104
           3479.8       0.1551839
           3480.2       0.1522017
           3480.6       0.1449309
            3481.       0.1511892
           3481.4       0.1560746
           3481.8       0.1609756
           3482.2       0.1659477
           3482.6       0.1436355
            3483.       0.1187306
           3483.4       0.1142771
           3483.8       0.1187761
           3484.2       0.1303624
           3484.6       0.1342215
            3485.        0.126629
           3485.4       0.1272127
           3485.8       0.1428789
           3486.2       0.1736033
           3486.6       0.1958095
            3487.       0.1970498
           3487.4       0.2049481
           3487.8       0.2027146
           3488.2       0.1704725
           3488.6       0.1575207
            3489.       0.1313099
           3489.4       0.1094002
           3489.8       0.1070418
           3490.2      0.09617611
           3490.6      0.09486168
            3491.         0.10469
           3491.4       0.1156795
           3491.8       0.1343916
           3492.2       0.1361086
           3492.6       0.1198804
            3493.       0.1162646
           3493.4       0.1219413
           3493.8       0.1384519
           3494.2        0.165183
           3494.6       0.1791642
            3495.       0.1821632
           3495.4       0.1628411
           3495.8        0.132571
           3496.2        0.115757
           3496.6       0.1136217
            3497.       0.1086672
           3497.4      0.09875515
           3497.8       0.1076183
           3498.2       0.1363603
           3498.6       0.1673884
            3499.       0.2033799
           3499.4       0.2300292
           3499.8       0.2326945
           3500.2       0.2164112
           3500.6       0.2038027
            3501.       0.2048743
           3501.4       0.2113733
           3501.8       0.2043487
           3502.2       0.1960609
           3502.6       0.2056464
            3503.       0.2294113
           3503.4       0.2558129
           3503.8       0.2656538
           3504.2       0.2563556
           3504.6       0.2456876
            3505.        0.207881
           3505.4       0.1778608
           3505.8       0.1855355
           3506.2       0.1726258
           3506.6       0.1648299
            3507.       0.1834984
           3507.4       0.1996436
           3507.8       0.2119969
           3508.2       0.2208426
           3508.6       0.2250372
            3509.       0.2081709
           3509.4       0.1661856
           3509.8        0.150336
           3510.2       0.1426408
           3510.6        0.143246
            3511.       0.1519925
           3511.4       0.1792317
           3511.8       0.1693309
           3512.2        0.156732
           3512.6       0.1449936
            3513.       0.1343637
           3513.4       0.1209922
           3513.8       0.1052056
           3514.2      0.09618409
           3514.6      0.09378985
            3515.       0.1029192
           3515.4       0.1184281
           3515.8        0.150932
           3516.2       0.1704038
           3516.6       0.1929765
            3517.       0.2088654
           3517.4       0.2387399
           3517.8       0.2563671
           3518.2       0.2408625
           3518.6       0.2280706
            3519.       0.2268938
           3519.4       0.2087362
           3519.8       0.1839968
           3520.2       0.1727435
           3520.6       0.1579392
            3521.       0.1437846
           3521.4       0.1314796
           3521.8       0.1196182
           3522.2       0.1362013
           3522.6       0.1457144
            3523.        0.136492
           3523.4       0.1230714
           3523.8      0.09929934
           3524.2      0.07168579
           3524.6      0.06780196
            3525.      0.08535944
           3525.4      0.09835038
           3525.8       0.0971009
           3526.2      0.08661009
           3526.6      0.09963004
            3527.       0.1306213
           3527.4       0.1549559
           3527.8        0.177231
           3528.2       0.1857654
           3528.6       0.2069618
            3529.       0.2118219
           3529.4       0.1983965
           3529.8       0.1841815
           3530.2       0.1765933
           3530.6       0.1889572
            3531.       0.1881467
           3531.4       0.1745316
           3531.8       0.1552944
           3532.2       0.1495079
           3532.6       0.1367392
            3533.       0.1296837
           3533.4       0.1447024
           3533.8        0.178632
           3534.2       0.2166969
           3534.6       0.2227425
            3535.       0.2146428
           3535.4        0.206012
           3535.8       0.1985357
           3536.2       0.2116824
           3536.6          0.1898
            3537.       0.1873565
           3537.4       0.1824732
           3537.8       0.1722089
           3538.2       0.1713094
           3538.6       0.1901982
            3539.        0.212699
           3539.4       0.2386546
           3539.8       0.2402017
           3540.2       0.2182713
           3540.6       0.1970547
            3541.       0.1777477
           3541.4       0.1698914
           3541.8       0.1662562
           3542.2       0.1633878
           3542.6       0.1698375
            3543.       0.1735861
           3543.4       0.1876495
           3543.8       0.1895611
           3544.2       0.1944045
           3544.6       0.2124624
            3545.       0.2104018
           3545.4       0.1939749
           3545.8       0.1878602
           3546.2       0.1865311
           3546.6       0.1789656
            3547.       0.1700709
           3547.4       0.1722114
           3547.8       0.1442069
           3548.2        0.152253
           3548.6       0.1577432
            3549.       0.1826876
           3549.4       0.1908856
           3549.8       0.1897292
           3550.2       0.1880918
           3550.6       0.1646505
            3551.       0.1461937
