#K OBJECT   '207330'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 207330
#K OBJRA    21:46:47.61
#K OBJDEC   +49:18:34.5
#K OBJBMAG  4.110000E+00
#K OBJVMAG  4.180000E+00
#K SPTYPE   B3III
#K OBJRV    -1.230000E+01
#K HDNAME   HD 207330
#K BDNAME   BD+48 3504
#K HIPNAME  HIP 107533
#K SAONAME  SAO 51293
#K VHELIO   1.56965575822272E+01
#K VLSR     2.96377803315424E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.459381E+03
#K CMAX1    4.784584E+03
#K PICKTYPE B3III
#K NCOMBINE 5
#K TEFF     19470  1992ApJ...387..673G (Gies)
#K LOGG     3.490000E+00  1992ApJ...387..673G (Gies)
#K FEH      -1.000000E-01  1992ApJ...387..673G (Gies)
#K COVERAGE 3465.0-9469.0
#K GAPS     6798.6-6811.0

#      wavelength        spectrum
#       angstroms                

            3465.        2.935324
           3465.4         2.93314
           3465.8        2.915219
           3466.2        2.886645
           3466.6        2.895173
            3467.        2.909198
           3467.4        2.934627
           3467.8        2.928217
           3468.2        2.915106
           3468.6        2.925475
            3469.        2.906311
           3469.4        2.901769
           3469.8        2.892744
           3470.2        2.896136
           3470.6        2.898067
            3471.        2.892557
           3471.4        2.879176
           3471.8        2.862002
           3472.2        2.879971
           3472.6        2.873408
            3473.         2.86114
           3473.4        2.887438
           3473.8        2.875553
           3474.2        2.852452
           3474.6        2.878871
            3475.        2.868085
           3475.4        2.908921
           3475.8        2.873413
           3476.2        2.863068
           3476.6         2.87438
            3477.        2.885418
           3477.4        2.870774
           3477.8        2.877615
           3478.2        2.880144
           3478.6         2.86531
            3479.        2.839646
           3479.4        2.821373
           3479.8        2.847928
           3480.2        2.852136
           3480.6        2.856694
            3481.        2.886722
           3481.4        2.877825
           3481.8        2.877421
           3482.2        2.867482
           3482.6        2.864208
            3483.        2.857386
           3483.4        2.867769
           3483.8        2.866708
           3484.2        2.843408
           3484.6        2.840609
            3485.        2.849052
           3485.4        2.860155
           3485.8        2.863014
           3486.2        2.846168
           3486.6        2.843024
            3487.        2.828292
           3487.4        2.804567
           3487.8        2.796016
           3488.2        2.800375
           3488.6         2.81615
            3489.        2.806854
           3489.4        2.820757
           3489.8        2.843654
           3490.2        2.825161
           3490.6        2.829881
            3491.        2.799941
           3491.4        2.815545
           3491.8        2.848305
           3492.2        2.844813
           3492.6        2.841029
            3493.        2.855907
           3493.4        2.817814
           3493.8        2.813356
           3494.2        2.826551
           3494.6        2.817957
            3495.        2.816426
           3495.4        2.823538
           3495.8          2.8169
           3496.2        2.781539
           3496.6        2.819675
            3497.        2.818622
           3497.4        2.763612
           3497.8        2.760267
           3498.2        2.759378
           3498.6         2.74129
            3499.        2.728765
           3499.4        2.744436
           3499.8        2.769037
           3500.2        2.787447
           3500.6        2.813469
            3501.        2.818721
           3501.4        2.788164
           3501.8        2.776119
           3502.2        2.771831
           3502.6        2.785637
            3503.        2.792748
           3503.4        2.778141
           3503.8        2.787997
           3504.2        2.784101
           3504.6         2.79966
            3505.        2.807485
           3505.4        2.776247
           3505.8        2.786109
           3506.2          2.8045
           3506.6        2.776476
            3507.        2.798458
           3507.4        2.784939
           3507.8        2.789147
           3508.2         2.78295
           3508.6        2.769569
            3509.        2.768999
           3509.4        2.752987
           3509.8        2.760587
           3510.2         2.75248
           3510.6        2.719673
            3511.        2.723374
           3511.4        2.727065
           3511.8        2.694687
           3512.2         2.67646
           3512.6        2.678934
            3513.        2.676967
           3513.4        2.658694
           3513.8        2.686362
           3514.2        2.705174
           3514.6        2.709268
            3515.        2.732322
           3515.4        2.738199
