#K OBJECT   '207516'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 207516
#K OBJRA    21:48:29.36
#K OBJDEC   +38:38:54.9
#K OBJBMAG  6.022000E+00
#K OBJVMAG  6.094000E+00
#K SPTYPE   B8V
#K OBJRV    -20
#K HDNAME   HD 207516
#K BDNAME   BD+37 4427
#K HIPNAME  HIP 107664
#K SAONAME  SAO 71722
#K VHELIO   1.98156733105966E+01
#K VLSR     3.35957157826507E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.459517E+03
#K CMAX1    4.784773E+03
#K PICKTYPE B8V
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0
#K GAPS     6799.0-6811.4

#      wavelength        spectrum
#       angstroms                

            3465.        1.391092
           3465.4         1.40271
           3465.8        1.401322
           3466.2        1.400699
           3466.6        1.411717
            3467.        1.399977
           3467.4         1.37836
           3467.8        1.391606
           3468.2        1.381548
           3468.6        1.381407
            3469.        1.392188
           3469.4        1.368301
           3469.8        1.382764
           3470.2        1.378903
           3470.6        1.371701
            3471.        1.381574
           3471.4        1.381877
           3471.8        1.380868
           3472.2        1.393509
           3472.6        1.389562
            3473.        1.359136
           3473.4        1.340664
           3473.8        1.332453
           3474.2        1.340608
           3474.6        1.338394
            3475.        1.340603
           3475.4        1.355778
           3475.8        1.384047
           3476.2        1.372612
           3476.6        1.372545
            3477.        1.401845
           3477.4        1.411147
           3477.8        1.403125
           3478.2          1.3945
           3478.6        1.404015
            3479.        1.391928
           3479.4         1.38457
           3479.8        1.389553
           3480.2        1.410045
           3480.6        1.397678
            3481.        1.392401
           3481.4        1.384575
           3481.8         1.36556
           3482.2        1.368581
           3482.6        1.367356
            3483.        1.356018
           3483.4        1.373482
           3483.8        1.380852
           3484.2         1.38141
           3484.6         1.38507
            3485.        1.386454
           3485.4        1.394557
           3485.8        1.404893
           3486.2        1.417724
           3486.6        1.395487
            3487.        1.388309
           3487.4        1.391847
           3487.8         1.37075
           3488.2        1.353452
           3488.6        1.360351
            3489.        1.374009
           3489.4        1.360986
           3489.8        1.382871
           3490.2        1.409096
           3490.6        1.375831
            3491.        1.364104
           3491.4        1.374727
           3491.8        1.402892
           3492.2        1.398419
           3492.6        1.382514
            3493.        1.388962
           3493.4        1.381968
           3493.8        1.362179
           3494.2         1.36238
           3494.6        1.360001
            3495.        1.335705
           3495.4        1.357502
           3495.8        1.353814
           3496.2        1.341222
           3496.6        1.338845
            3497.        1.336894
           3497.4        1.342672
           3497.8        1.354194
           3498.2        1.365154
           3498.6         1.37473
            3499.        1.374978
           3499.4        1.369432
           3499.8        1.373965
           3500.2        1.382301
           3500.6        1.371278
            3501.        1.340935
           3501.4         1.38071
           3501.8        1.390046
           3502.2        1.374758
           3502.6        1.382535
            3503.        1.367914
           3503.4         1.35297
           3503.8        1.352105
           3504.2        1.347206
           3504.6        1.369005
            3505.        1.372474
           3505.4        1.341021
           3505.8        1.348055
           3506.2        1.352868
           3506.6        1.347323
            3507.        1.367324
           3507.4        1.382299
           3507.8        1.385373
           3508.2        1.360115
           3508.6        1.342115
            3509.        1.355013
           3509.4        1.358436
           3509.8        1.352522
           3510.2        1.360194
           3510.6        1.364432
            3511.        1.364143
           3511.4        1.356855
           3511.8        1.340509
           3512.2        1.329799
           3512.6        1.379309
            3513.        1.363279
           3513.4        1.346509
           3513.8        1.340612
           3514.2         1.32976
           3514.6        1.338487
            3515.        1.348278
           3515.4        1.361932
           3515.8        1.354533
           3516.2        1.357557
           3516.6        1.343312
            3517.        1.364354
           3517.4        1.357498
           3517.8        1.356895
           3518.2        1.347687
           3518.6        1.372988
            3519.        1.385539
           3519.4        1.377952
           3519.8        1.377332
           3520.2        1.364414
           3520.6        1.352544
            3521.        1.341765
           3521.4         1.36037
           3521.8        1.383011
           3522.2        1.369771
           3522.6        1.350681
            3523.        1.361143
           3523.4        1.368845
           3523.8        1.360981
           3524.2        1.356796
           3524.6        1.351162
            3525.        1.345916
           3525.4        1.358034
           3525.8        1.365563
           3526.2        1.356927
           3526.6         1.36629
            3527.        1.367267
           3527.4        1.359474
           3527.8           1.374
           3528.2        1.368293
           3528.6        1.364961
            3529.        1.374338
           3529.4        1.369568
           3529.8        1.385402
           3530.2        1.367285
           3530.6        1.351809
            3531.        1.381374
           3531.4         1.34207
           3531.8        1.346667
           3532.2        1.354659
           3532.6        1.367157
            3533.         1.37116
           3533.4        1.372844
           3533.8        1.349779
           3534.2        1.341103
           3534.6        1.354324
            3535.         1.36673
           3535.4        1.356308
           3535.8        1.351406
           3536.2        1.362826
           3536.6        1.347269
            3537.        1.336046
           3537.4        1.336127
           3537.8        1.327095
           3538.2        1.348952
           3538.6        1.361892
            3539.        1.354014
           3539.4        1.358739
           3539.8        1.350798
           3540.2        1.350344
           3540.6        1.356622
            3541.        1.338022
           3541.4         1.33131
           3541.8        1.358661
           3542.2        1.361503
           3542.6         1.33857
            3543.        1.349031
           3543.4        1.347719
           3543.8        1.363029
           3544.2        1.358672
           3544.6        1.351396
            3545.        1.340556
           3545.4          1.3283
           3545.8        1.341834
           3546.2        1.340866
           3546.6        1.328585
            3547.         1.34131
           3547.4        1.334257
           3547.8        1.346744
           3548.2        1.358585
           3548.6        1.331839
            3549.        1.326306
           3549.4        1.327644
           3549.8        1.327195
           3550.2        1.328183
           3550.6        1.339757
            3551.        1.346046
           3551.4        1.350959
           3551.8        1.358232
           3552.2        1.348373
           3552.6        1.335694
            3553.        1.327923
           3553.4        1.318288
           3553.8        1.338809
           3554.2        1.346067
           3554.6        1.344825
            3555.         1.34721
           3555.4          1.3297
           3555.8        1.322044
           3556.2        1.339702
           3556.6        1.359206
            3557.        1.344303
           3557.4        1.329194
           3557.8        1.344793
           3558.2        1.331281
           3558.6        1.340328
            3559.        1.337549
           3559.4        1.328268
           3559.8        1.348491
           3560.2        1.339864
           3560.6        1.342832
            3561.         1.34023
           3561.4        1.332938
           3561.8        1.347045
           3562.2        1.364539
           3562.6         1.37076
            3563.        1.361799
           3563.4        1.342178
           3563.8        1.343587
           3564.2        1.338782
           3564.6        1.339904
            3565.        1.318975
           3565.4         1.33091
           3565.8        1.347283
           3566.2        1.333229
           3566.6         1.33682
            3567.        1.342886
           3567.4        1.338845
           3567.8        1.342893
           3568.2        1.338675
           3568.6         1.32888
            3569.        1.323836
           3569.4        1.339103
           3569.8        1.331393
           3570.2         1.31489
           3570.6        1.315459
            3571.        1.336449
           3571.4        1.332057
           3571.8        1.337354
           3572.2        1.331149
           3572.6        1.327005
            3573.        1.359219
           3573.4        1.353543
           3573.8        1.324854
           3574.2        1.354828
           3574.6        1.350054
            3575.         1.32701
           3575.4        1.308353
           3575.8        1.321469
           3576.2        1.318425
           3576.6        1.323944
            3577.        1.312388
           3577.4        1.304787
           3577.8        1.328964
           3578.2        1.328288
           3578.6        1.302549
            3579.        1.314535
           3579.4        1.331452
           3579.8        1.322172
           3580.2         1.32775
           3580.6        1.326271
            3581.        1.307109
           3581.4        1.333105
           3581.8        1.344983
           3582.2        1.330136
           3582.6        1.304932
            3583.        1.309149
           3583.4        1.323028
           3583.8        1.312176
           3584.2        1.305857
           3584.6        1.295795
