#K OBJECT   '209419'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 209419
#K OBJRA    22:01:50.59
#K OBJDEC   +52:52:56.1
#K OBJBMAG  5.669000E+00
#K OBJVMAG  5.773000E+00
#K SPTYPE   B5III
#K OBJRV    -2.200000E+01
#K HDNAME   HD 209419
#K BDNAME   BD+52 3083
#K HIPNAME  HIP 108758
#K SAONAME  SAO 33985
#K VHELIO   1.45091676373854E+01
#K VLSR     2.77893691854833E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.459476E+03
#K CMAX1    4.784717E+03
#K PICKTYPE B5III
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0
#K GAPS     6799.0-6811.4

#      wavelength        spectrum
#       angstroms                

            3465.        2.174197
           3465.4        2.178638
           3465.8        2.198622
           3466.2        2.171201
           3466.6        2.152702
            3467.        2.187035
           3467.4        2.192574
           3467.8         2.16013
           3468.2        2.153995
           3468.6        2.165384
            3469.        2.180557
           3469.4         2.14459
           3469.8        2.168314
           3470.2        2.183028
           3470.6        2.156305
            3471.        2.168823
           3471.4        2.178696
           3471.8        2.151815
           3472.2        2.158484
           3472.6        2.161794
            3473.        2.134387
           3473.4        2.154106
           3473.8        2.154236
           3474.2        2.152857
           3474.6        2.165857
            3475.         2.16224
           3475.4         2.16152
           3475.8        2.171076
           3476.2         2.16279
           3476.6        2.126901
            3477.        2.155272
           3477.4        2.194698
           3477.8        2.196999
           3478.2        2.194971
           3478.6        2.178013
            3479.        2.198764
           3479.4         2.17365
           3479.8        2.141871
           3480.2        2.165654
           3480.6        2.160318
            3481.        2.171766
           3481.4        2.180147
           3481.8        2.200737
           3482.2          2.1767
           3482.6        2.147882
            3483.        2.161061
           3483.4        2.172722
           3483.8        2.171416
           3484.2        2.157855
           3484.6        2.168425
            3485.        2.154655
           3485.4        2.149518
           3485.8        2.183702
           3486.2        2.186069
           3486.6        2.185619
            3487.        2.174196
           3487.4        2.168344
           3487.8        2.178377
           3488.2        2.193207
           3488.6        2.173749
            3489.        2.142893
           3489.4        2.166742
           3489.8        2.164745
           3490.2        2.157903
           3490.6        2.152073
            3491.        2.128042
           3491.4        2.163245
           3491.8        2.193822
           3492.2        2.142627
           3492.6        2.127595
            3493.        2.133384
           3493.4        2.112237
           3493.8        2.110815
           3494.2        2.128255
           3494.6        2.145073
            3495.        2.151176
           3495.4        2.143995
           3495.8        2.148357
           3496.2        2.147598
           3496.6        2.151502
            3497.        2.160257
           3497.4        2.160957
           3497.8         2.14714
           3498.2         2.13274
           3498.6        2.136403
            3499.        2.136288
           3499.4        2.135972
           3499.8        2.154167
           3500.2        2.142417
           3500.6         2.12314
            3501.        2.132054
           3501.4        2.123604
           3501.8        2.137211
           3502.2        2.116452
           3502.6         2.13359
            3503.        2.135337
           3503.4        2.113327
           3503.8        2.135977
           3504.2        2.132148
           3504.6        2.103753
            3505.        2.131968
           3505.4        2.138205
           3505.8        2.126906
           3506.2        2.110331
           3506.6        2.113163
            3507.        2.123644
           3507.4        2.107893
           3507.8        2.109445
           3508.2        2.116944
           3508.6        2.107644
            3509.        2.104097
           3509.4        2.103379
           3509.8        2.096443
           3510.2        2.105213
           3510.6        2.125261
            3511.        2.122015
           3511.4        2.096361
           3511.8        2.101402
           3512.2        2.089178
           3512.6        2.101676
            3513.        2.093264
           3513.4        2.069127
           3513.8        2.072119
           3514.2        2.071098
           3514.6         2.06908
            3515.        2.111625
           3515.4        2.126487
           3515.8        2.088597
           3516.2        2.102749
           3516.6        2.094699
            3517.        2.095777
           3517.4        2.119032
           3517.8        2.117502
           3518.2        2.082608
           3518.6        2.125935
            3519.        2.079662
           3519.4        2.092467
           3519.8        2.129983
           3520.2        2.107737
           3520.6        2.109982
            3521.        2.112776
           3521.4         2.14501
           3521.8        2.128861
           3522.2        2.125144
           3522.6        2.118892
            3523.        2.106178
           3523.4        2.110539
           3523.8        2.103313
           3524.2        2.117694
           3524.6        2.127818
            3525.        2.131584
           3525.4        2.126107
           3525.8        2.114977
           3526.2        2.122196
           3526.6        2.109731
            3527.        2.098462
           3527.4        2.107633
           3527.8        2.069549
           3528.2        2.101241
           3528.6        2.102433
            3529.        2.080307
           3529.4        2.074413
           3529.8        2.105542
           3530.2        2.106736
           3530.6        2.091136
            3531.        2.101495
           3531.4        2.114731
           3531.8        2.121622
           3532.2        2.098917
           3532.6        2.091718
            3533.        2.103144
           3533.4        2.090066
           3533.8        2.089169
           3534.2        2.074137
           3534.6        2.076463
            3535.        2.089101
           3535.4        2.073204
           3535.8        2.068018
           3536.2        2.078163
           3536.6        2.072518
            3537.        2.074174
           3537.4        2.081542
           3537.8        2.086705
           3538.2        2.088301
           3538.6        2.115767
            3539.        2.110773
           3539.4        2.101067
           3539.8        2.099606
           3540.2        2.084134
           3540.6        2.074579
            3541.        2.069715
           3541.4        2.067094
           3541.8        2.065012
           3542.2        2.065457
           3542.6        2.092427
            3543.        2.094678
           3543.4        2.075583
           3543.8        2.103359
           3544.2           2.076
           3544.6        2.060918
            3545.        2.066087
           3545.4        2.060946
           3545.8        2.080277
           3546.2        2.091722
           3546.6        2.079266
            3547.        2.069988
           3547.4        2.054381
           3547.8        2.054399
           3548.2        2.089326
           3548.6        2.097096
            3549.        2.061447
           3549.4         2.08632
           3549.8        2.066973
           3550.2        2.069461
           3550.6        2.067633
            3551.        2.087297
           3551.4        2.056902
           3551.8        2.033163
           3552.2        2.057332
           3552.6        2.061127
            3553.        2.065283
           3553.4         2.05246
           3553.8        2.071827
           3554.2        2.046256
           3554.6        2.076148
            3555.        2.085274
           3555.4        2.076528
           3555.8         2.07493
           3556.2        2.057931
           3556.6        2.050465
            3557.        2.062503
           3557.4        2.053399
           3557.8         2.05868
           3558.2        2.100198
           3558.6        2.098307
            3559.        2.067791
           3559.4        2.037278
           3559.8        2.082167
           3560.2        2.078487
           3560.6        2.072294
            3561.        2.069233
           3561.4        2.091011
           3561.8        2.080715
           3562.2        2.069848
           3562.6        2.082814
            3563.         2.07831
           3563.4         2.07618
           3563.8        2.077113
           3564.2        2.070246
           3564.6        2.074358
            3565.        2.077666
           3565.4         2.07378
           3565.8        2.057509
           3566.2        2.085543
           3566.6        2.075497
            3567.        2.086358
           3567.4        2.094573
           3567.8         2.06612
           3568.2        2.056737
           3568.6        2.069988
            3569.        2.083077
           3569.4        2.074782
           3569.8        2.066559
           3570.2        2.067624
           3570.6          2.0458
            3571.        2.059775
           3571.4        2.065919
           3571.8        2.054129
           3572.2        2.073164
           3572.6        2.077241
            3573.         2.05621
           3573.4        2.050748
           3573.8        2.045243
           3574.2        2.048569
           3574.6          2.0685
            3575.        2.051791
           3575.4        2.054718
           3575.8        2.038582
           3576.2        2.032731
           3576.6        2.029674
            3577.        2.037904
           3577.4        2.036248
           3577.8        2.026221
           3578.2        2.025012
           3578.6        2.022495
            3579.        2.032489
           3579.4         2.05269
           3579.8        2.045828
           3580.2        2.040797
           3580.6        2.028597
            3581.        2.055286
           3581.4        2.070217
           3581.8        2.062037
           3582.2        2.048775
           3582.6        2.056841
            3583.        2.038897
           3583.4        2.033479
           3583.8         2.03173
           3584.2        2.019618
           3584.6        2.025214
            3585.        2.015174
           3585.4        2.030858
           3585.8        2.016037
           3586.2        1.999553
           3586.6        1.981105
            3587.        1.970241
           3587.4        1.990549
           3587.8        1.994555
           3588.2        2.011277
           3588.6        2.021582
            3589.        2.011935
           3589.4        2.000554
           3589.8        1.997328
           3590.2        2.015242
           3590.6        2.015911
            3591.        2.016266
           3591.4        2.028389
           3591.8        2.015983
           3592.2        1.998101
           3592.6        1.999167
            3593.           1.992
           3593.4        1.994382
           3593.8        2.002233
           3594.2        2.006767
           3594.6         2.00786
            3595.        2.008444
           3595.4        2.004559
           3595.8        1.987629
           3596.2        2.000185
           3596.6        1.997965
            3597.        1.979601
           3597.4        1.985289
           3597.8         1.98455
           3598.2        1.980163
           3598.6        1.982086
            3599.        1.982583
           3599.4        1.996969
           3599.8        1.998378
           3600.2        1.993459
           3600.6        2.007471
            3601.          1.9901
           3601.4        1.986476
           3601.8        1.995466
           3602.2         1.98002
           3602.6        1.992748
            3603.        1.995259
           3603.4        1.957938
           3603.8        1.969347
           3604.2        1.981845
           3604.6        1.979073
            3605.        1.988038
           3605.4        1.978833
           3605.8        1.963461
           3606.2         1.97569
           3606.6        1.989047
            3607.         1.98053
           3607.4        1.979003
           3607.8        1.996647
           3608.2        1.974985
           3608.6        1.972692
            3609.        1.987841
           3609.4        1.979511
           3609.8        1.975878
           3610.2        1.980175
           3610.6        1.970889
            3611.        1.961646
           3611.4        1.970589
           3611.8        1.999805
           3612.2        2.001693
           3612.6        1.973951
            3613.        1.991876
           3613.4        1.961823
           3613.8        1.972439
           3614.2        1.962711
           3614.6        1.951391
            3615.        1.973066
           3615.4        1.983887
           3615.8        1.972448
           3616.2        1.975554
           3616.6        1.984968
            3617.        1.966521
           3617.4        1.951051
           3617.8        1.949854
           3618.2        1.974705
           3618.6        1.985521
            3619.         1.96923
           3619.4        1.964783
           3619.8        1.966538
           3620.2        1.963132
           3620.6        1.954337
            3621.        1.955259
           3621.4        1.954927
           3621.8        1.937243
           3622.2        1.943231
           3622.6        1.966072
            3623.        1.967709
           3623.4        1.963391
           3623.8        1.946778
           3624.2        1.965888
           3624.6        1.957072
            3625.        1.949265
           3625.4        1.966082
           3625.8        1.969761
           3626.2        1.958879
           3626.6        1.954832
            3627.        1.955373
           3627.4        1.961547
           3627.8        1.968209
           3628.2        1.952566
           3628.6        1.940641
            3629.        1.960147
           3629.4        1.953604
           3629.8        1.965265
           3630.2        1.949372
           3630.6        1.950215
            3631.        1.953119
           3631.4        1.940091
           3631.8        1.939233
           3632.2         1.95103
           3632.6        1.964934
            3633.        1.949074
           3633.4        1.936932
           3633.8         1.93588
           3634.2        1.940891
           3634.6        1.939662
            3635.        1.939609
           3635.4        1.948503
           3635.8        1.954928
           3636.2        1.955092
           3636.6        1.959907
            3637.        1.976803
           3637.4        1.967469
           3637.8        1.935568
           3638.2        1.944633
           3638.6        1.952802
            3639.        1.975747
           3639.4        1.959333
           3639.8        1.938606
           3640.2        1.933562
           3640.6        1.925067
            3641.        1.951646
           3641.4        1.961663
           3641.8        1.929951
           3642.2        1.918685
           3642.6        1.946497
            3643.        1.965111
           3643.4        1.945173
           3643.8        1.928422
           3644.2        1.939258
           3644.6        1.952737
            3645.        1.977637
           3645.4        1.955705
           3645.8        1.945143
           3646.2        1.936354
           3646.6        1.944337
            3647.        1.954612
           3647.4        1.952509
           3647.8        1.947389
           3648.2        1.940555
           3648.6        1.936287
            3649.        1.939164
           3649.4        1.988249
           3649.8        1.939954
           3650.2        1.914169
           3650.6        1.918227
            3651.        1.945894
           3651.4           1.952
           3651.8        1.943754
           3652.2        1.922349
           3652.6         1.91507
            3653.        1.938129
           3653.4        1.945588
           3653.8        1.937975
           3654.2        1.936093
           3654.6        1.924785
            3655.        1.930633
           3655.4        1.927842
           3655.8         1.91619
           3656.2        1.926054
           3656.6        1.941043
            3657.        1.934164
           3657.4        1.916529
           3657.8        1.912322
           3658.2        1.922953
           3658.6        1.936489
            3659.        1.943597
           3659.4        1.939134
           3659.8        1.929685
           3660.2        1.918259
           3660.6        1.908242
            3661.        1.907927
           3661.4        1.936092
           3661.8        1.923532
           3662.2        1.902427
           3662.6        1.922733
            3663.        1.919699
           3663.4        1.900699
           3663.8        1.917618
           3664.2        1.914905
           3664.6        1.894036
            3665.        1.913529
           3665.4        1.932039
           3665.8        1.944147
           3666.2         1.92881
           3666.6        1.922622
            3667.         1.93163
           3667.4        1.934244
           3667.8        1.904018
           3668.2        1.889864
           3668.6        1.892724
            3669.        1.889853
           3669.4        1.904504
           3669.8        1.911426
           3670.2        1.911097
           3670.6        1.909071
            3671.        1.902896
           3671.4        1.911543
           3671.8         1.89668
           3672.2        1.916711
           3672.6        1.911421
            3673.        1.888522
           3673.4        1.893565
           3673.8        1.911012
           3674.2        1.913016
           3674.6         1.89561
            3675.        1.885988
           3675.4         1.89648
           3675.8        1.898921
           3676.2        1.912181
           3676.6        1.907519
            3677.        1.881041
           3677.4        1.907587
           3677.8        1.907333
           3678.2        1.903045
           3678.6        1.920648
            3679.        1.903559
           3679.4        1.878662
           3679.8        1.884322
           3680.2        1.882036
           3680.6        1.879725
            3681.        1.885931
           3681.4        1.901069
           3681.8        1.876045
           3682.2        1.872889
           3682.6        1.862164
            3683.        1.894975
           3683.4        1.887108
           3683.8          1.8768
           3684.2        1.890185
           3684.6         1.90323
            3685.         1.90921
           3685.4        1.880207
           3685.8        1.871384
           3686.2        1.880469
           3686.6        1.868624
            3687.        1.861744
           3687.4        1.860198
           3687.8        1.880023
           3688.2        1.886959
           3688.6        1.898222
            3689.        1.889969
           3689.4        1.881708
           3689.8        1.901456
           3690.2        1.892495
           3690.6        1.856173
            3691.        1.851313
           3691.4        1.846407
           3691.8        1.845716
           3692.2        1.854504
           3692.6        1.869123
            3693.        1.880302
           3693.4        1.904669
           3693.8         1.92837
           3694.2        1.946189
           3694.6        1.933224
            3695.        1.899572
           3695.4        1.883314
           3695.8        1.864411
           3696.2        1.823312
           3696.6        1.792676
            3697.        1.785284
           3697.4        1.785262
           3697.8        1.807082
           3698.2        1.850229
           3698.6        1.890192
            3699.        1.927628
           3699.4        1.949336
           3699.8        1.949572
           3700.2        1.956234
           3700.6        1.961941
            3701.         1.94651
           3701.4        1.927532
           3701.8         1.90033
           3702.2        1.858903
           3702.6        1.797221
            3703.        1.760264
           3703.4        1.710397
           3703.8        1.692117
           3704.2        1.707546
           3704.6        1.727081
            3705.        1.753917
           3705.4        1.796466
           3705.8        1.863317
           3706.2        1.929035
           3706.6        1.959372
            3707.        1.992983
           3707.4         2.02998
           3707.8        2.039877
           3708.2        2.041473
           3708.6        1.991752
            3709.        1.987547
           3709.4        1.951764
           3709.8        1.902833
           3710.2        1.871966
           3710.6        1.791079
            3711.        1.697112
           3711.4        1.645246
           3711.8        1.603481
           3712.2        1.601036
           3712.6        1.626038
            3713.        1.673418
           3713.4        1.759626
           3713.8        1.845127
           3714.2        1.923328
           3714.6        1.968872
            3715.        2.022042
           3715.4        2.068959
           3715.8        2.106173
           3716.2        2.133498
           3716.6        2.150957
            3717.        2.167202
           3717.4        2.156878
           3717.8         2.14363
           3718.2        2.107536
           3718.6        2.052594
            3719.        1.986264
           3719.4        1.922816
           3719.8        1.853548
           3720.2        1.768628
           3720.6        1.680718
            3721.        1.613365
           3721.4        1.541061
           3721.8        1.474373
           3722.2        1.469634
           3722.6        1.511519
            3723.        1.582433
           3723.4        1.679626
           3723.8        1.781976
           3724.2        1.868373
           3724.6        1.945492
            3725.        2.027909
           3725.4        2.090899
           3725.8        2.156559
           3726.2        2.205817
           3726.6         2.24316
            3727.        2.290456
           3727.4        2.310524
           3727.8        2.307655
           3728.2        2.318081
           3728.6         2.32241
            3729.        2.317988
           3729.4        2.286439
           3729.8        2.245467
           3730.2        2.216713
           3730.6        2.134464
            3731.         2.05819
           3731.4        2.002063
           3731.8        1.916934
           3732.2        1.804712
           3732.6        1.709735
            3733.        1.631003
           3733.4        1.523273
           3733.8        1.444054
           3734.2        1.389858
           3734.6        1.359481
            3735.        1.406753
           3735.4        1.495629
           3735.8        1.581887
           3736.2        1.669268
           3736.6        1.753705
            3737.        1.846707
           3737.4        1.945555
           3737.8        2.036286
           3738.2        2.129503
           3738.6        2.212476
            3739.        2.275727
           3739.4        2.327807
           3739.8        2.380978
           3740.2        2.445119
           3740.6        2.478731
            3741.        2.492669
           3741.4        2.499151
           3741.8         2.52882
           3742.2         2.54898
           3742.6        2.521076
            3743.        2.508689
           3743.4         2.52441
           3743.8        2.507135
           3744.2        2.472721
           3744.6        2.386899
            3745.        2.349736
           3745.4        2.299613
           3745.8        2.235069
           3746.2        2.163571
           3746.6        2.071011
            3747.        2.005871
           3747.4        1.916229
           3747.8        1.802971
           3748.2         1.70586
           3748.6        1.595327
            3749.         1.49287
           3749.4        1.391084
           3749.8        1.325612
           3750.2        1.297809
           3750.6        1.314473
            3751.        1.358338
           3751.4        1.453159
           3751.8        1.551964
           3752.2         1.65938
           3752.6         1.77175
            3753.         1.88026
           3753.4        1.982912
           3753.8        2.067108
           3754.2        2.147451
           3754.6        2.220081
            3755.         2.28524
           3755.4        2.364493
           3755.8        2.426963
           3756.2        2.476102
           3756.6        2.516002
            3757.        2.577532
           3757.4        2.620534
           3757.8        2.660903
           3758.2        2.672333
           3758.6        2.655785
            3759.        2.664988
           3759.4        2.683956
           3759.8         2.72239
           3760.2        2.736067
           3760.6        2.738355
            3761.        2.721431
           3761.4        2.728307
           3761.8        2.714532
           3762.2        2.713035
           3762.6        2.680721
            3763.        2.640426
           3763.4        2.617261
           3763.8        2.585695
           3764.2         2.54349
           3764.6        2.491061
            3765.        2.438493
           3765.4        2.380025
           3765.8        2.301101
           3766.2        2.222761
           3766.6        2.173969
            3767.        2.071787
           3767.4        1.958659
           3767.8        1.868414
           3768.2        1.772017
           3768.6        1.676453
            3769.         1.57473
           3769.4        1.457715
           3769.8        1.359455
           3770.2         1.27358
           3770.6        1.204332
            3771.        1.212119
           3771.4        1.290915
           3771.8        1.386899
           3772.2         1.49296
           3772.6        1.601615
            3773.        1.705309
           3773.4        1.794128
           3773.8        1.896714
           3774.2        1.989622
           3774.6        2.065208
            3775.        2.161302
           3775.4        2.245665
           3775.8        2.330647
           3776.2        2.401855
           3776.6        2.451885
            3777.         2.50641
           3777.4        2.558956
           3777.8        2.603628
           3778.2         2.66545
           3778.6        2.735728
            3779.        2.747276
           3779.4        2.759844
           3779.8        2.806323
           3780.2        2.820284
           3780.6        2.841206
            3781.        2.866554
           3781.4        2.886049
           3781.8        2.906252
