#K OBJECT   '214923'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 214923
#K OBJRA    22:41:27.72
#K OBJDEC   +10:49:52.9
#K OBJBMAG  3.310000E+00
#K OBJVMAG  3.400000E+00
#K SPTYPE   B8V
#K OBJRV    7
#K HDNAME   HD 214923
#K BDNAME   BD+10 4797
#K HIPNAME  HIP 112029
#K SAONAME  SAO 108103
#K VHELIO   -1.83747428350150E+01
#K VLSR     -1.05072336660862E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.449586E+03
#K CMAX1    4.775049E+03
#K PICKTYPE B8V
#K NCOMBINE 18
#K TEFF     -2147483647  IRAF_Standard
#K LOGG     -2147483647  IRAF_Standard
#K FEH      -2147483647  IRAF_Standard
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.        1.412592
           3465.4        1.408744
           3465.8        1.391695
           3466.2        1.401734
           3466.6        1.405927
            3467.        1.397621
           3467.4        1.396125
           3467.8        1.394363
           3468.2        1.397326
           3468.6          1.3938
            3469.        1.389263
           3469.4        1.388381
           3469.8        1.384297
           3470.2        1.379638
           3470.6        1.377036
            3471.         1.37215
           3471.4        1.378917
           3471.8        1.369989
           3472.2          1.3668
           3472.6         1.36483
            3473.        1.358394
           3473.4        1.356318
           3473.8        1.360204
           3474.2        1.362272
           3474.6        1.367711
            3475.        1.377125
           3475.4        1.377282
           3475.8        1.377851
           3476.2        1.375796
           3476.6        1.376878
            3477.        1.381719
           3477.4        1.381357
           3477.8        1.381508
           3478.2        1.380948
           3478.6        1.382197
            3479.        1.380789
           3479.4        1.377679
           3479.8        1.376536
           3480.2        1.376674
           3480.6        1.377483
            3481.        1.377307
           3481.4        1.368829
           3481.8        1.365363
           3482.2         1.36751
           3482.6        1.363169
            3483.        1.363632
           3483.4        1.376912
           3483.8        1.377217
           3484.2        1.373574
           3484.6        1.371838
            3485.        1.368851
           3485.4        1.371248
           3485.8        1.372286
           3486.2        1.369138
           3486.6        1.365497
            3487.        1.368373
           3487.4        1.368481
           3487.8        1.370675
           3488.2        1.368076
           3488.6        1.374027
            3489.        1.370929
           3489.4        1.364359
           3489.8        1.366097
           3490.2        1.367598
           3490.6        1.364951
            3491.        1.365231
           3491.4        1.363411
           3491.8        1.362864
           3492.2         1.35872
           3492.6        1.355783
            3493.        1.352133
           3493.4        1.347168
           3493.8         1.34896
           3494.2        1.345566
           3494.6        1.346844
            3495.        1.353815
           3495.4        1.356922
           3495.8        1.350258
           3496.2        1.350321
           3496.6        1.351756
            3497.        1.344473
           3497.4        1.354459
           3497.8        1.364147
           3498.2        1.368034
           3498.6        1.366393
            3499.        1.364905
           3499.4        1.365342
           3499.8        1.370138
           3500.2        1.363207
           3500.6        1.361437
            3501.        1.362845
           3501.4        1.360946
           3501.8        1.365052
           3502.2        1.361025
           3502.6        1.355809
            3503.        1.351621
           3503.4         1.34766
           3503.8        1.358005
           3504.2        1.355514
           3504.6        1.346111
            3505.        1.348672
           3505.4        1.352739
           3505.8        1.349488
           3506.2        1.348009
           3506.6        1.344938
            3507.        1.339218
           3507.4        1.341033
           3507.8        1.341883
           3508.2        1.341607
           3508.6        1.347636
            3509.        1.343089
           3509.4        1.342713
           3509.8        1.335543
           3510.2        1.335543
           3510.6        1.340271
            3511.        1.337268
           3511.4        1.335489
           3511.8        1.331361
           3512.2        1.328064
           3512.6        1.336741
            3513.        1.337197
           3513.4        1.339714
           3513.8        1.339855
           3514.2        1.342978
           3514.6         1.34852
            3515.        1.347184
           3515.4        1.353553
           3515.8        1.351914
           3516.2        1.350455
           3516.6        1.358782
            3517.        1.361849
           3517.4        1.356585
           3517.8        1.354328
           3518.2        1.356984
           3518.6        1.353247
            3519.        1.349775
           3519.4        1.357401
           3519.8        1.365021
           3520.2        1.365579
           3520.6        1.362598
            3521.        1.357693
           3521.4        1.357748
           3521.8        1.361779
           3522.2        1.367241
           3522.6        1.361998
            3523.        1.356284
           3523.4        1.357628
           3523.8        1.361654
           3524.2        1.359293
           3524.6        1.359406
            3525.        1.361292
           3525.4        1.360189
           3525.8        1.363175
           3526.2        1.361679
           3526.6        1.365551
            3527.        1.372097
           3527.4        1.367483
           3527.8        1.370951
           3528.2        1.370575
           3528.6        1.360692
            3529.        1.357936
           3529.4        1.356751
           3529.8        1.360921
           3530.2        1.363996
           3530.6        1.362846
            3531.        1.358688
           3531.4        1.362057
           3531.8        1.361072
           3532.2        1.356167
           3532.6        1.357879
            3533.        1.356572
           3533.4        1.357939
           3533.8        1.355995
           3534.2        1.353087
           3534.6        1.354342
            3535.        1.357665
           3535.4         1.35907
           3535.8        1.352674
           3536.2        1.352968
           3536.6        1.360388
            3537.        1.360083
           3537.4        1.358018
           3537.8        1.356092
           3538.2        1.352485
           3538.6        1.353594
            3539.        1.355384
           3539.4        1.352444
           3539.8        1.347231
           3540.2        1.348857
           3540.6        1.346126
            3541.        1.346775
           3541.4        1.347496
           3541.8        1.342919
           3542.2        1.344709
           3542.6        1.350572
            3543.        1.351296
           3543.4        1.350303
           3543.8        1.346296
           3544.2        1.342603
           3544.6        1.344112
            3545.        1.346356
           3545.4         1.34724
           3545.8        1.341576
           3546.2        1.348069
           3546.6        1.347662
            3547.        1.345343
           3547.4        1.342438
           3547.8        1.341584
           3548.2        1.340531
           3548.6         1.34786
            3549.        1.346079
           3549.4        1.345992
           3549.8        1.353845
           3550.2        1.347761
           3550.6        1.350612
            3551.        1.349181
           3551.4        1.349609
           3551.8        1.343212
           3552.2        1.348192
           3552.6        1.344755
            3553.        1.337527
           3553.4        1.335407
           3553.8        1.341069
           3554.2        1.350013
           3554.6        1.348026
            3555.        1.347724
           3555.4        1.344745
           3555.8        1.343107
           3556.2        1.343856
           3556.6        1.345373
            3557.        1.346361
           3557.4        1.349238
           3557.8        1.341583
           3558.2        1.341476
           3558.6        1.345076
            3559.        1.347091
           3559.4         1.34835
           3559.8        1.348693
           3560.2        1.347793
           3560.6        1.347687
            3561.        1.350443
           3561.4        1.345221
           3561.8        1.347237
           3562.2        1.353096
           3562.6        1.344216
            3563.        1.347413
           3563.4        1.355408
           3563.8         1.34856
           3564.2        1.345294
           3564.6        1.347603
            3565.        1.349001
           3565.4        1.347048
           3565.8        1.343919
           3566.2        1.344187
           3566.6        1.349301
            3567.        1.353032
           3567.4        1.352198
           3567.8        1.347168
           3568.2        1.347616
           3568.6         1.34567
            3569.        1.341639
           3569.4        1.342111
           3569.8         1.34466
           3570.2        1.344452
           3570.6        1.346005
            3571.        1.348092
           3571.4        1.347842
           3571.8        1.341045
           3572.2         1.34638
           3572.6        1.341884
            3573.        1.348899
           3573.4        1.344753
           3573.8        1.343934
           3574.2        1.346519
           3574.6        1.342363
            3575.        1.340338
           3575.4        1.341525
           3575.8        1.339813
           3576.2        1.330606
           3576.6        1.334529
            3577.        1.342187
           3577.4        1.333837
           3577.8        1.336003
           3578.2        1.339082
           3578.6         1.33733
            3579.        1.334132
           3579.4         1.33667
           3579.8        1.336249
           3580.2        1.334126
           3580.6        1.333395
            3581.        1.330863
           3581.4        1.330072
           3581.8         1.33158
           3582.2        1.330386
           3582.6         1.32448
            3583.        1.320271
           3583.4        1.316455
           3583.8        1.321706
           3584.2        1.321097
           3584.6        1.312685
            3585.        1.310972
           3585.4        1.316151
           3585.8        1.320326
           3586.2        1.319771
           3586.6         1.32388
            3587.        1.329757
           3587.4        1.328232
           3587.8        1.332979
           3588.2        1.331794
           3588.6        1.328593
            3589.        1.328519
           3589.4        1.325326
           3589.8        1.326048
           3590.2        1.331407
           3590.6        1.324103
            3591.        1.321774
           3591.4        1.327279
           3591.8        1.324569
           3592.2        1.320412
           3592.6        1.321278
            3593.        1.313069
           3593.4        1.311152
           3593.8        1.315687
           3594.2        1.322426
           3594.6         1.31966
            3595.        1.314513
           3595.4        1.318194
           3595.8        1.320101
           3596.2        1.316894
           3596.6        1.320457
            3597.         1.31859
           3597.4        1.314212
           3597.8        1.314439
           3598.2        1.308817
           3598.6        1.311821
            3599.        1.314331
           3599.4        1.316215
           3599.8        1.313803
           3600.2        1.308749
           3600.6        1.309077
            3601.        1.303616
           3601.4        1.303118
           3601.8         1.30083
           3602.2        1.298137
           3602.6        1.303428
            3603.        1.306977
           3603.4        1.304658
           3603.8        1.302018
           3604.2         1.29926
           3604.6        1.298388
            3605.        1.301913
           3605.4        1.306401
           3605.8        1.303956
           3606.2        1.306483
           3606.6        1.306408
            3607.        1.301776
           3607.4        1.302787
           3607.8        1.300536
           3608.2        1.300763
           3608.6        1.302702
            3609.        1.297865
           3609.4        1.300532
           3609.8        1.297944
           3610.2        1.298378
           3610.6        1.301023
            3611.        1.294397
           3611.4        1.296663
           3611.8        1.294615
           3612.2        1.296031
           3612.6         1.29493
            3613.        1.294004
           3613.4        1.299573
           3613.8        1.290322
           3614.2        1.284434
           3614.6        1.292753
            3615.        1.301254
           3615.4        1.299031
           3615.8        1.298114
           3616.2        1.296675
           3616.6        1.289376
            3617.        1.292503
           3617.4        1.294237
           3617.8        1.290368
           3618.2         1.29262
           3618.6        1.288504
            3619.         1.28745
           3619.4        1.293032
           3619.8        1.286469
           3620.2        1.283285
           3620.6        1.282803
            3621.        1.286339
           3621.4        1.284425
           3621.8        1.285228
           3622.2        1.287368
           3622.6         1.28759
            3623.        1.288124
           3623.4        1.287358
           3623.8          1.2871
           3624.2        1.290981
           3624.6        1.287811
            3625.        1.286613
           3625.4        1.286282
           3625.8        1.280766
           3626.2        1.283795
           3626.6         1.28534
            3627.        1.282288
           3627.4        1.281973
           3627.8        1.280213
           3628.2        1.282035
           3628.6        1.281514
            3629.        1.274404
           3629.4        1.270989
           3629.8        1.274093
           3630.2        1.272667
           3630.6        1.268836
            3631.        1.272529
           3631.4        1.269473
           3631.8        1.269359
           3632.2        1.272555
           3632.6        1.274865
            3633.         1.27499
           3633.4        1.273736
           3633.8        1.279124
           3634.2        1.279756
           3634.6        1.275649
            3635.        1.282544
           3635.4        1.282299
           3635.8        1.278366
           3636.2        1.272523
           3636.6        1.278567
            3637.        1.280578
           3637.4        1.271688
           3637.8        1.272113
           3638.2        1.274777
           3638.6        1.269618
            3639.        1.269357
           3639.4        1.270505
           3639.8        1.265973
           3640.2        1.266453
           3640.6        1.265347
            3641.        1.264892
           3641.4        1.263666
           3641.8        1.270098
           3642.2         1.26666
           3642.6        1.265947
            3643.        1.263955
           3643.4        1.260437
           3643.8        1.258705
           3644.2         1.25808
           3644.6        1.258682
            3645.        1.259822
           3645.4        1.263583
           3645.8        1.260606
           3646.2        1.260238
           3646.6        1.251734
            3647.        1.247922
           3647.4        1.253746
           3647.8        1.258271
           3648.2        1.261046
           3648.6        1.255158
            3649.        1.251256
           3649.4        1.253352
           3649.8        1.253066
           3650.2        1.248997
           3650.6        1.253475
            3651.        1.258673
           3651.4        1.255205
           3651.8        1.252798
           3652.2        1.249142
           3652.6        1.249422
            3653.        1.248116
           3653.4        1.249848
           3653.8        1.251933
           3654.2        1.250641
           3654.6         1.24905
            3655.        1.249165
           3655.4          1.2467
           3655.8        1.247147
           3656.2        1.247643
           3656.6        1.244932
            3657.         1.25005
           3657.4        1.247611
           3657.8        1.244865
           3658.2        1.242166
           3658.6        1.243297
            3659.        1.241918
           3659.4        1.240202
           3659.8        1.247273
           3660.2        1.243986
           3660.6         1.23559
            3661.        1.237786
           3661.4        1.236019
           3661.8        1.232985
           3662.2        1.235621
           3662.6        1.239687
            3663.        1.235533
