#K OBJECT   '216174'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 216174
#K OBJRA    22:49:46.32
#K OBJDEC   +55:54:10.0
#K OBJBMAG  6.612000E+00
#K OBJVMAG  5.442000E+00
#K SPTYPE   K1III
#K OBJRV    -3.630000E+01
#K HDNAME   HD 216174
#K BDNAME   BD+55 2820
#K HIPNAME  HIP 112731
#K SAONAME  SAO 34858
#K VHELIO   -2.34460293894972E+00
#K VLSR     9.01897661403573E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.450276E+03
#K CMAX1    4.776002E+03
#K PICKTYPE K1III
#K NCOMBINE 5
#K TEFF     4440  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.530000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -5.300000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     6800.6-6811.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.1880352
           3465.4       0.1538535
           3465.8       0.1282973
           3466.2        0.112708
           3466.6       0.1223111
            3467.       0.1466885
           3467.4       0.1615117
           3467.8       0.1803194
           3468.2       0.1940801
           3468.6        0.192897
            3469.       0.1875692
           3469.4       0.1812325
           3469.8       0.1908001
           3470.2       0.2078666
           3470.6        0.220716
            3471.       0.2090825
           3471.4       0.1927328
           3471.8       0.1685466
           3472.2       0.1451193
           3472.6       0.1344295
            3473.       0.1381427
           3473.4       0.1342373
           3473.8       0.1184982
           3474.2       0.1056099
           3474.6      0.09877706
            3475.      0.09457392
           3475.4      0.08450155
           3475.8      0.08508752
           3476.2      0.08381487
           3476.6      0.08051983
            3477.      0.08832444
           3477.4       0.1090426
           3477.8       0.1392097
           3478.2       0.1566173
           3478.6       0.1586752
            3479.       0.1558576
           3479.4       0.1529944
           3479.8       0.1499832
           3480.2        0.145938
           3480.6       0.1512467
            3481.       0.1605536
           3481.4       0.1670455
           3481.8       0.1714411
           3482.2       0.1751389
           3482.6       0.1608218
            3483.       0.1368536
           3483.4       0.1193967
           3483.8       0.1221998
           3484.2       0.1399247
           3484.6       0.1458703
            3485.        0.139291
           3485.4       0.1410876
           3485.8       0.1516767
           3486.2       0.1749272
           3486.6       0.1992638
            3487.       0.2155346
           3487.4       0.2197739
           3487.8       0.2142075
           3488.2       0.1961853
           3488.6        0.168744
            3489.       0.1470065
           3489.4       0.1297181
           3489.8       0.1106753
           3490.2      0.09296519
           3490.6      0.08210745
            3491.       0.0874512
           3491.4        0.108864
           3491.8       0.1326428
           3492.2       0.1311746
           3492.6       0.1083042
            3493.      0.09520124
           3493.4       0.1049989
           3493.8       0.1301993
           3494.2       0.1545153
           3494.6       0.1684751
            3495.       0.1660434
           3495.4       0.1467797
           3495.8       0.1241296
           3496.2       0.1105511
           3496.6        0.105594
            3497.       0.1041298
           3497.4       0.1014208
           3497.8       0.1072441
           3498.2       0.1283613
           3498.6       0.1576735
            3499.       0.1834417
           3499.4       0.2042681
           3499.8       0.2077886
           3500.2       0.1943127
           3500.6       0.1805083
            3501.        0.181539
           3501.4       0.1918017
           3501.8       0.1854032
           3502.2       0.1736627
           3502.6       0.1728376
            3503.       0.2016496
           3503.4       0.2380006
           3503.8       0.2507403
           3504.2       0.2409004
           3504.6       0.2078701
            3505.       0.1743593
           3505.4       0.1611395
           3505.8       0.1574503
           3506.2       0.1518465
           3506.6       0.1503846
            3507.        0.159286
           3507.4       0.1754989
           3507.8       0.1921289
           3508.2       0.2044631
           3508.6       0.2076913
            3509.       0.1988391
           3509.4       0.1716339
           3509.8       0.1391802
           3510.2       0.1201824
           3510.6        0.125399
            3511.       0.1479134
           3511.4       0.1668782
           3511.8       0.1683117
           3512.2       0.1542216
           3512.6       0.1348833
            3513.       0.1193311
           3513.4       0.1101658
           3513.8       0.0987645
           3514.2      0.09525128
           3514.6      0.08926315
            3515.      0.08945639
           3515.4       0.1080114
           3515.8       0.1394036
           3516.2       0.1667113
           3516.6       0.1845217
            3517.       0.2015049
           3517.4       0.2218795
           3517.8       0.2381169
           3518.2        0.233587
           3518.6       0.2166641
            3519.       0.2157355
           3519.4        0.198697
           3519.8       0.1767367
           3520.2       0.1534846
           3520.6       0.1480867
            3521.       0.1361524
           3521.4       0.1181367
           3521.8       0.1224703
           3522.2       0.1376854
           3522.6        0.141359
            3523.        0.126314
           3523.4       0.1008618
           3523.8      0.08117976
           3524.2      0.06957384
           3524.6       0.0603046
            3525.       0.0726343
           3525.4       0.0848857
           3525.8      0.08185913
           3526.2       0.0761202
           3526.6      0.08641482
            3527.       0.1158492
           3527.4       0.1468777
           3527.8       0.1619436
           3528.2       0.1678532
           3528.6       0.1810827
            3529.       0.1911259
           3529.4        0.186536
           3529.8       0.1802532
           3530.2       0.1760829
           3530.6       0.1803228
            3531.        0.187842
           3531.4       0.1837291
           3531.8       0.1669493
           3532.2       0.1535692
           3532.6       0.1520346
            3533.       0.1528537
           3533.4       0.1570187
           3533.8       0.1799719
           3534.2       0.2067978
           3534.6       0.2127524
            3535.       0.2031273
           3535.4       0.1889264
           3535.8       0.1885905
           3536.2       0.1953258
           3536.6       0.1971613
            3537.        0.197393
           3537.4       0.1938948
           3537.8       0.1844695
           3538.2       0.1824987
           3538.6       0.2019282
            3539.       0.2312295
           3539.4       0.2419889
           3539.8       0.2415246
           3540.2       0.2291782
           3540.6       0.2043521
            3541.       0.1817794
           3541.4       0.1809138
           3541.8       0.1831847
           3542.2       0.1744526
           3542.6       0.1731309
            3543.       0.1798559
           3543.4        0.184319
           3543.8       0.1924347
           3544.2       0.2037825
           3544.6       0.2124078
            3545.       0.2010535
           3545.4       0.1881539
           3545.8       0.1820692
           3546.2       0.1887068
           3546.6       0.1855216
            3547.       0.1834393
           3547.4        0.170105
           3547.8       0.1515756
           3548.2       0.1531302
           3548.6       0.1723887
            3549.       0.1917737
           3549.4       0.1982788
           3549.8       0.1923552
           3550.2       0.1830663
