#K OBJECT   '216385'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 216385
#K OBJRA    22:52:24.08
#K OBJDEC   +09:50:08.4
#K OBJBMAG  5.640000E+00
#K OBJVMAG  5.160000E+00
#K SPTYPE   F7IV
#K OBJRV    1.160000E+01
#K HDNAME   HD 216385
#K BDNAME   BD+09 5122
#K HIPNAME  HIP 112935
#K SAONAME  SAO 127810
#K VHELIO   -2.07437700106109E+01
#K VLSR     -1.37988257356207E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.453674E+03
#K CMAX1    4.778801E+03
#K PICKTYPE F8IV
#K NCOMBINE 7
#K TEFF     6288  1993A&A...275..101E (Edvardsson)
#K LOGG     3.970000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -2.500000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0
#K GAPS     6799.8-6810.6

#      wavelength        spectrum
#       angstroms                

            3465.       0.6116524
           3465.4       0.5809369
           3465.8       0.5483848
           3466.2       0.5419417
           3466.6       0.5630742
            3467.       0.5862072
           3467.4       0.6139002
           3467.8       0.6195607
           3468.2       0.6214414
           3468.6        0.607907
            3469.       0.5866796
           3469.4       0.5905687
           3469.8       0.6134743
           3470.2       0.6413231
           3470.6       0.6541967
            3471.       0.6350809
           3471.4       0.6155943
           3471.8       0.5936311
           3472.2       0.5847793
           3472.6       0.5770001
            3473.       0.5785241
           3473.4       0.5704851
           3473.8       0.5485204
           3474.2       0.5201412
           3474.6       0.5047538
            3475.       0.4956965
           3475.4       0.4724835
           3475.8       0.4620267
           3476.2       0.4682384
           3476.6       0.4653262
            3477.       0.4594026
           3477.4       0.5018962
           3477.8       0.5496608
           3478.2        0.582412
           3478.6       0.5870162
            3479.       0.5852995
           3479.4       0.5835793
           3479.8       0.5800987
           3480.2        0.578743
           3480.6       0.5745226
            3481.       0.5733326
           3481.4       0.5819777
           3481.8       0.5907547
           3482.2       0.5875148
           3482.6       0.5549696
            3483.       0.5231173
           3483.4       0.5078858
           3483.8       0.5126395
           3484.2       0.5316301
           3484.6       0.5449681
            3485.       0.5437012
           3485.4       0.5481132
           3485.8       0.5683475
           3486.2       0.5950278
           3486.6        0.625296
            3487.       0.6472592
           3487.4       0.6529246
           3487.8       0.6273507
           3488.2       0.5960368
           3488.6       0.5546625
            3489.       0.5272673
           3489.4       0.5190657
           3489.8       0.5118581
           3490.2       0.5081403
           3490.6       0.5012356
            3491.       0.5066746
           3491.4       0.5430062
           3491.8       0.5782229
           3492.2       0.5897567
           3492.6       0.5553185
            3493.       0.5194997
           3493.4       0.5251467
           3493.8       0.5509179
           3494.2       0.5757816
           3494.6       0.5701599
            3495.       0.5344245
           3495.4       0.4874306
           3495.8       0.4526078
           3496.2       0.4457372
           3496.6       0.4503943
            3497.       0.4523539
           3497.4       0.4620838
           3497.8       0.4799479
           3498.2       0.5303909
           3498.6       0.5912722
            3499.       0.6243137
           3499.4       0.6360903
           3499.8       0.6274746
           3500.2       0.6145604
           3500.6       0.5936633
            3501.       0.5961312
           3501.4       0.6111102
           3501.8       0.5995854
           3502.2       0.5924067
           3502.6       0.6083019
            3503.       0.6327913
           3503.4       0.6635525
           3503.8       0.6681977
           3504.2       0.6410489
           3504.6       0.5900095
            3505.       0.5625197
           3505.4       0.5517277
           3505.8       0.5480683
           3506.2        0.545983
           3506.6       0.5495031
            3507.       0.5719267
           3507.4       0.5891076
           3507.8       0.5897089
           3508.2       0.6078354
           3508.6       0.6165411
            3509.       0.6117178
           3509.4       0.6041261
           3509.8       0.5723978
           3510.2       0.5437605
           3510.6       0.5350847
            3511.       0.5535042
           3511.4         0.58485
           3511.8        0.591442
           3512.2       0.5719808
           3512.6       0.5534191
            3513.       0.5434487
           3513.4       0.5351986
           3513.8       0.5209704
           3514.2       0.5242109
           3514.6       0.5425916
            3515.       0.5671617
           3515.4       0.5902661
           3515.8       0.6121896
           3516.2       0.6262029
           3516.6       0.6305204
            3517.       0.6361866
           3517.4       0.6506274
           3517.8       0.6523269
           3518.2       0.6421391
           3518.6       0.6389283
            3519.       0.6237218
           3519.4       0.6182182
           3519.8       0.5900138
           3520.2       0.5751709
           3520.6        0.564786
            3521.       0.5565227
           3521.4       0.5514385
           3521.8       0.5646676
           3522.2        0.586198
           3522.6       0.5941712
            3523.       0.5844278
           3523.4       0.5641086
           3523.8       0.5353124
           3524.2       0.5047343
           3524.6       0.5077825
            3525.       0.5390493
           3525.4       0.5452662
           3525.8       0.5177607
           3526.2       0.4462541
           3526.6       0.4282144
            3527.         0.48803
           3527.4        0.550851
           3527.8       0.5887707
           3528.2       0.6193929
           3528.6       0.6437965
            3529.       0.6506525
           3529.4       0.6395044
           3529.8       0.6245372
           3530.2       0.6083122
           3530.6       0.6155487
            3531.       0.6248523
           3531.4       0.6153328
           3531.8       0.5969811
           3532.2       0.5717145
           3532.6        0.559242
            3533.       0.5633432
           3533.4       0.5889435
           3533.8       0.6258206
           3534.2       0.6534567
           3534.6       0.6684912
            3535.       0.6490602
           3535.4       0.6218399
           3535.8       0.6177373
           3536.2       0.6189843
           3536.6       0.6386974
            3537.       0.6393328
           3537.4       0.6291522
           3537.8        0.618516
           3538.2       0.6227118
           3538.6       0.6532244
            3539.       0.6939347
           3539.4       0.7193665
           3539.8       0.7115247
           3540.2       0.6779101
           3540.6       0.6467654
            3541.       0.6209728
           3541.4       0.6215345
           3541.8       0.6251569
           3542.2       0.6227099
           3542.6        0.639747
            3543.       0.6672023
           3543.4       0.6766585
           3543.8       0.6842912
           3544.2       0.6905035
           3544.6        0.680176
            3545.       0.6644177
           3545.4       0.6488239
           3545.8       0.6523139
           3546.2       0.6800322
           3546.6       0.6964175
            3547.       0.6952586
           3547.4       0.6723234
           3547.8       0.6329742
           3548.2       0.6205111
           3548.6       0.6472937
            3549.       0.6781303
           3549.4       0.6971657
           3549.8       0.7018433
           3550.2       0.6978949
           3550.6       0.7032922
            3551.       0.6998858
           3551.4        0.677981
           3551.8       0.6594285
           3552.2       0.6622099
           3552.6       0.6571939
            3553.       0.6442425
           3553.4       0.6333321
           3553.8       0.6163864
           3554.2       0.6066441
           3554.6       0.6034318
            3555.       0.6199694
           3555.4       0.6636528
           3555.8        0.690906
           3556.2       0.6840265
           3556.6       0.6582822
            3557.       0.6479593
           3557.4       0.6790231
           3557.8       0.7011023
           3558.2       0.6777194
           3558.6       0.6583213
            3559.       0.6550574
           3559.4       0.6666804
           3559.8       0.6812882
           3560.2       0.6731464
           3560.6        0.644436
            3561.       0.6296497
           3561.4       0.6385804
           3561.8       0.6493198
           3562.2       0.6837624
           3562.6       0.7369272
            3563.       0.7663117
           3563.4        0.769349
           3563.8       0.7491742
           3564.2       0.7005562
           3564.6       0.6332777
            3565.       0.5597141
           3565.4       0.5021657
           3565.8       0.4794802
           3566.2       0.4938868
           3566.6       0.5377037
            3567.       0.5869191
           3567.4       0.6232223
           3567.8       0.6404645
           3568.2       0.6487682
           3568.6       0.6300437
            3569.        0.579102
           3569.4       0.5192738
           3569.8       0.4665477
           3570.2       0.4634798
           3570.6       0.5283113
            3571.       0.5980195
           3571.4       0.6095431
           3571.8       0.5821552
           3572.2       0.5678401
           3572.6       0.5787423
            3573.       0.5940003
           3573.4       0.5944242
           3573.8       0.5784382
           3574.2        0.583891
           3574.6       0.5961572
            3575.       0.5931973
           3575.4       0.5955721
           3575.8       0.6036631
           3576.2       0.6090529
           3576.6       0.6221171
            3577.       0.6482809
           3577.4        0.672047
           3577.8       0.6618267
           3578.2       0.6273977
           3578.6       0.6130962
            3579.       0.6356244
           3579.4        0.680784
           3579.8       0.6747707
           3580.2        0.638593
           3580.6       0.5497564
            3581.       0.4540088
           3581.4       0.4187218
           3581.8       0.4508901
           3582.2       0.5263175
           3582.6       0.5934312
            3583.       0.6377616
           3583.4       0.6639419
           3583.8       0.6479219
           3584.2       0.6042639
           3584.6       0.5327563
            3585.       0.4602202
           3585.4       0.4237509
           3585.8       0.4496192
           3586.2       0.4933946
           3586.6       0.4988553
            3587.       0.4796643
           3587.4       0.4802967
           3587.8        0.507648
           3588.2       0.5389916
           3588.6       0.5568722
            3589.       0.5507811
           3589.4       0.5343352
           3589.8       0.5475273
           3590.2       0.5874153
           3590.6       0.6358562
            3591.       0.6781519
           3591.4       0.6985895
           3591.8       0.6979048
           3592.2       0.6864727
           3592.6       0.6606234
            3593.       0.6203158
           3593.4         0.60465
           3593.8        0.636139
           3594.2       0.6597838
           3594.6       0.6686377
            3595.       0.6627506
           3595.4       0.6650206
           3595.8       0.6691645
           3596.2       0.6866345
           3596.6       0.7062247
            3597.       0.7176592
           3597.4       0.7164325
           3597.8       0.7053365
           3598.2       0.7009008
           3598.6       0.6983054
            3599.       0.6828707
           3599.4       0.6794598
           3599.8       0.7081853
           3600.2       0.7231981
           3600.6        0.727881
            3601.       0.7324643
           3601.4       0.7088228
           3601.8       0.6576551
           3602.2        0.605144
           3602.6       0.5873144
            3603.       0.5905794
           3603.4       0.5894498
           3603.8       0.5945303
           3604.2       0.6053762
           3604.6       0.6203709
            3605.       0.5978771
           3605.4       0.5776789
           3605.8       0.5846127
           3606.2       0.6164634
           3606.6       0.6393818
            3607.       0.6663123
           3607.4       0.6862994
           3607.8       0.6687724
           3608.2       0.6223475
           3608.6       0.5677957
            3609.       0.5362655
           3609.4       0.5537074
           3609.8       0.5726488
           3610.2        0.565868
           3610.6       0.5645605
            3611.       0.5985807
           3611.4       0.6409912
           3611.8       0.6634721
           3612.2        0.659587
           3612.6       0.6290433
            3613.       0.5775235
           3613.4       0.5344275
           3613.8       0.5324136
           3614.2       0.5631352
           3614.6       0.5996635
            3615.       0.6401851
           3615.4       0.6763149
           3615.8       0.6935514
           3616.2       0.6889625
           3616.6       0.6780602
            3617.       0.6721379
           3617.4       0.6499176
           3617.8       0.6051043
           3618.2       0.5357316
           3618.6       0.4695565
            3619.       0.4488028
           3619.4       0.4835536
           3619.8       0.5474508
           3620.2       0.6012449
           3620.6       0.6280072
            3621.       0.6166743
           3621.4       0.5916549
           3621.8       0.6045558
           3622.2         0.65118
           3622.6       0.6967939
            3623.       0.6955782
           3623.4       0.6538464
           3623.8       0.6134848
           3624.2       0.5969464
           3624.6       0.5973631
            3625.       0.6181111
           3625.4       0.6709726
           3625.8       0.7250586
           3626.2       0.7571898
           3626.6       0.7711415
            3627.       0.7661516
           3627.4       0.7453066
           3627.8       0.7269393
           3628.2       0.7171613
           3628.6       0.7359509
            3629.       0.7522255
           3629.4       0.7433909
           3629.8       0.7154249
           3630.2       0.6564285
           3630.6       0.5664718
            3631.       0.4751137
           3631.4       0.4343915
           3631.8       0.4520273
           3632.2       0.5214016
           3632.6       0.5811101
            3633.       0.6026991
           3633.4       0.6211722
           3633.8       0.6193258
           3634.2       0.5893161
           3634.6       0.5609035
            3635.       0.5666761
           3635.4       0.6033907
           3635.8       0.6312698
           3636.2       0.6291913
           3636.6         0.61114
            3637.       0.6195447
           3637.4       0.6208505
           3637.8       0.6290522
           3638.2       0.6578521
           3638.6       0.6844824
            3639.       0.7162598
           3639.4       0.7232887
           3639.8       0.7172854
           3640.2       0.7143822
           3640.6       0.7061953
            3641.       0.6973624
           3641.4       0.6789614
           3641.8       0.6722125
           3642.2       0.6674735
           3642.6       0.6407794
            3643.       0.6007217
           3643.4       0.5981954
           3643.8       0.6052964
           3644.2       0.6075243
           3644.6       0.5764722
            3645.       0.5417193
           3645.4       0.5518737
           3645.8       0.5936173
           3646.2       0.6409521
           3646.6       0.6694362
            3647.       0.6466711
           3647.4        0.594416
           3647.8       0.5627141
           3648.2       0.5848061
           3648.6       0.6217985
            3649.       0.6323263
           3649.4       0.6021118
           3649.8       0.5820189
           3650.2        0.596357
           3650.6       0.6239377
            3651.       0.6408722
           3651.4       0.6337827
           3651.8       0.6288168
           3652.2       0.6692553
           3652.6       0.7272111
            3653.       0.7407191
           3653.4       0.7137956
           3653.8       0.6968494
           3654.2       0.6983882
           3654.6         0.70882
            3655.       0.6997948
           3655.4       0.6734192
           3655.8       0.6648155
           3656.2       0.6891971
           3656.6       0.7126328
            3657.       0.7165347
           3657.4       0.7169555
           3657.8       0.7004789
           3658.2       0.7048256
           3658.6       0.7271093
            3659.       0.7356604
           3659.4       0.7117867
           3659.8       0.6932923
           3660.2        0.694375
           3660.6        0.715372
            3661.       0.7370326
           3661.4       0.7367195
           3661.8       0.7080522
           3662.2       0.6760844
           3662.6       0.6716768
            3663.        0.670685
           3663.4       0.6647087
           3663.8       0.6525877
           3664.2       0.6375523
           3664.6       0.6457208
            3665.       0.6768602
           3665.4       0.7102516
           3665.8       0.7156621
           3666.2       0.6896687
           3666.6       0.6670636
            3667.       0.6655868
           3667.4       0.6808709
           3667.8       0.6975918
           3668.2       0.6862047
           3668.6       0.6632822
            3669.       0.6243477
           3669.4       0.5847082
           3669.8       0.5801523
           3670.2       0.5970742
           3670.6       0.6292074
            3671.       0.6663796
           3671.4       0.7035419
           3671.8       0.7332054
           3672.2       0.7437916
           3672.6       0.7358544
