#K OBJECT   '216640'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 216640
#K OBJRA    22:54:45.47
#K OBJDEC   -16:16:19.0
#K OBJBMAG  6.700000E+00
#K OBJVMAG  5.560000E+00
#K SPTYPE   K1III
#K OBJRV    -3.630000E+01
#K HDNAME   HD 216640
#K BDNAME   BD-17 6619
#K HIPNAME  HIP 113148
#K SAONAME  SAO 165376
#K VHELIO   -2.28261453937172E+01
#K VLSR     -2.06903103874723E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.450552E+03
#K CMAX1    4.776255E+03
#K PICKTYPE K1III
#K NCOMBINE 5
#K TEFF     4500  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.670000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      3.000000E-02  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     6801.0-6811.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.1529613
           3465.4       0.1253458
           3465.8        0.102935
           3466.2       0.1018618
           3466.6       0.1179686
            3467.       0.1387957
           3467.4       0.1533948
           3467.8        0.179211
           3468.2       0.1841302
           3468.6       0.1784738
            3469.       0.1757095
           3469.4       0.1808693
           3469.8       0.1933545
           3470.2       0.2163448
           3470.6        0.231842
            3471.       0.2158059
           3471.4       0.1887917
           3471.8       0.1672487
           3472.2       0.1443423
           3472.6       0.1340952
            3473.       0.1404357
           3473.4       0.1355461
           3473.8       0.1263358
           3474.2         0.11868
           3474.6       0.1082944
            3475.      0.08951468
           3475.4      0.07732216
           3475.8      0.07344728
           3476.2      0.07134685
           3476.6      0.08242521
            3477.      0.09867949
           3477.4       0.1229005
           3477.8       0.1504892
           3478.2       0.1617102
           3478.6       0.1774054
            3479.       0.1876955
           3479.4       0.1789689
           3479.8       0.1601459
           3480.2       0.1633039
           3480.6       0.1608778
            3481.       0.1556779
           3481.4       0.1689727
           3481.8       0.1732093
           3482.2       0.1754421
           3482.6       0.1581615
            3483.       0.1406027
           3483.4       0.1256961
           3483.8       0.1260416
           3484.2        0.140766
           3484.6       0.1495445
            3485.       0.1376606
           3485.4       0.1331899
           3485.8       0.1456008
           3486.2       0.1701411
           3486.6       0.1983441
            3487.        0.210049
           3487.4       0.2112827
           3487.8       0.2076206
           3488.2        0.187214
           3488.6        0.157562
            3489.       0.1412195
           3489.4       0.1232207
           3489.8      0.09983502
           3490.2      0.08812689
           3490.6      0.08414648
            3491.      0.09302317
           3491.4        0.111019
           3491.8       0.1198807
           3492.2       0.1130687
           3492.6        0.100804
            3493.        0.103911
           3493.4       0.1159858
           3493.8       0.1457421
           3494.2       0.1733195
           3494.6       0.1862554
            3495.       0.1848187
           3495.4       0.1665439
           3495.8       0.1471947
           3496.2       0.1272476
           3496.6       0.1136245
            3497.       0.1094179
           3497.4       0.1009908
           3497.8      0.09968647
           3498.2       0.1259592
           3498.6        0.172067
            3499.       0.2059406
           3499.4       0.2261408
           3499.8       0.2402944
           3500.2       0.2297496
           3500.6       0.2076826
            3501.       0.2026673
           3501.4       0.2086768
           3501.8       0.2043326
           3502.2       0.1966446
           3502.6       0.2034068
            3503.       0.2263353
           3503.4       0.2578031
           3503.8       0.2770259
           3504.2        0.268145
           3504.6       0.2319974
            3505.       0.2053604
           3505.4       0.1919678
           3505.8       0.1927644
           3506.2       0.1856704
           3506.6       0.1751117
            3507.       0.1794376
           3507.4       0.2062141
           3507.8       0.2285717
           3508.2       0.2273682
           3508.6       0.2211861
            3509.       0.1979093
           3509.4        0.177242
           3509.8       0.1500047
           3510.2       0.1285958
           3510.6       0.1313285
            3511.       0.1577207
           3511.4       0.1718683
           3511.8        0.173143
           3512.2       0.1636392
           3512.6       0.1438409
            3513.       0.1293137
           3513.4       0.1175449
           3513.8       0.1039787
           3514.2      0.09943849
           3514.6      0.09202633
            3515.       0.0965719
           3515.4       0.1153705
           3515.8       0.1496511
           3516.2       0.1745076
           3516.6       0.1997059
            3517.       0.2260517
           3517.4       0.2436781
           3517.8       0.2553715
           3518.2       0.2488561
           3518.6       0.2320154
            3519.       0.2257569
           3519.4       0.2046452
           3519.8       0.1835961
           3520.2       0.1702551
           3520.6       0.1588809
            3521.       0.1429972
           3521.4       0.1222241
           3521.8       0.1219882
           3522.2       0.1340689
           3522.6       0.1387907
            3523.       0.1331905
           3523.4        0.116357
           3523.8      0.09206934
           3524.2       0.0735894
           3524.6      0.06765116
            3525.       0.0742219
           3525.4      0.08734109
           3525.8      0.08772639
           3526.2      0.07757296
           3526.6      0.08983762
            3527.       0.1252878
           3527.4       0.1535353
           3527.8       0.1749927
           3528.2       0.1899939
           3528.6       0.2031437
            3529.       0.2129573
           3529.4       0.2019705
           3529.8       0.1856105
           3530.2        0.182481
           3530.6        0.187588
            3531.       0.1924723
           3531.4       0.1833604
           3531.8       0.1561552
           3532.2       0.1379338
           3532.6        0.139644
            3533.       0.1378972
           3533.4       0.1518781
           3533.8       0.1864576
           3534.2       0.2140385
           3534.6       0.2271882
            3535.       0.2228141
           3535.4       0.2111409
           3535.8        0.205775
           3536.2       0.1998116
           3536.6        0.198142
            3537.       0.1969075
           3537.4       0.1899285
           3537.8       0.1824621
           3538.2       0.1824669
           3538.6       0.1991627
            3539.       0.2221836
           3539.4        0.240531
           3539.8       0.2422249
           3540.2       0.2204359
           3540.6       0.1985384
            3541.       0.1749889
           3541.4       0.1661507
           3541.8        0.160062
           3542.2       0.1623974
           3542.6       0.1691759
            3543.        0.171444
           3543.4       0.1821759
           3543.8       0.1957081
           3544.2       0.2136244
           3544.6       0.2235579
            3545.       0.2128754
           3545.4        0.198379
           3545.8        0.186477
           3546.2       0.1916446
           3546.6       0.1913471
            3547.       0.1787859
           3547.4       0.1619574
           3547.8       0.1426423
           3548.2        0.136819
           3548.6       0.1547062
            3549.       0.1854256
           3549.4       0.2028724
           3549.8       0.1838824
           3550.2       0.1619015
           3550.6       0.1648033
            3551.       0.1570383
           3551.4       0.1497677
           3551.8       0.1525739
           3552.2       0.1698151
           3552.6       0.1662942
            3553.       0.1444373
           3553.4        0.132885
           3553.8       0.1259529
           3554.2       0.1169576
           3554.6       0.1185261
            3555.       0.1337568
           3555.4       0.1537808
           3555.8       0.1680388
           3556.2       0.1681331
           3556.6       0.1602804
            3557.       0.1552722
           3557.4        0.159537
           3557.8       0.1529161
           3558.2       0.1258415
           3558.6       0.1054042
            3559.       0.1073292
           3559.4       0.1239979
           3559.8       0.1414568
           3560.2       0.1441685
           3560.6       0.1442518
            3561.       0.1511184
           3561.4       0.1465236
           3561.8       0.1434861
           3562.2       0.1536414
           3562.6       0.1687564
            3563.       0.1826859
           3563.4       0.1825257
           3563.8       0.1723488
           3564.2       0.1550009
           3564.6       0.1203972
            3565.      0.08320976
           3565.4      0.06567414
           3565.8      0.06513114
           3566.2      0.06887703
           3566.6      0.07964311
            3567.       0.1011704
           3567.4       0.1169653
           3567.8       0.1249432
           3568.2       0.1257157
           3568.6       0.1142796
            3569.      0.09389468
           3569.4      0.07465309
           3569.8      0.06195885
           3570.2      0.05772197
           3570.6      0.06425224
            3571.      0.08234393
           3571.4      0.09818771
           3571.8       0.1003774
           3572.2       0.1086796
           3572.6       0.1339093
            3573.       0.1506174
           3573.4       0.1512051
           3573.8       0.1436663
           3574.2       0.1375456
           3574.6       0.1417621
            3575.       0.1438119
           3575.4       0.1366151
           3575.8        0.138469
           3576.2       0.1465459
           3576.6       0.1508118
            3577.       0.1501214
           3577.4       0.1347206
           3577.8       0.1136007
           3578.2      0.08613914
           3578.6        0.066823
            3579.      0.06747713
           3579.4      0.07345936
           3579.8      0.07795504
           3580.2      0.06963501
           3580.6      0.06190005
            3581.      0.04814194
           3581.4      0.03920024
           3581.8      0.04547724
           3582.2      0.05603904
           3582.6      0.07117486
            3583.      0.07664589
           3583.4      0.08325988
           3583.8      0.08867811
           3584.2      0.08034886
           3584.6       0.0717062
            3585.       0.0590603
           3585.4      0.05946963
           3585.8      0.05998391
           3586.2      0.06070627
           3586.6      0.06281397
            3587.      0.06281425
           3587.4      0.06956956
           3587.8      0.07972649
           3588.2      0.08922955
           3588.6      0.09772351
            3589.      0.08765332
           3589.4      0.07868383
           3589.8      0.08369519
           3590.2       0.1040826
           3590.6       0.1381829
            3591.       0.1703435
           3591.4       0.1855049
           3591.8       0.1935318
           3592.2       0.1863082
           3592.6       0.1593938
            3593.       0.1307422
           3593.4         0.10468
           3593.8       0.1042787
           3594.2       0.1202311
           3594.6       0.1465681
            3595.       0.1647685
           3595.4        0.181361
           3595.8        0.209492
           3596.2       0.2323912
           3596.6       0.2495372
            3597.       0.2430159
           3597.4       0.2197975
           3597.8       0.2092893
           3598.2       0.2131428
           3598.6       0.2264375
            3599.       0.2304489
           3599.4       0.2329749
           3599.8       0.2564311
           3600.2       0.2855834
           3600.6       0.2945924
            3601.        0.282555
           3601.4       0.2524695
           3601.8       0.2101456
           3602.2       0.1679025
           3602.6       0.1547388
            3603.       0.1650675
           3603.4       0.1693534
           3603.8       0.1695085
           3604.2       0.1604602
           3604.6       0.1420292
            3605.       0.1123713
           3605.4        0.100458
           3605.8       0.1142448
           3606.2        0.133507
           3606.6        0.157562
            3607.       0.1700103
           3607.4        0.167326
           3607.8        0.153079
           3608.2       0.1217589
           3608.6      0.08983612
            3609.      0.07644019
           3609.4      0.07568143
           3609.8      0.08997284
           3610.2       0.1018014
           3610.6       0.1155007
            3611.       0.1462412
           3611.4       0.1869671
           3611.8       0.1991676
           3612.2       0.1972903
           3612.6       0.1843855
            3613.       0.1641622
           3613.4       0.1578332
           3613.8       0.1638892
           3614.2       0.1781356
           3614.6        0.204971
            3615.       0.2285701
           3615.4       0.2454313
           3615.8        0.252683
           3616.2       0.2349302
           3616.6       0.2292985
            3617.       0.2170544
           3617.4       0.1791403
           3617.8         0.12695
           3618.2      0.08835982
           3618.6      0.06604837
            3619.      0.05743375
           3619.4      0.06920143
           3619.8      0.08841362
           3620.2       0.1171261
           3620.6       0.1491986
            3621.       0.1678484
           3621.4       0.1657964
           3621.8       0.1814935
           3622.2       0.2183448
           3622.6       0.2572196
            3623.       0.2518837
           3623.4       0.2156701
           3623.8       0.1966413
           3624.2       0.1986043
           3624.6       0.2066388
            3625.       0.2240255
           3625.4       0.2574365
           3625.8       0.2942843
           3626.2       0.3208641
           3626.6       0.3325677
            3627.       0.3166701
           3627.4       0.2964182
           3627.8        0.286349
           3628.2       0.2779053
           3628.6       0.2755665
            3629.       0.2821271
           3629.4       0.2778451
           3629.8       0.2478653
           3630.2       0.1946336
           3630.6         0.13335
            3631.      0.09465348
           3631.4      0.07789888
           3631.8      0.08412199
           3632.2      0.09742095
           3632.6         0.12973
            3633.       0.1577855
           3633.4       0.1746324
           3633.8       0.1852152
           3634.2       0.1816885
           3634.6       0.1629829
            3635.       0.1549433
           3635.4       0.1807316
           3635.8       0.2151595
           3636.2       0.2237824
           3636.6       0.2193574
            3637.       0.2186055
           3637.4       0.2279038
           3637.8        0.224716
           3638.2       0.2314826
           3638.6       0.2698176
            3639.       0.2925328
           3639.4       0.2823438
           3639.8       0.2749573
           3640.2       0.2854267
           3640.6       0.2957831
            3641.       0.2878537
           3641.4       0.2727115
           3641.8       0.2623398
           3642.2        0.247311
           3642.6        0.239805
            3643.       0.2408917
           3643.4       0.2424015
           3643.8       0.2473957
           3644.2       0.2344217
           3644.6       0.1986893
            3645.       0.1716892
           3645.4       0.1627135
           3645.8       0.1700087
           3646.2       0.1938191
           3646.6       0.1926604
            3647.       0.1619738
           3647.4       0.1195598
           3647.8      0.09307553
           3648.2       0.1018481
           3648.6       0.1217447
            3649.       0.1392821
           3649.4       0.1472478
           3649.8        0.162859
           3650.2       0.1920532
           3650.6       0.2203147
            3651.       0.2299102
           3651.4       0.2174621
