#K OBJECT   '218470'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 218470
#K OBJRA    23:07:45.38
#K OBJDEC   +49:17:44.8
#K OBJBMAG  6.140000E+00
#K OBJVMAG  5.700000E+00
#K SPTYPE   F5V
#K OBJRV    -2.000000E+00
#K HDNAME   HD 218470
#K BDNAME   BD+48 3944
#K HIPNAME  HIP 114210
#K SAONAME  SAO 52713
#K VHELIO   -2.36001115983812E+00
#K VLSR     7.95817566560396E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.453417E+03
#K CMAX1    4.778047E+03
#K PICKTYPE F5V
#K NCOMBINE 6
#K TEFF     6597  1993A&A...275..101E (Edvardsson)
#K LOGG     4.210000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -1.300000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0
#K GAPS     6798.2-6811.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.7316173
           3465.4       0.7053876
           3465.8       0.6938314
           3466.2       0.7016628
           3466.6       0.7317445
            3467.        0.759667
           3467.4       0.7721832
           3467.8       0.7699232
           3468.2       0.7581456
           3468.6       0.7544085
            3469.       0.7385815
           3469.4       0.7595151
           3469.8       0.7989458
           3470.2       0.8108382
           3470.6       0.7884732
            3471.       0.7761761
           3471.4        0.759399
           3471.8       0.7453099
           3472.2       0.7247419
           3472.6       0.7165758
            3473.       0.7310666
           3473.4       0.7058326
           3473.8        0.669055
           3474.2       0.6451477
           3474.6       0.6354043
            3475.       0.6272454
           3475.4       0.6042711
           3475.8       0.5982997
           3476.2        0.597882
           3476.6       0.6039728
            3477.        0.628366
           3477.4       0.6630271
           3477.8       0.7031864
           3478.2       0.7306327
           3478.6       0.7348577
            3479.       0.7374063
           3479.4       0.7331963
           3479.8       0.7437074
           3480.2       0.7319059
           3480.6       0.7234492
            3481.        0.746276
           3481.4       0.7454367
           3481.8       0.7415168
           3482.2       0.7147655
           3482.6       0.6717312
            3483.       0.6574833
           3483.4       0.6592044
           3483.8       0.6566455
           3484.2       0.6708255
           3484.6        0.697158
            3485.       0.7012283
           3485.4       0.7041976
           3485.8       0.7148043
           3486.2       0.7533212
           3486.6       0.8022474
            3487.       0.8160447
           3487.4        0.792743
           3487.8       0.7599173
           3488.2       0.7209541
           3488.6       0.6834546
            3489.       0.6616741
           3489.4       0.6488878
           3489.8        0.642992
           3490.2         0.64275
           3490.6       0.6597478
            3491.       0.6763442
           3491.4       0.7106599
           3491.8       0.7456333
           3492.2       0.7308473
           3492.6       0.6937306
            3493.       0.6822535
           3493.4       0.6920232
           3493.8       0.7039613
           3494.2       0.7188423
           3494.6       0.7059928
            3495.       0.6460517
           3495.4       0.6049365
           3495.8       0.5723644
           3496.2       0.5667803
           3496.6       0.5781471
            3497.       0.5870314
           3497.4       0.5946296
           3497.8       0.6512969
           3498.2       0.7268803
           3498.6       0.7843475
