#K OBJECT   '218935'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 218935
#K OBJRA    23:11:49.19
#K OBJDEC   +26:50:50.3
#K OBJBMAG  7.110000E+00
#K OBJVMAG  6.170000E+00
#K SPTYPE   G8III-IV
#K OBJRV    -1.020000E+01
#K HDNAME   HD 218935
#K BDNAME   BD+26 4580
#K HIPNAME  HIP 114526
#K SAONAME  SAO 91080
#K VHELIO   -1.12348384889384E+01
#K VLSR     -3.24234611249739E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.449867E+03
#K CMAX1    4.775437E+03
#K PICKTYPE G8III
#K NCOMBINE 6
#K TEFF     4819  Jones..Coude.Feed.Library
#K LOGG     2.540000E+00  Jones..Coude.Feed.Library
#K FEH      -3.100000E-01  Jones..Coude.Feed.Library
#K COVERAGE 3465.0-9469.0
#K GAPS     6798.6-6811.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.2380034
           3465.4       0.1968646
           3465.8       0.1626552
           3466.2       0.1594558
           3466.6        0.179656
            3467.       0.2010527
           3467.4       0.2196533
           3467.8       0.2414348
           3468.2       0.2531038
           3468.6       0.2451074
            3469.       0.2386929
           3469.4       0.2440559
           3469.8       0.2519924
           3470.2       0.2764641
           3470.6       0.2920177
            3471.       0.2754298
           3471.4       0.2450625
           3471.8       0.2149751
           3472.2       0.1941521
           3472.6       0.1891943
            3473.       0.1881822
           3473.4       0.1907112
           3473.8       0.1841638
           3474.2       0.1570887
           3474.6       0.1397879
            3475.       0.1331851
           3475.4       0.1210276
           3475.8       0.1132762
           3476.2       0.1110499
           3476.6       0.1189638
            3477.       0.1360242
           3477.4        0.162201
           3477.8       0.1923949
           3478.2       0.2143729
           3478.6       0.2189242
            3479.       0.2193424
           3479.4       0.2222866
           3479.8       0.2152018
           3480.2       0.2052628
           3480.6       0.2024685
            3481.       0.2104743
           3481.4       0.2156715
           3481.8       0.2224385
           3482.2       0.2163412
           3482.6       0.2021505
            3483.       0.1795528
           3483.4       0.1678009
           3483.8        0.174244
           3484.2       0.1870163
           3484.6        0.191941
            3485.       0.1816202
           3485.4       0.1762086
           3485.8       0.1927423
           3486.2        0.219154
           3486.6       0.2495405
            3487.       0.2716254
           3487.4       0.2843822
           3487.8       0.2700387
           3488.2       0.2427468
           3488.6       0.2084444
            3489.       0.1761423
           3489.4       0.1579577
           3489.8       0.1458488
           3490.2       0.1298432
           3490.6       0.1190993
            3491.       0.1309269
           3491.4        0.163822
           3491.8       0.1863024
           3492.2       0.1751072
           3492.6       0.1521114
            3493.       0.1399402
           3493.4       0.1605993
           3493.8       0.1944288
           3494.2       0.2252813
           3494.6       0.2403398
            3495.       0.2275877
           3495.4       0.2018327
           3495.8       0.1786092
           3496.2       0.1596922
           3496.6       0.1520326
            3497.       0.1425428
           3497.4       0.1366366
           3497.8        0.143826
           3498.2       0.1750905
           3498.6         0.21963
            3499.       0.2616178
           3499.4        0.287823
           3499.8       0.2915966
           3500.2       0.2750424
           3500.6       0.2600318
            3501.       0.2664842
           3501.4       0.2739475
           3501.8       0.2616715
           3502.2        0.247432
           3502.6       0.2515847
            3503.       0.2901192
           3503.4       0.3285092
           3503.8       0.3375039
           3504.2       0.3170117
           3504.6       0.2725556
            3505.       0.2373583
           3505.4       0.2330631
           3505.8       0.2285113
           3506.2       0.2137704
           3506.6       0.2177866
            3507.       0.2349224
           3507.4         0.25958
           3507.8       0.2773309
           3508.2       0.2801864
           3508.6       0.2787073
            3509.        0.262785
           3509.4       0.2357442
           3509.8       0.2011043
           3510.2       0.1773998
           3510.6       0.1862744
            3511.       0.2173347
           3511.4       0.2384318
           3511.8       0.2328459
           3512.2       0.2132346
           3512.6       0.1969615
            3513.       0.1792151
           3513.4       0.1631248
           3513.8       0.1479167
           3514.2       0.1447526
           3514.6       0.1431459
            3515.       0.1437541
           3515.4       0.1640854
           3515.8       0.2113813
           3516.2        0.248423
