#K OBJECT   '219615'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 219615
#K OBJRA    23:17:09.94
#K OBJDEC   +03:16:56.2
#K OBJBMAG  4.610000E+00
#K OBJVMAG  3.690000E+00
#K SPTYPE   G9III:
#K OBJRV    -1.360000E+01
#K HDNAME   HD 219615
#K BDNAME   BD+02 4648
#K HIPNAME  HIP 114971
#K SAONAME  SAO 128085
#K VHELIO   -1.49491949758559E+01
#K VLSR     -1.08762441500765E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.453405E+03
#K CMAX1    4.778030E+03
#K PICKTYPE G8III
#K NCOMBINE 5
#K TEFF     4900  1991ApJS...75..579L (Luck)
#K LOGG     2.380000E+00  1991ApJS...75..579L (Luck)
#K FEH      -4.400000E-01  1991ApJS...75..579L (Luck)
#K COVERAGE 3465.0-9469.0
#K GAPS     6799.0-6811.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.2413125
           3465.4       0.2037981
           3465.8       0.1852383
           3466.2       0.1891232
           3466.6       0.2021365
            3467.       0.2151443
           3467.4       0.2315734
           3467.8       0.2481081
           3468.2       0.2469693
           3468.6       0.2371173
            3469.       0.2313932
           3469.4       0.2382423
           3469.8       0.2551214
           3470.2       0.2707345
           3470.6       0.2716943
            3471.       0.2606889
           3471.4       0.2366599
           3471.8       0.2144137
           3472.2       0.2083607
           3472.6       0.2062874
            3473.       0.1997843
           3473.4       0.1904819
           3473.8       0.1761294
           3474.2       0.1685787
           3474.6       0.1604569
            3475.        0.152624
           3475.4       0.1423936
           3475.8        0.137776
           3476.2       0.1331096
           3476.6       0.1309294
            3477.       0.1423046
           3477.4       0.1705012
           3477.8       0.1953466
           3478.2       0.2030701
           3478.6       0.2050533
            3479.       0.2067982
           3479.4       0.2035094
           3479.8       0.1961423
           3480.2        0.198732
           3480.6       0.2101445
            3481.       0.2132442
           3481.4       0.2185129
           3481.8       0.2237619
           3482.2       0.2174219
           3482.6       0.2012262
            3483.       0.1857523
           3483.4       0.1772361
           3483.8       0.1825072
           3484.2       0.1946836
           3484.6       0.1939923
            3485.       0.1912892
           3485.4       0.1901682
           3485.8        0.210501
           3486.2       0.2342081
           3486.6       0.2573062
            3487.       0.2672973
           3487.4       0.2625349
           3487.8       0.2473781
           3488.2       0.2284151
           3488.6       0.2110469
            3489.       0.1942825
           3489.4       0.1780152
           3489.8       0.1628127
           3490.2       0.1470511
           3490.6       0.1427878
            3491.       0.1668226
           3491.4       0.1904719
           3491.8       0.1996685
           3492.2        0.183928
           3492.6       0.1618183
            3493.       0.1563151
           3493.4       0.1757314
           3493.8       0.1991034
           3494.2       0.2114244
           3494.6        0.212983
            3495.       0.1996646
           3495.4       0.1840436
           3495.8       0.1629647
           3496.2       0.1515002
           3496.6       0.1479312
            3497.       0.1500325
           3497.4       0.1502959
           3497.8       0.1663248
           3498.2       0.1943008
           3498.6       0.2263489
            3499.       0.2497104
           3499.4       0.2582209
           3499.8       0.2569028
           3500.2       0.2479764
           3500.6         0.24407
            3501.       0.2463761
           3501.4       0.2504438
           3501.8       0.2399872
           3502.2       0.2332288
           3502.6       0.2506416
            3503.       0.2757103
           3503.4       0.2919624
           3503.8       0.2938915
           3504.2        0.274917
           3504.6       0.2415792
            3505.       0.2157313
           3505.4       0.2054245
           3505.8       0.2015576
           3506.2       0.2030544
           3506.6         0.21106
            3507.       0.2222859
           3507.4       0.2390456
           3507.8       0.2499129
           3508.2       0.2577347
           3508.6       0.2613106
            3509.       0.2494761
           3509.4       0.2262951
           3509.8       0.2011678
           3510.2        0.186622
           3510.6       0.1924392
            3511.       0.2104484
           3511.4       0.2266132
           3511.8       0.2194976
           3512.2       0.2024037
           3512.6       0.1923898
            3513.       0.1797911
           3513.4        0.164392
           3513.8       0.1602215
           3514.2       0.1627036
           3514.6       0.1606186
            3515.       0.1641867
           3515.4       0.1853968
           3515.8       0.2131827
           3516.2       0.2334457
           3516.6       0.2485041
            3517.       0.2616819
