#K OBJECT   '22049'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 22049
#K OBJRA    03:32:55.84
#K OBJDEC   -09:27:29.7
#K OBJBMAG  4.610000E+00
#K OBJVMAG  3.730000E+00
#K SPTYPE   K2V
#K OBJRV    1.550000E+01
#K HDNAME   HD 22049
#K BDNAME   BD-09 697
#K HIPNAME  HIP 16537
#K SAONAME  SAO 130564
#K VHELIO   -2.69062946038521E+01
#K VLSR     -4.20629016202837E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.434078E+03
#K CMAX1    4.762211E+03
#K PICKTYPE K2V
#K NCOMBINE 6
#K TEFF     5110  1999ApJ...523..234T (Tomkin)
#K LOGG     4.380000E+00  1999ApJ...523..234T (Tomkin)
#K FEH      -1.400000E-01  1999ApJ...523..234T (Tomkin)
#K COVERAGE 3465.0-9469.0
#K GAPS     8126.2-8145.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.2376783
           3465.4       0.1873332
           3465.8       0.1486876
           3466.2       0.1466344
           3466.6       0.1794636
            3467.       0.2152683
           3467.4       0.2439842
           3467.8       0.2816691
           3468.2       0.3033187
           3468.6       0.3063001
            3469.       0.2910228
           3469.4       0.2811143
           3469.8       0.3088883
           3470.2       0.3346772
           3470.6       0.3343145
            3471.        0.315592
           3471.4       0.2808654
           3471.8       0.2492238
           3472.2       0.2143061
           3472.6       0.1953426
            3473.       0.1999314
           3473.4       0.1945371
           3473.8       0.1857043
           3474.2       0.1721843
           3474.6        0.145963
            3475.        0.112921
           3475.4       0.1016343
           3475.8        0.103605
           3476.2      0.09963191
           3476.6       0.1076307
            3477.       0.1376747
           3477.4       0.1803716
           3477.8       0.2246292
           3478.2        0.255049
           3478.6       0.2720754
            3479.       0.2818299
           3479.4       0.2918651
           3479.8       0.2878359
           3480.2       0.2862629
           3480.6        0.284572
            3481.       0.2867257
           3481.4       0.2967445
           3481.8       0.2928296
           3482.2       0.2741444
           3482.6       0.2532896
            3483.       0.2267172
