#K OBJECT   '220954'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 220954
#K OBJRA    23:27:58.10
#K OBJDEC   +06:22:44.4
#K OBJBMAG  5.346000E+00
#K OBJVMAG  4.280000E+00
#K SPTYPE   K1III
#K OBJRV    5.800000E+00
#K HDNAME   HD 220954
#K BDNAME   BD+05 5173
#K HIPNAME  HIP 115830
#K SAONAME  SAO 128196
#K VHELIO   -1.31877751211375E+01
#K VLSR     -9.39063217809408E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.453202E+03
#K CMAX1    4.777750E+03
#K PICKTYPE K1III
#K NCOMBINE 6
#K TEFF     4625  1995AJ....110.2968L (Luck)
#K LOGG     1.950000E+00  1995AJ....110.2968L (Luck)
#K FEH      -8.000000E-02  1995AJ....110.2968L (Luck)
#K COVERAGE 3465.0-9469.0
#K GAPS     6798.6-6811.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.1690701
           3465.4       0.1385702
           3465.8       0.1235787
           3466.2       0.1200326
           3466.6       0.1293285
            3467.        0.146619
           3467.4       0.1656669
           3467.8        0.176163
           3468.2       0.1836339
           3468.6       0.1831116
            3469.       0.1748068
           3469.4       0.1785338
           3469.8       0.2004776
           3470.2       0.2218176
           3470.6       0.2235591
            3471.       0.2055071
           3471.4        0.182241
           3471.8        0.158553
           3472.2       0.1486742
           3472.6        0.140462
            3473.       0.1407803
           3473.4       0.1379041
           3473.8       0.1279542
           3474.2       0.1168964
           3474.6       0.1083279
            3475.      0.09885719
           3475.4      0.08862897
           3475.8      0.08442128
           3476.2      0.08558686
           3476.6      0.09055715
            3477.       0.1063728
           3477.4       0.1316059
           3477.8       0.1498998
           3478.2       0.1584206
           3478.6       0.1630732
            3479.       0.1659831
           3479.4       0.1657854
           3479.8       0.1560004
           3480.2       0.1479069
           3480.6       0.1490811
            3481.       0.1552766
           3481.4       0.1638287
           3481.8       0.1620433
           3482.2        0.155988
           3482.6        0.145405
            3483.       0.1297755
           3483.4       0.1196913
           3483.8       0.1296429
           3484.2       0.1415574
