#K OBJECT   '222107'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 222107
#K OBJRA    23:37:33.84
#K OBJDEC   +46:27:29.3
#K OBJBMAG  4.900000E+00
#K OBJVMAG  3.820000E+00
#K SPTYPE   G8III
#K OBJRV    6.800000E+00
#K HDNAME   HD 222107
#K BDNAME   BD+45 4283
#K HIPNAME  HIP 116584
#K SAONAME  SAO 53204
#K VHELIO   -1.24903318852149E+00
#K VLSR     7.36565581604523E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.453329E+03
#K CMAX1    4.777925E+03
#K PICKTYPE G8III
#K NCOMBINE 4
#K TEFF     4550  1998A&A...338..623M (Mallik)
#K LOGG     3.110000E+00  1998A&A...338..623M (Mallik)
#K FEH      -4.300000E-01  1998A&A...338..623M (Mallik)
#K COVERAGE 3465.0-8073.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.2428366
           3465.4       0.1940079
           3465.8       0.1766099
           3466.2       0.1777602
           3466.6       0.1972939
            3467.       0.2185761
           3467.4       0.2359362
           3467.8       0.2513095
           3468.2       0.2567093
           3468.6       0.2505028
            3469.       0.2421569
           3469.4       0.2474892
           3469.8       0.2678062
           3470.2       0.2794163
           3470.6       0.2792713
            3471.       0.2635681
           3471.4       0.2400474
           3471.8       0.2166549
           3472.2       0.2026347
           3472.6       0.1964971
            3473.       0.1931611
           3473.4       0.1847524
           3473.8       0.1709042
           3474.2       0.1594045
           3474.6       0.1511663
            3475.       0.1447645
           3475.4       0.1349681
           3475.8       0.1295233
           3476.2       0.1270116
           3476.6       0.1335121
            3477.       0.1528443
           3477.4       0.1811469
           3477.8       0.2013008
           3478.2       0.2118516
           3478.6       0.2134654
            3479.       0.2125297
           3479.4       0.2139891
           3479.8       0.2115635
           3480.2       0.2117838
           3480.6       0.2118701
            3481.       0.2182513
           3481.4       0.2240043
           3481.8        0.227986
           3482.2       0.2246247
           3482.6       0.2017485
            3483.       0.1824593
           3483.4       0.1744389
           3483.8       0.1805258
           3484.2       0.1928813
           3484.6       0.1960368
            3485.       0.1921013
           3485.4       0.1954968
           3485.8       0.2202347
           3486.2       0.2347222
           3486.6       0.2532451
            3487.       0.2647641
           3487.4       0.2644037
           3487.8        0.241327
           3488.2       0.2195472
           3488.6       0.1968941
            3489.       0.1787911
           3489.4       0.1649726
           3489.8        0.143794
           3490.2         0.12964
           3490.6       0.1288286
            3491.       0.1409801
           3491.4       0.1743545
           3491.8        0.179453
           3492.2       0.1656613
           3492.6       0.1526547
            3493.       0.1514089
           3493.4       0.1579622
           3493.8       0.1854687
           3494.2       0.2112163
           3494.6        0.216638
            3495.       0.1984287
           3495.4       0.1718961
           3495.8       0.1605539
           3496.2       0.1474131
           3496.6       0.1435067
            3497.       0.1406413
           3497.4       0.1434342
           3497.8       0.1519985
           3498.2       0.1918396
           3498.6       0.2318299
            3499.        0.251559
           3499.4       0.2588938
           3499.8       0.2543227
           3500.2       0.2392012
           3500.6       0.2311917
            3501.       0.2379671
           3501.4       0.2418803
           3501.8       0.2329989
           3502.2       0.2265953
           3502.6       0.2483108
            3503.       0.2775434
           3503.4       0.2937948
           3503.8        0.284384
           3504.2       0.2842651
           3504.6       0.2502241
            3505.       0.2137032
           3505.4       0.2070106
           3505.8       0.2020326
           3506.2       0.2029503
           3506.6       0.2086879
            3507.       0.2199729
           3507.4       0.2375887
           3507.8       0.2544268
           3508.2        0.258525
           3508.6       0.2579186
            3509.       0.2423964
           3509.4       0.2053876
           3509.8       0.1752935
           3510.2       0.1670563
           3510.6       0.1783129
            3511.       0.2011377
           3511.4       0.2142742
           3511.8       0.2073492
           3512.2       0.1935639
           3512.6       0.1806527
            3513.       0.1687391
           3513.4       0.1561517
           3513.8       0.1484658
           3514.2         0.14541
           3514.6       0.1479896
            3515.       0.1509053
           3515.4       0.1653829
           3515.8        0.199979
           3516.2       0.2300045
           3516.6       0.2466071
            3517.       0.2661442
           3517.4       0.2801351
           3517.8       0.2826854
           3518.2       0.2743993
           3518.6       0.2641445
            3519.       0.2541817
           3519.4        0.246395
           3519.8       0.2243878
           3520.2        0.205645
           3520.6       0.1926701
            3521.       0.1762196
           3521.4       0.1689349
           3521.8       0.1769044
           3522.2         0.18927
           3522.6       0.1902642
            3523.       0.1707962
           3523.4       0.1548062
           3523.8       0.1283972
           3524.2        0.116766
           3524.6       0.1309675
            3525.       0.1405255
           3525.4       0.1448895
           3525.8       0.1342732
           3526.2       0.1187717
           3526.6         0.14276
            3527.       0.1797619
           3527.4       0.1944905
           3527.8        0.215137
           3528.2       0.2310653
           3528.6       0.2443503
            3529.       0.2444144
           3529.4       0.2361408
           3529.8       0.2321268
           3530.2        0.232634
           3530.6       0.2376604
            3531.       0.2394481
           3531.4       0.2221621
           3531.8       0.2077299
           3532.2       0.2039202
           3532.6       0.1991635
            3533.       0.2078727
           3533.4       0.2265306
           3533.8        0.246753
           3534.2       0.2713468
           3534.6       0.2737998
            3535.       0.2589979
           3535.4       0.2484346
           3535.8       0.2478536
           3536.2       0.2503642
           3536.6       0.2540134
            3537.       0.2493952
           3537.4       0.2386553
           3537.8       0.2364367
           3538.2       0.2494036
           3538.6       0.2763419
            3539.       0.3030283
           3539.4       0.3148498
           3539.8       0.3036191
           3540.2       0.2807929
           3540.6       0.2499514
            3541.       0.2385587
           3541.4       0.2361345
           3541.8       0.2359513
           3542.2       0.2362303
           3542.6         0.24284
            3543.       0.2556154
           3543.4       0.2646947
           3543.8       0.2721705
           3544.2       0.2779832
           3544.6       0.2792933
            3545.       0.2654703
           3545.4       0.2538124
           3545.8       0.2552798
           3546.2       0.2642554
           3546.6       0.2636739
            3547.       0.2501016
           3547.4       0.2286547
           3547.8       0.2173587
           3548.2       0.2252342
           3548.6       0.2465528
            3549.       0.2701414
           3549.4       0.2769465
           3549.8        0.269527
           3550.2       0.2580041
           3550.6       0.2515492
            3551.       0.2486831
           3551.4       0.2441218
           3551.8       0.2430776
           3552.2       0.2421285
           3552.6       0.2294981
            3553.        0.212262
           3553.4       0.2011254
           3553.8       0.1964764
           3554.2       0.1943078
           3554.6       0.2031053
            3555.       0.2318684
           3555.4       0.2467203
           3555.8       0.2667869
           3556.2       0.2600903
           3556.6       0.2425851
            3557.       0.2451903
           3557.4       0.2531503
           3557.8       0.2286397
           3558.2       0.2033261
           3558.6       0.1981984
            3559.       0.2023573
           3559.4       0.2187473
           3559.8       0.2322039
           3560.2        0.230508
           3560.6       0.2208338
            3561.       0.2167282
           3561.4        0.220968
           3561.8       0.2372081
           3562.2       0.2585067
           3562.6       0.2787403
            3563.       0.2909925
           3563.4       0.2891682
           3563.8       0.2599238
           3564.2       0.2194697
           3564.6       0.1830704
            3565.        0.144889
           3565.4       0.1240048
           3565.8       0.1186174
           3566.2       0.1366649
           3566.6       0.1522619
            3567.       0.1839337
           3567.4       0.2093059
           3567.8       0.2145509
           3568.2       0.2038969
           3568.6       0.1854301
            3569.       0.1600049
           3569.4       0.1297739
           3569.8       0.1143105
           3570.2        0.123493
           3570.6       0.1436728
            3571.       0.1675071
           3571.4       0.1776842
           3571.8       0.1788169
           3572.2       0.1872768
           3572.6       0.2146918
            3573.       0.2270818
           3573.4       0.2227212
           3573.8       0.2151421
           3574.2        0.213091
           3574.6       0.2123957
            3575.       0.2084532
           3575.4       0.2084777
           3575.8       0.2158111
           3576.2       0.2255573
           3576.6       0.2291691
            3577.       0.2310531
           3577.4       0.2214228
           3577.8       0.2048688
           3578.2        0.166368
           3578.6       0.1507529
            3579.       0.1630299
           3579.4       0.1725292
           3579.8       0.1740549
           3580.2       0.1476414
           3580.6       0.1077428
            3581.      0.09788963
           3581.4      0.09255347
           3581.8       0.1053008
           3582.2       0.1292557
           3582.6       0.1498896
            3583.       0.1646316
           3583.4       0.1714588
           3583.8       0.1706568
           3584.2        0.146901
           3584.6       0.1189309
            3585.       0.1065283
           3585.4       0.1009277
           3585.8       0.1063243
           3586.2       0.1219869
           3586.6        0.124593
            3587.       0.1283208
           3587.4       0.1434629
           3587.8        0.154486
           3588.2        0.165951
           3588.6       0.1663701
            3589.       0.1581669
           3589.4        0.154756
           3589.8       0.1604286
           3590.2       0.1828432
           3590.6       0.2363895
            3591.       0.2842838
           3591.4       0.2918707
           3591.8       0.2873896
           3592.2       0.2733907
           3592.6       0.2545759
            3593.       0.2142294
           3593.4       0.2073497
           3593.8       0.2156969
           3594.2       0.2412933
           3594.6       0.2555624
            3595.       0.2672237
           3595.4       0.2811058
           3595.8       0.2948883
           3596.2        0.313924
           3596.6       0.3273736
            3597.        0.321048
           3597.4       0.3027164
           3597.8       0.3015267
           3598.2       0.3056819
           3598.6       0.3129934
            3599.       0.3179495
           3599.4       0.3266023
           3599.8        0.345387
           3600.2       0.3620802
           3600.6       0.3655271
            3601.        0.353169
           3601.4        0.305295
           3601.8       0.2501028
           3602.2       0.2341317
           3602.6       0.2296948
            3603.       0.2406325
           3603.4       0.2442907
           3603.8        0.245519
           3604.2       0.2464558
           3604.6       0.2225754
            3605.       0.2036731
           3605.4       0.2014636
           3605.8       0.2207473
           3606.2       0.2418538
           3606.6       0.2585329
            3607.       0.2746401
           3607.4       0.2749017
           3607.8       0.2556982
           3608.2       0.2033227
           3608.6       0.1478097
            3609.       0.1436568
           3609.4       0.1571114
           3609.8       0.1697736
           3610.2       0.1843505
           3610.6       0.2013605
            3611.       0.2346266
           3611.4       0.2667066
           3611.8       0.2794833
           3612.2       0.2675157
           3612.6       0.2386487
            3613.       0.2187588
           3613.4       0.2091713
           3613.8       0.2252522
           3614.2       0.2505242
           3614.6       0.2801089
            3615.       0.3048952
           3615.4       0.3201139
           3615.8       0.3184913
           3616.2       0.3090952
           3616.6        0.302295
            3617.       0.2922009
           3617.4       0.2411444
           3617.8       0.1796989
           3618.2       0.1577139
           3618.6       0.1212529
            3619.       0.1179193
           3619.4       0.1466219
           3619.8       0.1608719
           3620.2       0.2125941
           3620.6       0.2390712
            3621.       0.2450311
           3621.4       0.2549048
           3621.8       0.2800683
           3622.2        0.319521
           3622.6       0.3459534
            3623.       0.3264734
           3623.4       0.2823978
           3623.8       0.2629033
           3624.2       0.2556783
           3624.6       0.2680023
            3625.       0.2908223
           3625.4       0.3231668
           3625.8       0.3709436
           3626.2        0.399594
           3626.6       0.3989079
            3627.         0.37484
           3627.4       0.3554342
           3627.8       0.3481757
           3628.2       0.3443747
           3628.6       0.3528457
            3629.       0.3602912
           3629.4       0.3525122
           3629.8       0.3203711
           3630.2       0.2300605
           3630.6       0.1797206
            3631.         0.14432
           3631.4       0.1315743
           3631.8       0.1477515
           3632.2       0.1865816
           3632.6       0.2261167
            3633.       0.2474952
           3633.4       0.2574825
           3633.8       0.2549163
           3634.2        0.235608
           3634.6       0.2220734
            3635.       0.2210131
           3635.4       0.2464978
           3635.8       0.2732323
           3636.2       0.2787853
           3636.6       0.2768845
            3637.       0.2825966
           3637.4       0.2857508
           3637.8       0.2901338
           3638.2       0.3016256
           3638.6       0.3311656
            3639.       0.3599039
           3639.4       0.3564059
           3639.8       0.3574248
           3640.2       0.3646801
           3640.6       0.3611337
            3641.       0.3549229
           3641.4       0.3311016
           3641.8       0.3133414
           3642.2        0.303261
           3642.6       0.2914717
            3643.        0.286985
           3643.4       0.2930566
           3643.8       0.2928338
           3644.2       0.2807455
           3644.6       0.2560241
            3645.       0.2254492
           3645.4       0.2293026
           3645.8       0.2494087
           3646.2       0.2757198
           3646.6       0.2768629
            3647.       0.2481271
           3647.4       0.1932517
           3647.8       0.1763447
           3648.2       0.1944216
           3648.6       0.2211252
            3649.       0.2387043
           3649.4       0.2377139
           3649.8        0.246351
           3650.2       0.2737632
           3650.6       0.2944929
            3651.       0.2994286
           3651.4       0.2882032
           3651.8       0.2896295
           3652.2        0.335868
           3652.6        0.367966
            3653.       0.3669003
           3653.4       0.3427255
           3653.8       0.3283746
           3654.2       0.3381242
           3654.6       0.3453667
            3655.       0.3388479
           3655.4       0.3374574
           3655.8       0.3513927
           3656.2       0.3703344
           3656.6       0.3847474
            3657.       0.3836161
           3657.4       0.3715199
           3657.8       0.3702278
           3658.2       0.3886781
           3658.6       0.4150009
            3659.       0.4183372
           3659.4       0.3991548
           3659.8       0.3738163
           3660.2        0.359253
           3660.6        0.369947
            3661.       0.3845195
           3661.4       0.3925477
           3661.8       0.3835573
           3662.2       0.3678355
           3662.6         0.35596
            3663.       0.3433585
           3663.4       0.3282622
           3663.8       0.3102598
           3664.2       0.3067879
           3664.6       0.3221573
            3665.       0.3627683
           3665.4       0.3983604
           3665.8       0.3748977
           3666.2       0.3336225
           3666.6       0.3241318
            3667.       0.3361638
           3667.4       0.3673243
           3667.8       0.3721707
           3668.2       0.3480668
           3668.6       0.3197354
            3669.       0.2854108
           3669.4       0.2671723
           3669.8       0.2729445
           3670.2       0.2908773
           3670.6       0.3109152
            3671.       0.3360547
           3671.4       0.3729079
           3671.8       0.3943567
           3672.2       0.4047011
           3672.6       0.3981147
            3673.       0.3782196
           3673.4       0.3533154
           3673.8       0.3440557
           3674.2       0.3418412
           3674.6       0.3511357
            3675.       0.3864197
           3675.4       0.4068465
           3675.8       0.3865395
           3676.2       0.3592626
           3676.6       0.3341478
            3677.       0.3033924
           3677.4       0.2804582
           3677.8       0.2834147
           3678.2       0.3105793
           3678.6       0.3256562
            3679.       0.3005857
           3679.4       0.2549333
           3679.8       0.2310671
           3680.2        0.240469
           3680.6       0.2642213
            3681.       0.3017036
           3681.4       0.3392427
           3681.8       0.3413721
           3682.2       0.3240904
           3682.6       0.3121732
