#K OBJECT   '222439'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 222439
#K OBJRA    23:40:24.51
#K OBJDEC   +44:20:02.2
#K OBJBMAG  4.076000E+00
#K OBJVMAG  4.137000E+00
#K SPTYPE   B9IVn
#K OBJRV    -9
#K HDNAME   HD 222439
#K BDNAME   BD+43 4522
#K HIPNAME  HIP 116805
#K SAONAME  SAO 53264
#K VHELIO   -1.67858053529319E+00
#K VLSR     6.57496122110086E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.453505E+03
#K CMAX1    4.778169E+03
#K PICKTYPE B9V
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9443.8
#K GAPS     8073.8-8106.2

#      wavelength        spectrum
#       angstroms                

            3465.        1.245857
           3465.4        1.245024
           3465.8        1.246664
           3466.2        1.239985
           3466.6        1.228401
            3467.        1.238441
           3467.4         1.24653
           3467.8        1.243051
           3468.2        1.228448
           3468.6        1.236027
            3469.        1.235915
           3469.4        1.231574
           3469.8        1.231771
           3470.2        1.235179
           3470.6        1.227228
            3471.        1.219329
           3471.4        1.221662
           3471.8          1.2226
           3472.2        1.217756
           3472.6        1.205497
            3473.         1.19715
           3473.4        1.195365
           3473.8         1.18416
           3474.2         1.19493
           3474.6        1.206855
            3475.        1.198239
           3475.4        1.193322
           3475.8        1.204191
           3476.2        1.197564
           3476.6        1.201389
            3477.        1.212025
           3477.4        1.200236
           3477.8         1.21131
           3478.2        1.207999
           3478.6        1.208003
            3479.        1.207293
           3479.4        1.214303
           3479.8        1.214654
           3480.2        1.200529
           3480.6        1.203086
            3481.        1.207543
           3481.4        1.191022
           3481.8         1.18183
           3482.2        1.190775
           3482.6        1.194085
            3483.         1.19376
           3483.4        1.193724
           3483.8        1.191356
           3484.2        1.201803
           3484.6        1.195605
            3485.        1.194025
           3485.4         1.20466
           3485.8        1.198928
           3486.2        1.194184
           3486.6        1.196076
            3487.         1.18885
           3487.4        1.187423
           3487.8        1.190196
           3488.2        1.178493
           3488.6        1.173765
            3489.        1.176574
           3489.4        1.180652
           3489.8        1.179544
           3490.2        1.183207
           3490.6         1.18144
            3491.         1.19013
           3491.4        1.188846
           3491.8          1.1874
           3492.2        1.179756
           3492.6        1.176653
            3493.         1.18468
           3493.4        1.171154
           3493.8        1.151352
           3494.2        1.152147
           3494.6        1.171184
            3495.        1.164444
           3495.4        1.160789
           3495.8        1.168854
           3496.2        1.173077
           3496.6        1.165525
            3497.        1.173723
           3497.4        1.179328
           3497.8        1.179718
           3498.2        1.181372
           3498.6        1.180347
            3499.        1.188683
           3499.4        1.188229
           3499.8        1.195044
           3500.2        1.185474
           3500.6        1.177591
            3501.        1.187488
           3501.4        1.184664
           3501.8        1.184474
           3502.2        1.186698
           3502.6        1.190791
            3503.        1.191748
           3503.4         1.18416
           3503.8        1.184879
           3504.2        1.188438
           3504.6        1.178316
            3505.        1.177329
           3505.4        1.173551
           3505.8        1.176073
           3506.2        1.174047
           3506.6        1.184957
            3507.        1.184645
           3507.4        1.196026
           3507.8        1.197276
           3508.2        1.187329
           3508.6        1.187668
            3509.         1.18609
           3509.4        1.179171
           3509.8        1.179102
           3510.2        1.185785
           3510.6        1.181762
            3511.        1.180435
           3511.4        1.174785
           3511.8        1.186051
           3512.2        1.178994
           3512.6        1.177892
            3513.         1.18004
           3513.4         1.17424
           3513.8        1.169745
           3514.2        1.169845
           3514.6        1.175983
            3515.         1.18594
           3515.4        1.187206
           3515.8        1.176496
           3516.2        1.175151
           3516.6         1.17777
            3517.        1.198074
           3517.4        1.183309
           3517.8        1.182548
           3518.2         1.18043
           3518.6         1.17897
            3519.        1.177501
           3519.4        1.171167
           3519.8        1.178592
           3520.2        1.185153
           3520.6        1.187596
            3521.        1.185059
           3521.4        1.165273
           3521.8        1.174442
           3522.2        1.183543
           3522.6        1.190396
            3523.         1.19082
           3523.4        1.191483
           3523.8        1.189506
           3524.2        1.191134
           3524.6        1.186876
            3525.        1.174582
           3525.4        1.178879
           3525.8        1.177215
           3526.2        1.164304
           3526.6        1.187797
            3527.        1.181509
           3527.4        1.180221
           3527.8        1.190523
           3528.2        1.170486
           3528.6         1.17786
            3529.        1.185688
           3529.4        1.183439
           3529.8        1.179257
           3530.2        1.174448
           3530.6        1.182136
            3531.        1.181819
           3531.4        1.185282
           3531.8        1.191032
           3532.2        1.177486
           3532.6        1.180571
            3533.        1.181258
           3533.4        1.182326
           3533.8        1.170858
           3534.2        1.170184
           3534.6        1.181012
            3535.        1.180457
           3535.4        1.179912
           3535.8        1.178652
           3536.2        1.175531
           3536.6        1.188531
            3537.        1.177322
           3537.4        1.181181
           3537.8        1.187023
           3538.2         1.18749
           3538.6        1.189472
            3539.        1.190146
           3539.4        1.185533
           3539.8        1.187817
           3540.2        1.183019
           3540.6        1.174312
            3541.         1.18249
           3541.4        1.184729
           3541.8        1.173261
           3542.2        1.178311
           3542.6        1.188259
            3543.        1.191758
           3543.4        1.195758
           3543.8        1.197433
           3544.2        1.196049
           3544.6        1.188222
            3545.        1.187673
           3545.4        1.196709
           3545.8        1.195383
           3546.2        1.184986
