#K OBJECT   '223047'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 223047
#K OBJRA    23:46:02.05
#K OBJDEC   +46:25:13.0
#K OBJBMAG  6.067000E+00
#K OBJVMAG  4.982000E+00
#K SPTYPE   G5Ib+...
#K OBJRV    -2.480000E+01
#K HDNAME   HD 223047
#K BDNAME   BD+45 4321
#K HIPNAME  HIP 117221
#K SAONAME  SAO 53355
#K VHELIO   -2.23002459762644E+01
#K VLSR     -1.41267836505042E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.444204E+03
#K CMAX1    4.769666E+03
#K PICKTYPE G5I
#K NCOMBINE 4
#K TEFF     4990  1982ApJ...256..177L (Luck)
#K LOGG     1.500000E+00  1982ApJ...256..177L (Luck)
#K FEH      1.000000E-01  1982ApJ...256..177L (Luck)
#K COVERAGE 3465.0-8121.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.2164525
           3465.4         0.19934
           3465.8        0.169075
           3466.2       0.1578691
           3466.6       0.1544339
            3467.       0.1682361
           3467.4       0.1830905
           3467.8       0.1907232
           3468.2        0.201894
           3468.6       0.2037332
            3469.       0.1927338
           3469.4       0.1907835
           3469.8       0.2036101
           3470.2       0.2271321
           3470.6       0.2325576
            3471.       0.2248571
           3471.4       0.2103342
           3471.8       0.1964362
           3472.2        0.185949
           3472.6        0.173636
            3473.       0.1656371
           3473.4       0.1632711
           3473.8       0.1558268
           3474.2       0.1463542
           3474.6       0.1450846
            3475.       0.1452854
           3475.4       0.1417211
           3475.8       0.1393508
           3476.2       0.1373058
           3476.6        0.134427
            3477.       0.1371869
           3477.4       0.1426753
           3477.8       0.1585598
           3478.2       0.1702222
           3478.6       0.1759698
            3479.       0.1721831
           3479.4       0.1626321
           3479.8       0.1630612
           3480.2       0.1636296
           3480.6       0.1651817
            3481.       0.1700346
           3481.4       0.1712597
           3481.8       0.1810157
           3482.2       0.1779702
           3482.6       0.1627468
            3483.       0.1515594
           3483.4       0.1453774
           3483.8        0.150769
           3484.2       0.1589039
           3484.6       0.1644512
            3485.       0.1684541
           3485.4       0.1644891
           3485.8       0.1685247
           3486.2       0.1820599
           3486.6       0.2073631
            3487.       0.2304914
           3487.4       0.2298177
           3487.8       0.2164076
           3488.2       0.1962118
           3488.6       0.1744281
            3489.       0.1593769
           3489.4       0.1502222
           3489.8       0.1466932
           3490.2       0.1388652
           3490.6        0.127816
            3491.        0.138405
           3491.4       0.1567393
           3491.8       0.1756513
           3492.2       0.1782611
           3492.6        0.166492
            3493.       0.1503399
           3493.4       0.1471075
           3493.8       0.1584234
           3494.2       0.1702425
           3494.6       0.1745257
            3495.       0.1694532
           3495.4       0.1526025
           3495.8       0.1308226
           3496.2       0.1196282
           3496.6        0.120721
            3497.        0.122471
           3497.4       0.1257207
           3497.8       0.1367772
           3498.2       0.1549339
           3498.6        0.175343
            3499.        0.193401
           3499.4       0.2056784
           3499.8       0.2085545
           3500.2       0.1896854
           3500.6       0.1790995
            3501.        0.196265
           3501.4       0.2068201
           3501.8       0.2103395
           3502.2       0.1942297
           3502.6        0.200083
            3503.       0.2174327
           3503.4       0.2437183
           3503.8       0.2547094
           3504.2       0.2411538
           3504.6       0.2066435
            3505.       0.1725216
           3505.4       0.1606021
           3505.8       0.1561613
           3506.2       0.1545402
           3506.6       0.1650179
            3507.       0.1683729
           3507.4       0.1789727
           3507.8       0.1876858
           3508.2       0.1962695
           3508.6       0.2014312
            3509.        0.204017
           3509.4       0.1915527
           3509.8       0.1723621
           3510.2       0.1521526
           3510.6       0.1482901
            3511.       0.1632877
           3511.4       0.1743083
           3511.8        0.174656
           3512.2       0.1673532
           3512.6       0.1568497
            3513.       0.1503908
           3513.4       0.1444284
           3513.8       0.1398927
           3514.2       0.1394277
           3514.6       0.1397147
            3515.       0.1415152
           3515.4       0.1518279
           3515.8       0.1695433
           3516.2       0.1817009
           3516.6       0.1871758
            3517.       0.1973238
           3517.4       0.2116553
           3517.8       0.2227808
           3518.2       0.2237702
           3518.6       0.2144144
            3519.       0.2127195
           3519.4       0.2140677
           3519.8       0.1944354
           3520.2       0.1736644
           3520.6       0.1649681
            3521.       0.1583827
           3521.4       0.1478122
           3521.8       0.1453481
           3522.2       0.1568454
           3522.6        0.164382
            3523.       0.1582117
           3523.4       0.1461539
           3523.8       0.1356484
           3524.2       0.1238308
           3524.6       0.1240623
            3525.       0.1362748
           3525.4       0.1412876
           3525.8       0.1406102
           3526.2       0.1318369
           3526.6       0.1249634
            3527.       0.1415572
           3527.4       0.1684434
           3527.8       0.1771732
           3528.2       0.1779135
           3528.6       0.1920447
            3529.       0.2029109
           3529.4       0.1900592
           3529.8       0.1815671
           3530.2       0.1725744
           3530.6       0.1706811
            3531.       0.1690317
           3531.4       0.1669135
           3531.8       0.1633822
           3532.2       0.1551097
           3532.6       0.1503334
            3533.       0.1531384
           3533.4       0.1604723
           3533.8       0.1755445
           3534.2       0.1928784
           3534.6       0.2034327
            3535.       0.1964735
           3535.4       0.1847222
           3535.8         0.17745
           3536.2       0.1835388
           3536.6       0.1870009
            3537.       0.1888332
           3537.4       0.1845116
           3537.8       0.1718922
           3538.2       0.1740756
           3538.6       0.1872654
            3539.       0.1962964
           3539.4       0.2114952
           3539.8       0.2162532
           3540.2       0.2022627
           3540.6       0.1893225
            3541.       0.1799253
           3541.4       0.1786274
           3541.8       0.1868174
           3542.2       0.1778205
           3542.6       0.1675426
            3543.        0.174847
           3543.4       0.1790945
           3543.8       0.1834889
           3544.2        0.195503
           3544.6       0.1966868
            3545.        0.185985
           3545.4       0.1775619
           3545.8       0.1733004
           3546.2       0.1822214
           3546.6       0.1805432
            3547.       0.1756979
           3547.4       0.1672352
           3547.8       0.1582187
           3548.2       0.1581968
           3548.6       0.1618179
            3549.       0.1696686
