#K OBJECT   '223385'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 223385
#K OBJRA    23:48:50.17
#K OBJDEC   +62:12:52.3
#K OBJBMAG  6.111000E+00
#K OBJVMAG  5.550000E+00
#K SPTYPE   A3Iae
#K OBJRV    -5.570000E+01
#K HDNAME   HD 223385
#K BDNAME   BD+61 2533
#K HIPNAME  HIP 117447
#K SAONAME  SAO 20869
#K VHELIO   3.76220592998419E+00
#K VLSR     1.31385802106767E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.453688E+03
#K CMAX1    4.778634E+03
#K PICKTYPE A2I
#K NCOMBINE 5
#K TEFF     9333  1972A&A....19..369A (Aydin)
#K LOGG     1.000000E+00  1972A&A....19..369A (Aydin)
#K FEH      0.000000E+00  1972A&A....19..369A (Aydin)
#K COVERAGE 3465.0-9469.0
#K GAPS     8123.0-8147.0

#      wavelength        spectrum
#       angstroms                

            3465.        1.012268
           3465.4        1.000273
           3465.8        1.004098
           3466.2        1.019035
           3466.6        1.028428
            3467.         1.04003
           3467.4        1.052474
           3467.8        1.034184
           3468.2        1.011092
           3468.6       0.9908707
            3469.       0.9941731
           3469.4        1.022353
           3469.8        1.032482
           3470.2        1.036464
           3470.6        1.029079
            3471.        1.017798
           3471.4       0.9945084
           3471.8       0.9864949
           3472.2       0.9956694
           3472.6        1.013421
            3473.        1.019838
           3473.4       0.9734306
           3473.8       0.9206326
           3474.2       0.9072721
           3474.6       0.9175152
            3475.       0.9452655
           3475.4       0.9747868
           3475.8       0.9838734
           3476.2       0.9898641
           3476.6       0.9972089
            3477.       0.9947805
           3477.4        1.007257
           3477.8        1.021202
           3478.2        1.031809
           3478.6        1.040974
            3479.        1.049037
           3479.4        1.048827
           3479.8        1.046362
           3480.2        1.042854
           3480.6        1.032469
            3481.        1.038997
           3481.4        1.048475
           3481.8        1.025024
           3482.2       0.9755738
           3482.6       0.9422879
            3483.       0.9263402
           3483.4       0.9490126
           3483.8       0.9956557
           3484.2        1.027488
           3484.6        1.034497
            3485.        1.049226
           3485.4        1.064325
           3485.8        1.057602
           3486.2        1.063374
           3486.6        1.065917
            3487.        1.058013
           3487.4         1.02906
           3487.8       0.9840512
           3488.2       0.9355662
           3488.6       0.9125178
            3489.       0.9255357
           3489.4       0.9585676
           3489.8       0.9884733
           3490.2        1.002587
           3490.6       0.9998235
            3491.        0.995814
           3491.4        0.998816
           3491.8       0.9945452
           3492.2       0.9918123
           3492.6       0.9657255
            3493.       0.9422336
           3493.4        0.902812
           3493.8        0.897296
           3494.2       0.9172111
           3494.6       0.9211708
            3495.         0.91055
           3495.4       0.9015241
           3495.8       0.8876659
           3496.2       0.8909277
           3496.6       0.9224948
            3497.       0.9265957
           3497.4        0.931929
           3497.8       0.9619608
           3498.2       0.9881146
           3498.6        1.030835
            3499.        1.048558
           3499.4        1.039103
           3499.8        1.037762
           3500.2        1.037298
           3500.6        1.032049
            3501.        1.034615
           3501.4        1.039941
           3501.8        1.038231
           3502.2        1.039994
           3502.6        1.055232
            3503.        1.055031
           3503.4        1.039883
           3503.8        1.020821
           3504.2        1.007791
           3504.6       0.9766105
            3505.       0.9705714
           3505.4       0.9869884
           3505.8        1.018394
           3506.2        1.043028
           3506.6        1.039037
            3507.          1.0349
           3507.4        1.030411
           3507.8        1.022723
           3508.2        1.026724
           3508.6        1.022943
            3509.        1.035771
           3509.4        1.048676
           3509.8        1.033024
           3510.2       0.9946126
           3510.6       0.9553214
            3511.       0.9535244
           3511.4       0.9666775
           3511.8       0.9651344
           3512.2       0.9722815
           3512.6       0.9906099
            3513.       0.9951504
           3513.4       0.9549995
           3513.8       0.9245456
           3514.2       0.9264613
           3514.6       0.9477456
            3515.       0.9915957
           3515.4        1.017444
           3515.8        1.031492
           3516.2        1.039025
           3516.6        1.033423
            3517.        1.027125
           3517.4        1.026556
           3517.8        1.037132
           3518.2        1.052895
           3518.6        1.047348
            3519.        1.053031
           3519.4         1.03774
           3519.8        1.025892
           3520.2        1.027762
           3520.6        1.035733
            3521.         1.03735
           3521.4        1.030371
           3521.8         1.03787
           3522.2        1.051756
           3522.6        1.055824
            3523.        1.053865
           3523.4        1.041376
           3523.8        1.043849
           3524.2         1.04008
           3524.6        1.026141
            3525.        1.032724
           3525.4        1.041617
           3525.8        1.047266
           3526.2        1.046022
           3526.6        1.034995
            3527.        1.039753
           3527.4        1.053777
           3527.8        1.059161
           3528.2         1.06859
           3528.6        1.069939
            3529.        1.055883
           3529.4        1.050848
           3529.8        1.047062
           3530.2        1.037708
           3530.6        1.035882
            3531.        1.029729
           3531.4        1.040703
           3531.8        1.056146
           3532.2        1.049289
           3532.6        1.048283
            3533.        1.054354
           3533.4        1.043112
           3533.8        1.041587
           3534.2        1.044275
           3534.6        1.024584
            3535.        1.008165
           3535.4       0.9970322
           3535.8       0.9930339
           3536.2        1.015185
           3536.6        1.044949
            3537.          1.0556
           3537.4        1.047209
           3537.8        1.049661
           3538.2        1.053256
           3538.6        1.052528
            3539.        1.064532
           3539.4        1.058324
           3539.8        1.055111
           3540.2         1.05659
           3540.6        1.056958
            3541.        1.062355
           3541.4         1.05545
           3541.8        1.054384
           3542.2        1.056949
           3542.6         1.05853
            3543.        1.051519
           3543.4        1.046837
           3543.8        1.054677
           3544.2         1.05484
           3544.6        1.044296
            3545.        1.037188
           3545.4        1.041849
           3545.8         1.04033
           3546.2        1.041151
           3546.6        1.048237
            3547.        1.057982
           3547.4        1.040317
           3547.8        1.039537
           3548.2        1.049302
           3548.6        1.041921
            3549.        1.044651
           3549.4        1.060779
           3549.8        1.067946
           3550.2        1.067659
           3550.6        1.065894
            3551.        1.056577
           3551.4        1.062624
           3551.8         1.05861
           3552.2         1.05337
           3552.6        1.047087
            3553.        1.043877
           3553.4        1.046457
           3553.8        1.044317
           3554.2        1.044378
           3554.6        1.054578
            3555.        1.049908
           3555.4        1.031087
           3555.8        1.027678
           3556.2        1.009764
           3556.6         1.00249
            3557.         1.00168
           3557.4        1.015935
           3557.8        1.031919
           3558.2        1.040244
           3558.6        1.028473
            3559.         1.03269
           3559.4         1.05317
           3559.8        1.048964
           3560.2        1.037975
           3560.6        1.028862
            3561.        1.013509
           3561.4         1.01091
           3561.8        1.029523
           3562.2        1.036964
           3562.6         1.03327
            3563.        1.037668
           3563.4        1.043765
           3563.8        1.031877
           3564.2        1.015432
           3564.6        1.005789
            3565.        0.994784
           3565.4         0.98419
           3565.8       0.9833346
           3566.2       0.9961572
           3566.6        1.004912
            3567.        1.016071
           3567.4        1.026864
           3567.8        1.031203
           3568.2        1.032359
           3568.6        1.032487
            3569.        1.042389
           3569.4        1.034496
           3569.8        1.019379
           3570.2        1.026065
           3570.6        1.029792
            3571.        1.019182
           3571.4        1.013286
           3571.8        1.022791
           3572.2        1.013948
           3572.6        1.000503
            3573.       0.9967567
           3573.4        1.015856
           3573.8        1.024072
           3574.2        1.022227
           3574.6         1.01983
            3575.        1.017523
           3575.4        1.007753
           3575.8       0.9831099
           3576.2       0.9521114
           3576.6       0.9253318
            3577.       0.9261417
           3577.4       0.9479172
           3577.8       0.9780114
           3578.2        1.006637
           3578.6        1.018445
            3579.         1.02237
           3579.4        1.029652
           3579.8        1.023944
           3580.2        1.018711
           3580.6        1.007956
            3581.       0.9839028
           3581.4       0.9891497
           3581.8        1.013074
           3582.2        1.025743
           3582.6        1.037781
            3583.        1.026998
           3583.4        1.035932
           3583.8        1.036704
           3584.2        1.011046
           3584.6       0.9579402
            3585.       0.9297483
           3585.4       0.9026691
           3585.8       0.8890239
           3586.2       0.9253923
           3586.6       0.9676563
            3587.       0.9976529
           3587.4        1.000923
           3587.8        1.015601
           3588.2        1.019149
           3588.6        1.023862
            3589.        1.013039
           3589.4        1.006268
           3589.8       0.9910673
           3590.2       0.9884195
           3590.6        1.002895
            3591.        1.022505
           3591.4        1.024526
           3591.8        1.001917
           3592.2       0.9917829
           3592.6         0.99338
            3593.        1.006727
           3593.4         1.00896
           3593.8        1.016396
           3594.2        1.021568
           3594.6        1.027274
            3595.        1.039298
           3595.4        1.032852
           3595.8        1.010567
           3596.2       0.9916645
           3596.6       0.9993373
            3597.         1.02328
           3597.4        1.027936
           3597.8        1.031838
           3598.2        1.032814
           3598.6        1.036738
            3599.        1.039012
           3599.4        1.042383
           3599.8        1.028419
           3600.2        1.040562
           3600.6        1.039587
            3601.         1.03008
           3601.4        1.036404
           3601.8        1.028672
           3602.2        1.008837
           3602.6        1.011556
            3603.         1.00533
           3603.4       0.9473959
           3603.8       0.9160476
           3604.2       0.9411327
           3604.6       0.9780908
            3605.        1.011359
           3605.4        1.012202
           3605.8        1.016075
           3606.2        1.036007
           3606.6        1.036047
            3607.        1.025765
           3607.4        1.032364
           3607.8         1.03265
           3608.2        1.016107
           3608.6       0.9998114
            3609.       0.9758595
           3609.4       0.9905593
           3609.8        1.012416
           3610.2        1.021742
           3610.6        1.027472
            3611.        1.022476
           3611.4        1.015374
           3611.8        1.022678
           3612.2        1.023994
           3612.6       0.9972063
            3613.       0.9660138
           3613.4       0.9468533
           3613.8       0.9287096
           3614.2        0.937605
           3614.6       0.9632563
            3615.       0.9769012
           3615.4       0.9915113
           3615.8        1.011727
           3616.2        1.043122
           3616.6        1.038836
            3617.        1.028381
           3617.4        1.032101
           3617.8        1.031735
           3618.2        1.027748
           3618.6        1.016167
            3619.        1.018373
           3619.4        1.019284
           3619.8        1.013775
           3620.2        1.014255
           3620.6       0.9966108
            3621.       0.9727024
           3621.4       0.9670174
           3621.8       0.9815549
           3622.2        1.011467
           3622.6         1.02244
            3623.        1.020888
           3623.4        1.037361
           3623.8         1.04067
           3624.2         1.01547
           3624.6       0.9814038
            3625.        0.961704
           3625.4       0.9925748
           3625.8        1.018012
           3626.2        1.035539
           3626.6        1.046985
            3627.        1.039063
           3627.4        1.039431
           3627.8         1.04115
           3628.2        1.044597
           3628.6        1.055731
            3629.         1.04804
           3629.4        1.037628
           3629.8        1.030947
           3630.2        1.016943
           3630.6       0.9858065
            3631.       0.9450401
           3631.4       0.9213008
           3631.8       0.9067742
           3632.2       0.9311099
           3632.6       0.9908454
            3633.         1.03031
           3633.4        1.043456
           3633.8          1.0423
           3634.2        1.021346
           3634.6        1.021171
            3635.        1.049009
           3635.4        1.050477
           3635.8        1.053854
           3636.2        1.046058
           3636.6        1.047289
            3637.        1.058278
           3637.4        1.055531
           3637.8         1.05696
           3638.2        1.056535
           3638.6         1.06504
            3639.        1.070612
           3639.4        1.058667
           3639.8        1.063001
           3640.2        1.049127
           3640.6        1.030694
            3641.        1.020138
           3641.4        1.002844
           3641.8        1.003645
           3642.2        1.016732
           3642.6        1.024479
            3643.        1.020181
           3643.4        1.021985
           3643.8        1.045861
           3644.2        1.060711
           3644.6        1.056957
            3645.        1.055577
