#K OBJECT   '224533'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 224533
#K OBJRA    23:58:40.38
#K OBJDEC   -03:33:21.5
#K OBJBMAG  5.808000E+00
#K OBJVMAG  4.890000E+00
#K SPTYPE   G9III
#K OBJRV    -2.000000E-01
#K HDNAME   HD 224533
#K BDNAME   BD-04 5996
#K HIPNAME  HIP 118209
#K SAONAME  SAO 147008
#K VHELIO   -1.18541312065614E+01
#K VLSR     -1.20809041743407E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.453287E+03
#K CMAX1    4.777868E+03
#K PICKTYPE G8III
#K NCOMBINE 5
#K TEFF     4960  1990ApJS...74.1075M (McWilliam)
#K LOGG     3.190000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -1.300000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     8121.0-8145.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.2451608
           3465.4        0.210591
           3465.8       0.1839315
           3466.2       0.1720732
           3466.6       0.1830383
            3467.       0.2076197
           3467.4       0.2278163
           3467.8       0.2429722
           3468.2       0.2485091
           3468.6       0.2381718
            3469.       0.2310635
           3469.4       0.2437523
           3469.8       0.2668077
           3470.2       0.2896397
           3470.6       0.2930678
            3471.       0.2747977
           3471.4       0.2449891
           3471.8       0.2185841
           3472.2       0.2008725
           3472.6       0.1970987
            3473.        0.200059
           3473.4       0.1971251
           3473.8       0.1845484
           3474.2       0.1743093
           3474.6       0.1660281
            3475.       0.1492216
           3475.4       0.1410164
           3475.8       0.1404632
           3476.2       0.1328385
           3476.6       0.1384474
            3477.       0.1523423
           3477.4       0.1738645
           3477.8       0.1961812
           3478.2        0.203389
           3478.6        0.211062
            3479.       0.2222628
           3479.4        0.218643
           3479.8       0.2051962
           3480.2       0.1974559
           3480.6       0.1991688
            3481.       0.2078254
           3481.4       0.2092396
           3481.8       0.2126731
           3482.2       0.2078173
           3482.6       0.1952145
            3483.       0.1776932
           3483.4       0.1610241
           3483.8       0.1746554
           3484.2       0.1908602
           3484.6       0.1843925
            3485.       0.1770863
           3485.4       0.1789535
           3485.8       0.1939493
           3486.2       0.2218811
           3486.6       0.2485281
            3487.       0.2691616
           3487.4       0.2689416
           3487.8       0.2564066
