#K OBJECT   '22484'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 22484
#K OBJRA    03:36:52.38
#K OBJDEC   +00:24:06.0
#K OBJBMAG  4.860000E+00
#K OBJVMAG  4.280000E+00
#K SPTYPE   F9IV-V
#K OBJRV    2.760000E+01
#K HDNAME   HD 22484
#K BDNAME   BD-00 572
#K HIPNAME  HIP 16852
#K SAONAME  SAO 111292
#K VHELIO   -2.83940466714589E+01
#K VLSR     -4.22008357037720E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.789687E+03
#K CMAX1    8.125025E+03
#K PICKTYPE F8V
#K NCOMBINE 6
#K TEFF     5981  1993A&A...275..101E (Edvardsson)
#K LOGG     4.150000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -1.100000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0
#K GAPS     8125.8-8145.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.6078824
           3465.4        0.554047
           3465.8         0.51746
           3466.2       0.5294018
           3466.6       0.5629528
            3467.       0.5847602
           3467.4       0.6073836
           3467.8       0.6298957
           3468.2       0.6324383
           3468.6       0.6110399
            3469.       0.5944815
           3469.4       0.6049703
           3469.8        0.634223
           3470.2       0.6686354
           3470.6       0.6829604
            3471.       0.6554633
           3471.4       0.6127132
           3471.8       0.5904074
           3472.2       0.5694159
           3472.6       0.5619719
            3473.       0.5719643
           3473.4       0.5633897
           3473.8       0.5350586
           3474.2       0.5160442
           3474.6       0.5083182
            3475.        0.484402
           3475.4       0.4538714
           3475.8       0.4538891
           3476.2       0.4493844
           3476.6       0.4478872
            3477.       0.4617473
           3477.4       0.5129084
           3477.8       0.5592051
           3478.2       0.5859057
           3478.6       0.5902883
            3479.       0.5985959
           3479.4       0.6055669
           3479.8       0.6019291
           3480.2       0.5927387
           3480.6       0.5838183
            3481.       0.5971114
           3481.4       0.6016745
           3481.8       0.5984778
           3482.2       0.5790434
           3482.6       0.5585549
            3483.       0.5257959
           3483.4       0.4983143
           3483.8       0.5087417
           3484.2        0.533206
           3484.6       0.5438484
            3485.       0.5423636
           3485.4        0.544559
           3485.8       0.5719334
           3486.2       0.6193752
           3486.6       0.6600732
            3487.       0.6847253
           3487.4       0.6765136
           3487.8       0.6581077
           3488.2       0.6156735
           3488.6       0.5611069
            3489.       0.5293263
           3489.4       0.5149742
           3489.8       0.5006595
           3490.2       0.4877791
           3490.6       0.4801608
            3491.       0.5008084
           3491.4       0.5565178
           3491.8       0.5916938
           3492.2       0.5836716
           3492.6       0.5305502
            3493.       0.4926517
           3493.4       0.5288472
           3493.8       0.5715827
           3494.2       0.6030562
           3494.6       0.6060805
            3495.       0.5721334
           3495.4        0.515111
           3495.8       0.4752747
           3496.2       0.4643026
           3496.6       0.4556969
            3497.        0.455513
           3497.4       0.4580512
           3497.8        0.484038
           3498.2       0.5501553
           3498.6       0.6181364
            3499.       0.6760377
           3499.4       0.7142603
           3499.8       0.6977047
           3500.2       0.6625494
           3500.6       0.6485399
            3501.       0.6632528
           3501.4       0.6798842
           3501.8       0.6661558
           3502.2       0.6506827
           3502.6       0.6633653
            3503.       0.7066808
           3503.4       0.7469283
           3503.8         0.75078
           3504.2        0.706039
           3504.6       0.6417828
            3505.       0.6061217
           3505.4        0.600458
           3505.8       0.5994561
           3506.2       0.5962777
           3506.6       0.6021004
            3507.         0.62229
           3507.4       0.6436541
           3507.8       0.6539522
           3508.2       0.6635709
           3508.6       0.6774333
            3509.        0.677294
           3509.4       0.6536273
           3509.8       0.5914184
           3510.2       0.5419603
           3510.6         0.55308
            3511.       0.6046324
           3511.4       0.6292394
           3511.8       0.6162565
           3512.2       0.5977894
           3512.6       0.5790508
            3513.       0.5641851
           3513.4       0.5430779
           3513.8        0.523582
           3514.2       0.5264633
           3514.6       0.5386416
            3515.       0.5573816
           3515.4        0.609603
           3515.8       0.6540847
           3516.2       0.6648718
           3516.6       0.6726561
            3517.       0.7007993
           3517.4       0.7291718
           3517.8       0.7289209
           3518.2       0.7066876
           3518.6        0.688803
            3519.        0.683036
           3519.4       0.6681682
           3519.8       0.6378506
           3520.2       0.6152128
           3520.6       0.6005459
            3521.       0.5785732
           3521.4        0.563235
           3521.8       0.5783215
           3522.2       0.6127969
           3522.6       0.6111854
            3523.       0.5752362
           3523.4       0.5486996
           3523.8        0.504899
           3524.2       0.4709887
           3524.6       0.4738298
            3525.       0.5296233
           3525.4       0.5458282
           3525.8       0.4941999
           3526.2       0.4167519
           3526.6       0.4022298
            3527.       0.4813371
           3527.4       0.5746248
           3527.8       0.6228787
           3528.2       0.6588126
           3528.6       0.6916919
            3529.       0.6889192
           3529.4       0.6719401
           3529.8       0.6460043
           3530.2       0.6361949
           3530.6       0.6622825
            3531.       0.6720013
           3531.4       0.6489165
           3531.8       0.6084988
           3532.2        0.575775
           3532.6       0.5627178
            3533.       0.5761632
           3533.4       0.6153451
           3533.8       0.6656358
           3534.2       0.7118142
           3534.6        0.724507
            3535.       0.6956679
           3535.4       0.6743962
           3535.8       0.6613503
           3536.2       0.6647281
           3536.6       0.6726557
            3537.       0.6640229
           3537.4       0.6384439
           3537.8       0.6208645
           3538.2       0.6497675
           3538.6        0.709436
            3539.       0.7637109
           3539.4       0.8017748
           3539.8       0.7832718
           3540.2       0.7235837
           3540.6       0.6662126
            3541.       0.6434058
           3541.4       0.6440176
           3541.8       0.6410224
           3542.2        0.655112
           3542.6       0.6818256
            3543.        0.702594
           3543.4       0.7267385
           3543.8       0.7406324
           3544.2       0.7417095
           3544.6        0.738862
            3545.       0.7035548
           3545.4       0.6793632
           3545.8       0.6874079
           3546.2       0.7269906
           3546.6       0.7458315
            3547.       0.7329862
           3547.4       0.6887067
           3547.8       0.6526613
           3548.2       0.6496106
           3548.6       0.6871763
            3549.        0.731548
           3549.4       0.7484683
           3549.8       0.7492262
           3550.2       0.7416782
           3550.6       0.7381842
            3551.       0.7302893
           3551.4       0.7098224
           3551.8       0.6867278
           3552.2       0.6879135
           3552.6       0.6783575
            3553.       0.6571424
           3553.4       0.6320997
           3553.8       0.6107436
           3554.2       0.5935355
           3554.6       0.5893711
            3555.       0.6204052
           3555.4       0.6857251
           3555.8       0.7405851
           3556.2       0.7187101
           3556.6       0.6775986
            3557.       0.6749279
           3557.4       0.7137392
           3557.8       0.7190817
           3558.2       0.6689173
           3558.6        0.630641
            3559.       0.6344081
           3559.4       0.6604326
           3559.8       0.6768431
           3560.2       0.6653842
           3560.6       0.6455002
            3561.       0.6396669
           3561.4       0.6502173
           3561.8       0.6706287
           3562.2       0.7102547
           3562.6       0.7765355
            3563.       0.8037729
           3563.4       0.7985831
           3563.8       0.7561955
           3564.2        0.705709
           3564.6       0.6123561
            3565.       0.4979553
           3565.4        0.437203
           3565.8       0.4160125
           3566.2       0.4429535
           3566.6       0.5078808
            3567.       0.5702656
           3567.4       0.6228815
           3567.8       0.6557573
           3568.2       0.6444623
           3568.6       0.6117761
            3569.       0.5296915
           3569.4       0.4504018
           3569.8       0.3906852
           3570.2       0.4161679
           3570.6       0.5103205
            3571.       0.5562577
           3571.4       0.5743214
           3571.8       0.5526199
           3572.2       0.5477501
           3572.6         0.57362
            3573.       0.6051303
           3573.4       0.5860119
           3573.8        0.572431
           3574.2         0.57894
           3574.6       0.5799082
            3575.       0.5747193
           3575.4       0.5904943
           3575.8       0.6124559
           3576.2       0.6177468
           3576.6       0.6351975
            3577.       0.6596929
           3577.4        0.663116
           3577.8        0.641552
           3578.2       0.5859491
           3578.6       0.5618671
            3579.       0.5894158
           3579.4       0.6230575
           3579.8       0.6094171
           3580.2        0.569945
           3580.6       0.4450212
            3581.       0.3231327
           3581.4       0.3262541
           3581.8       0.3699409
           3582.2       0.4493634
           3582.6       0.5259544
            3583.       0.5727974
           3583.4       0.5900004
           3583.8       0.5950115
           3584.2       0.5605143
           3584.6       0.4685988
            3585.       0.3888493
           3585.4       0.3613008
           3585.8       0.3858948
           3586.2       0.4268628
           3586.6       0.4318347
            3587.        0.416074
           3587.4       0.4360453
           3587.8       0.4856061
           3588.2       0.5170844
           3588.6       0.5259521
            3589.       0.5282033
           3589.4       0.5224511
           3589.8       0.5286908
           3590.2       0.5687017
           3590.6       0.6268086
            3591.       0.6846363
           3591.4       0.7118492
           3591.8       0.7032683
           3592.2       0.6884002
           3592.6       0.6599286
            3593.        0.612275
           3593.4       0.5931462
           3593.8        0.632148
           3594.2       0.6734651
           3594.6        0.672293
            3595.       0.6596361
           3595.4       0.6733871
           3595.8       0.6993236
           3596.2       0.7152604
           3596.6       0.7322821
            3597.       0.7454646
           3597.4       0.7329234
           3597.8       0.7139678
           3598.2       0.7131531
           3598.6       0.7144656
            3599.       0.7052884
           3599.4       0.6933317
           3599.8       0.7292883
           3600.2        0.759123
           3600.6       0.7699283
            3601.       0.7676718
           3601.4       0.7333645
           3601.8       0.6637231
           3602.2       0.5967695
           3602.6       0.5708945
            3603.       0.5768272
           3603.4       0.5776527
           3603.8       0.5726238
           3604.2       0.5912222
           3604.6       0.6021682
            3605.        0.565216
           3605.4       0.5353024
           3605.8       0.5636154
           3606.2       0.6060688
           3606.6       0.6299137
            3607.       0.6594113
           3607.4       0.6754453
           3607.8       0.6384118
           3608.2       0.5567266
           3608.6       0.4744195
            3609.       0.4559852
           3609.4       0.4939775
           3609.8       0.5256788
           3610.2       0.5154687
           3610.6       0.5336326
            3611.       0.5913282
           3611.4       0.6510009
           3611.8       0.6693701
           3612.2       0.6565109
           3612.6       0.6176112
            3613.       0.5557871
           3613.4       0.5210882
           3613.8       0.5332876
           3614.2       0.5630518
           3614.6       0.6069586
            3615.       0.6486198
           3615.4       0.6911739
           3615.8        0.696096
