#K OBJECT   '225180'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 225180
#K OBJRA    00:04:13.66
#K OBJDEC   +62:17:15.6
#K OBJBMAG  6.146000E+00
#K OBJVMAG  5.901000E+00
#K SPTYPE   A1III
#K OBJRV    -1.770000E+01
#K HDNAME   HD 225180
#K BDNAME   BD+61 2586
#K HIPNAME  HIP 330
#K SAONAME  SAO 10954
#K VHELIO   4.57381994486790E+00
#K VLSR     1.34135958162115E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.453259E+03
#K CMAX1    4.778041E+03
#K PICKTYPE A0III
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0
#K GAPS     6790.6-6811.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.9821421
           3465.4       0.9814724
           3465.8       0.9496044
           3466.2       0.9697751
           3466.6       0.9803858
            3467.       0.9583787
           3467.4       0.9674848
           3467.8       0.9690394
           3468.2       0.9560841
           3468.6       0.9368507
            3469.       0.9524492
           3469.4        0.985769
           3469.8       0.9792529
           3470.2       0.9813213
           3470.6       0.9632532
            3471.       0.9554534
           3471.4       0.9624598
           3471.8        0.947054
           3472.2       0.9272292
           3472.6       0.9383258
            3473.       0.9154025
           3473.4        0.874182
           3473.8       0.8692361
           3474.2       0.8826249
           3474.6       0.8714004
            3475.       0.8830502
           3475.4        0.932501
           3475.8       0.9182749
           3476.2        0.918548
           3476.6       0.9030342
            3477.       0.8713527
           3477.4       0.8670539
           3477.8       0.9029221
           3478.2       0.9409294
           3478.6       0.9458732
            3479.       0.9046212
           3479.4       0.8972347
           3479.8       0.9258145
           3480.2       0.9196815
           3480.6       0.9119232
            3481.       0.9226416
           3481.4       0.9288146
           3481.8       0.8856072
           3482.2       0.8976921
           3482.6       0.8516956
            3483.       0.8512717
           3483.4       0.8663336
           3483.8       0.8642952
           3484.2       0.9064021
           3484.6       0.9045513
            3485.       0.8751953
           3485.4       0.9057719
           3485.8       0.9181191
           3486.2       0.9190208
           3486.6       0.9192901
            3487.       0.8889647
           3487.4       0.8834346
           3487.8       0.8719796
           3488.2       0.8606152
           3488.6       0.8622522
            3489.       0.8529825
           3489.4       0.8893569
           3489.8       0.8649822
           3490.2       0.8143261
           3490.6       0.8653209
            3491.       0.8908054
           3491.4        0.867854
           3491.8       0.9103707
           3492.2       0.9083705
           3492.6       0.8657224
            3493.       0.8989568
           3493.4       0.8747256
           3493.8        0.843442
           3494.2       0.8559185
           3494.6         0.86552
            3495.       0.8426306
           3495.4       0.8366477
           3495.8       0.8171532
           3496.2       0.8008637
           3496.6        0.843876
            3497.       0.8394834
           3497.4       0.8739561
           3497.8       0.8760972
           3498.2       0.8778496
           3498.6       0.9106866
            3499.       0.9112755
           3499.4       0.9024861
           3499.8       0.9126133
           3500.2       0.8904111
           3500.6       0.8920553
            3501.       0.9220878
           3501.4       0.9354651
           3501.8       0.9315975
           3502.2       0.9065704
           3502.6       0.9456549
            3503.       0.8739851
           3503.4       0.8793135
           3503.8       0.8735391
           3504.2        0.858391
           3504.6       0.8786814
            3505.       0.8949947
           3505.4       0.8989757
           3505.8       0.8813205
           3506.2         0.88376
           3506.6       0.9098077
            3507.       0.9128738
           3507.4       0.9088951
           3507.8       0.8909695
           3508.2       0.9287283
           3508.6       0.8937581
            3509.        0.863053
           3509.4       0.8807788
           3509.8       0.9307262
           3510.2       0.2880703
           3510.6       0.4444448
            3511.       0.9105839
           3511.4       0.8916568
           3511.8       0.8972615
           3512.2       0.8694603
           3512.6       0.8883772
            3513.        0.887723
           3513.4       0.8920441
           3513.8       0.9146304
           3514.2       0.9023734
           3514.6       0.8720195
            3515.       0.8860394
           3515.4       0.8969564
           3515.8        0.896755
           3516.2       0.9112768
           3516.6       0.9019196
            3517.       0.9142061
           3517.4       0.9470553
           3517.8       0.9294376
           3518.2        0.942012
           3518.6       0.9423469
            3519.       0.9392186
           3519.4       0.9184471
           3519.8        0.907766
           3520.2       0.9151478
           3520.6       0.8959048
            3521.        0.908502
           3521.4       0.9307023
           3521.8       0.9252343
           3522.2       0.9515368
           3522.6       0.9596211
            3523.       0.9101612
           3523.4       0.9213378
           3523.8       0.9426609
           3524.2       0.9420578
           3524.6       0.9138929
            3525.       0.9316708
           3525.4       0.9567485
           3525.8       0.9409274
           3526.2       0.9314256
           3526.6       0.9148349
            3527.       0.9296479
           3527.4       0.9496047
           3527.8       0.9523553
           3528.2       0.9696333
           3528.6       0.9369875
            3529.       0.9129351
           3529.4       0.9715761
           3529.8       0.9805574
           3530.2       0.9216979
           3530.6       0.9472327
            3531.       0.9416474
           3531.4       0.9489668
           3531.8       0.9717205
           3532.2       0.9623739
           3532.6        0.949851
            3533.       0.9499832
           3533.4       0.9534544
           3533.8       0.9608685
           3534.2       0.9602766
           3534.6       0.9564971
            3535.        0.918817
           3535.4        0.909835
           3535.8       0.9418045
           3536.2       0.9669747
           3536.6       0.9673203
            3537.       0.9551093
           3537.4       0.9313101
           3537.8       0.9362371
           3538.2       0.9826392
           3538.6        0.987655
            3539.       0.9694397
           3539.4       0.9995117
           3539.8       0.9738359
           3540.2       0.9629951
           3540.6       0.9768313
            3541.        0.978893
           3541.4       0.9499414
           3541.8       0.9550035
           3542.2       0.9644276
           3542.6       0.9507834
            3543.       0.9615765
           3543.4       0.9810159
           3543.8       0.9872689
           3544.2       0.9586647
           3544.6        0.905823
            3545.         0.95678
           3545.4       0.9764035
           3545.8       0.9564893
           3546.2       0.9537489
           3546.6       0.9453977
            3547.       0.9518403
           3547.4        0.962695
           3547.8       0.9875133
           3548.2       0.9803783
           3548.6       0.9683729
            3549.       0.9718654
           3549.4       0.9747388
           3549.8        1.003691
           3550.2       0.9934648
           3550.6        0.975201
            3551.       0.9781154
           3551.4       0.9960281
           3551.8       0.9842092
           3552.2       0.9651708
           3552.6       0.9786165
            3553.       0.9924929
           3553.4       0.9853884
           3553.8       0.9933048
           3554.2        1.011113
           3554.6       0.9864478
            3555.       0.9712011
           3555.4        1.000811
           3555.8       0.9670709
           3556.2       0.9769282
           3556.6       0.9646413
            3557.       0.9645075
           3557.4       0.9702475
           3557.8       0.9715711
           3558.2       0.9736367
           3558.6       0.9608299
            3559.       0.9693094
           3559.4       0.9927812
           3559.8        0.980871
           3560.2       0.9800341
           3560.6        1.016454
            3561.         1.00705
           3561.4       0.9723042
           3561.8       0.9875584
           3562.2       0.9736778
           3562.6       0.9733976
            3563.       0.9884658
           3563.4       0.9842194
           3563.8       0.9959974
           3564.2       0.9830791
           3564.6       0.9538306
            3565.       0.9425164
           3565.4       0.9400328
           3565.8       0.9714884
           3566.2         0.98319
           3566.6       0.9633066
            3567.       0.9388678
           3567.4       0.9656562
           3567.8       0.9974887
           3568.2       0.9913919
           3568.6        0.975636
            3569.       0.9751557
           3569.4       0.9768308
           3569.8       0.9764344
           3570.2        0.953212
           3570.6       0.9681461
            3571.        1.016574
           3571.4        0.978796
           3571.8        0.997479
           3572.2       0.9226624
           3572.6       0.9338322
            3573.         0.92697
           3573.4       0.9278368
           3573.8       0.9756285
           3574.2       0.9805273
           3574.6       0.9779158
            3575.       0.9983115
           3575.4       0.9783258
           3575.8       0.9454033
           3576.2       0.9399235
           3576.6       0.9411428
            3577.       0.9891771
           3577.4        1.009634
           3577.8        1.024482
           3578.2        1.004489
           3578.6       0.9664066
            3579.       0.9898226
           3579.4       0.9860627
           3579.8        0.985404
           3580.2       0.9676343
           3580.6       0.9345749
            3581.       0.9361458
           3581.4       0.9376603
           3581.8       0.9470003
           3582.2       0.9626577
           3582.6       0.9945249
            3583.        1.006224
           3583.4         1.01934
           3583.8        1.009742
           3584.2       0.9765818
           3584.6       0.9259028
            3585.        0.918649
           3585.4       0.9302441
           3585.8       0.9541543
           3586.2       0.9589381
           3586.6        0.923973
