#K OBJECT   '23183'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 23183
#K OBJRA    03:43:47.21
#K OBJDEC   +19:39:54.1
#K OBJBMAG  7.140000E+00
#K OBJVMAG  6.140000E+00
#K SPTYPE   G8III
#K OBJRV    78
#K HDNAME   HD 23183
#K BDNAME   BD+19 582
#K HIPNAME  HIP 17408
#K SAONAME  SAO 93568
#K VHELIO   -3.00795688458110E+01
#K VLSR     -4.00712463163791E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.433329E+03
#K CMAX1    4.761171E+03
#K PICKTYPE G8III
#K NCOMBINE 4
#K TEFF     4582  1986A&A...161..314C (Cottrell)
#K LOGG     1.750000E+00  1986A&A...161..314C (Cottrell)
#K FEH      -5.000000E-01  1986A&A...161..314C (Cottrell)
#K COVERAGE 3465.0-8123.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.2624734
           3465.4       0.2258426
           3465.8       0.1847689
           3466.2       0.1686089
           3466.6       0.1742179
            3467.       0.1981824
           3467.4       0.2235761
           3467.8        0.242826
           3468.2       0.2595918
           3468.6        0.254061
            3469.        0.238458
           3469.4       0.2358788
           3469.8       0.2491925
           3470.2       0.2759452
           3470.6        0.292542
            3471.        0.286814
           3471.4       0.2655568
           3471.8       0.2321751
           3472.2        0.208954
           3472.6        0.194755
            3473.       0.2081738
           3473.4       0.1983702
           3473.8       0.1842013
           3474.2       0.1747644
           3474.6       0.1616878
            3475.       0.1505141
           3475.4       0.1372106
           3475.8       0.1309872
           3476.2       0.1288312
           3476.6       0.1343294
            3477.       0.1339068
           3477.4       0.1647696
           3477.8        0.199036
           3478.2       0.2116591
           3478.6       0.2133686
            3479.       0.2111743
           3479.4       0.2078521
           3479.8       0.2067799
           3480.2       0.2043435
           3480.6       0.2028487
            3481.       0.2128483
           3481.4       0.2221267
           3481.8       0.2162266
           3482.2       0.2203746
           3482.6        0.209871
            3483.       0.1918585
           3483.4       0.1758213
           3483.8       0.1726719
           3484.2       0.1864801
           3484.6       0.1962935
            3485.       0.1889745
           3485.4       0.1803279
           3485.8       0.1929219
           3486.2        0.222353
           3486.6       0.2476766
            3487.       0.2708548
           3487.4       0.2804354
           3487.8       0.2678113
           3488.2       0.2470361
           3488.6       0.2152103
            3489.       0.1935152
           3489.4       0.1771629
           3489.8        0.156408
           3490.2       0.1451096
           3490.6       0.1334584
            3491.       0.1315389
           3491.4       0.1640964
           3491.8       0.1931115
           3492.2       0.1934254
           3492.6          0.1663
            3493.       0.1464099
           3493.4       0.1550826
           3493.8       0.1868233
           3494.2       0.2213015
           3494.6       0.2365676
            3495.       0.2290617
           3495.4       0.2055987
           3495.8       0.1765792
           3496.2       0.1528706
           3496.6        0.144354
            3497.       0.1465712
           3497.4       0.1424647
           3497.8       0.1469339
           3498.2       0.1709834
           3498.6       0.2114449
            3499.       0.2501841
           3499.4       0.2754585
           3499.8       0.2883238
           3500.2       0.2796247
           3500.6       0.2663641
            3501.       0.2672676
           3501.4       0.2756135
           3501.8       0.2698838
           3502.2       0.2488572
           3502.6       0.2498365
            3503.       0.2812628
           3503.4        0.319707
           3503.8       0.3354636
           3504.2       0.3236541
           3504.6       0.2851116
            3505.       0.2450345
           3505.4       0.2244707
           3505.8       0.2210732
           3506.2       0.2204758
           3506.6       0.2166961
            3507.       0.2231366
           3507.4       0.2433055
           3507.8        0.264066
           3508.2       0.2873872
           3508.6        0.292091
            3509.       0.2730393
           3509.4       0.2510819
           3509.8       0.2213499
           3510.2       0.1885057
           3510.6       0.1806186
            3511.       0.2060203
           3511.4       0.2314008
           3511.8       0.2355942
           3512.2       0.2214839
           3512.6       0.1974951
            3513.         0.17859
           3513.4       0.1658727
           3513.8       0.1599168
           3514.2       0.1558125
           3514.6       0.1505886
            3515.       0.1515694
           3515.4       0.1657441
           3515.8       0.2036516
           3516.2       0.2396985
           3516.6       0.2611889
            3517.       0.2779572
           3517.4       0.2992855
           3517.8       0.3177295
           3518.2       0.3138362
           3518.6       0.3022144
            3519.       0.3002976
           3519.4       0.2831252
           3519.8       0.2568199
           3520.2        0.228495
           3520.6       0.2186179
            3521.       0.1989182
           3521.4       0.1834327
           3521.8       0.1823173
           3522.2       0.1956472
           3522.6       0.2062662
            3523.       0.1930905
           3523.4       0.1681093
           3523.8        0.140664
           3524.2       0.1201762
           3524.6       0.1104705
            3525.       0.1252043
           3525.4        0.149135
           3525.8       0.1519452
           3526.2        0.129393
           3526.6       0.1223346
            3527.       0.1587871
           3527.4       0.1987055
           3527.8       0.2207014
           3528.2       0.2405651
           3528.6       0.2557561
            3529.         0.26531
           3529.4       0.2637052
           3529.8       0.2508594
           3530.2       0.2435603
           3530.6       0.2531792
            3531.       0.2583533
           3531.4       0.2436439
           3531.8       0.2223807
           3532.2       0.2106455
           3532.6       0.1920878
            3533.       0.1908295
           3533.4       0.2115567
           3533.8       0.2317461
           3534.2        0.268559
           3534.6       0.2846848
            3535.       0.2741706
           3535.4       0.2591682
           3535.8       0.2541154
           3536.2       0.2547112
           3536.6       0.2576638
            3537.       0.2610236
           3537.4       0.2477127
           3537.8       0.2314669
           3538.2       0.2335023
           3538.6       0.2544419
            3539.       0.2817427
           3539.4       0.3043341
           3539.8       0.3156292
           3540.2       0.2953691
           3540.6       0.2702594
            3541.       0.2497807
           3541.4       0.2439139
           3541.8       0.2400503
           3542.2       0.2315673
           3542.6       0.2329396
