#K OBJECT   '25621'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 25621
#K OBJRA    04:04:09.87
#K OBJDEC   +02:49:37.0
#K OBJBMAG  5.860000E+00
#K OBJVMAG  5.360000E+00
#K SPTYPE   F6IV
#K OBJRV    -1.780000E+01
#K HDNAME   HD 25621
#K BDNAME   BD+02 645
#K HIPNAME  HIP 18993
#K SAONAME  SAO 111590
#K VHELIO   -2.88447142055968E+01
#K VLSR     -4.33425259614079E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.791526E+03
#K CMAX1    8.126958E+03
#K PICKTYPE F5IV
#K NCOMBINE 6
#K TEFF     6301  1993A&A...275..101E (Edvardsson)
#K LOGG     3.970000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      4.000000E-02  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0
#K GAPS     8127.4-8146.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.7627127
           3465.4       0.7104678
           3465.8       0.6747609
           3466.2       0.6592761
           3466.6       0.6883332
            3467.       0.7275216
           3467.4       0.7468569
           3467.8       0.7651487
           3468.2       0.7710384
           3468.6       0.7516345
            3469.       0.7246574
           3469.4       0.7194722
           3469.8       0.7611563
           3470.2       0.8056108
           3470.6       0.8298143
            3471.       0.8135135
           3471.4       0.7794335
           3471.8       0.7298327
           3472.2       0.7047868
           3472.6       0.7090135
            3473.       0.7104553
           3473.4       0.6957495
           3473.8       0.6668099
           3474.2       0.6473499
           3474.6       0.6348426
            3475.        0.609938
           3475.4       0.5770768
           3475.8       0.5739437
           3476.2       0.5774696
           3476.6       0.5715984
            3477.       0.5675991
           3477.4       0.6035238
           3477.8       0.6714129
           3478.2       0.7133288
           3478.6       0.7221464
            3479.       0.7296948
           3479.4       0.7273916
           3479.8       0.7138061
           3480.2       0.7115541
           3480.6       0.7142716
            3481.       0.7127801
           3481.4       0.7150164
           3481.8       0.7188406
           3482.2       0.7104876
           3482.6       0.6898298
            3483.       0.6383927
           3483.4       0.6051934
