#K OBJECT   '2665'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 2665
#K OBJRA    00:30:45.45
#K OBJDEC   +57:03:53.6
#K OBJBMAG  8.460000E+00
#K OBJVMAG  7.750000E+00
#K SPTYPE   G5IIIw
#K OBJRV    -379
#K HDNAME   HD 2665
#K BDNAME   BD+56 70
#K HIPNAME  HIP 2413
#K SAONAME  SAO 21465
#K VHELIO   3.24625394464095E+00
#K VLSR     1.05343670333350E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.454012E+03
#K CMAX1    4.781283E+03
#K PICKTYPE G5III
#K NCOMBINE 4
#K TEFF     5061  2000A&A...354..169G (Gratton)
#K LOGG     2.350000E+00  2000A&A...354..169G (Gratton)
#K FEH      -1.940000E+00  2000A&A...354..169G (Gratton)
#K COVERAGE 3465.0-8083.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.3513239
           3465.4       0.3288178
           3465.8       0.3043317
           3466.2       0.3086434
           3466.6       0.3261854
            3467.       0.3339534
           3467.4       0.3425379
           3467.8       0.3437576
           3468.2       0.3425293
           3468.6       0.3372017
            3469.       0.3285304
           3469.4       0.3305551
           3469.8       0.3350606
           3470.2       0.3369161
           3470.6       0.3392773
            3471.        0.331806
           3471.4       0.3236296
           3471.8       0.3195752
           3472.2       0.3137375
           3472.6       0.3072231
            3473.       0.3024778
           3473.4       0.2914243
           3473.8       0.2811597
           3474.2       0.2743658
           3474.6       0.2731804
            3475.       0.2640691
           3475.4       0.2447827
           3475.8        0.233006
           3476.2       0.2346865
           3476.6       0.2416242
            3477.       0.2390906
           3477.4       0.2537957
           3477.8       0.2789862
           3478.2        0.298754
           3478.6       0.3003933
            3479.       0.2984231
           3479.4       0.3019243
           3479.8       0.3036395
           3480.2       0.3047096
           3480.6       0.3048337
            3481.        0.302998
           3481.4       0.3028914
           3481.8       0.3013956
           3482.2       0.2991364
           3482.6       0.2806658
            3483.       0.2691793
           3483.4         0.26029
           3483.8       0.2596236
           3484.2       0.2694233
           3484.6       0.2776666
            3485.       0.2826647
           3485.4        0.284447
           3485.8       0.2844076
           3486.2       0.2906713
           3486.6       0.3005542
            3487.       0.3066133
           3487.4       0.3076049
           3487.8       0.2942352
           3488.2       0.2845981
           3488.6       0.2764574
            3489.       0.2656933
           3489.4       0.2516619
           3489.8       0.2385848
           3490.2       0.2331817
           3490.6       0.2273735
            3491.       0.2282476
           3491.4       0.2470751
           3491.8        0.268529
           3492.2       0.2769191
           3492.6       0.2650342
            3493.       0.2553615
           3493.4        0.250976
           3493.8       0.2615485
           3494.2       0.2629151
           3494.6       0.2611768
            3495.       0.2540395
           3495.4       0.2360417
           3495.8       0.2231493
           3496.2       0.2253035
           3496.6       0.2291014
            3497.       0.2273814
           3497.4       0.2291128
           3497.8       0.2363689
           3498.2       0.2529554
           3498.6       0.2727352
            3499.       0.2840254
           3499.4       0.2821748
           3499.8       0.2792795
           3500.2       0.2688036
           3500.6       0.2574061
            3501.       0.2589457
           3501.4       0.2652627
           3501.8       0.2615614
           3502.2       0.2545621
           3502.6       0.2574274
            3503.       0.2663334
           3503.4       0.2818989
           3503.8       0.2821943
           3504.2       0.2731449
           3504.6       0.2629272
            3505.       0.2543381
           3505.4       0.2539448
           3505.8       0.2544596
           3506.2       0.2506196
           3506.6       0.2511111
            3507.        0.258943
           3507.4       0.2640043
           3507.8       0.2629102
           3508.2       0.2653833
           3508.6       0.2699737
            3509.       0.2707497
           3509.4       0.2640457
           3509.8       0.2487838
           3510.2       0.2328114
           3510.6       0.2338054
            3511.       0.2467348
           3511.4       0.2575331
           3511.8       0.2586135
           3512.2       0.2530543
           3512.6       0.2490526
            3513.       0.2405989
           3513.4       0.2263626
           3513.8       0.2228438
           3514.2       0.2283448
           3514.6        0.236863
            3515.       0.2474831
           3515.4       0.2598056
           3515.8       0.2666064
           3516.2       0.2720883
           3516.6       0.2754148
            3517.       0.2743411
           3517.4       0.2738489
           3517.8       0.2733111
           3518.2       0.2692557
           3518.6       0.2657107
            3519.       0.2678576
           3519.4       0.2593109
           3519.8       0.2505059
           3520.2       0.2439292
           3520.6       0.2431129
            3521.       0.2411019
           3521.4       0.2364736
           3521.8       0.2412572
           3522.2       0.2531566
           3522.6       0.2601697
            3523.       0.2580841
           3523.4       0.2468987
           3523.8       0.2343192
           3524.2       0.2217229
           3524.6       0.2199553
            3525.       0.2350629
           3525.4       0.2383216
           3525.8        0.222934
           3526.2       0.1979778
           3526.6       0.1950358
            3527.       0.2175801
           3527.4       0.2443511
           3527.8       0.2610816
           3528.2       0.2695697
           3528.6       0.2779068
            3529.       0.2747608
           3529.4       0.2687681
           3529.8       0.2656963
           3530.2       0.2720866
           3530.6        0.269776
