#K OBJECT   '28307'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 28307
#K OBJRA    04:28:34.50
#K OBJDEC   +15:57:43.9
#K OBJBMAG  4.788000E+00
#K OBJVMAG  3.847000E+00
#K SPTYPE   K0IIIb
#K OBJRV    3.980000E+01
#K HDNAME   HD 28307
#K BDNAME   BD+15 631
#K HIPNAME  HIP 20885
#K SAONAME  SAO 93955
#K VHELIO   -2.97076365214408E+01
#K VLSR     -4.21912873778148E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.789998E+03
#K CMAX1    8.125177E+03
#K PICKTYPE K0III
#K NCOMBINE 6
#K TEFF     4960  1990ApJS...74.1075M (McWilliam)
#K LOGG     3.170000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      4.000000E-02  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     8125.8-8144.6

#      wavelength        spectrum
#       angstroms                

            3465.        0.189787
           3465.4        0.171902
           3465.8       0.1583337
           3466.2       0.1599011
           3466.6       0.1702402
            3467.        0.190734
           3467.4       0.2065122
           3467.8       0.2105582
           3468.2       0.2086256
           3468.6       0.2076004
            3469.       0.2098575
           3469.4       0.2194641
           3469.8       0.2368648
           3470.2       0.2508153
           3470.6       0.2521141
            3471.       0.2301325
           3471.4       0.2136781
           3471.8       0.1935603
           3472.2       0.1818845
           3472.6        0.178006
            3473.       0.1764803
           3473.4       0.1722443
           3473.8       0.1616263
           3474.2       0.1503379
           3474.6        0.142134
            3475.       0.1335501
           3475.4        0.127014
           3475.8       0.1243617
           3476.2       0.1236937
           3476.6        0.130357
            3477.       0.1437347
           3477.4       0.1621491
           3477.8       0.1810718
           3478.2       0.1933115
           3478.6       0.1958824
            3479.       0.1986596
           3479.4       0.1942559
           3479.8        0.184824
           3480.2       0.1835332
           3480.6       0.1818949
            3481.       0.1853753
           3481.4       0.1893428
           3481.8       0.1929013
           3482.2       0.1824216
           3482.6       0.1678228
            3483.       0.1546121
           3483.4       0.1534426
           3483.8       0.1607046
           3484.2       0.1661435
           3484.6       0.1643648
            3485.       0.1607505
           3485.4       0.1664435
           3485.8       0.1833229
           3486.2       0.2068086
           3486.6       0.2309177
            3487.        0.243929
           3487.4       0.2340062
           3487.8       0.2114333
           3488.2       0.1870685
           3488.6       0.1680474
            3489.       0.1536874
           3489.4        0.143475
           3489.8       0.1365111
           3490.2       0.1315708
           3490.6       0.1346859
            3491.       0.1510302
           3491.4       0.1681135
           3491.8       0.1675249
           3492.2       0.1540609
           3492.6       0.1469553
            3493.       0.1483339
           3493.4        0.176788
           3493.8       0.1936589
           3494.2       0.2008219
           3494.6       0.2056888
            3495.       0.1933935
           3495.4       0.1692623
           3495.8       0.1511425
           3496.2       0.1390544
           3496.6       0.1312038
            3497.       0.1315148
           3497.4        0.134599
           3497.8       0.1506027
           3498.2       0.1750795
           3498.6        0.209594
            3499.       0.2474969
           3499.4       0.2623214
           3499.8        0.252384
           3500.2       0.2395205
           3500.6       0.2354635
            3501.       0.2394128
           3501.4        0.240404
           3501.8       0.2322427
           3502.2       0.2336063
           3502.6       0.2534492
            3503.       0.2797469
           3503.4       0.2906653
           3503.8       0.2910234
           3504.2       0.2525085
           3504.6       0.2263615
            3505.       0.2120342
           3505.4       0.2028297
           3505.8       0.2027942
           3506.2        0.200566
           3506.6       0.2031774
            3507.       0.2159581
           3507.4       0.2258126
           3507.8       0.2392093
           3508.2       0.2428025
           3508.6       0.2330613
            3509.       0.2211481
           3509.4       0.1967918
           3509.8        0.174779
           3510.2        0.166454
           3510.6       0.1830908
            3511.       0.2025319
           3511.4       0.2052993
           3511.8       0.1969277
           3512.2       0.1821423
           3512.6       0.1689688
            3513.        0.156836
           3513.4        0.147117
           3513.8       0.1438056
           3514.2       0.1408433
           3514.6       0.1392834
            3515.        0.153227
           3515.4       0.1803361
           3515.8       0.2094834
           3516.2        0.226132
           3516.6       0.2370247
            3517.       0.2578128
           3517.4       0.2774853
           3517.8       0.2802999
           3518.2       0.2734511
           3518.6       0.2641627
            3519.       0.2495902
           3519.4       0.2328921
           3519.8       0.2165107
           3520.2       0.2020413
           3520.6       0.1884151
            3521.       0.1701685
           3521.4       0.1653346
           3521.8       0.1761116
           3522.2       0.1809413
           3522.6       0.1755468
            3523.       0.1657855
           3523.4       0.1476574
           3523.8        0.126132
           3524.2       0.1176366
           3524.6       0.1203183
            3525.        0.136231
           3525.4       0.1368738
           3525.8       0.1255349
           3526.2       0.1213835
           3526.6       0.1437048
            3527.       0.1756458
           3527.4       0.1976421
           3527.8       0.2141002
           3528.2         0.23125
           3528.6       0.2438096
            3529.       0.2360364
           3529.4       0.2259605
           3529.8       0.2203032
           3530.2        0.215293
           3530.6       0.2193243
            3531.       0.2091929
           3531.4       0.1957411
           3531.8       0.1813985
           3532.2       0.1687412
           3532.6         0.16772
            3533.       0.1812918
           3533.4       0.2021613
           3533.8       0.2259253
           3534.2       0.2492859
           3534.6        0.243318
            3535.       0.2343026
           3535.4       0.2322686
           3535.8       0.2227252
           3536.2        0.226871
           3536.6       0.2247756
            3537.       0.2161384
           3537.4       0.2077522
           3537.8       0.2051961
           3538.2       0.2157515
           3538.6       0.2372929
            3539.       0.2602857
           3539.4       0.2687052
           3539.8       0.2598142
           3540.2       0.2432734
           3540.6       0.2226811
            3541.       0.2106747
           3541.4       0.2045647
           3541.8         0.20092
           3542.2       0.1981013
           3542.6       0.2049796
            3543.       0.2156342
           3543.4       0.2264137
           3543.8       0.2370064
           3544.2       0.2468116
           3544.6       0.2522845
            3545.       0.2329424
           3545.4        0.226247
           3545.8       0.2226343
           3546.2       0.2225228
           3546.6       0.2249999
            3547.        0.211835
           3547.4        0.193698
           3547.8        0.185127
           3548.2       0.1930469
           3548.6        0.213724
            3549.       0.2308493
           3549.4       0.2344338
           3549.8       0.2269499
           3550.2       0.2153825
           3550.6       0.2059598
            3551.       0.1931011
           3551.4       0.1943099
           3551.8       0.1992083
           3552.2       0.2021425
           3552.6       0.1974144
            3553.       0.1810061
           3553.4       0.1699215
           3553.8       0.1659076
           3554.2       0.1642182
           3554.6       0.1727483
            3555.       0.1927316
           3555.4       0.2148398
           3555.8       0.2196457
           3556.2       0.2130457
           3556.6       0.1941242
            3557.        0.197225
           3557.4       0.1999767
           3557.8       0.1879593
           3558.2       0.1645742
           3558.6       0.1574105
            3559.       0.1654881
           3559.4       0.1773001
           3559.8       0.1870589
           3560.2       0.1845556
           3560.6       0.1789256
            3561.       0.1729048
           3561.4       0.1773258
           3561.8       0.1872329
           3562.2       0.2063797
           3562.6       0.2234031
            3563.       0.2379735
           3563.4       0.2372132
           3563.8       0.2173778
           3564.2       0.1915467
           3564.6       0.1521474
            3565.       0.1148606
           3565.4       0.1042218
           3565.8       0.1024678
           3566.2        0.114679
           3566.6       0.1323526
            3567.       0.1539604
           3567.4       0.1712569
           3567.8       0.1787167
           3568.2       0.1699025
           3568.6       0.1521869
            3569.       0.1289356
           3569.4       0.1076921
           3569.8      0.09799007
           3570.2       0.1064372
           3570.6       0.1273606
            3571.       0.1438205
           3571.4       0.1504548
           3571.8       0.1515001
           3572.2       0.1684688
           3572.6       0.1900605
            3573.       0.1985671
           3573.4       0.1902216
           3573.8       0.1862976
           3574.2       0.1865247
           3574.6       0.1832087
            3575.       0.1805526
           3575.4       0.1816725
           3575.8       0.1876666
           3576.2       0.1934367
           3576.6       0.1927083
            3577.       0.1923459
           3577.4       0.1781963
           3577.8       0.1610748
           3578.2        0.138971
           3578.6       0.1317423
            3579.       0.1342458
           3579.4       0.1383333
           3579.8        0.136096
           3580.2       0.1178662
           3580.6      0.09248518
            3581.      0.07779895
           3581.4      0.07785361
           3581.8      0.08827416
           3582.2       0.1029063
           3582.6       0.1145671
            3583.       0.1198915
           3583.4       0.1224075
           3583.8        0.116147
           3584.2        0.111084
           3584.6      0.09682844
            3585.      0.08183821
           3585.4         0.07975
           3585.8      0.08812566
           3586.2      0.09572746
           3586.6        0.097027
            3587.      0.09807081
           3587.4       0.1039958
           3587.8       0.1152158
           3588.2       0.1172587
           3588.6       0.1173137
            3589.       0.1126895
           3589.4       0.1131385
           3589.8       0.1231185
           3590.2       0.1496016
           3590.6       0.1866094
            3591.       0.2218598
           3591.4       0.2426421
           3591.8       0.2443769
           3592.2       0.2313224
           3592.6       0.2035823
            3593.       0.1803287
           3593.4       0.1786583
           3593.8       0.1923525
           3594.2       0.2084617
           3594.6       0.2220784
            3595.       0.2307325
           3595.4       0.2456019
           3595.8       0.2671084
           3596.2       0.2871736
           3596.6       0.3047442
            3597.       0.3009201
           3597.4       0.2749429
           3597.8       0.2675042
           3598.2       0.2729818
           3598.6       0.2765659
            3599.       0.2748064
           3599.4       0.2866903
           3599.8        0.306795
           3600.2       0.3178149
           3600.6       0.3210775
            3601.       0.3119279
           3601.4       0.2569922
