#K OBJECT   '29139'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 29139
#K OBJRA    04:35:55.24
#K OBJDEC   +16:30:33.5
#K OBJBMAG  2.390000E+00
#K OBJVMAG  8.500000E-01
#K SPTYPE   K5III
#K OBJRV    5.430000E+01
#K HDNAME   HD 29139
#K BDNAME   BD+16 629
#K HIPNAME  HIP 21421
#K SAONAME  SAO 94027
#K VHELIO   -2.85393906805095E+01
#K VLSR     -4.10971191027839E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.434089E+03
#K CMAX1    4.762037E+03
#K PICKTYPE K5III
#K NCOMBINE 7
#K TEFF     3850  1998A&A...338..623M (Mallik)
#K LOGG     5.500000E-01  1998A&A...338..623M (Mallik)
#K FEH      -1.000000E-01  1998A&A...338..623M (Mallik)
#K COVERAGE 3465.0-9469.0
#K GAPS     8125.4-8144.2

#      wavelength        spectrum
#       angstroms                

            3465.      0.04676349
           3465.4      0.03634325
           3465.8      0.03041537
           3466.2      0.02922396
           3466.6      0.03591651
            3467.      0.04197466
           3467.4      0.04545753
           3467.8      0.05235144
           3468.2      0.05720043
           3468.6      0.05827407
            3469.      0.05816476
           3469.4      0.05891426
           3469.8      0.06106545
           3470.2      0.06592003
           3470.6      0.06737252
            3471.      0.06412297
           3471.4      0.06113722
           3471.8      0.05058049
           3472.2      0.04058155
           3472.6      0.03908389
            3473.      0.03661104
           3473.4      0.03333822
           3473.8      0.03224906
           3474.2      0.02916603
           3474.6      0.02585303
            3475.      0.02353484
           3475.4      0.02026705
           3475.8      0.02082038
           3476.2       0.0238361
           3476.6      0.02382802
            3477.      0.02783051
           3477.4      0.03532106
           3477.8      0.04668925
           3478.2      0.05027642
           3478.6      0.05281553
            3479.      0.05376042
           3479.4      0.05325037
           3479.8      0.05313945
           3480.2      0.05433868
           3480.6      0.05684969
            3481.      0.05903589
           3481.4      0.06219935
           3481.8      0.06625938
           3482.2      0.06469894
           3482.6      0.05676516
            3483.      0.04472551
           3483.4      0.03966054
           3483.8      0.04405973
           3484.2       0.0474805
           3484.6      0.05271871
