#K OBJECT   '30562'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 30562
#K OBJRA    04:48:36.39
#K OBJDEC   -05:40:26.6
#K OBJBMAG  6.400000E+00
#K OBJVMAG  5.770000E+00
#K SPTYPE   F8V
#K OBJRV    7.860000E+01
#K HDNAME   HD 30562
#K BDNAME   BD-05 1044
#K HIPNAME  HIP 22336
#K SAONAME  SAO 131504
#K VHELIO   -2.50549897372103E+01
#K VLSR     -4.23583755535406E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.433422E+03
#K CMAX1    4.761284E+03
#K PICKTYPE F8V
#K NCOMBINE 7
#K TEFF     5886  1993A&A...275..101E (Edvardsson)
#K LOGG     3.980000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      1.400000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9447.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.6493778
           3465.4       0.5826386
           3465.8       0.5220617
           3466.2        0.522235
           3466.6       0.5570565
            3467.        0.605422
           3467.4       0.6448752
           3467.8       0.6761301
           3468.2       0.6823714
           3468.6       0.6484026
            3469.       0.6172768
           3469.4       0.6298485
           3469.8        0.684701
           3470.2       0.7313812
           3470.6       0.7453179
            3471.       0.7149374
           3471.4        0.658878
           3471.8       0.5975655
           3472.2       0.5686247
           3472.6       0.5717566
            3473.       0.5831361
           3473.4       0.5812517
           3473.8       0.5613506
           3474.2       0.5334215
           3474.6       0.5123131
            3475.       0.4955749
           3475.4        0.457207
           3475.8       0.4416668
           3476.2       0.4550381
           3476.6       0.4456629
            3477.        0.462978
           3477.4       0.5184077
           3477.8       0.5754235
           3478.2       0.5993847
           3478.6       0.6070702
            3479.       0.6235071
           3479.4       0.6231908
           3479.8       0.6033219
           3480.2       0.5952517
           3480.6       0.5890087
            3481.       0.5922606
           3481.4       0.5842423
           3481.8       0.5909232
           3482.2       0.5787427
           3482.6       0.5382289
            3483.        0.506668
           3483.4       0.4917387
           3483.8       0.4915834
           3484.2       0.5110104
           3484.6       0.5216714
            3485.       0.5132449
           3485.4       0.5175738
           3485.8       0.5396736
           3486.2       0.6035057
           3486.6       0.6730038
            3487.       0.7168795
           3487.4       0.7189888
           3487.8       0.6854115
           3488.2       0.6200601
           3488.6       0.5538484
            3489.       0.5078932
           3489.4       0.4857824
           3489.8       0.4773641
           3490.2       0.4638731
           3490.6       0.4588848
            3491.       0.4908424
           3491.4       0.5421635
           3491.8       0.5812621
           3492.2       0.5565357
           3492.6       0.4920069
            3493.       0.4635341
           3493.4       0.5033796
           3493.8       0.5682638
           3494.2       0.6283425
           3494.6       0.6466115
            3495.       0.6034219
           3495.4       0.5387613
           3495.8       0.4887812
           3496.2       0.4580767
           3496.6       0.4507689
            3497.       0.4406537
           3497.4       0.4330439
           3497.8       0.4597973
           3498.2       0.5336179
           3498.6        0.623628
            3499.       0.7039022
           3499.4       0.7487566
           3499.8       0.7459214
           3500.2       0.7086308
           3500.6       0.6869774
            3501.       0.7121389
           3501.4       0.7273315
           3501.8       0.7022598
           3502.2       0.6781466
           3502.6       0.6902549
            3503.        0.753481
           3503.4       0.8140625
           3503.8       0.8187059
           3504.2       0.7728709
           3504.6       0.6863127
            3505.       0.6278582
           3505.4       0.6227732
           3505.8       0.6193899
           3506.2       0.6026095
           3506.6       0.6100103
            3507.       0.6520392
           3507.4       0.6718239
           3507.8       0.6948435
           3508.2       0.7106951
           3508.6       0.7197902
            3509.       0.7090477
           3509.4       0.6673676
           3509.8       0.5926141
           3510.2        0.540278
           3510.6       0.5523054
            3511.       0.6009825
           3511.4       0.6364067
           3511.8       0.6303987
           3512.2       0.6014304
           3512.6       0.5803479
            3513.       0.5468274
           3513.4       0.5272536
           3513.8       0.5106536
           3514.2       0.5095631
           3514.6       0.5070142
            3515.       0.5239217
           3515.4        0.574151
           3515.8       0.6381639
