#K OBJECT   '31421'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 31421
#K OBJRA    04:56:22.27
#K OBJDEC   +13:30:52.1
#K OBJBMAG  5.257000E+00
#K OBJVMAG  4.087000E+00
#K SPTYPE   K2IIIb
#K OBJRV    8.000000E-01
#K HDNAME   HD 31421
#K BDNAME   BD+13 740
#K HIPNAME  HIP 22957
#K SAONAME  SAO 94218
#K VHELIO   -2.87639311030746E+01
#K VLSR     -4.25433088941213E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.790910E+03
#K CMAX1    8.126267E+03
#K PICKTYPE K2III
#K NCOMBINE 7
#K TEFF     4400  1998A&A...338..623M (Mallik)
#K LOGG     2.560000E+00  1998A&A...338..623M (Mallik)
#K FEH      -1.000000E-01  1998A&A...338..623M (Mallik)
#K COVERAGE 3465.0-9449.8

#      wavelength        spectrum
#       angstroms                

            3465.        0.111413
           3465.4      0.09493755
           3465.8      0.08154166
           3466.2      0.08021384
           3466.6      0.08662323
            3467.       0.1008344
           3467.4       0.1161754
           3467.8       0.1294279
           3468.2       0.1365579
           3468.6       0.1339676
            3469.       0.1303908
           3469.4       0.1347203
           3469.8       0.1437294
           3470.2       0.1528176
           3470.6       0.1607718
            3471.       0.1502423
           3471.4       0.1335495
           3471.8       0.1206285
           3472.2       0.1069089
           3472.6      0.09927736
            3473.      0.09625944
           3473.4      0.09481581
           3473.8       0.0906174
           3474.2      0.07996719
           3474.6      0.07054549
            3475.      0.06325987
           3475.4      0.05690352
           3475.8      0.05873612
           3476.2      0.05723882
           3476.6       0.0589701
            3477.      0.06910628
           3477.4      0.08958742
           3477.8       0.1070313
           3478.2        0.116565
           3478.6       0.1193228
            3479.       0.1198564
           3479.4       0.1212686
           3479.8       0.1188124
           3480.2       0.1157198
           3480.6       0.1185267
            3481.       0.1214988
           3481.4       0.1258609
           3481.8       0.1267422
           3482.2       0.1258238
           3482.6       0.1128472
            3483.       0.1003736
           3483.4      0.09612813
           3483.8        0.100274
           3484.2       0.1079607
           3484.6       0.1078459
            3485.       0.1034612
           3485.4       0.1062327
           3485.8       0.1144277
           3486.2       0.1325171
           3486.6       0.1525706
            3487.       0.1633818
           3487.4       0.1655954
           3487.8       0.1570719
           3488.2       0.1380776
           3488.6       0.1182223
            3489.       0.1011975
           3489.4      0.08777607
           3489.8       0.0739207
           3490.2       0.0625181
           3490.6      0.05805604
            3491.      0.05986727
           3491.4      0.08175158
           3491.8       0.0899718
           3492.2      0.08647632
           3492.6      0.07801478
            3493.      0.07467628
           3493.4      0.08437578
           3493.8       0.1031764
           3494.2       0.1197331
           3494.6       0.1279552
            3495.        0.125388
           3495.4       0.1129358
           3495.8      0.09697171
           3496.2      0.08482953
           3496.6      0.08017341
            3497.      0.07696518
           3497.4        0.077265
           3497.8      0.08244184
           3498.2      0.09830752
           3498.6       0.1236159
            3499.       0.1497948
           3499.4       0.1632329
           3499.8       0.1644748
           3500.2       0.1589292
           3500.6       0.1513925
            3501.       0.1499427
           3501.4       0.1514514
           3501.8       0.1464428
           3502.2       0.1407511
           3502.6       0.1493108
            3503.        0.170304
           3503.4        0.197083
           3503.8       0.2032691
           3504.2       0.1905464
           3504.6       0.1667371
            3505.       0.1453684
           3505.4       0.1356638
           3505.8        0.131535
           3506.2       0.1261862
           3506.6       0.1266462
            3507.       0.1395217
           3507.4       0.1499759
           3507.8       0.1580647
           3508.2       0.1649723
           3508.6       0.1638443
            3509.       0.1524174
           3509.4       0.1317247
           3509.8       0.1050369
           3510.2      0.09426378
           3510.6       0.1036399
            3511.       0.1197792
           3511.4       0.1300478
           3511.8       0.1281272
           3512.2       0.1195814
           3512.6       0.1033199
            3513.      0.08988163
           3513.4      0.08036032
           3513.8      0.07672116
           3514.2      0.07106671
           3514.6      0.06806508
            3515.      0.07435027
           3515.4      0.08506956
           3515.8       0.1097117
           3516.2       0.1328518
           3516.6       0.1437471
            3517.       0.1637435
           3517.4       0.1840031
           3517.8       0.1903304
           3518.2       0.1847048
           3518.6       0.1763547
            3519.       0.1655477
           3519.4       0.1528475
           3519.8       0.1434927
           3520.2       0.1266671
           3520.6       0.1122918
            3521.       0.1007627
           3521.4      0.08963472
           3521.8       0.0929751
           3522.2       0.1044748
           3522.6       0.1017872
            3523.      0.08873073
           3523.4      0.07428668
           3523.8       0.0600552
           3524.2      0.05103859
           3524.6      0.05017054
            3525.      0.05447597
           3525.4      0.06016955
           3525.8      0.05909495
           3526.2      0.05644462
           3526.6      0.07452271
            3527.       0.1009068
           3527.4       0.1145052
           3527.8       0.1266163
           3528.2       0.1376371
           3528.6       0.1487034
            3529.       0.1545705
           3529.4       0.1479558
           3529.8       0.1420457
           3530.2       0.1447953
           3530.6       0.1482538
            3531.       0.1415569
           3531.4       0.1321398
           3531.8       0.1243673
           3532.2       0.1163033
           3532.6       0.1124308
            3533.         0.11471
           3533.4       0.1263572
           3533.8       0.1494092
           3534.2       0.1622274
           3534.6       0.1654785
            3535.       0.1604578
           3535.4       0.1578604
           3535.8       0.1580722
           3536.2        0.155778
           3536.6       0.1535122
            3537.       0.1502522
           3537.4       0.1490562
           3537.8       0.1447501
           3538.2       0.1414973
           3538.6       0.1567824
            3539.        0.173026
           3539.4       0.1858606
           3539.8       0.1831353
           3540.2       0.1704971
           3540.6       0.1550694
            3541.        0.143865
           3541.4       0.1384559
           3541.8       0.1351962
           3542.2       0.1331823
           3542.6       0.1328111
            3543.       0.1371663
           3543.4       0.1449744
           3543.8       0.1546227
           3544.2       0.1655544
           3544.6        0.163303
            3545.          0.1622
           3545.4       0.1511005
           3545.8       0.1475111
           3546.2       0.1476502
           3546.6        0.143211
            3547.       0.1370426
           3547.4       0.1228781
           3547.8       0.1106624
           3548.2       0.1165841
           3548.6       0.1331308
            3549.       0.1459338
           3549.4       0.1512672
           3549.8       0.1499359
           3550.2       0.1408182
           3550.6       0.1324757
            3551.       0.1298165
           3551.4       0.1241007
           3551.8       0.1263534
           3552.2       0.1307052
           3552.6       0.1243755
            3553.        0.110138
           3553.4       0.1016277
           3553.8       0.1009169
           3554.2       0.1002335
           3554.6        0.101415
            3555.       0.1125654
           3555.4       0.1362146
           3555.8       0.1448909
           3556.2       0.1394245
           3556.6        0.123927
            3557.       0.1187688
           3557.4       0.1234371
           3557.8       0.1169043
           3558.2       0.1016132
           3558.6      0.08996465
            3559.       0.0909342
           3559.4       0.1035315
           3559.8       0.1101879
           3560.2        0.110541
           3560.6       0.1131744
            3561.       0.1108275
           3561.4       0.1121447
           3561.8       0.1094801
           3562.2         0.12378
           3562.6       0.1341744
            3563.       0.1446161
           3563.4       0.1486059
           3563.8        0.136745
           3564.2       0.1164107
           3564.6      0.08838378
            3565.      0.06160491
           3565.4      0.05033942
           3565.8      0.04746401
           3566.2      0.05371415
           3566.6      0.06737618
            3567.       0.0812627
           3567.4      0.09595191
           3567.8       0.0982798
           3568.2       0.0939467
           3568.6      0.08559798
            3569.      0.07226376
           3569.4       0.0541844
           3569.8      0.04070784
           3570.2      0.04308011
           3570.6      0.05316539
            3571.      0.06428584
           3571.4       0.0704424
           3571.8      0.07789768
           3572.2      0.08866722
           3572.6       0.1064553
            3573.       0.1168268
           3573.4       0.1182147
           3573.8        0.114266
           3574.2       0.1077881
           3574.6       0.1107165
            3575.       0.1145327
           3575.4       0.1077348
           3575.8       0.1088864
           3576.2        0.115747
           3576.6       0.1164617
            3577.       0.1118265
           3577.4       0.1039462
           3577.8       0.0912139
           3578.2       0.0687952
           3578.6      0.05651559
            3579.      0.05635399
           3579.4      0.05939584
           3579.8      0.05830139
           3580.2        0.052868
           3580.6      0.04451525
            3581.      0.03331562
           3581.4       0.0304503
           3581.8      0.03564541
           3582.2      0.04676602
           3582.6      0.05878823
            3583.      0.06469714
           3583.4      0.07060004
           3583.8      0.07166453
           3584.2      0.06643179
           3584.6      0.05615246
            3585.      0.04491869
           3585.4      0.04036796
           3585.8      0.04340405
           3586.2      0.04760504
           3586.6      0.04974277
            3587.      0.05102265
           3587.4      0.05312942
           3587.8      0.06094302
           3588.2      0.07034074
           3588.6      0.07234476
            3589.      0.06712548
           3589.4      0.06364589
           3589.8      0.06948671
           3590.2        0.091258
           3590.6       0.1194135
            3591.       0.1410746
           3591.4       0.1554128
           3591.8       0.1587364
           3592.2       0.1500891
           3592.6       0.1276629
            3593.      0.09893593
           3593.4      0.08717564
           3593.8      0.09052637
           3594.2       0.1092624
           3594.6       0.1235297
            3595.       0.1342972
           3595.4        0.147396
           3595.8       0.1594827
           3596.2         0.17727
           3596.6       0.1946783
            3597.       0.1921684
           3597.4       0.1774018
           3597.8       0.1647305
           3598.2       0.1722351
           3598.6       0.1846443
            3599.       0.1859074
           3599.4       0.1924444
           3599.8       0.2048746
           3600.2       0.2208451
           3600.6       0.2259654
            3601.       0.2147717
           3601.4       0.1983048
           3601.8       0.1690407
           3602.2       0.1335539
           3602.6       0.1269279
            3603.       0.1331526
           3603.4        0.138925
           3603.8       0.1364966
           3604.2       0.1287593
           3604.6       0.1196004
            3605.       0.1037479
           3605.4      0.09403745
           3605.8       0.1039124
           3606.2       0.1198776
           3606.6       0.1337233
            3607.       0.1460766
           3607.4       0.1473773
           3607.8        0.134305
           3608.2       0.1059128
           3608.6      0.07411154
            3609.      0.06022002
           3609.4      0.06412026
           3609.8      0.07329118
           3610.2      0.08059342
           3610.6      0.09801722
            3611.       0.1252019
           3611.4       0.1463728
           3611.8       0.1570507
           3612.2         0.15557
           3612.6        0.142097
            3613.       0.1300733
           3613.4       0.1252065
           3613.8       0.1322574
           3614.2       0.1498342
           3614.6       0.1752434
            3615.       0.1948271
           3615.4       0.1999017
           3615.8       0.1995905
           3616.2       0.1920196
           3616.6       0.1819001
            3617.       0.1644496
           3617.4       0.1347428
           3617.8      0.09968533
           3618.2      0.06824771
           3618.6      0.05463145
            3619.      0.04509224
           3619.4      0.04896565
           3619.8      0.06516765
           3620.2       0.1004351
           3620.6       0.1286253
            3621.       0.1413356
           3621.4       0.1455386
           3621.8       0.1642825
           3622.2        0.193106
           3622.6       0.2113269
            3623.        0.209584
           3623.4       0.1869175
           3623.8       0.1657364
           3624.2       0.1593591
           3624.6       0.1637239
            3625.       0.1821704
           3625.4       0.2267376
           3625.8       0.2464915
           3626.2       0.2580444
           3626.6       0.2659523
            3627.       0.2559445
           3627.4       0.2383937
           3627.8       0.2269422
           3628.2       0.2238886
           3628.6        0.226901
            3629.       0.2288691
           3629.4       0.2193944
           3629.8       0.1890642
           3630.2       0.1603012
           3630.6        0.114845
            3631.      0.07557511
           3631.4      0.06191236
           3631.8      0.06419809
           3632.2      0.08622019
           3632.6        0.115759
            3633.       0.1294059
           3633.4       0.1385641
           3633.8       0.1481505
           3634.2       0.1390947
           3634.6       0.1277768
            3635.       0.1264482
           3635.4       0.1454004
           3635.8       0.1740645
           3636.2       0.1821007
           3636.6       0.1729952
            3637.       0.1732154
           3637.4       0.1810099
           3637.8       0.1868896
           3638.2       0.1985243
           3638.6       0.2169614
            3639.       0.2320491
           3639.4       0.2371406
           3639.8       0.2345708
           3640.2       0.2413919
           3640.6       0.2455137
            3641.       0.2349497
           3641.4       0.2148784
           3641.8       0.2060733
           3642.2       0.1974366
           3642.6       0.1906061
            3643.       0.1928713
           3643.4       0.2031521
           3643.8       0.2073156
           3644.2       0.1934035
           3644.6       0.1660724
            3645.        0.139919
           3645.4       0.1381825
           3645.8       0.1468098
           3646.2       0.1550833
           3646.6       0.1538607
            3647.       0.1390486
           3647.4        0.105429
           3647.8       0.0795233
           3648.2      0.08805898
           3648.6       0.1078882
            3649.       0.1195229
           3649.4       0.1267124
           3649.8       0.1363023
           3650.2       0.1576621
           3650.6        0.172882
            3651.       0.1820959
           3651.4        0.182712
           3651.8       0.1833989
           3652.2       0.2109697
           3652.6       0.2387592
            3653.       0.2387217
           3653.4       0.2246134
           3653.8       0.2154929
           3654.2       0.2213774
           3654.6       0.2286893
            3655.       0.2229363
           3655.4       0.2225208
           3655.8       0.2353254
           3656.2       0.2555977
           3656.6       0.2634995
            3657.       0.2696794
           3657.4       0.2613803
           3657.8       0.2589303
           3658.2        0.269388
           3658.6       0.2984916
            3659.       0.3103075
           3659.4       0.2881811
           3659.8       0.2624297
           3660.2       0.2507947
           3660.6       0.2532937
            3661.       0.2649755
           3661.4       0.2755619
           3661.8       0.2678691
           3662.2       0.2558125
           3662.6       0.2460656
            3663.       0.2346402
           3663.4       0.2147652
           3663.8       0.2006577
           3664.2       0.2040737
           3664.6       0.2167267
            3665.       0.2479132
           3665.4       0.2855054
           3665.8       0.2778508
           3666.2       0.2387504
           3666.6       0.2207909
            3667.       0.2270091
           3667.4       0.2547447
           3667.8       0.2657958
           3668.2        0.241688
           3668.6       0.2200565
            3669.       0.1940608
           3669.4       0.1709977
           3669.8       0.1727502
           3670.2       0.1869625
           3670.6       0.2020785
            3671.       0.2224435
           3671.4        0.242321
           3671.8       0.2618164
           3672.2       0.2790965
           3672.6       0.2839921
            3673.       0.2696139
           3673.4       0.2506716
           3673.8       0.2370522
           3674.2       0.2355046
           3674.6       0.2625459
            3675.       0.2844136
           3675.4       0.2901793
           3675.8       0.2861034
           3676.2        0.262176
           3676.6       0.2392735
            3677.       0.2115042
           3677.4        0.186616
           3677.8       0.1892817
           3678.2       0.2030382
           3678.6       0.2144176
            3679.       0.2011579
           3679.4       0.1626196
           3679.8       0.1365172
           3680.2       0.1352169
           3680.6       0.1613973
            3681.       0.2017982
           3681.4       0.2273519
           3681.8       0.2361605
           3682.2        0.227036
           3682.6       0.2114061
            3683.       0.2161582
           3683.4       0.2342903
           3683.8       0.2562183
           3684.2       0.2520834
           3684.6       0.2329468
            3685.       0.2035637
           3685.4       0.1811599
           3685.8       0.1775008
           3686.2       0.1748494
           3686.6       0.1593057
            3687.        0.131349
           3687.4       0.1051717
           3687.8       0.1080704
           3688.2       0.1328212
           3688.6        0.169797
            3689.       0.1922369
           3689.4       0.2081533
           3689.8       0.2203068
           3690.2       0.2445819
           3690.6       0.2752154
            3691.       0.3006079
           3691.4       0.3185258
           3691.8        0.321511
           3692.2       0.3046487
           3692.6       0.2725898
            3693.       0.2357467
           3693.4       0.2054807
           3693.8        0.193956
           3694.2       0.2078714
           3694.6       0.2219782
            3695.        0.239158
           3695.4       0.2406094
           3695.8       0.2351466
           3696.2       0.2274495
           3696.6       0.2242451
            3697.       0.2348047
           3697.4       0.2465044
           3697.8       0.2595444
           3698.2       0.2783706
           3698.6       0.2988437
            3699.       0.3164285
           3699.4       0.3230506
           3699.8       0.3257136
           3700.2       0.3134603
           3700.6       0.2907377
            3701.       0.2799006
           3701.4       0.2828713
           3701.8       0.2856758
           3702.2       0.2827042
           3702.6       0.2752976
            3703.       0.2669254
           3703.4       0.2446729
           3703.8       0.1902659
           3704.2         0.15995
           3704.6       0.1487513
            3705.       0.1281382
           3705.4       0.1087367
           3705.8       0.1099183
           3706.2       0.1326465
           3706.6       0.1721891
            3707.       0.1872421
           3707.4       0.1607257
           3707.8       0.1368069
           3708.2        0.133773
           3708.6       0.1280367
            3709.       0.1117397
           3709.4       0.1076276
           3709.8       0.1306326
           3710.2       0.1800281
           3710.6       0.2316825
            3711.        0.258553
           3711.4       0.2578167
           3711.8       0.2608403
           3712.2       0.2742226
           3712.6        0.288609
            3713.       0.3048907
           3713.4       0.3160209
           3713.8       0.3258549
           3714.2       0.3417092
           3714.6       0.3375037
            3715.       0.3122028
           3715.4       0.2818477
           3715.8       0.2552744
           3716.2       0.2457114
           3716.6       0.2503573
            3717.       0.2507961
           3717.4       0.2357474
           3717.8       0.2044128
           3718.2       0.1712087
           3718.6       0.1432854
            3719.        0.109652
           3719.4      0.08007489
           3719.8      0.05776078
           3720.2      0.05138666
           3720.6       0.0650389
            3721.      0.07715901
           3721.4      0.07967522
           3721.8      0.08060756
           3722.2      0.08392189
           3722.6      0.09297069
            3723.       0.1237509
           3723.4       0.1642066
           3723.8       0.1868823
           3724.2       0.1946599
           3724.6       0.1933042
            3725.       0.2078506
           3725.4       0.2427724
           3725.8       0.2660276
           3726.2       0.2659157
           3726.6       0.2345152
            3727.       0.1760076
           3727.4       0.1199151
           3727.8       0.1038637
           3728.2       0.1256547
           3728.6       0.1695992
            3729.       0.2179799
           3729.4       0.2376713
           3729.8       0.2267556
           3730.2       0.1989864
           3730.6       0.1695513
            3731.       0.1576233
           3731.4       0.1655572
           3731.8       0.1587354
           3732.2        0.146645
           3732.6       0.1264263
            3733.       0.1003971
           3733.4      0.08180848
           3733.8      0.06994182
           3734.2      0.05832243
           3734.6      0.04703649
            3735.      0.04259946
           3735.4      0.04980059
           3735.8      0.06294799
           3736.2       0.0722245
           3736.6      0.06756182
            3737.      0.05776399
           3737.4       0.0695507
           3737.8      0.09395266
           3738.2       0.1157318
           3738.6       0.1403406
            3739.       0.1564632
           3739.4       0.1661617
           3739.8       0.1898041
           3740.2       0.2139031
           3740.6       0.2308396
            3741.       0.2274304
           3741.4       0.2079361
           3741.8       0.1925823
           3742.2       0.1870946
           3742.6       0.1690892
            3743.       0.1341653
           3743.4       0.1069186
           3743.8       0.1054716
           3744.2       0.1177743
           3744.6       0.1220089
            3745.       0.1049506
           3745.4      0.07596641
           3745.8      0.06633599
           3746.2       0.0752089
           3746.6       0.0974097
            3747.       0.1136199
           3747.4       0.1122804
           3747.8      0.09772425
           3748.2      0.07463456
           3748.6      0.05828213
            3749.      0.05003879
           3749.4      0.04816886
           3749.8      0.06203706
           3750.2      0.08688413
           3750.6       0.1137332
            3751.       0.1478724
           3751.4       0.1795609
           3751.8       0.2042104
           3752.2       0.2090767
           3752.6        0.197839
            3753.       0.1876596
           3753.4       0.2028852
           3753.8       0.2297298
           3754.2       0.2584803
           3754.6       0.2771277
            3755.       0.2795249
           3755.4       0.2779816
           3755.8       0.2718731
           3756.2       0.2570885
           3756.6       0.2310377
            3757.       0.1887652
           3757.4       0.1428388
           3757.8      0.09495366
           3758.2      0.07047906
           3758.6       0.0702503
            3759.      0.08601364
           3759.4       0.1123264
           3759.8       0.1410971
           3760.2       0.1650166
           3760.6       0.1788015
            3761.       0.1783168
           3761.4       0.1738004
           3761.8       0.1845975
           3762.2       0.1943273
           3762.6       0.1814116
            3763.       0.1699355
           3763.4       0.1226779
           3763.8      0.09564748
           3764.2        0.106479
           3764.6       0.1503056
            3765.       0.1922231
           3765.4       0.2016482
           3765.8       0.1890904
           3766.2       0.1665481
           3766.6       0.1375967
            3767.       0.1071344
           3767.4       0.1019384
           3767.8       0.1219967
           3768.2       0.1589927
           3768.6       0.2174456
            3769.       0.2681672
           3769.4       0.2893914
           3769.8       0.2706143
           3770.2       0.2433876
           3770.6       0.2379962
            3771.       0.2484653
           3771.4       0.2600442
           3771.8       0.2696984
           3772.2        0.286338
           3772.6       0.2967391
            3773.       0.3010242
           3773.4       0.2919818
           3773.8       0.2795053
           3774.2         0.26798
           3774.6       0.2534273
            3775.       0.2508534
           3775.4       0.2431635
           3775.8       0.2298312
