#K OBJECT   '33959'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 33959 A
#K OBJRA    05:15:24.39
#K OBJDEC   +32:41:15.4
#K OBJBMAG  5.205000E+00
#K OBJVMAG  5.007000E+00
#K SPTYPE   A9IV...
#K OBJRV    -9.700000E+00
#K HDNAME   HD 33959
#K BDNAME   BD+32 922
#K HIPNAME  HIP 24504
#K SAONAME  SAO 57799
#K VHELIO   -2.76768934566490E+01
#K VLSR     -3.65277301045057E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.791163E+03
#K CMAX1    8.126571E+03
#K PICKTYPE F2IV
#K NCOMBINE 5
#K TEFF     7670  1991A&A...249..205B (Burkhart)
#K LOGG     3.550000E+00  1991A&A...249..205B (Burkhart)
#K FEH      0.000000E+00  1991A&A...249..205B (Burkhart)
#K COVERAGE 3465.0-9443.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.6819162
           3465.4        0.657469
           3465.8        0.653124
           3466.2       0.6695886
           3466.6       0.7027164
            3467.       0.7188153
           3467.4       0.7275057
           3467.8       0.7320818
           3468.2       0.7237149
           3468.6       0.7097037
            3469.        0.701297
           3469.4       0.7068288
           3469.8       0.7257081
           3470.2       0.7370937
           3470.6       0.7337612
            3471.       0.7280865
           3471.4       0.7049025
           3471.8        0.690477
           3472.2       0.6780999
           3472.6       0.6974505
            3473.        0.689071
           3473.4         0.67069
           3473.8       0.6409305
           3474.2       0.6111853
           3474.6       0.6049757
            3475.        0.598719
           3475.4       0.5905467
           3475.8       0.5971177
           3476.2       0.6004613
           3476.6       0.5877649
            3477.        0.578819
           3477.4       0.6091504
           3477.8       0.6622709
           3478.2       0.6926402
           3478.6       0.6955488
            3479.       0.6866009
           3479.4       0.6822473
           3479.8        0.686907
           3480.2       0.6866745
           3480.6       0.6827438
            3481.       0.6821946
           3481.4       0.6790757
           3481.8       0.6953528
           3482.2       0.6889679
           3482.6       0.6590565
            3483.       0.6274408
           3483.4       0.6273488
           3483.8       0.6366131
           3484.2       0.6590835
           3484.6       0.6817719
            3485.       0.6939906
           3485.4       0.7036211
           3485.8       0.7072362
           3486.2       0.7161707
           3486.6       0.7364185
            3487.       0.7470746
           3487.4       0.7409689
           3487.8       0.7095801
           3488.2       0.6662403
           3488.6        0.640931
            3489.        0.638212
           3489.4       0.6356714
           3489.8       0.6348567
           3490.2       0.6300083
           3490.6       0.6237864
            3491.       0.6333821
           3491.4       0.6538549
           3491.8       0.6808514
           3492.2        0.693233
           3492.6       0.6693497
            3493.       0.6479146
           3493.4       0.6421664
           3493.8       0.6618421
           3494.2       0.6650797
           3494.6       0.6480368
            3495.       0.6094031
           3495.4       0.5671847
           3495.8       0.5405611
           3496.2       0.5368749
           3496.6        0.562749
            3497.       0.5790352
           3497.4       0.5713733
           3497.8       0.6040761
           3498.2       0.6594844
           3498.6       0.7071397
            3499.       0.7308158
           3499.4       0.7308222
           3499.8       0.7062497
           3500.2       0.6813812
           3500.6        0.679742
            3501.        0.686886
           3501.4        0.697078
           3501.8        0.711822
           3502.2       0.7162411
           3502.6       0.7227032
            3503.       0.7280974
           3503.4       0.7356279
           3503.8       0.7303385
           3504.2       0.6973854
           3504.6        0.659819
            3505.        0.633431
           3505.4       0.6310591
           3505.8       0.6529301
           3506.2       0.6813399
           3506.6        0.700183
            3507.       0.7085608
           3507.4       0.7109105
           3507.8       0.7099117
           3508.2       0.7176268
           3508.6       0.7289158
            3509.        0.723101
           3509.4       0.7176479
           3509.8        0.678242
           3510.2       0.6430565
           3510.6        0.628892
            3511.       0.6365644
           3511.4       0.6687976
           3511.8       0.6905456
           3512.2       0.6938049
           3512.6       0.7015586
            3513.       0.6911145
           3513.4       0.6667944
           3513.8       0.6464879
           3514.2       0.6429629
           3514.6       0.6656904
            3515.       0.6783606
           3515.4       0.7015486
           3515.8       0.7288868
           3516.2       0.7309107
           3516.6        0.725774
            3517.       0.7273536
           3517.4        0.721058
           3517.8       0.7169506
           3518.2       0.7277277
           3518.6       0.7344993
            3519.        0.727829
           3519.4       0.7057912
           3519.8       0.6774392
           3520.2       0.6694791
           3520.6        0.675932
            3521.       0.6734617
           3521.4       0.6800578
           3521.8       0.6970286
           3522.2       0.7169657
           3522.6       0.7316403
            3523.       0.7322564
           3523.4       0.7213842
           3523.8       0.6900355
           3524.2       0.6623781
           3524.6       0.6536751
            3525.       0.6674491
           3525.4       0.6652948
           3525.8       0.6301168
           3526.2        0.600511
           3526.6        0.604648
            3527.       0.6460142
           3527.4       0.6967261
           3527.8       0.7218342
           3528.2       0.7317398
           3528.6       0.7502733
            3529.       0.7618446
           3529.4       0.7486866
           3529.8       0.7185509
           3530.2        0.717849
           3530.6       0.7175322
            3531.       0.7132513
           3531.4       0.7197526
           3531.8       0.7237862
           3532.2       0.7138752
           3532.6       0.7063513
            3533.       0.7016222
           3533.4       0.7016425
           3533.8       0.7213659
           3534.2       0.7395585
           3534.6       0.7341342
            3535.       0.7055881
           3535.4       0.6809877
           3535.8       0.6747468
           3536.2       0.6880232
           3536.6       0.7168068
            3537.       0.7342504
           3537.4       0.7436808
           3537.8       0.7409625
           3538.2       0.7336068
           3538.6       0.7536251
            3539.       0.7826778
           3539.4       0.7804206
           3539.8       0.7685103
           3540.2        0.762445
           3540.6        0.742469
            3541.       0.7226563
           3541.4       0.7232766
           3541.8        0.733722
           3542.2       0.7261047
           3542.6       0.7205482
            3543.       0.7441906
           3543.4       0.7668357
           3543.8       0.7738507
           3544.2          0.7725
           3544.6       0.7560301
            3545.       0.7403983
           3545.4       0.7282818
           3545.8       0.7502427
           3546.2       0.7592201
           3546.6       0.7741745
            3547.       0.7755882
           3547.4       0.7544613
           3547.8       0.7385447
           3548.2       0.7305751
           3548.6       0.7296516
            3549.       0.7386858
           3549.4       0.7487024
           3549.8        0.764479
           3550.2       0.7862715
           3550.6       0.7904075
            3551.       0.7848267
           3551.4       0.7664343
           3551.8       0.7511318
           3552.2       0.7509971
           3552.6       0.7459616
            3553.        0.743991
           3553.4       0.7411361
           3553.8       0.7352557
           3554.2       0.7293271
           3554.6        0.719766
            3555.       0.7169493
           3555.4       0.7273219
           3555.8       0.7375754
           3556.2       0.7358338
           3556.6       0.6986588
            3557.       0.6839494
           3557.4       0.7100468
           3557.8       0.7404014
           3558.2       0.7315576
           3558.6       0.7265733
            3559.       0.7388116
           3559.4        0.755419
           3559.8       0.7686752
           3560.2       0.7677937
           3560.6       0.7548542
            3561.       0.7357869
           3561.4        0.732312
           3561.8       0.7228498
           3562.2       0.7537347
           3562.6       0.7796412
            3563.       0.7953035
           3563.4       0.8034354
           3563.8       0.7907902
           3564.2       0.7700219
           3564.6       0.7452001
            3565.       0.6982881
           3565.4       0.6441323
           3565.8       0.6154176
           3566.2       0.6191863
           3566.6       0.6548135
            3567.       0.6878251
           3567.4        0.704693
           3567.8       0.7195923
           3568.2       0.7266167
           3568.6       0.7319852
            3569.       0.7106337
           3569.4        0.664394
           3569.8       0.6283864
           3570.2         0.62628
           3570.6       0.6587799
            3571.       0.7063069
           3571.4        0.721656
           3571.8       0.6799105
           3572.2        0.646471
           3572.6       0.6429864
            3573.       0.6517911
           3573.4       0.6799275
           3573.8       0.6978281
           3574.2        0.700653
           3574.6        0.716553
            3575.       0.7293224
           3575.4       0.7198988
           3575.8       0.6941201
           3576.2       0.6645787
           3576.6       0.6550868
            3577.       0.6748781
           3577.4       0.7117528
           3577.8       0.7342382
           3578.2       0.7317877
           3578.6       0.7025713
            3579.       0.7238133
           3579.4       0.7612768
           3579.8        0.774731
           3580.2       0.7564155
           3580.6       0.7019868
            3581.       0.6399994
           3581.4       0.6232295
           3581.8       0.6639535
           3582.2       0.7143697
           3582.6       0.7434411
            3583.       0.7736428
           3583.4       0.7678581
           3583.8       0.7506638
           3584.2       0.7091106
           3584.6       0.6417162
            3585.       0.5799171
           3585.4       0.5492195
           3585.8       0.5623707
           3586.2       0.6033022
           3586.6       0.6311066
            3587.       0.6303289
           3587.4       0.6325252
           3587.8       0.6604151
           3588.2       0.6812596
           3588.6         0.68396
            3589.       0.6640947
           3589.4       0.6449217
           3589.8       0.6410098
           3590.2       0.6507719
           3590.6       0.6935512
            3591.       0.7319643
           3591.4       0.7483541
           3591.8       0.7490032
           3592.2       0.7317306
           3592.6       0.7220092
            3593.       0.7016858
           3593.4       0.6706563
           3593.8        0.691608
           3594.2       0.7364194
           3594.6       0.7447932
            3595.       0.7437088
