#K OBJECT   '34255'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 34255
#K OBJRA    05:20:22.61
#K OBJDEC   +62:39:13.4
#K OBJBMAG  7.421000E+00
#K OBJVMAG  5.645000E+00
#K SPTYPE   K4Iab:
#K OBJRV    -6.400000E+00
#K HDNAME   HD 34255
#K BDNAME   BD+62 742
#K HIPNAME  HIP 24914
#K SAONAME  SAO 13460
#K VHELIO   -1.97600018665199E+01
#K VLSR     -1.86892343102048E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.435654E+03
#K CMAX1    4.763889E+03
#K PICKTYPE K4I
#K NCOMBINE 5
#K TEFF     3000  1971JRASC..65..222B (Bakos)
#K LOGG     -2147483647  1971JRASC..65..222B (Bakos)
#K FEH      -2.300000E-01  1971JRASC..65..222B (Bakos)
#K COVERAGE 3465.0-9444.2

#      wavelength        spectrum
#       angstroms                

            3465.      0.04175745
           3465.4      0.03566619
           3465.8      0.03132004
           3466.2      0.02860945
           3466.6      0.02997034
            3467.      0.03284107
           3467.4      0.03771622
           3467.8      0.04482139
           3468.2      0.04824733
           3468.6      0.05143872
            3469.      0.05256977
           3469.4      0.04965075
           3469.8      0.05245463
           3470.2       0.0553498
           3470.6      0.06023633
            3471.      0.05759155
           3471.4      0.05281992
           3471.8      0.04614592
           3472.2      0.04034345
           3472.6      0.03780378
            3473.      0.03633298
           3473.4      0.03624494
           3473.8      0.03269802
           3474.2       0.0294058
           3474.6      0.02527129
            3475.      0.02437981
           3475.4      0.02068924
           3475.8      0.01917971
           3476.2      0.02219189
           3476.6      0.02377607
            3477.      0.02536433
           3477.4      0.02979946
           3477.8      0.03687903
           3478.2      0.04235478
           3478.6      0.04298323
            3479.        0.043286
           3479.4      0.04287556
           3479.8      0.04163561
           3480.2      0.04179723
           3480.6      0.04223234
            3481.      0.04631535
           3481.4      0.04830791
           3481.8      0.05119343
           3482.2      0.05372462
           3482.6      0.04724551
            3483.      0.03927833
           3483.4      0.03796136
           3483.8      0.03747744
           3484.2      0.03994295
           3484.6      0.04445295
            3485.      0.04163661
           3485.4      0.04431857
           3485.8      0.04569577
           3486.2      0.05207867
           3486.6      0.06123987
            3487.      0.06684301
           3487.4      0.06928009
           3487.8      0.06275207
           3488.2      0.05423027
           3488.6      0.05138532
            3489.      0.04405592
           3489.4      0.03312811
           3489.8      0.02922984
           3490.2      0.02733302
           3490.6      0.02258803
            3491.      0.02359507
           3491.4      0.03007396
           3491.8      0.03710366
           3492.2      0.03742494
           3492.6      0.03305436
            3493.      0.03056759
           3493.4      0.02909295
           3493.8      0.03513999
           3494.2      0.04253187
           3494.6       0.0418185
            3495.      0.04574205
           3495.4      0.03637091
           3495.8      0.03023086
           3496.2      0.03034009
           3496.6      0.02837617
            3497.      0.02825257
           3497.4      0.02822571
           3497.8      0.02910232
           3498.2      0.03477136
           3498.6      0.04324108
            3499.      0.05072144
           3499.4      0.05846021
           3499.8      0.06172868
           3500.2      0.05371897
           3500.6      0.04658654
            3501.      0.04532174
           3501.4       0.0476757
           3501.8      0.05245869
           3502.2      0.05034884
           3502.6      0.05311823
            3503.      0.06331082
           3503.4      0.07602613
           3503.8      0.07977289
           3504.2      0.07460019
           3504.6      0.06463534
            3505.      0.05345732
           3505.4       0.0501137
           3505.8      0.04456684
           3506.2      0.04132683
           3506.6      0.04101041
            3507.      0.04442166
           3507.4      0.04869715
           3507.8       0.0527647
           3508.2      0.05594849
           3508.6       0.0587943
            3509.      0.05754871
           3509.4      0.04745168
           3509.8       0.0367351
           3510.2      0.03315483
           3510.6      0.03343668
            3511.      0.04039929
           3511.4      0.04756865
           3511.8      0.04537387
           3512.2      0.04180032
           3512.6      0.03690068
            3513.      0.03284558
           3513.4      0.02799983
           3513.8      0.02316143
           3514.2      0.02187849
           3514.6       0.0227689
            3515.      0.02544446
           3515.4      0.03198511
           3515.8      0.03930714
           3516.2      0.04490584
           3516.6      0.05125188
            3517.      0.05798752
           3517.4      0.06152886
           3517.8      0.06695864
           3518.2      0.06447449
           3518.6      0.06080265
            3519.      0.05844137
           3519.4       0.0538036
           3519.8      0.04736776
           3520.2      0.04144642
           3520.6      0.03890482
            3521.      0.03648397
           3521.4      0.03005389
           3521.8      0.02932695
           3522.2      0.03343879
           3522.6      0.04025755
            3523.      0.03663421
           3523.4      0.02927768
           3523.8      0.02382655
           3524.2      0.02268922
           3524.6      0.02187365
            3525.      0.02311669
           3525.4      0.02636017
           3525.8      0.02505514
           3526.2      0.02221116
           3526.6      0.02505441
            3527.      0.03135159
           3527.4      0.03729487
           3527.8      0.04382131
           3528.2      0.04801224
           3528.6      0.05306799
            3529.      0.05161509
           3529.4      0.04944891
           3529.8      0.04740413
           3530.2      0.04767749
           3530.6      0.04995291
            3531.      0.04937488
           3531.4      0.04564196
           3531.8        0.041102
           3532.2      0.04035698
           3532.6      0.03977961
            3533.        0.041236
           3533.4      0.04119702
           3533.8      0.04753422
           3534.2      0.05753319
           3534.6      0.06183446
            3535.      0.05872392
           3535.4      0.05254754
           3535.8      0.04991491
           3536.2      0.05274614
           3536.6      0.05524537
            3537.      0.05490711
           3537.4      0.05402921
           3537.8      0.05087049
           3538.2      0.05027334
           3538.6      0.05608599
            3539.       0.0638864
           3539.4      0.06504747
           3539.8      0.06402753
           3540.2      0.06296752
           3540.6      0.05791932
            3541.      0.05368263
           3541.4      0.05306142
           3541.8       0.0529983
           3542.2      0.05296763
           3542.6      0.05055007
            3543.      0.04991174
           3543.4      0.05309514
           3543.8      0.05720118
           3544.2      0.06035841
           3544.6      0.06339262
            3545.      0.05889379
           3545.4      0.05425027
           3545.8      0.05074529
           3546.2         0.05125
           3546.6      0.05360995
            3547.      0.05112661
           3547.4      0.04621775
           3547.8      0.03964826
           3548.2      0.03947841
           3548.6      0.04639222
            3549.      0.05019869
           3549.4      0.05286175
           3549.8      0.05110266
           3550.2      0.04985102
           3550.6      0.04670785
            3551.      0.04534572
           3551.4      0.04449259
           3551.8      0.04080071
           3552.2      0.04152329
           3552.6      0.04508815
            3553.      0.04183492
           3553.4      0.03821542
           3553.8      0.03684717
           3554.2       0.0351631
           3554.6       0.0378732
            3555.      0.04451131
           3555.4      0.05232956
           3555.8      0.05647499
           3556.2      0.05575266
           3556.6        0.048447
            3557.      0.04474058
           3557.4      0.04858606
           3557.8      0.04823626
           3558.2      0.04278649
           3558.6      0.03620559
            3559.      0.03579525
           3559.4      0.04356994
           3559.8      0.04362695
           3560.2      0.04444604
           3560.6      0.04164712
            3561.      0.04447901
           3561.4      0.04322431
           3561.8      0.04177767
           3562.2      0.04424926
           3562.6      0.04891093
            3563.      0.05474395
           3563.4      0.05319554
           3563.8      0.04986493
           3564.2      0.04366129
           3564.6      0.03454507
            3565.      0.02640609
           3565.4      0.02252259
           3565.8      0.02235519
           3566.2      0.02366257
           3566.6      0.02617292
            3567.      0.02939253
           3567.4      0.03352854
           3567.8      0.03559642
           3568.2       0.0337732
           3568.6      0.03207744
            3569.      0.02985182
           3569.4      0.02441505
           3569.8      0.01920278
           3570.2      0.02021281
           3570.6       0.0243578
            3571.      0.02683228
           3571.4      0.02833914
           3571.8      0.02739389
           3572.2      0.02792552
           3572.6      0.03209234
            3573.      0.03658688
           3573.4       0.0384817
           3573.8      0.03811898
           3574.2      0.03872753
           3574.6      0.03784601
            3575.      0.03311956
           3575.4      0.03432845
           3575.8      0.03308567
           3576.2      0.03171808
           3576.6      0.03199803
            3577.      0.03466449
           3577.4       0.0335141
           3577.8      0.03129519
           3578.2      0.02701064
           3578.6      0.02224544
            3579.      0.02525758
           3579.4      0.02707114
           3579.8      0.02413102
           3580.2      0.02212277
           3580.6      0.02119227
            3581.      0.01620585
           3581.4      0.01495917
           3581.8      0.01906558
           3582.2      0.02512809
           3582.6      0.03055387
            3583.      0.03329656
           3583.4      0.03420049
           3583.8      0.03273997
           3584.2      0.03015555
           3584.6      0.02740551
            3585.      0.02011388
           3585.4      0.01778905
           3585.8      0.01759842
           3586.2      0.02075559
           3586.6      0.02239099
            3587.      0.02229735
           3587.4      0.02235424
           3587.8      0.02517605
           3588.2      0.02712265
           3588.6      0.02584517
            3589.      0.02452973
           3589.4      0.02424774
           3589.8      0.02679544
           3590.2      0.03233423
           3590.6      0.03551364
            3591.      0.04425009
           3591.4      0.04554974
           3591.8      0.04727887
           3592.2      0.04480377
           3592.6      0.03683346
            3593.      0.02952518
           3593.4      0.02568793
           3593.8      0.02729758
           3594.2      0.03172236
           3594.6      0.03341999
            3595.      0.03442251
           3595.4      0.03816535
           3595.8      0.04329837
           3596.2      0.04946807
           3596.6      0.05653035
            3597.      0.05965206
           3597.4      0.05707826
           3597.8      0.04928624
