#K OBJECT   '3546'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 3546
#K OBJRA    00:38:33.35
#K OBJDEC   +29:18:42.3
#K OBJBMAG  5.240000E+00
#K OBJVMAG  4.370000E+00
#K SPTYPE   G8III
#K OBJRV    -8.360000E+01
#K HDNAME   HD 3546
#K BDNAME   BD+28 103
#K HIPNAME  HIP 3031
#K SAONAME  SAO 74164
#K VHELIO   -2.80582572152038E+01
#K VLSR     -2.54403842944464E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.444831E+03
#K CMAX1    4.770527E+03
#K PICKTYPE G8III
#K NCOMBINE 4
#K TEFF     4930  1990ApJS...74.1075M (McWilliam)
#K LOGG     3.160000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -6.400000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-8075.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.2402196
           3465.4       0.2129583
           3465.8       0.1835595
           3466.2       0.1760843
           3466.6        0.185729
            3467.       0.1973929
           3467.4       0.2182836
           3467.8       0.2268171
           3468.2       0.2358843
           3468.6        0.228159
            3469.       0.2170096
           3469.4       0.2199132
           3469.8       0.2314703
           3470.2       0.2509673
           3470.6       0.2619461
            3471.       0.2517934
           3471.4       0.2315835
           3471.8       0.2119224
           3472.2       0.1992445
           3472.6       0.1963868
            3473.       0.1923499
           3473.4       0.1901165
           3473.8       0.1789929
           3474.2       0.1644519
           3474.6       0.1604434
            3475.       0.1555069
           3475.4       0.1443442
           3475.8       0.1369964
           3476.2       0.1386323
           3476.6       0.1330481
            3477.        0.130772
           3477.4       0.1533203
           3477.8       0.1786408
           3478.2        0.194571
           3478.6       0.1950252
            3479.       0.1902174
           3479.4       0.1943845
           3479.8       0.1940183
           3480.2       0.1928903
           3480.6       0.1952794
            3481.       0.1991924
           3481.4        0.203535
           3481.8       0.2139384
           3482.2       0.2166024
           3482.6       0.2022234
            3483.       0.1841464
           3483.4       0.1652674
           3483.8       0.1701946
           3484.2       0.1808679
           3484.6       0.1853804
            3485.       0.1808878
           3485.4       0.1815138
           3485.8       0.1918128
           3486.2       0.2143566
           3486.6       0.2365054
            3487.       0.2515759
           3487.4       0.2540473
           3487.8       0.2417814
           3488.2       0.2260404
           3488.6       0.2079554
            3489.       0.1928087
           3489.4       0.1771306
           3489.8       0.1693998
           3490.2       0.1537771
           3490.6       0.1414828
            3491.       0.1468658
           3491.4       0.1711853
           3491.8       0.1962077
           3492.2       0.1975195
           3492.6       0.1758387
            3493.       0.1526549
           3493.4       0.1527779
           3493.8       0.1798864
           3494.2       0.1997776
           3494.6        0.207368
            3495.       0.1981565
           3495.4       0.1766533
           3495.8       0.1553132
           3496.2       0.1452856
           3496.6       0.1466119
            3497.       0.1475057
           3497.4       0.1502734
           3497.8       0.1591748
           3498.2       0.1762297
           3498.6       0.2059497
            3499.       0.2334488
           3499.4       0.2440597
           3499.8       0.2446936
           3500.2       0.2313206
           3500.6       0.2238099
            3501.       0.2286454
           3501.4       0.2346084
           3501.8       0.2336953
           3502.2       0.2223191
           3502.6       0.2260761
            3503.       0.2523213
           3503.4       0.2731897
           3503.8       0.2763297
           3504.2       0.2630012
           3504.6        0.233662
            3505.       0.2093899
           3505.4        0.201019
           3505.8       0.1968537
           3506.2       0.1887356
           3506.6       0.1905967
            3507.       0.2047994
           3507.4       0.2149189
           3507.8       0.2240138
           3508.2        0.237008
           3508.6       0.2449155
            3509.       0.2440141
           3509.4       0.2316513
           3509.8         0.20547
           3510.2       0.1829649
           3510.6        0.179097
            3511.       0.1954022
           3511.4       0.2175333
           3511.8       0.2239294
           3512.2        0.208528
           3512.6       0.1919947
            3513.       0.1808463
           3513.4       0.1719346
           3513.8       0.1643891
           3514.2       0.1623476
           3514.6       0.1639747
            3515.       0.1633642
           3515.4       0.1801358
           3515.8       0.2076663
           3516.2       0.2277496
           3516.6       0.2358132
            3517.       0.2467241
           3517.4       0.2646267
           3517.8       0.2714864
           3518.2       0.2685649
           3518.6       0.2596681
            3519.       0.2548662
           3519.4       0.2511054
           3519.8       0.2347043
           3520.2       0.2177168
           3520.6       0.2047786
            3521.       0.1994824
           3521.4       0.1846311
           3521.8       0.1796354
           3522.2        0.194749
           3522.6       0.2060938
            3523.       0.1935899
           3523.4       0.1727424
           3523.8       0.1529989
           3524.2       0.1353601
           3524.6       0.1309025
            3525.       0.1493966
           3525.4        0.170444
           3525.8        0.157641
           3526.2        0.131703
           3526.6       0.1286156
            3527.       0.1558495
           3527.4       0.1963845
           3527.8        0.215274
           3528.2       0.2237146
           3528.6       0.2388698
            3529.       0.2465944
           3529.4       0.2395461
