#K OBJECT   '36673'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 36673
#K OBJRA    05:32:43.82
#K OBJDEC   -17:49:20.2
#K OBJBMAG  2.817000E+00
#K OBJVMAG  2.597000E+00
#K SPTYPE   F0Ib
#K OBJRV    2.390000E+01
#K HDNAME   HD 36673
#K BDNAME   BD-17 1166
#K HIPNAME  HIP 25985
#K SAONAME  SAO 150547
#K VHELIO   -1.98511085969188E+01
#K VLSR     -3.92493882331008E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.435309E+03
#K CMAX1    4.763409E+03
#K PICKTYPE F0I
#K NCOMBINE 5
#K TEFF     7400  1995ApJS...99..659V (Venn)
#K LOGG     1.100000E+00  1995ApJS...99..659V (Venn)
#K FEH      4.000000E-02  1995ApJS...99..659V (Venn)
#K COVERAGE 3465.0-9443.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.4334747
           3465.4       0.4160555
           3465.8       0.4101289
           3466.2       0.4263482
           3466.6       0.4486839
            3467.       0.4624967
           3467.4       0.4746591
           3467.8       0.4752312
           3468.2       0.4691913
           3468.6       0.4623382
            3469.       0.4587594
           3469.4         0.46303
           3469.8       0.4787735
           3470.2       0.4906906
           3470.6         0.48244
            3471.       0.4682241
           3471.4       0.4519897
           3471.8       0.4422272
           3472.2       0.4477714
           3472.6       0.4469118
            3473.       0.4478152
           3473.4       0.4372057
           3473.8       0.3953248
           3474.2       0.3725195
           3474.6       0.3700337
            3475.       0.3660033
           3475.4       0.3623867
           3475.8       0.3663136
           3476.2       0.3673646
           3476.6       0.3629681
            3477.       0.3600773
           3477.4       0.3792611
           3477.8       0.4232024
           3478.2       0.4431953
           3478.6       0.4401954
            3479.       0.4312381
           3479.4       0.4267696
           3479.8       0.4250469
           3480.2       0.4259063
           3480.6       0.4249521
            3481.        0.429482
           3481.4        0.437348
           3481.8       0.4414136
           3482.2       0.4315926
           3482.6       0.4024244
            3483.       0.3774848
           3483.4       0.3784136
           3483.8       0.3932111
           3484.2       0.4155551
           3484.6       0.4382036
            3485.       0.4571033
           3485.4       0.4604367
           3485.8       0.4696236
           3486.2       0.4812204
           3486.6       0.4887009
            3487.       0.4906104
           3487.4       0.4818073
           3487.8       0.4559425
           3488.2         0.42039
           3488.6       0.3957511
            3489.         0.38538
           3489.4       0.3945322
           3489.8       0.3982068
           3490.2        0.392283
           3490.6       0.3825759
            3491.       0.3855397
           3491.4       0.4136069
           3491.8       0.4467164
           3492.2       0.4460924
           3492.6       0.4221873
            3493.       0.4021118
           3493.4       0.3954449
           3493.8       0.4103079
           3494.2       0.4149565
           3494.6       0.3963052
            3495.       0.3646887
