#K OBJECT   '37269'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 37269
#K OBJRA    05:38:38.09
#K OBJDEC   +30:29:32.7
#K OBJBMAG  5.815000E+00
#K OBJVMAG  5.403000E+00
#K SPTYPE   B9.5V+...
#K OBJRV    1.700000E+00
#K HDNAME   HD 37269
#K BDNAME   BD+30 963
#K HIPNAME  HIP 26536
#K SAONAME  SAO 58280
#K VHELIO   -2.58379650303447E+01
#K VLSR     -3.55973582745792E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.680024E+03
#K CMAX1    6.010113E+03
#K PICKTYPE B9V
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9444.2

#      wavelength        spectrum
#       angstroms                

            3465.        1.253903
           3465.4        1.205526
           3465.8        1.176732
           3466.2        1.172104
           3466.6        1.185044
            3467.        1.240094
           3467.4        1.262455
           3467.8        1.277273
           3468.2        1.284394
           3468.6        1.270609
            3469.        1.274674
           3469.4        1.284654
           3469.8        1.310877
           3470.2        1.345681
           3470.6        1.355016
            3471.         1.32658
           3471.4        1.284263
           3471.8        1.264331
           3472.2        1.240304
           3472.6        1.216867
            3473.        1.206616
           3473.4        1.184778
           3473.8        1.162411
           3474.2        1.139885
           3474.6        1.134314
            3475.          1.1243
           3475.4        1.105047
           3475.8        1.101199
           3476.2        1.102051
           3476.6        1.101288
            3477.        1.113974
           3477.4        1.143058
           3477.8        1.215454
           3478.2        1.248132
           3478.6        1.250425
            3479.        1.246729
           3479.4        1.247967
           3479.8        1.227895
           3480.2        1.206215
           3480.6        1.199245
            3481.        1.215643
           3481.4        1.250266
           3481.8        1.263531
           3482.2        1.230721
           3482.6        1.179939
            3483.        1.158867
           3483.4         1.14154
           3483.8        1.178769
           3484.2        1.202151
           3484.6        1.192524
            3485.        1.192554
           3485.4         1.20233
           3485.8        1.217554
           3486.2        1.264815
           3486.6        1.329035
            3487.        1.355377
           3487.4        1.330608
           3487.8        1.287525
           3488.2        1.256607
           3488.6        1.223543
            3489.        1.179826
           3489.4        1.153043
           3489.8        1.141634
           3490.2        1.132198
           3490.6         1.12127
            3491.        1.144413
           3491.4        1.206066
           3491.8        1.230279
           3492.2        1.186645
           3492.6        1.144895
            3493.        1.139306
           3493.4        1.166399
           3493.8        1.229563
           3494.2        1.232109
           3494.6        1.238129
            3495.         1.21488
           3495.4        1.153982
           3495.8        1.102149
           3496.2        1.108821
           3496.6        1.110841
            3497.        1.097002
           3497.4         1.10805
           3497.8        1.138991
           3498.2        1.188528
           3498.6        1.246167
            3499.         1.34168
           3499.4        1.358241
           3499.8        1.353319
           3500.2        1.334786
           3500.6        1.330228
            3501.        1.335649
           3501.4        1.356716
           3501.8        1.341321
           3502.2        1.306679
           3502.6         1.32889
            3503.         1.39508
           3503.4        1.435687
           3503.8        1.425556
           3504.2        1.394856
           3504.6        1.296497
            3505.        1.244021
           3505.4        1.249828
           3505.8         1.24926
           3506.2        1.248368
           3506.6        1.263955
            3507.        1.277908
           3507.4         1.30815
           3507.8        1.329107
           3508.2        1.329072
           3508.6        1.343615
            3509.        1.330604
           3509.4        1.289898
           3509.8        1.221911
           3510.2        1.198129
           3510.6        1.193266
            3511.        1.232342
           3511.4        1.258893
           3511.8        1.234107
           3512.2         1.21076
           3512.6        1.193647
