#K OBJECT   '37828'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 37828
#K OBJRA    05:40:54.65
#K OBJDEC   -11:12:00.2
#K OBJBMAG  7.989000E+00
#K OBJVMAG  6.877000E+00
#K SPTYPE   K0
#K OBJRV    185
#K HDNAME   HD 37828
#K BDNAME   BD-11 1258
#K HIPNAME  HIP 26740
#K SAONAME  SAO 150685
#K VHELIO   -2.07964400694080E+01
#K VLSR     -3.96442900087443E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.432678E+03
#K CMAX1    4.760081E+03
#K PICKTYPE K0V
#K NCOMBINE 4
#K TEFF     4350  1996AJ....112.1517S (Shetrone)
#K LOGG     1.200000E+00  1996AJ....112.1517S (Shetrone)
#K FEH      -1.420000E+00  1996AJ....112.1517S (Shetrone)
#K COVERAGE 3465.0-8121.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.3839206
           3465.4       0.3428726
           3465.8       0.3041666
           3466.2       0.2855562
           3466.6       0.2893532
            3467.       0.3200564
           3467.4       0.3558908
           3467.8       0.3739903
           3468.2       0.3783878
           3468.6       0.3800034
            3469.       0.3650726
           3469.4       0.3639604
           3469.8       0.3782118
           3470.2       0.3855308
           3470.6       0.4092679
            3471.       0.4095366
           3471.4       0.3839268
           3471.8        0.355292
           3472.2       0.3281465
           3472.6        0.322416
            3473.       0.3291034
           3473.4        0.317632
           3473.8       0.2915968
           3474.2       0.2678232
           3474.6       0.2517152
            3475.       0.2398109
           3475.4       0.2259943
           3475.8        0.227671
           3476.2       0.2212169
           3476.6       0.2193714
            3477.       0.2315647
           3477.4       0.2561027
           3477.8       0.3000214
           3478.2       0.3296206
           3478.6       0.3293318
            3479.        0.332155
           3479.4       0.3338252
           3479.8       0.3331596
           3480.2        0.325333
           3480.6       0.3456642
            3481.       0.3492602
           3481.4       0.3622401
           3481.8       0.3889802
           3482.2        0.394612
           3482.6       0.3663403
            3483.       0.3297652
           3483.4       0.3096285
           3483.8       0.3003879
           3484.2       0.3126676
           3484.6       0.3194986
            3485.       0.3293271
           3485.4       0.3341832
           3485.8       0.3472874
           3486.2       0.3756331
           3486.6       0.4191623
            3487.       0.4363817
           3487.4       0.4325948
           3487.8       0.4301431
           3488.2       0.4066585
           3488.6       0.3737619
            3489.       0.3610292
           3489.4       0.3321532
           3489.8       0.2921632
           3490.2       0.2738103
           3490.6        0.238392
            3491.       0.2496084
           3491.4       0.2757088
           3491.8       0.3266943
           3492.2       0.3598782
           3492.6       0.3321832
            3493.       0.2783129
           3493.4       0.2705366
           3493.8       0.3152328
           3494.2       0.3450649
           3494.6       0.3477602
            3495.       0.3408036
           3495.4       0.3147556
           3495.8        0.275572
           3496.2       0.2533254
           3496.6       0.2524792
            3497.       0.2540864
           3497.4        0.265509
           3497.8        0.286081
           3498.2       0.3080666
           3498.6       0.3474711
            3499.       0.3953021
           3499.4        0.409928
           3499.8        0.398206
           3500.2       0.3870962
           3500.6       0.3731546
            3501.       0.3840325
           3501.4       0.3981212
           3501.8       0.3988599
           3502.2       0.3873029
           3502.6       0.3784977
            3503.       0.3906167
           3503.4       0.4362161
           3503.8       0.4752861
           3504.2       0.4615895
           3504.6       0.4191669
            3505.       0.3766487
           3505.4       0.3370512
           3505.8       0.3294697
           3506.2       0.3269147
           3506.6       0.3212461
            3507.       0.3408573
           3507.4       0.3558238
           3507.8       0.3800775
           3508.2       0.3985886
           3508.6       0.4092878
            3509.       0.4171317
           3509.4       0.3935629
           3509.8       0.3446876
           3510.2       0.3115379
           3510.6       0.3106149
            3511.        0.349409
           3511.4       0.3799219
           3511.8       0.3820057
           3512.2       0.3599199
           3512.6       0.3351181
            3513.       0.3144782
           3513.4        0.282131
           3513.8       0.2702752
           3514.2       0.2808539
           3514.6       0.2796771
            3515.       0.2914127
           3515.4       0.3209168
           3515.8       0.3358727
           3516.2       0.3804716
           3516.6         0.40786
            3517.       0.4097265
           3517.4       0.4268841
           3517.8       0.4394365
           3518.2       0.4318478
           3518.6       0.4159249
            3519.       0.4124035
           3519.4       0.4031862
           3519.8       0.3704967
           3520.2       0.3446272
           3520.6       0.3354877
            3521.       0.3124488
           3521.4        0.286953
           3521.8       0.2874963
           3522.2        0.320596
           3522.6       0.3452057
            3523.         0.33682
           3523.4       0.2919883
           3523.8       0.2571846
           3524.2       0.2294316
           3524.6       0.2130442
            3525.       0.2318268
           3525.4       0.2671916
           3525.8       0.2755357
           3526.2       0.2444734
           3526.6       0.2230733
            3527.       0.2577801
           3527.4       0.3083477
           3527.8       0.3389298
           3528.2       0.3550735
           3528.6       0.3772857
            3529.       0.3837306
           3529.4       0.3795412
           3529.8        0.377647
           3530.2       0.3782102
           3530.6       0.3824669
            3531.       0.3912947
           3531.4        0.386017
           3531.8       0.3609755
           3532.2       0.3629289
           3532.6       0.3667648
            3533.       0.3586917
           3533.4       0.3659729
           3533.8       0.3797029
           3534.2       0.4133717
           3534.6       0.4397318
            3535.       0.4227947
           3535.4       0.4036956
           3535.8       0.4020312
           3536.2       0.4023372
           3536.6       0.4103068
            3537.       0.4168064
           3537.4       0.4189531
           3537.8       0.3916525
           3538.2       0.3922018
           3538.6       0.4094374
            3539.       0.4519133
           3539.4       0.4723007
           3539.8       0.4957355
           3540.2       0.4769509
           3540.6       0.4277094
            3541.       0.4077406
           3541.4        0.406168
           3541.8        0.404207
           3542.2       0.4003242
           3542.6        0.398214
            3543.       0.4137026
           3543.4       0.4288335
           3543.8       0.4314916
           3544.2       0.4450723
           3544.6       0.4570415
            3545.       0.4427907
           3545.4         0.40781
           3545.8        0.385728
           3546.2       0.4060992
           3546.6       0.4297331
            3547.       0.4201568
           3547.4       0.4016405
           3547.8       0.3786177
           3548.2       0.3729605
           3548.6       0.3764117
            3549.        0.400207
           3549.4        0.414661
           3549.8       0.4187493
           3550.2       0.4183804
           3550.6       0.4176322
            3551.       0.4045221
           3551.4       0.3892322
           3551.8        0.380271
           3552.2       0.3727437
           3552.6       0.3694763
            3553.       0.3616672
           3553.4       0.3554322
           3553.8       0.3542109
           3554.2       0.3463985
           3554.6       0.3530461
            3555.       0.3721412
           3555.4       0.4047626
           3555.8       0.4513228
           3556.2        0.449697
           3556.6       0.4172274
            3557.       0.4012198
           3557.4       0.4088723
           3557.8       0.4237272
           3558.2       0.3990816
           3558.6       0.3542579
            3559.       0.3393301
           3559.4       0.3730845
           3559.8       0.3848783
           3560.2        0.397572
           3560.6       0.3930419
            3561.       0.3728152
           3561.4       0.3504656
           3561.8       0.3593084
           3562.2       0.3887808
           3562.6       0.4224573
            3563.       0.4635173
           3563.4       0.4742353
           3563.8       0.4527054
           3564.2       0.4209704
           3564.6       0.3540221
            3565.       0.2882308
           3565.4       0.2319072
           3565.8       0.2065014
           3566.2       0.2140375
           3566.6        0.251351
            3567.       0.3027188
           3567.4       0.3372535
           3567.8       0.3610201
           3568.2       0.3629809
           3568.6       0.3327909
            3569.       0.3096688
           3569.4       0.2588482
           3569.8       0.2194388
           3570.2       0.2050731
           3570.6       0.2358455
            3571.       0.2878793
           3571.4        0.323239
           3571.8       0.3163542
           3572.2       0.2989212
           3572.6       0.3076289
            3573.       0.3331948
           3573.4       0.3493046
           3573.8       0.3514916
           3574.2       0.3549919
           3574.6       0.3582533
            3575.       0.3433357
           3575.4       0.3289056
           3575.8       0.3283466
           3576.2       0.3401417
           3576.6       0.3491703
            3577.       0.3703007
           3577.4       0.3784838
           3577.8       0.3632364
           3578.2         0.33338
           3578.6       0.3101506
            3579.        0.321179
           3579.4       0.3500674
           3579.8       0.3629647
           3580.2       0.3358242
           3580.6       0.2652911
            3581.       0.1920364
           3581.4       0.1515153
           3581.8       0.1589264
           3582.2       0.2107283
           3582.6       0.2666554
            3583.       0.3138782
           3583.4       0.3428051
           3583.8       0.3471226
           3584.2       0.3299731
           3584.6       0.2822935
            3585.       0.2201435
           3585.4       0.1751449
           3585.8       0.1735449
           3586.2       0.2159242
           3586.6       0.2284592
            3587.       0.2251678
           3587.4        0.222388
           3587.8       0.2296505
           3588.2       0.2510234
           3588.6       0.2698349
            3589.       0.2678618
           3589.4         0.25804
           3589.8       0.2582043
           3590.2       0.2734843
           3590.6       0.3202518
            3591.       0.3727944
           3591.4       0.4083267
           3591.8       0.4254483
           3592.2       0.4116452
           3592.6       0.3933086
            3593.       0.3535995
           3593.4       0.3295815
           3593.8       0.3434673
           3594.2       0.3770982
           3594.6       0.3927666
            3595.       0.3846546
           3595.4       0.3855437
           3595.8       0.3800812
           3596.2       0.3960471
           3596.6       0.4297003
            3597.       0.4575964
           3597.4       0.4577444
           3597.8       0.4367005
           3598.2        0.438887
           3598.6       0.4511211
            3599.       0.4451044
           3599.4       0.4489072
           3599.8       0.4685985
           3600.2       0.4729606
           3600.6        0.478264
            3601.       0.4886932
           3601.4       0.4551007
           3601.8       0.4050654
           3602.2       0.3554146
           3602.6       0.3240589
            3603.       0.3444286
           3603.4       0.3633747
           3603.8       0.3613259
           3604.2       0.3726418
           3604.6       0.3782793
            3605.       0.3630565
           3605.4       0.3444907
           3605.8       0.3423097
           3606.2       0.3634109
           3606.6       0.3701085
            3607.       0.3997752
           3607.4       0.4268636
           3607.8       0.4153324
           3608.2       0.3573758
           3608.6       0.2852694
            3609.       0.2458403
           3609.4       0.2388324
           3609.8       0.2579665
           3610.2       0.2799952
           3610.6       0.2940858
            3611.       0.3201816
           3611.4       0.3533364
           3611.8       0.3841541
           3612.2        0.394201
           3612.6       0.3757728
            3613.         0.34221
           3613.4       0.3029792
           3613.8       0.2966284
           3614.2       0.3387571
           3614.6        0.375201
            3615.       0.3971188
           3615.4       0.4237725
           3615.8       0.4350255
           3616.2       0.4253053
           3616.6        0.425713
            3617.       0.4318003
           3617.4       0.4084716
           3617.8       0.3603693
           3618.2       0.2846453
           3618.6       0.2199225
            3619.       0.1807876
           3619.4        0.182735
           3619.8       0.2334556
           3620.2       0.3044904
           3620.6       0.3507394
            3621.        0.371629
           3621.4       0.3866151
           3621.8       0.4047373
           3622.2       0.4454521
           3622.6       0.4900291
            3623.        0.492081
           3623.4       0.4373073
           3623.8       0.3868919
           3624.2       0.3576121
           3624.6        0.343702
            3625.       0.3597686
           3625.4       0.4060611
           3625.8       0.4691387
           3626.2       0.5127904
           3626.6       0.5193872
            3627.       0.5107772
           3627.4       0.4881399
           3627.8       0.4545642
           3628.2       0.4415901
