#K OBJECT   '39283'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 39283
#K OBJRA    05:54:50.78
#K OBJDEC   +55:42:25.0
#K OBJBMAG  5.019000E+00
#K OBJVMAG  4.968000E+00
#K SPTYPE   A2V
#K OBJRV    -1.180000E+01
#K HDNAME   HD 39283
#K BDNAME   BD+55 1027
#K HIPNAME  HIP 27949
#K SAONAME  SAO 25450
#K VHELIO   -2.25239136236940E+01
#K VLSR     -2.40126097216100E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.790701E+03
#K CMAX1    8.126242E+03
#K PICKTYPE A2V
#K NCOMBINE 6
#K TEFF     4000  1987MNRAS.226..563S (Smith)
#K LOGG     1.300000E+00  1987MNRAS.226..563S (Smith)
#K FEH      -1.200000E-01  1987MNRAS.226..563S (Smith)
#K COVERAGE 3465.0-9450.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.8546949
           3465.4       0.8541698
           3465.8        0.850237
           3466.2       0.8692019
           3466.6       0.8761154
            3467.       0.8951456
           3467.4        0.905222
           3467.8       0.8677695
           3468.2       0.8566852
           3468.6       0.8799404
            3469.       0.8605458
           3469.4       0.8649113
           3469.8        0.854652
           3470.2       0.8815333
           3470.6       0.8956645
            3471.       0.8549545
           3471.4       0.8539009
           3471.8       0.8687299
           3472.2       0.8414583
           3472.6       0.8494664
            3473.       0.8617806
           3473.4       0.8144193
           3473.8       0.7855048
           3474.2       0.8167888
           3474.6       0.8312182
            3475.       0.8331138
           3475.4       0.8452949
           3475.8       0.8373612
           3476.2       0.8085632
           3476.6       0.8126736
            3477.       0.8460435
           3477.4       0.8445718
           3477.8       0.8359091
           3478.2       0.8796978
           3478.6       0.8949183
            3479.       0.8557644
           3479.4       0.8448545
           3479.8        0.857395
           3480.2       0.8639567
           3480.6        0.876513
            3481.       0.8850594
           3481.4       0.8516878
           3481.8       0.8366477
           3482.2        0.843466
           3482.6        0.818831
            3483.       0.8017154
           3483.4       0.8274465
           3483.8        0.860368
           3484.2        0.866594
           3484.6       0.8684071
            3485.       0.8943703
           3485.4       0.8872213
           3485.8       0.8740175
           3486.2       0.8679199
           3486.6       0.8765899
            3487.       0.8743428
           3487.4       0.8664284
           3487.8       0.8476307
           3488.2       0.8301824
           3488.6       0.8336914
            3489.       0.8117713
           3489.4       0.8249236
           3489.8       0.8369381
           3490.2         0.83191
           3490.6       0.8334468
            3491.        0.829843
           3491.4        0.834786
           3491.8        0.830007
           3492.2       0.8382664
           3492.6       0.8451092
            3493.       0.8403376
           3493.4       0.8346183
           3493.8       0.8235495
           3494.2       0.8303024
           3494.6        0.823029
            3495.       0.7924383
           3495.4       0.7898835
           3495.8       0.8116005
           3496.2       0.7950988
           3496.6       0.7893851
            3497.       0.8053935
           3497.4       0.8246574
           3497.8       0.8407949
           3498.2       0.8444011
           3498.6       0.8442752
            3499.       0.8478301
           3499.4       0.8511844
           3499.8       0.8595347
           3500.2       0.8425038
           3500.6         0.84325
            3501.       0.8613251
           3501.4       0.8597596
           3501.8       0.8602916
           3502.2       0.8393716
           3502.6       0.8207824
            3503.       0.8338526
           3503.4       0.8398672
           3503.8       0.8264703
           3504.2       0.8220003
           3504.6       0.8216222
            3505.       0.8152387
           3505.4       0.8192945
           3505.8       0.8600551
           3506.2       0.8515363
           3506.6       0.8463673
            3507.       0.8541189
           3507.4       0.8375122
           3507.8       0.8455836
           3508.2       0.8528516
           3508.6       0.8308024
            3509.       0.8351368
           3509.4        0.838691
