#K OBJECT   '40239'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 40239
#K OBJRA    05:59:56.10
#K OBJDEC   +45:56:12.2
#K OBJBMAG  6.016000E+00
#K OBJVMAG  4.348000E+00
#K SPTYPE   M3II
#K OBJRV    8.000000E-01
#K HDNAME   HD 40239
#K BDNAME   BD+45 1217
#K HIPNAME  HIP 28404
#K SAONAME  SAO 40756
#K VHELIO   -2.20078124552262E+01
#K VLSR     -2.68633453047739E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.435555E+03
#K CMAX1    4.763748E+03
#K PICKTYPE M3II
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9444.2

#      wavelength        spectrum
#       angstroms                

            3465.      0.02800239
           3465.4      0.02343785
           3465.8      0.01958955
           3466.2      0.01718079
           3466.6      0.01903672
            3467.      0.02200139
           3467.4      0.02576507
           3467.8      0.02750719
           3468.2      0.02933487
           3468.6      0.02995416
            3469.      0.02761704
           3469.4      0.02882297
           3469.8      0.02993898
           3470.2      0.03003464
           3470.6      0.03158188
            3471.      0.03277237
           3471.4      0.03072103
           3471.8      0.02877555
           3472.2      0.02494151
           3472.6      0.02250625
            3473.       0.0212121
           3473.4      0.01885231
           3473.8       0.0171019
           3474.2      0.01629441
           3474.6      0.01638383
            3475.      0.01552513
           3475.4      0.01164836
           3475.8      0.01561333
           3476.2      0.01655456
           3476.6      0.01415743
            3477.      0.01530009
           3477.4      0.02214271
           3477.8      0.02772663
           3478.2      0.02782508
           3478.6      0.02635911
            3479.      0.02718526
           3479.4      0.02899522
           3479.8      0.03018456
           3480.2      0.03146537
           3480.6      0.03191952
            3481.      0.03226246
           3481.4      0.03540049
           3481.8       0.0321844
           3482.2      0.03409819
           3482.6      0.03119936
            3483.      0.02564849
           3483.4      0.02248631
           3483.8      0.02202934
           3484.2      0.02440923
           3484.6       0.0270244
            3485.      0.02747533
           3485.4      0.02735985
           3485.8      0.02850893
           3486.2      0.03144324
           3486.6      0.03669425
            3487.      0.03952995
           3487.4      0.03953113
           3487.8      0.03619828
           3488.2      0.03471487
           3488.6      0.03293993
            3489.      0.02776445
           3489.4      0.02512525
           3489.8      0.02151521
           3490.2      0.01467285
           3490.6      0.01308199
            3491.      0.01293418
           3491.4       0.0167766
           3491.8      0.01977491
           3492.2      0.02126063
           3492.6      0.02080636
            3493.      0.01735095
           3493.4      0.01914009
           3493.8      0.02400434
           3494.2      0.02734495
           3494.6      0.02854932
            3495.      0.02782975
           3495.4      0.02585486
           3495.8      0.02219236
           3496.2      0.01875335
           3496.6      0.01976788
            3497.      0.02065327
           3497.4      0.01853903
           3497.8      0.01800253
           3498.2      0.02076804
           3498.6      0.02820306
            3499.      0.03159884
           3499.4      0.03347059
           3499.8      0.03528798
           3500.2      0.03226782
           3500.6      0.02718408
            3501.      0.02646782
           3501.4      0.03054789
           3501.8      0.03213343
           3502.2       0.0284451
           3502.6      0.02960249
            3503.      0.03541524
           3503.4      0.04273321
           3503.8      0.04640013
           3504.2      0.04583307
           3504.6      0.04205876
            3505.      0.03778671
           3505.4       0.0351346
           3505.8      0.03122648
           3506.2      0.02742143
           3506.6      0.02830883
            3507.      0.02959881
           3507.4      0.03220483
           3507.8      0.03395173
           3508.2      0.03442227
           3508.6        0.034239
            3509.      0.03213971
           3509.4      0.02895941
           3509.8      0.02527093
           3510.2      0.02108279
           3510.6      0.02099929
            3511.      0.02493749
           3511.4      0.02906298
           3511.8       0.0313214
           3512.2      0.02754819
           3512.6      0.02468811
            3513.      0.02174068
           3513.4       0.0178729
           3513.8      0.01746268
           3514.2      0.01728972
           3514.6      0.01686703
            3515.      0.01789132
           3515.4      0.01985304
           3515.8      0.02386274
           3516.2      0.03042421
           3516.6      0.03418881
            3517.      0.03378696
           3517.4      0.03726806
           3517.8      0.04218351
           3518.2      0.03838897
           3518.6       0.0358294
            3519.      0.03512985
           3519.4      0.02930097
           3519.8      0.02288126
           3520.2      0.02483249
           3520.6      0.02577438
            3521.      0.02220734
           3521.4      0.02042918
           3521.8      0.02177435
           3522.2      0.02495812
           3522.6      0.02655182
            3523.      0.02433162
           3523.4      0.01895337
           3523.8      0.01772017
           3524.2      0.01315994
           3524.6      0.01365978
            3525.      0.01574287
           3525.4      0.01696738
           3525.8      0.01775081
           3526.2      0.01726824
           3526.6      0.01784628
            3527.         0.02178
           3527.4      0.02559111
           3527.8      0.02829281
           3528.2        0.032577
           3528.6      0.03155158
            3529.      0.02918815
           3529.4      0.03216278
           3529.8       0.0305397
           3530.2       0.0323589
           3530.6      0.03562966
            3531.      0.03812244
           3531.4      0.03785229
           3531.8      0.03351733
           3532.2      0.03295462
           3532.6      0.03490464
            3533.      0.03136452
           3533.4      0.03229569
           3533.8      0.03706555
           3534.2      0.04000958
           3534.6       0.0430394
            3535.      0.04032036
           3535.4      0.03913883
           3535.8      0.04069382
           3536.2      0.04354103
           3536.6      0.04550753
            3537.      0.04477245
           3537.4      0.04193104
           3537.8      0.03889766
           3538.2      0.03940529
           3538.6       0.0443408
            3539.      0.04851113
           3539.4      0.05151697
           3539.8      0.05285337
           3540.2      0.04932201
           3540.6      0.04355809
            3541.      0.04170651
           3541.4      0.04213621
           3541.8       0.0423905
           3542.2      0.04136903
           3542.6      0.04288588
            3543.      0.04488106
           3543.4      0.04171463
           3543.8      0.04325439
           3544.2      0.04943329
           3544.6      0.05075349
            3545.      0.05081626
           3545.4      0.04561791
           3545.8      0.04432841
           3546.2       0.0454924
           3546.6      0.04626362
            3547.      0.04221253
           3547.4       0.0372383
           3547.8      0.03228544
           3548.2      0.02870811
           3548.6      0.03303756
            3549.      0.03736319
           3549.4      0.03760124
           3549.8      0.03805197
           3550.2      0.03639438
           3550.6      0.03678999
            3551.      0.03758318
           3551.4      0.03749961
           3551.8        0.035184
           3552.2      0.03633044
           3552.6      0.03684043
            3553.      0.03460233
           3553.4      0.03233672
           3553.8      0.03047956
           3554.2      0.03254109
           3554.6      0.03510725
            3555.      0.03901429
           3555.4      0.04266227
           3555.8      0.04634302
           3556.2      0.04741354
           3556.6      0.04542668
            3557.      0.04761773
           3557.4      0.04701279
           3557.8      0.04418256
           3558.2      0.03915102
           3558.6      0.03277228
            3559.      0.03373157
           3559.4      0.03851254
           3559.8      0.04119865
           3560.2       0.0422967
           3560.6      0.04178335
            3561.      0.04165647
           3561.4         0.03983
           3561.8      0.03984494
           3562.2      0.04589128
           3562.6      0.04951941
            3563.      0.04915756
           3563.4      0.04797557
           3563.8      0.04485216
           3564.2      0.03971009
           3564.6      0.03276234
            3565.       0.0253908
           3565.4      0.02281514
           3565.8      0.02273759
           3566.2      0.02093617
           3566.6      0.02351719
            3567.      0.02689531
           3567.4      0.03122619
           3567.8      0.03233705
           3568.2      0.03210893
           3568.6      0.03190892
            3569.      0.02646716
           3569.4      0.01986741
           3569.8      0.01717822
           3570.2       0.0154635
           3570.6      0.02028653
            3571.      0.02348175
           3571.4      0.02467502
           3571.8      0.02370076
           3572.2      0.02057887
           3572.6       0.0224484
            3573.      0.02918168
           3573.4      0.03155664
           3573.8      0.03044259
           3574.2      0.02958729
           3574.6      0.02846302
            3575.       0.0260247
           3575.4      0.02276345
           3575.8      0.02447394
           3576.2      0.02489739
           3576.6      0.02152486
            3577.      0.02141798
           3577.4      0.02170005
           3577.8      0.01882377
           3578.2      0.01515094
           3578.6      0.01193872
            3579.      0.01427286
           3579.4      0.01748877
           3579.8      0.01798686
           3580.2       0.0191485
           3580.6      0.01728415
            3581.      0.01607091
           3581.4      0.01608047
           3581.8       0.0179912
           3582.2      0.02172866
           3582.6      0.02475186
            3583.      0.02937421
           3583.4      0.03464444
           3583.8       0.0341352
           3584.2      0.03069499
           3584.6      0.02581318
            3585.      0.01869458
           3585.4      0.01539647
           3585.8       0.0178992
           3586.2      0.02042178
           3586.6      0.02109299
            3587.      0.02399743
           3587.4      0.02378228
           3587.8      0.02434143
           3588.2      0.02599272
           3588.6      0.02610113
            3589.      0.02403139
           3589.4      0.02349799
           3589.8      0.02625378
           3590.2      0.02905877
           3590.6      0.03241189
            3591.      0.03664295
           3591.4      0.03607987
           3591.8      0.03447792
           3592.2      0.03245252
           3592.6      0.02349771
            3593.      0.01948958
           3593.4      0.01591919
           3593.8      0.01641405
           3594.2      0.01883041
           3594.6      0.01981513
            3595.      0.02255671
           3595.4      0.02819125
           3595.8      0.03451583
           3596.2      0.03863076
           3596.6      0.03878592
            3597.      0.03909121
           3597.4       0.0384367
           3597.8      0.03359685
           3598.2      0.03834164
           3598.6      0.04401677
            3599.      0.04492476
           3599.4      0.04833603
           3599.8       0.0527222
           3600.2      0.05035758
           3600.6      0.04609174
            3601.      0.04408517
           3601.4      0.03847286
           3601.8      0.03186619
           3602.2      0.02984312
           3602.6      0.02977754
            3603.      0.03057362
           3603.4      0.02954512
           3603.8      0.02823853
           3604.2      0.02735186
           3604.6      0.02438669
            3605.      0.01911618
           3605.4      0.01737839
           3605.8      0.01848746
           3606.2      0.02236114
           3606.6      0.03001448
            3607.      0.03370433
           3607.4      0.03437158
           3607.8      0.03484041
           3608.2      0.03269152
           3608.6       0.0271409
            3609.      0.02230936
           3609.4      0.02249226
           3609.8      0.02261758
           3610.2      0.02223546
           3610.6      0.02322553
            3611.      0.02787712
           3611.4      0.03410513
           3611.8      0.03835276
           3612.2      0.03913531
           3612.6      0.03331471
            3613.      0.02955182
           3613.4      0.02994484
           3613.8      0.03148673
           3614.2       0.0389884
           3614.6      0.04440985
            3615.      0.04780472
           3615.4      0.04760212
           3615.8      0.04538317
           3616.2      0.04484873
           3616.6       0.0464672
            3617.      0.04728376
           3617.4       0.0427838
           3617.8      0.03533319
           3618.2      0.02947027
           3618.6      0.02268733
            3619.      0.02132704
           3619.4      0.02099512
           3619.8      0.02442325
           3620.2      0.03298418
           3620.6       0.0405621
            3621.      0.04457989
           3621.4      0.04426633
           3621.8      0.04552454
           3622.2       0.0535499
           3622.6      0.06006466
            3623.      0.05795637
           3623.4      0.05078361
           3623.8      0.04418768
           3624.2      0.03758509
           3624.6      0.04134275
            3625.      0.04477537
           3625.4       0.0504574
           3625.8        0.058002
           3626.2      0.06245762
           3626.6      0.06531403
            3627.      0.06532054
           3627.4      0.06175042
           3627.8      0.05689479
           3628.2      0.05288029
           3628.6      0.05690586
            3629.       0.0596881
           3629.4      0.05645854
           3629.8      0.05276051
           3630.2      0.04394967
           3630.6      0.03303606
            3631.      0.02474934
           3631.4      0.02016789
           3631.8      0.02281238
           3632.2      0.02918911
           3632.6      0.03336819
            3633.      0.03670036
           3633.4      0.03984994
           3633.8      0.04136431
           3634.2      0.03894654
           3634.6      0.03431964
            3635.      0.02903955
           3635.4      0.02786603
           3635.8      0.03534963
           3636.2      0.04045618
           3636.6      0.04134302
            3637.      0.04739981
           3637.4      0.05182048
           3637.8      0.05109094
           3638.2      0.05384326
           3638.6      0.05864909
            3639.      0.06283217
           3639.4      0.06228551
           3639.8      0.05963345
           3640.2      0.05830264
           3640.6      0.05730191
            3641.      0.05896336
           3641.4      0.05282471
           3641.8      0.04531677
           3642.2      0.04309665
           3642.6      0.03882207
            3643.      0.03721762
           3643.4      0.04402101
           3643.8      0.04884592
           3644.2      0.04861796
           3644.6      0.04396878
            3645.      0.03881861
           3645.4      0.03456518
           3645.8      0.03552005
           3646.2      0.03922307
           3646.6      0.04771759
            3647.      0.04635021
           3647.4      0.03600032
           3647.8      0.02791679
           3648.2      0.02791124
           3648.6      0.03211987
            3649.      0.03289989
           3649.4      0.03410159
           3649.8      0.03716116
           3650.2       0.0435298
           3650.6      0.04887813
            3651.      0.05080307
           3651.4      0.04764152
           3651.8      0.04589505
           3652.2      0.04853825
           3652.6      0.04968486
            3653.      0.04602611
           3653.4      0.04186117
           3653.8      0.04187888
           3654.2      0.04616044
           3654.6      0.05086023
            3655.      0.05279384
           3655.4      0.05452607
           3655.8      0.05618124
           3656.2       0.0606592
           3656.6       0.0619343
            3657.      0.06017906
           3657.4      0.06183226
           3657.8      0.06059509
           3658.2      0.06270457
           3658.6      0.06966349
            3659.      0.06987175
           3659.4      0.06664348
           3659.8      0.06506494
           3660.2      0.06005437
           3660.6      0.05773371
            3661.      0.06137167
           3661.4      0.06129482
           3661.8      0.05718646
           3662.2      0.05804135
           3662.6      0.05935434
            3663.      0.05739335
           3663.4      0.05358301
           3663.8      0.04780834
           3664.2      0.04721054
           3664.6      0.05488991
            3665.      0.06422104
           3665.4      0.07522615
           3665.8      0.07615521
           3666.2      0.06728671
           3666.6      0.05848205
            3667.      0.06048761
           3667.4      0.06856437
           3667.8       0.0711782
           3668.2      0.06510912
           3668.6      0.05593506
            3669.      0.04638597
           3669.4      0.04121134
           3669.8      0.04245099
           3670.2      0.04197598
           3670.6      0.04261845
            3671.      0.05082761
           3671.4      0.05564126
           3671.8      0.05903009
           3672.2      0.06332405
           3672.6      0.07286614
            3673.      0.07508444
           3673.4      0.06963972
           3673.8      0.06246981
           3674.2      0.05599493
           3674.6      0.05637638
            3675.      0.06346247
           3675.4      0.06858024
           3675.8      0.06898268
           3676.2       0.0641085
           3676.6      0.05977627
            3677.      0.05755204
