#K OBJECT   '40536'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 40536
#K OBJRA    05:59:04.31
#K OBJDEC   -09:33:29.7
#K OBJBMAG  5.213000E+00
#K OBJVMAG  5.037000E+00
#K SPTYPE   A6m
#K OBJRV    2.170000E+01
#K HDNAME   HD 40536
#K BDNAME   BD-09 1285
#K HIPNAME  HIP 28325
#K SAONAME  SAO 132715
#K VHELIO   -2.00359166716516E+01
#K VLSR     -3.87727626651561E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.435335E+03
#K CMAX1    4.763444E+03
#K PICKTYPE A7III
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9443.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.6560224
           3465.4       0.6648647
           3465.8       0.6685112
           3466.2       0.6520802
           3466.6       0.6529329
            3467.       0.6693961
           3467.4       0.6990083
           3467.8       0.7032986
           3468.2       0.7051646
           3468.6       0.7194506
            3469.       0.7146747
           3469.4       0.7082048
           3469.8       0.7024454
           3470.2       0.6956666
           3470.6       0.7081419
            3471.        0.716351
           3471.4       0.7054298
           3471.8       0.6940641
           3472.2       0.6832334
           3472.6       0.6814297
            3473.       0.6651175
           3473.4       0.6579732
           3473.8       0.6640092
           3474.2       0.6504433
           3474.6       0.6180797
            3475.       0.5959029
           3475.4       0.5863079
           3475.8       0.5806744
           3476.2       0.5792674
           3476.6       0.5950862
            3477.       0.6164138
           3477.4       0.6166136
           3477.8       0.6197798
           3478.2       0.6415647
           3478.6       0.6636625
            3479.       0.6799082
           3479.4       0.6789348
           3479.8       0.6683602
           3480.2       0.6603258
           3480.6       0.6705116
            3481.       0.6767908
           3481.4       0.6757402
           3481.8       0.6688752
           3482.2       0.6607755
           3482.6       0.6673954
            3483.       0.6611906
           3483.4       0.6419435
           3483.8       0.6354004
           3484.2       0.6269408
           3484.6       0.6383158
            3485.       0.6646196
           3485.4       0.6980899
           3485.8       0.7142424
           3486.2       0.7161426
           3486.6       0.7232756
            3487.       0.7310846
           3487.4       0.7355214
           3487.8       0.7363074
           3488.2       0.7163314
           3488.6       0.6858038
            3489.       0.6681041
           3489.4       0.6463492
           3489.8       0.6424334
           3490.2       0.6496923
           3490.6       0.6570354
            3491.       0.6575921
           3491.4       0.6498349
           3491.8       0.6485266
           3492.2       0.6731622
           3492.6       0.6977599
            3493.       0.6875131
           3493.4       0.6607369
           3493.8        0.635008
           3494.2       0.6176624
           3494.6       0.6164251
            3495.         0.61725
           3495.4       0.6043802
           3495.8       0.5715109
           3496.2       0.5324293
           3496.6       0.5091587
            3497.       0.5271398
           3497.4       0.5632764
           3497.8       0.5896256
           3498.2       0.6091105
           3498.6       0.6294037
            3499.       0.6656311
           3499.4       0.6924708
           3499.8       0.6981401
           3500.2       0.6979282
           3500.6       0.6837002
            3501.       0.6728086
           3501.4       0.6732493
           3501.8       0.6819544
           3502.2       0.6974353
           3502.6       0.7006993
            3503.       0.6966647
           3503.4       0.7021836
           3503.8       0.7086824
           3504.2       0.7108039
           3504.6        0.695603
            3505.       0.6708601
           3505.4       0.6386712
           3505.8       0.6271365
           3506.2       0.6300842
           3506.6        0.640117
            3507.       0.6582876
           3507.4       0.6830899
           3507.8       0.6994627
           3508.2       0.7007945
           3508.6       0.7002694
