#K OBJECT   '40801'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 40801
#K OBJRA    06:03:17.96
#K OBJDEC   +42:54:41.6
#K OBJBMAG  7.074000E+00
#K OBJVMAG  6.092000E+00
#K SPTYPE   K0II
#K OBJRV    3.760000E+01
#K HDNAME   HD 40801
#K BDNAME   BD+42 1473
#K HIPNAME  HIP 28677
#K SAONAME  SAO 40818
#K VHELIO   -2.43003944640754E+01
#K VLSR     -3.01746923043642E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.790350E+03
#K CMAX1    8.125555E+03
#K PICKTYPE K0III
#K NCOMBINE 6
#K TEFF     4740  Jones..Coude.Feed.Library
#K LOGG     2.940000E+00  Jones..Coude.Feed.Library
#K FEH      -4.000000E-02  Jones..Coude.Feed.Library
#K COVERAGE 3465.0-9442.6

#      wavelength        spectrum
#       angstroms                

            3465.      0.09140866
           3465.4      0.07613558
           3465.8      0.06205893
           3466.2      0.06299143
           3466.6      0.07018817
            3467.      0.07811698
           3467.4      0.08918189
           3467.8      0.09631848
           3468.2       0.1019593
           3468.6       0.1029306
            3469.      0.09975079
           3469.4       0.0999663
           3469.8       0.1075181
           3470.2       0.1173274
           3470.6       0.1190946
            3471.       0.1111742
           3471.4       0.0995635
           3471.8      0.08542681
           3472.2      0.08068515
           3472.6      0.07668868
            3473.      0.07555632
           3473.4      0.07643288
           3473.8      0.07335289
           3474.2      0.06674397
           3474.6      0.06175376
            3475.      0.05373145
           3475.4      0.04489711
           3475.8      0.04361669
           3476.2      0.04518717
           3476.6      0.04810917
            3477.       0.0538285
           3477.4      0.06847414
           3477.8      0.08049305
           3478.2      0.08816067
           3478.6      0.09111646
            3479.      0.09296543
           3479.4      0.09176751
           3479.8      0.08837345
           3480.2      0.08708372
           3480.6      0.08738678
            3481.      0.08801915
           3481.4      0.09019218
           3481.8      0.09306065
           3482.2      0.09243344
           3482.6      0.08354573
            3483.      0.07491715
           3483.4      0.06876213
           3483.8      0.07145206
           3484.2       0.0770883
           3484.6      0.07844125
            3485.      0.07519046
           3485.4       0.0739545
           3485.8       0.0820122
           3486.2      0.09207703
           3486.6       0.1016534
            3487.       0.1158971
           3487.4       0.1171395
           3487.8       0.1098809
           3488.2       0.1000726
           3488.6      0.08500709
            3489.       0.0744373
           3489.4      0.06658088
           3489.8      0.05696252
           3490.2        0.051941
           3490.6      0.05053074
            3491.      0.05381707
           3491.4      0.06609815
           3491.8      0.07465894
           3492.2      0.06814384
