#K OBJECT   '41117'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 41117
#K OBJRA    06:03:55.18
#K OBJDEC   +20:08:18.4
#K OBJBMAG  4.856000E+00
#K OBJVMAG  4.646000E+00
#K SPTYPE   B2Iaevar
#K OBJRV    1.680000E+01
#K HDNAME   HD 41117
#K BDNAME   BD+20 1233
#K HIPNAME  HIP 28716
#K SAONAME  SAO 77911
#K VHELIO   -2.43779264780020E+01
#K VLSR     -3.71958449409783E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.679816E+03
#K CMAX1    6.009845E+03
#K PICKTYPE B1I
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9443.8

#      wavelength        spectrum
#       angstroms                

            3465.        3.972339
           3465.4        3.930351
           3465.8        3.874586
           3466.2        3.879569
           3466.6        3.901183
            3467.        3.958796
           3467.4        3.985524
           3467.8        3.946777
           3468.2        3.963204
           3468.6        3.958816
            3469.        3.966918
           3469.4        3.928217
           3469.8        3.929087
           3470.2        3.893677
           3470.6        3.903365
            3471.        3.894407
           3471.4        3.831269
           3471.8         3.83516
           3472.2        3.860615
           3472.6         3.86896
            3473.        3.913544
           3473.4        3.931016
           3473.8        3.943458
           3474.2        3.932706
           3474.6        3.934946
            3475.        3.950192
           3475.4        3.966804
           3475.8        3.932886
           3476.2        3.921079
           3476.6        3.910024
            3477.        3.900855
           3477.4         3.89819
           3477.8        3.864184
           3478.2         3.84837
           3478.6        3.841126
            3479.        3.788801
           3479.4        3.826395
           3479.8        3.834975
           3480.2        3.896971
           3480.6        3.900859
            3481.        3.887506
           3481.4        3.915354
           3481.8        3.911128
           3482.2        3.901159
           3482.6        3.899025
            3483.           3.897
           3483.4        3.913965
           3483.8        3.918503
           3484.2        3.914683
           3484.6        3.919436
            3485.        3.905437
           3485.4        3.887738
           3485.8        3.871338
           3486.2        3.854054
           3486.6        3.888696
            3487.        3.854427
           3487.4        3.782499
           3487.8        3.760509
           3488.2        3.781888
           3488.6        3.827109
            3489.        3.857985
           3489.4          3.8575
           3489.8        3.868671
           3490.2        3.878715
           3490.6        3.869735
            3491.         3.89889
           3491.4        3.876907
           3491.8        3.868162
           3492.2        3.912302
           3492.6        3.900473
            3493.        3.873557
           3493.4         3.86634
           3493.8        3.848616
           3494.2        3.869465
           3494.6        3.904074
            3495.        3.894459
           3495.4        3.881013
           3495.8        3.830664
           3496.2        3.853002
           3496.6        3.789492
            3497.        3.695553
           3497.4         3.65518
           3497.8        3.646796
           3498.2        3.609369
           3498.6        3.612946
            3499.        3.657861
           3499.4        3.689373
           3499.8         3.72847
           3500.2        3.728874
           3500.6        3.744081
            3501.        3.754873
           3501.4        3.765588
           3501.8        3.783329
           3502.2        3.802263
           3502.6        3.827322
            3503.        3.839344
           3503.4        3.849084
           3503.8        3.856144
           3504.2        3.848669
           3504.6        3.843038
            3505.        3.847099
           3505.4        3.855234
           3505.8        3.870293
           3506.2        3.868355
           3506.6        3.844382
            3507.        3.837231
           3507.4        3.825747
           3507.8        3.840904
           3508.2        3.831824
           3508.6        3.834841
            3509.        3.841442
           3509.4        3.833397
           3509.8        3.832636
           3510.2        3.817633
           3510.6        3.793995
            3511.        3.762431
           3511.4        3.687439
           3511.8        3.628262
           3512.2        3.577719
           3512.6        3.570418
            3513.        3.618078
           3513.4        3.666181
           3513.8        3.712354
           3514.2        3.735027
